product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
rivery,Best ELT tool,,Dima K.,5.0,"November 11, 2021","Very intuitive UI, easily configured. The support team is very professional and responds quickly.",Don’t really have one bad thing to say about the product.,BI Developer,Gambling & Casinos,Used the software for: 2+ years
rivery,The most cost-effective ETL\ELT product in the market,,Dor R.,5.0,"June 6, 2019","(1) The ability to integrate almost any data source using either off-the-shelf integrations or the ability to connect to any source that uses REST API. (2) The ability to orchestrate massively complex, multi-step transformations and logic to turn any source of raw data into valuable information.","Lack of different ""roles"" for users. The support team quickly replied that it's in the roadmap for 2019.",Head of Data,Computer Software,Used the software for: Less than 6 months
rivery,Rivery is a great ETL management platform.,"Overall, Rivery is a very powerful tool, it's the modern data and ETL management platform. If you are looking for an end-to-end solution for your data pipelines. you should definitely consider trying Rivery, it will probably help you and save you some time and trouble.",Dan G.,5.0,"November 11, 2023","It's modern, fast, designed well, and has great customer support. It's very easy to use, and does not require a lot of time to learn. The performance of the system is very good, and bugs are usually fixed very fast. There are always new improvements and features being added.",They can increase the number of direct connectors. Price has also grown over time.,Data Analyst,Hospitality,Used the software for: 2+ years
rivery,Amazing ETL Tool,"Rivery's team provides unbelievable service. When Facebook changed their API overnight, the first communication I got about it was from Rivery. Their message was amazing: ""Facebook changed the API... we already upgraded our connector... Your usage of the connector should not be affected as the changes are in areas not used by your company"". It was the same when LinkedIn changed their API. In addition, we had very few bugs, and even when an issue is found, it's handled with the appropriate priority and a solution is given in almost immediate time.",Tal C.,5.0,"December 30, 2018",The connectors are robust and the list of connector is always growing. The solution is very easy to use and provided maximum flexibility while keeping the relevant infrastructure best practices. Allowing our ETL developers to focus on solving the business questions/processes and not dealing with infrastructure level developments.,"There is no development environment, but this is supposed to be released soon.",Head of Information Systems,Internet,Used the software for: 1-2 years
rivery,The best ETL / Data Engineering SaaS out there,After 2 years of using this product on a daily basis I believed my company and I saved several $100K we could have spent on development and maintenance of numerous API connectors and ETL scripts.,Roy L.,5.0,"February 27, 2019","The learning curve while using rivery is incredibly flat. Within a few hours you can build a production - ready robust and scalable ETL system. The pre-requisites are only SQL - no knowledge of programming languages is needed. The Action feature allows you to access any REST API. That means that even if Rivery didn't develop an API connector yet, you can simply extract data from pretty much any data source and enjoy the scheduling/alerting/sequencing features of the product. In addition Rivery's support is incredibly professional, responsive and efficient.",While creating complex Rivers (or ETL scripts) it might be a bit frustrating to rearrange the various building blocks using drag and drop. Fortunately you can use the arrow keys to complete whatever manipulation you need.,Product Manager and Team Leader,Marketing and Advertising,Used the software for: 2+ years
rivery,Excellent ETL Tool,Overall it's a great ETL tool that will help you to focus on ETL logic and business insights with minimum maintenance and infra actions,Ilana S.,5.0,"January 5, 2019",This tool is intuitive and easy to use. By using all the existing connectors you can easily pull data from many data sources without worrying about the APIs maintenance and upgrades. Moreover this tool is fully managed which saves a lot of infrastructure work and can adapt to any scale,Nothing in particular. The platform works fine and the customer service is excellent (impressive response time),Project Manager,Computer Software,Used the software for: 1-2 years
rivery,Best ETL Tool in the Market,"I am working with Rivery for more than 2 years, after I experienced with other tools I think it is an amazing tool!",Sivan P.,5.0,"December 2, 2019","* Easy to use * Orchestration * Easy integration from many sources * Best support team! Short response time - Effectively answer your questions, and solve any issue in short time.",The product is rapidly change and new features are adding in monthly-basis.,Project Manager,Computer Software,Used the software for: 2+ years
rivery, Rivery Review,Run in several projects for best SAAS companies.,Verified Reviewer,5.0,"December 27, 2018",Cost Effective Connectivity to Marketing data sources Best complementary for Google BQ & Snowflake,"Nothing special, the product & the service works great","Vice-President, North America at Keyrus",Information Technology and Services,Used the software for: 6-12 months
rivery,Great job guys ,,Verified Reviewer,5.0,"December 30, 2018",It's very easy to use and the support team is awesome,"The connections items, not easy to configurate them sometimes",Chief Analyst / Chief of Revenues,Internet,Used the software for: 6-12 months
rivery,"Great, Cost Effective ETL Software",,Verified Reviewer,5.0,"May 1, 2020",Ease of use and ability to integrate disparate data sources. The scheduling functionality and the transformation layer makes complex workflows organized.,"Some of the documentation is missing information, although support team made up for that.",Senior Data Analyst,Financial Services,Used the software for: 1-2 years
rivery,Great Product,"A great platform which makes life super easy in pulling data from API's. It's also a great ETL tool, super easy and simple UI, easy to control all your process. Overall great exprience.",Or N.,5.0,"December 30, 2018","Easy to use, Flexible, powerful, great support,",None (to my opinion).,BI Developer,Marketing and Advertising,Used the software for: 2+ years
rivery,Intuitive and flexible,,Verified Reviewer,5.0,"January 15, 2019","This tool is intuitive and easy to navigate as well. Rivery made a difference during our World Cup project , tool is completely user friendly, quick and powerful.",It would be great having a functionality to track when an API had a new release/ new version for all Social Medias.,Senior Business Intelligence Consultant,Consumer Goods,Used the software for: 6-12 months
