product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
tugger,Tugger have been instrumental in transforming our reporting,"We use MS Power BI to connect to the data and can produce simple reports in minutes. We obviously do have more complicated organisational and client reports. They took some time to produce but 'data wise' the reports are fully automated. We would like to see the data to be near real-time, however the data is actually fresher than that provided by our CAFM system. Tugger are updating their product offering all the time, most recently with their own Power BI Service in their cloud/data warehouse. The support team are great and have been a great help with the reports we create in addition to the reports they created for us.",Neil W.,5.0,"May 2, 2025",Tugger provide quick and easy access to data in our Computer Aided Facilities Management system.,"The data can be up to 6 hours old in our case. This is not ideal and we would like to see the data within 15 minutes of real time data; However, Tugger are improving their product offering all the time.",Business Development,Facilities Services,Used the software for: 1-2 years
tugger,My Experience Working with Tugger,"My experience with Tugger has been excellent overall. They’re a fantastic partner for anyone needing to pull data from various systems in a straightforward, seamless way. Tugger has removed the need for data engineering in my workflow, saving me either: 1) a huge amount of time learning a new skill, or 2) the expense of hiring another team member to fill the skill gap. As I mentioned above, the team is great and adds a lot of value to the product itself. I'll be staying with Tugger in the future as it's a great service.",Cian M.,5.0,"November 1, 2024","Tugger is a fantastic tool that makes it easy to work with data from SimPro - data that would have been a headache to pull on my own. Everyone I've interacted with, from [sensitive content hidden] in sales to [sensitive content hidden] in support, has been personable, knowledgeable, and responsive to all my questions.",My least favorite thing about Tugger is navigating through the large amount of data it pulls- there’s just so much to sift through! It's more of an analyst challenge than an issue with Tugger itself.,Founder,Computer Software,Used the software for: Less than 6 months
tugger,A great presentation tool ,"Good, early days, excited to see how it can help the business present at a corporate level",Craig D.,4.0,"June 15, 2023",The graphics and technical support are have been the main reasons for my positive review this early into my use.,Integration with 3rd parties has been testing at times.,Commercial Contracts Manager,Electrical/Electronic Manufacturing,Used the software for: Less than 6 months
tugger,The best HubSpot Power BI connector on the market,,Christian G.,5.0,"March 14, 2023","Frequent extracts of data from HubSpot allowing for up-to-date reporting in Power BI.Supports the new API version from HubSpot meaning that all required fields were accessible (specifically, we were looking for the meeting attendees field).Very easy to set up.Helpful and quick support.",I am missing more information related to current and past Tug status.,Business Intelligence Developer,Information Technology and Services,Used the software for: Less than 6 months
tugger,Review of Tugger from Electrical Company using Simpro,Our overall experience has been fantastic; even when we had a few technical issues the Tugger team provided amazing customer support and service.,Josiah M.,5.0,"February 9, 2023","Tugger has revolutionised the way we can extract Data from the job management system we use; Simpro. By integrating Tugger with Simpro it has allowed us to visualise and analyse all aspects of our jobs from quoting and sales to project management, purchase orders and financial reviews including WIP, Profitability and Cashflow.",there was a bit of setup but once done it has just worked with minimal ongoing input,National Sales Manager,Electrical/Electronic Manufacturing,Used the software for: 6-12 months
tugger,Tugger Xero,"Fantastic staff very helpful, really enjoying it so far",Rebecca R.,5.0,"April 5, 2024",The team at Tugger are fantastic listen to your opinions and take them on board when developing the reports. The reports out of xero are fantastic and fill a big gap in xero,The connectors I wish there was a way of logging on to “a portal with all Tugger clients we’ve added and just being able to select the client we want to add job done.,Virtual Finance Manager,Accounting,Used the software for: Less than 6 months
tugger,"Great Support, Huge Potential","So far, its been amazing. The customer support is one of the best, they really make the efforts to address your concerns and solve them as soon as possible. Amazing and helpful team that they have got.",Daud G.,5.0,"October 22, 2025","Customer Support has been absolutely outstanding, they’ve guided me through even the smallest details in Power Query to ensure I got exactly what I needed. I really appreciated their kindness in extending my trial period, giving us the time we needed to make a well informed decision.","Some of the templates were a bit challenging to interpret due to their size and complexity, but Tugger’s support team has been incredibly helpful and responsive, which made a big difference.",Data Manager,Non-Profit Organization Management,Used the software for: Less than 6 months
tugger,Get Tugging ,"Very positive, it has opened some great opportunities for creating reports, upgrading and automating workflows, all for a good value for money.",Andrew D.,4.0,"October 1, 2025",- Easy to set up and link to your data to Tugger - Easy to link your data to Power Query / Powe BI - The ability to pull data from your system multiple times a day is what makes this useful to us. - Great range of tables to pull data from,- Some of the data fields in the tables that get pulled through are not as great as they could be and require work to get them to a usable state.,Financial Controller,Building Materials,Used the software for: Less than 6 months
tugger,Tugger Initial Thoughts,Really great! Appreciate the lengthy trial period and the ease of use. It is even suitable for beginners like myself to pick up and grasp right away.,Harry K.,5.0,"July 22, 2025","Tugger is very simple and clear when setting up a connector. The process does not take long and once you're connected, it runs great.","I found that the progress of the initial tug was not very clear. I kept coming back and checking and it said the tug had completed, but a new tug was now running.",IT Business Support,Building Materials,Used the software for: I used a free trial
tugger,Tugger Review,Very good and will get better with more familiar usage - it is a new tool for us but we will be using it daily from now.,Lee W.,4.0,"July 9, 2025",Very useful tool in finding out stats to assist with engineer coordination. It has enabled us to find out information we did not know previously.,Filters could be easier to amend and more user friendly. Unsure if there are guides to help with filter switching or any live chat options for users needing help.,Senior Support Specialist,Security and Investigations,Used the software for: Less than 6 months
