product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
xlstat,Using XLstat for advanced multivartiate statistical analysis,It improved my way to customize analysis and it also made me simlper to try new stat tools,Giulio C.,5.0,"January 7, 2025",Easy way to customize analysis and getting accurate results,Not all options about stat analysis are present (but it's a minor aspect),Managing partner,Market Research,Used the software for: 2+ years
xlstat,Great powerful and easy to usestat software,"I have been using it for almost two decades, and I am very satisfied. I migrated from older Statview and Systat, a great move.",Carlos T.,5.0,"March 2, 2026","One feature I like very much about XLSTAT is that it is an excel add-in and works very well with several of Excel´s features. The software is very poweful, does all of the analyses an ecologist and animal behaviorist would need. Specially, since it can integrate R scripts. This flexibility is probably its greatest feature. It is also easy to use with a great user-interface.","The standard graphs could be more flexible and maleable, but I guess that is the function of Sigmaplot.",professor,Research,Used the software for: 2+ years
xlstat,XLSTAT - Buyer Beware,Horrible - do not buy this! it claims to do plm but does not estimate all of the parameters of the exogenous variables specified in the econometric equation,Monica G.,1.0,"December 15, 2024",Nothing - the trial version is a joke - and if the version that people pay for is anything like it do not buy,It totally messed up my excel file - and did not work at all,Economist,"Health, Wellness and Fitness",Used the software for: Less than 6 months
xlstat,I recommend every researcher/student buy XLSTAT,"I handle most of my sensory evaluation data and consumer data using XLSTAT. It is super easy and smooth to complete the data feeding – processing – reporting procedure. Now it only takes me 10 mins to finish all thoes steps (without XLSTAT, 2–3 days might not be enough)",Shaoyang W.,5.0,"March 29, 2022","Economic, user-friendly, comprehensive online tutorial, customised training courses, best integration to Excel, up-to-date solutions, customer service",Some functions have bugs that cause Excel collapse. I always identify these bugs and report them to Addinsoft. They always contact me the next day and fix these bugs as fast as they can.,Senior Research Assistant,Food & Beverages,Used the software for: 2+ years
xlstat,XLSTAT review_Irene,"Very great. The XLSTAT is so helpful to me. The best part is where Sen's slope test is incorporated in Mann-Kendall analysis, an aspect often missing in great softwares like SAS.",Irene O.,5.0,"July 23, 2025",Easy to follow and simplifies complex analysis. The analysis commands are easy to locate and use. The signing in feature boosts security.,The limitations on graphics and data visualization as it requires additional purchase of Zenplot. It is restricted to one machine so I have to carry my laptop to wherever I need to work.,Research Staff,Research,Used the software for: 1-2 years
xlstat,Clinical research physician - this is an excellent program.,Have used it for at least 7 years - gradual improvements in integration into Excel have made it very easy to use now.,Reginald B.,5.0,"February 12, 2025",Integration with Excel with full range of stats. Easy ability to run on filtered data. Excellent tutorials.,Basic stats should include survival statistics - found another program to do this for less than the upgrade to life sciences,ownter,Medical Practice,Used the software for: 1-2 years
xlstat,XLSTAT is great for life science statistical analysis,"I have XLSTAT as an add-on for my MS Excel, but hadn't used it in several months. I was delighted to find out it's as user-friendly as before.",Jonas B.,5.0,"April 10, 2025",Offer easy-to-follow tutorials and sample workbooks.,There are a lot of hidden worksheets that are generated for various tasks. This can make your workbook very large if you perform a lot of statistical analysis.,"Director, Assay Development",Biotechnology,Used the software for: 1-2 years
xlstat,Powerful and Easy-to-Use Statistical Tool,"XLSTAT is an efficient and user-friendly statistical analysis tool. It integrates seamlessly with Excel, making data analysis straightforward. The wide range of features is beneficial, though some complex functions require extra time to master",Ozlem S.,5.0,"February 23, 2025",Fast and easy to use. No need to modify data before transferring to other programs.,"Some advanced features require additional learning, and the pricing can be a bit high for individual users.",research assistant,Education Management,Used the software for: Less than 6 months
xlstat,Statistical software powerful and user friendly,Xlstat is exactly the statistical software I need. Namely - but not only- for multivariate analysis,Christophe M.,5.0,"January 21, 2025",Excellent experience. User friendly and intuitive.,I am sure I am not using the full potential of the vew features related to R and the assistance.,CEO,Research,Used the software for: 2+ years
xlstat,Exploring the data with XLSTAT,"Very satisfactory, the results according to the methodology, explanation of each of the methodologies on the Web and other aids, very fast response and flexibility when contracting a license.",Reynaldo Manuel C.,5.0,"December 27, 2024","Versatility of data analysis, essential in basic research","Although it is a very good and useful tool in data analysis, the cost is very high if you want the premium license, mainly in countries where research is very little recognized.",Head of the Water Resources area,Environmental Services,Used the software for: Less than 6 months
xlstat,XLSTAT is a great tool!,It's a very high powered add on to Excel,Larry C.,5.0,"March 11, 2025",It has a very nice user interface with Excel. It is easy to use with small to moderately sized databases.,I still have problems maintaining the scripts for the runs I do and redoing my old runs.,Owner,Financial Services,Used the software for: 6-12 months
xlstat,Necessary.,"Satisfactory, I use it daily. It is my priority software in my data analysis",FRANCISCO V.,5.0,"July 15, 2024","The Excel compatibility, It is certainly a great addition.",The need to always include the data description,ENVIRONMENTAL SPECIALIST,Environmental Services,Used the software for: 1-2 years
xlstat,XLSTAT in academia,"Quite a large range: social sciences data, engineering data, medical data .. It can be used in all fields ...",Rosun S.,4.0,"August 8, 2022",Quite a large number of techniques implemented. We can even say Exhaustive. No prior training required for technicals. Very fast for non-technicals to get used to it as well.,No missing feature in my brief period of use: trial version. Price on the high side.,Lecturer,Higher Education,Used the software for: I used a free trial
