product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
mozenda,Ease of use,,Geoffrey L.,5.0,"October 11, 2018","I had a problem where I was manually checking changes to a saved search through Linkedin sales navigator. Through the use of this product and another, I was able to automate that process and save time and clicks to obtain the same information in a google sheet.","It's point and click, so if you don't enjoy that, it could be tedious. Although, the amount of time saved did make it worth it.",Nomad,Market Research,Used the software for: Less than 6 months
mozenda,Well-supported scraping tool with full API,"Mozenda is a great platform for creating webscrapes with assistance from the agent builder. Although the documentation could be better, I find that if I do have any questions, Mozenda support responds quickly and knowledgeably. The problem with the documentation is really just that it's hard to find how to do more advanced things. Often the information is somewhere in a recording of a webinar, so it can take a bit of time to find it. Inevitably, there are things that I need to do that require modifying the XPath definitions or working around limitations in the software. For example, Mozenda only captures data in a flat list, so if you would like to capture lists within lists, you have to repeat a lot of data and clean it up outside the tool itself. The good news is that the API is complete (i.e. everything that can be done in the UIs can be done in the APIs, and more). The API documentation is mostly clear, but sometimes I do need to experiment to make sure I understand exactly what it returns. Overall, I would recommend Mozenda to people who are looking for a faster alternative to coding their own webscrapes, or to less technical people who have fairly straight-forward requirements or are willing to take the time to learn how things work a little more ""under the hood."" The support is great! Please note that opinions expressed in this review are my own and not necessarily shared by my employer.",Laurie K.,5.0,"September 21, 2020","Superb customer support API can do everything I want it to, and more. Agent builder is fairly easy to learn to use Saves time hand-coding web scrapes",Complex scraping requirements are harder to achieve Sometimes difficult to find relevant documentation Inevitably requires some understanding of programming to use effectively,Data Analyst,Computer Software,Used the software for: 2+ years
mozenda,Intentionally Burns Through Your Money,Good product and customer support. Terrible unethical management and sales methods.,Brian G.,3.0,"November 1, 2020",The product is easy to use and the actual response from Customer Support is great.,"I have been a customer for almost 10 years. Mozenda, intentionally, does not stop processes or provide features that would allow agents to stop running if they get stuck in a loop. This is a method that Mozenda uses to get you to use all of your credits and have to pay for more agents. I like the product. But, their unethical stealing of your money and management is why I moved after almost 10 years. Would NOT recommend.",Director,Computer Software,Used the software for: 2+ years
mozenda,Mozenda efficiently scrapes and collects data on the web,We have used Mozenda to pull in data about potential customers as well as get data on what competitors are doing. Mozenda makes almost any kind of web scraping project simple to do.,Jon P.,5.0,"December 12, 2018","I liked how fast it was to get setup and scraping data from sites. I could begin a new project, set the parameters, and it would be done collecting data within a few hours. The data was almost always scraped in the proper format without anything missing. It is easy to use and is only limited to what account plan you are on.","Sometimes it was difficult to get the software to fully understand what I was looking for it to accomplish and would pull in more information than I was looking for. This is probably more user error on not being able to specify properly. I would sometimes only want a specific part of a data field, but would end up getting more than I needed.",Systems Engineer,Automotive,Used the software for: 1-2 years
mozenda,High-end web scraping tool great for complex scraping,"Complex web scrapes captured needed data unavailable by 3rd parties without spending beyond our budget. Great marketing tool to develop address, phone, and/or email lists. Their support is awesome but you will use them a lot to get things done.",Pete P.,4.0,"May 4, 2018",This tool allowed us to capture data from difficult website areas. It's high-end capabilities and features made obtaining required data possible. Customer support very responsive and knowledgeable.,"Hard to use and understand programming terms needed to develop proper scrapes. It is easy to do a basic scrape but once data got complex, support always had to be called in.",Customer Success Manager,Used the software for: 1-2 years,
mozenda,Mozenda is my Secret Weapon,"Allows me to create automated processes, connected systems and data integrations with online sources and tools.",Verified Reviewer,5.0,"January 24, 2018","Allows you to capture, update and automate anything on the internet. Allows for API-Like behavior between systems with no API.","Not enough testing / logical functionality. Requires Windows PC to run, and has RAM / Stability issues when dealing with extra large websites.",Senior Data Operations Manager,Used the software for: 2+ years,
mozenda,Best ever! ,"Started using the system about a year ago. The ease of building agents and the intuitive approach of the software is remarkable. What amazes me is the customer service. I have owned my company for 16 years and never did i have the experience as i had with Mozenda. Not only there is always someone to help, but everyone is extremely friendly and truly wants to help. All the steps to resolve whatever issue were explained and resolved within the hour. Wish Microsoft would learn customer service etiquette from Mozenda.",Luca L.,5.0,"November 30, 2016",Ease of use and the ability to have the help desk resolve all issues- quickly,"You can only run two agents at once, not the end of the world, but it would be nice to be able to run more.",CEO,Financial Services,Used the software for: 1-2 years
mozenda,Enterprise class screen scraping for data-driven business,"I've been using Mozenda for just under a year and couldn't recommend it more highly. After doing a fairly detailed review (and testing) of alternative screen scraping products I landed with Mozenda because of it ease of use, enterprise class performance, and growing feature set. I currently run numerous agents (scrapers) daily against several different websites. I have each scraper on its own scraping schedule and each day, like clockwork, the scraper starts, performs the scraping task and then upon completion publishes my data to an Amazon web service bucket. Once the data is published to the bucket I am notified of the successful completion via email. During the course of the year, I have experienced error-free processing. There are several other publishing options in addition to Amazon, including FTP, email, as well as storage in the Mozenda cloud. One feature that distinguishes Mozenda from its competitors is it customer support. I have participated in numerous goto-meeting sessions with Mozenda's support team working on a complex scraping agent or improving the processing efficiency of an existing agent. The support team is knowledgeable, willing to take the time to teach you and even available on Saturdays. Mozenda can also scrape PDF files which is also something some of its competitors can't do. I've been very happy with Mozenda and would recommend you give it a try.",Jim M.,5.0,"April 20, 2016",,,Principal,Used the software for:,
mozenda,Pretty good software,I've used Mozenda twice now for two different projects. I'm semi-technical and I found it pretty easy to use once I got started. If you've never used something like this then you'll need to invest a 1-3 hrs in learning it properly but once you do you will be flying. I plan to use them again.,steve L.,5.0,"December 5, 2016",easy,sometimes it can be hard to setup a scrape,sales,Aviation & Aerospace,Used the software for: Less than 6 months
mozenda,Data Capture,"Excellent experience, at work and organizational level helped to divide the needs of the company and verify the data",Valentina C.,3.0,"March 27, 2019","the collection and capture of data of all kinds, allows us to create a comprehensive database that will help the correct functioning of our information",I think that everything that this software offers is complete and you do not need to add anything else,Gerente de mercadeo,Marketing and Advertising,Used the software for: I used a free trial
