product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sas_enterprise_miner,"I use SAS for many projects and its functionality is the best in some areas, not so great in others.",,Holly O.,4.0,"May 9, 2018","I use SAS almost exclusively for data generation in quantitative projects - the functionality and ease of data generation can't be beat once proficiency is achieved. SAS is also my go-to software for fitting multilevel (hierarchical) models - it can do almost (not quite) everything I've ever needed, and uses minimal code to do so. I have been using SAS throughout my career and would say it is the program I'm most comfortable working in, even for data management (although the data management functionality is mediocre, see comments below).","Three things: graphs, data management, and structural equation models. The SAS graphics are so basic, it takes a lot of programming to get them to look even remotely presentable. That's not to say the capability isn't there, it just isn't worth the trouble when there are so many better programs that easily produce beautiful plots. It's a pain to transfer between programs when I've done everything else in SAS to produce the graphics elsewhere. Also, data management in SAS is notoriously underwhelming. I would love to see some increased functionality in data management. Finally, SAS has (in my view) limited capability to fit structural equation models compared to other comparable programs - I'd use Mplus (popular in social sciences) or R to fit and interpret SEMs over SAS any day.","Assisant Professor of Measurement and Statistical Analysis, The Sanford School",Higher Education,Used the software for: 2+ years
sas_enterprise_miner,Excellent software for data analysis and machine learning,"I have worked with SAS Enterprise Minerduring the last five years doing data mining and machine learning projects. SAS Enterprise Miner is a reliable and robust software that has allowed me to perform statistical analyzes in large databases. I work in the banking industry and the software has helped me to carry out models of credit risk, propensity and decision trees for segmentation of clients.",Verified Reviewer,4.0,"February 14, 2019",I like the large number of features it has implemented. There are many machine learning algorithms and they are very easy to use and parameter. You can also process large amounts of data without consuming excessive ram memory,"The interface is not very intuitive and can be similar to old software. It has some problems in response speed, it may seem like slow software.",Subgerente de Análisis Estratégico y Modelos Avanzados,Banking,Used the software for: 2+ years
sas_enterprise_miner,Difficult to use and learn but works as intended,Helping students learn data analytics and predictive analytics,Matthew F.,3.0,"August 22, 2018",Works flawlessly if you know exactly what you're doing and how to use the software.,"Really difficult to use, difficult to navigate, and GUI needs to be updated as well as the product documentation. I wish there were better tutorials online for the Enterprise Miner.",Student,Higher Education,Used the software for: 1-2 years
sas_enterprise_miner,SAS for Data Mining techniques!,"I am a student and have been learning this software from the past 2 months, so I am using it for my lecture assignments and a major project for this semester.",Verified Reviewer,4.0,"March 27, 2019","1. It is a superb tool for learning data mining and predictive analysis of data. 2. The tool allows you to understand, summarize and explore the data using multiple modelling techniques like linear regression, neural networks, association rules and clustering etc. 3. Personally, I understood the concept of decision trees easily while using the tool rather than just reading through the book provided during the lecture. 4. It also gives you details statistics information related to the data which can be easily understood by the various chart features available in it. 5. User Interface seems to be typical old software but it is easy to use once you understand it.","1. Data Source response time: I have noticed this issue so far that after you create the data source in a new project, it doesn't appear simultaneously on the left side menu. At times, you have to close the enterprise miner and reopen/refresh the project to see it in the menu above diagrams. 2. Value for money: I feel it is costly for students and yeah it also comes with license issues apart from the price paid to buy it. 3. Learning: It takes hours of efforts and training to learn the software. Not easy to learn in a week or so.",Student,Information Technology and Services,Used the software for: 6-12 months
sas_enterprise_miner,"SAS Enterprise Miner is awesome, the best in class for what it does, but comes with a high cost",The software is amazing that it can produce such advanced models with a very simple user interface. The benefits I saw was more accurate forecasts in a quarter of the time to set up models.,Thomas Y.,5.0,"April 26, 2018","I find SAS Enterprise Miner to be the most advanced data mining software on the market. The software offers all sorts of data mining tasks, including random forest, neural networks, support vectors, ensemble modeling, and a host of other options. The drag and drop user interface is quite nice, and a long way from where base SAS software programming used to be.","The biggest downside is the cost. SAS Enterprise Miner is amazing for the ease of use and the forecasts it produces, but it isn't free. Of the data mining software on the market, it is one of the most expensive. Also, although the software is perfect for building a model, it requires some work to create a model with incoming, real-time data.","Owner, previous CEO",Used the software for: 2+ years,
sas_enterprise_miner,Easiest tool for hands on modelling,I am satisfied with the product on overall and would recommend to any colleague,Verified Reviewer,5.0,"April 8, 2020","Coarse classing, fine classing, correlation, seveal modelling techniques can easily be performed within the tool without the need for coding which makes the tool practical and speedy","The tool covers almost anything needed for a data scientist. However, new trends in advanced analytics can also be embedded such as new algorithms and data visualization features",Consultant,Financial Services,Used the software for: 2+ years
sas_enterprise_miner,SAS - Handling big data,,Verified Reviewer,5.0,"May 6, 2021","Easy to use and learn syntaxes to churn big chunks of data for meaningful insights. Comes with editor, complier and output screen so is very easy to navigate. Throws results in less time.",A bit costly as compared to other data analysis softwares available.,Associate,Banking,Used the software for: 2+ years
sas_enterprise_miner,Sas enterprise miner is great program for data mining even for beginers,I use this to look into variation stresses in granular material for my research,siavash A.,5.0,"December 8, 2019",It is modular and interface is easy to use even for people that are not very familiar for data mining training. However if you want you can go and change the settings of those modules if you know what you are doing. the graphs and plots are good looking good.,It crashed a lot during the calculations. I was dealing with very big data sets and had to reduce those data sets before I could use this program,student,Civil Engineering,Used the software for: 6-12 months
sas_enterprise_miner,Build your own models,SAS EM allows me to build multiple predictive models for a dataset and then compare the results quickly and efficiently.,Jason L.,4.0,"December 29, 2018",SAS EM is tremendous at allowing the user to build and compare a bunch of models.,"There are so many nuances to each model that it can be very intimidating, even to someone with a stats background. Easy to use on a basic level but difficult to use on a more advanced one. It also takes up a ton of memory on my computer during use.",Hospitality Intelligence Consultant,Hospitality,Used the software for: 6-12 months
sas_enterprise_miner,Large data-sources presented in a friendly manner that make end use easier.,Can leverage existing SAS skills.,Donald W.,4.0,"July 23, 2018",The built in business logic that SAS Enterprise Miner has built in allows us to spend our time analyzing our data instead of simply interpreting its minutia. We can leverage our Analysts who have been using Base SAS for many years and they are up and running in Enterprise Miner very quickly.,"Sometimes the interface can get clunky. It's not always clear where one should go when something goes wrong. Making changes to processes that others have made, and didn't document properly, can be a real cause of consternation.",Information Analyst,Financial Services,Used the software for: Less than 6 months
sas_enterprise_miner,Machine learning e analisi dei dati ,"Machine learning, modeling predittivo e analisi di dati sono gli elementi principali per cui uso SAS Enterprise Miner. In particolare mi dedico al processo di validazione dei modelli IFRS9, testandone la bontà, valutando se il mining mi consente di identificare relazioni tra variabili traget e regressori non colte nel processo di sviluppo.",Alessia S.,4.0,"August 7, 2023","L’interfaccia drag e drop che permette la costruzione di modelli complessi senza scrivere del codice rende SAS Enterprise Miner un software con cui utilizzare il machine learning in modo facile, partendo anche da principiante. I nodi da utilizzare sono chiari, anche nella nomenclatura, ad esempio il nodo decision tree permetto lo sviluppo con alberi decisionali e sono in grado di eseguire molteplici operazioni. Apprezzo molto anche la funzione di Model Comparison, che mi permette nello stesso processo di data mining di valutare la bontà di più modelli e l’opzione automatizzata di model scoring che mi consente di applicare i modelli sviluppati su un portafoglio di training su un portafoglio di validation.","Un aspetto che mi ha deluso è legato alla visualizzazione dei dati, chiara, ma con poche opzioni di personalizzazione che costringono a passare ad altri software per la creazione di tavole da presentare a colleghi.",IFRS9 Credit Risk validation,Banking,Used the software for: 2+ years
