product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
active_query_builder,Simply ... a stunning piece of software for querying databases,"I have an application that uses a very complex underlying database. It has proved impossible for me to predict every which way that end users would want to query their data and whilst I'm not averse to creating new views for end users one persons wishes will not always suit everyone else's. Active Query Builder is the perfect solution, providing comprehensive visual access to data in a safe and controlled environment.",Dom S.,5.0,"August 27, 2018","From a developers perspective this tool is a joy to use, allowing simple drag and drop use (with very little code behind required) to a very customisable tool that can be fully integrated into your own application's environment. It allows you to provide your own end users with the freedom to interrogate their own data using a simple yet familiar visual paradigm or, for those who actually posses a good working knowledge of SQL the ability to create really quite complex queries to answer their specific needs, needs which I, as the application developer might not have even considered that they wanted. The 'SQLTextEditor' is a joy to behold offering not only good syntax highlighting but SQL intellisense as well (particularly useful for SQL novices). Equally impressive is the ability of the tool to allow you to create a textual query and then have it produce a visual representation of it. Within a very short time of trialing this you'll realise just what a superb tool you have found, and at the same time be cursing yourself for not having discovered it sooner. If you are looking for a way to allow your end users access to the database that holds the data your application is creating on their behalf that can is intuitively simple to use then look no further.","If I were to voice one criticism it would be that the documentation is perhaps not yet as comprehensive as it might be, although in fairness that is a failure acknowledged by the vendor themselves and is being corrected. However that isn't in reality that big a deal as the support that they offer is superb and that, from the perspective of a developer using a third party component, is worth it's weight in gold.",Owner,Computer Software,Used the software for: Less than 6 months
active_query_builder,Very useful to give non IT professionals the ability to create queries.,"We have developed software for a specific industry. This industry uses our software to manage their services, goods receipts, goods issues and invoices. Of course, good reporting is also required. Unfortunately, we were unable to meet the very different reporting requirements of all our customers. At the same time, it was impossible for our customers to write SQL statements themselves because they are not IT professionals. By using AQB we were able to integrate a visual component into our program that allows our customers to create queries without SQL knowledge, but only by drag-and-drop. By hiding or renaming database objects, we were able to hide unimportant tables for the user or give fields more understandable names for the user. By the way: you can also add a ToolTip to fields. We have received a very positive response from our customers. Our program has received a significant added value through the integration of AQB.",Ralf M.,5.0,"May 28, 2019","Before we chose AQB, we tested several other programs of this kind. We were convinced by the following points: + The integration into our program was really very simple and took less than 10 minutes. + You can change the names of database objects and fields using a mapper. For example, database objects can be hidden from the end-user or more user-friendly names can be assigned. (By the way, that's a big point for us.) + The user interface can be adapted very well and with little effort. + The Visual Designer can also be used intuitively by ""normal end-users"" after a very brief introduction. + In the very few cases in which we needed support, we were helped very quickly and competently. The support was so fast that it reminds more of a chat than an e-mail conversation.","I've really been thinking for a few minutes about what to put in this field. But there is really nothing here that I could criticize. Maybe the documentation isn't perfect, but the software is so intuitive and the support is really good. Then I can do without a documentation that is 100%.",Chief software architect,Program Development,Used the software for: 2+ years
active_query_builder,Good but undocumented,,Pavel S.,4.0,"May 16, 2019","Good interface, a lot of features, rich object model.",No documentation for the version 3. Support team answers quickly though.,developer,Computer Software,Used the software for: 2+ years
active_query_builder,Great product! Real value for money!,,Shrenik D.,4.0,"May 31, 2018",The client did not had any way of extracting data directly from the database. With AQB and a little technical knowledge the client can themselves create custom reports as per their requirement. Previously the client had to spend money for the generating the reports and also had to wait until the reports are coded. AQB provides a safe way of extracting data without actually creating user or granting user access on the server. This provides another layer of security. Prompt responses on the support tickets.,"It's common for there to be small bugs in each new release. With each upgrade, we have to open a ticket with AQB to get the issues resolved. It would be helpful if AQB is made compitable with Bootstrap. Hard to find solutions for the issues faced during integrations in the documentation provided by AQB.",Branch Manager,Information Technology and Services,Used the software for: 2+ years
active_query_builder,The go-to visual query designer,"Our company has been using the Query Builder application for four years at the time of writing. The application is robust enough to create and manipulate a wide array of queries yet intuitive so that clients who have never created a SQL query before can manipulate their data and generate accurate summaries of their data in minutes. Should any error occur, a support team that sets the standard in speed and professionalism is a mere email away. Overall, a highly recommended application",Gert V.,5.0,"September 5, 2018","-> A very powerful query designer with an easy to use interface -> Greatly adaptable to fit a whole range of applications and custom user requirements -> The product is constantly updated and improved in meaningful ways -> Exceptional customer support and feedback, to put it lightly","-> There are usually minor bugs with larger updates, but these are always quickly squashed",Senior Web Developer,Information Technology and Services,Used the software for: 2+ years
active_query_builder,Active Query Builder - a great tool to have in your pocket!,"We have been using AQB for about 2 years and are very satisfied with both the product and support we have received. It is an extremely flexible and intuitive solution for business application development where users need full featured SQL functionality to address their data needs. I would recommend it to anyone who needs to add a robust, dependable SQL tool to their applications.",David H.,5.0,"December 31, 2018","Out of the 'box', Active Query Builder is very easy to implement for our application/integration use cases. Both its drag and drop functionality and the ability to customize the interface for our users' needs saves us a lot of time and effort for integrating SQL query building, parsing, and editing functionality into our products. The ability to build and manage a query as text and as a visual representation for complex queries is bonus for our users.",We encountered a few bugs with DB2 syntax but after contacting customer support and it was quickly remedied in a subsequent version.,"President, CEO",Information Technology and Services,Used the software for: 1-2 years
active_query_builder,10 Years Use & Still Going,It has always been straight forward and the support is excellent on the rare occasions we have needed it,Jason R.,5.0,"January 22, 2020","This component is brilliant for all sorts of reporting we use it daily and do extremely complex SQL reports across MSSQL, PSQL, MySQL and ODBC. IOt just works and I have never had an exception with it",It would be great it it were adaptive to Embarcadero/Dev Express Skins that would be very cool,Developer,Computer Software,Used the software for: 2+ years
active_query_builder,Simply a Great Software Component - and Exceptional Support,IT has allowed our users to easily create complex queries and provides the various tools to make our software powerful and truly usable by our customers. The software is easy to setup and use - and the support is outstanding. I would recommend AQB to anyone looking to provide a visual query building interface.,George Bradley M.,5.0,"August 27, 2018",- Good quality software - it simply works - Excellent support. Cannot say enough here!! - Easy to get started with. - Very powerful component set - works with all the DBs they say it does.,"The documentation, while decent, could use a little work. The basics are easy to get going - but you need some support to get into the truly advanced features. However, that is where the AQB team comes to the rescue. Their support is very good.",Owner/President,"Health, Wellness and Fitness",Used the software for: 2+ years
active_query_builder,Well worth the price,,Verified Reviewer,5.0,"February 19, 2020","Our users appreciate the easy query building, and we appreciate that we spent almost zero time implementing.","After several years of using this in our winforms application, I can't think of a negative aspect.",Software Developer,Computer Software,Used the software for: 2+ years
active_query_builder,Great Database querying tool,I have used AQB for 20 years or so since it's inception. Once the product is installed and working it is a great development tool. I jusst wish they would make nuget.org for the release / licenssed version.,Alvin J.,4.0,"January 11, 2024",The user interface is fantasticc and the software is one of a kind in the market.,Since Nuget has become popular it always goes into demo mode when I clone a git repository and Visual Studio updates the Nuget packages. This is because they store the DEMO versions on nuget.org. This is HORRIBLE! I have to go through headache after headache trying to get out of demo mode.,President,Computer Software,Used the software for: 2+ years
active_query_builder,The best SQL component,SQL Parsing. Dynamic SQL query building. Visual SQL query building.,Stephane D.,4.0,"February 15, 2019",Fully complete to work with SQL. Visual component. Possibilitiy to parse and change query by program.,Modify SQL Query by the code is not so easy.,CEO,Computer Software,Used the software for: 1-2 years
active_query_builder,Best Tool for Query Design,I have use it for 10+ year. It is integrated in our software product and will stay there for long.,Pierre C.,5.0,"July 23, 2020","This is the most powerful query designer I have come across. It let you build visually with all the intricacies of the SQL dialect such as UNION queries, sub-queries and so on. Very easy to use. Save a lot of time.","As far as we use it, I do not see anything missing. Whenever we want to try news ideas, we always find it useful.",Software Developer,Accounting,Used the software for: 2+ years
active_query_builder,Professional application,,Danilo M.,5.0,"August 27, 2018",Very effective and easy to implement solution,A little difficult for our end users use union,CIO,Financial Services,Used the software for: 2+ years
active_query_builder,Great product,,Damian H.,5.0,"July 9, 2018","Easy to construct a SQL statement by using the drag/drop functionality. The after sales support is amazing, the guys really go over and above to assist you. Easy to implement into your own product.","Cant really fault anything on the product, it works really good! The look and feel could be better as its using a default JQuery UI",Software Developer,Computer Software,Used the software for: Less than 6 months
active_query_builder,Active Query Builder VCL Edition,,Matthias W.,4.0,"October 12, 2018",- easy to implement - intuitive UI - excellent database support - DevExpress support,- feature of other Active Query Builder versions should be ported to VCL edition,Developer,Computer Software,Used the software for: 2+ years
