product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
amazon_dynamodb,DynamoDB for Big Data Processing ,,Pawe W.,5.0,"August 27, 2022","I have used DynamoDB in dozen of projects, including the commercial medium-scale applications and University Research projects that included processing massive amount of data. DynamoDB is my go-to solution for NoSQL Databases, it is very easy to configure and the documentation is near perfect. An experienced Engineer who has worked with Databases before will grasp most of the features in a couple of weeks. DynamoDB is a fantastic solution that automatically scales and is able to process large amounts of data.","When used very intensely the cost do rise, but still the costs are comparable to other Cloud Providers' NoSQL solutions like Cassandra, GCP BigTable etc.",Software Engineer,Computer Software,Used the software for: 1-2 years
amazon_dynamodb,The goto NoSql db that one should go to for easy and fast access,Overall the experience have been very good. It's very easy to understand. We had switched from mongodb NoSql db to Amazon dynamodb and comparatively it was easy to migrate.,Khan Nida Khanum A.,5.0,"July 1, 2021",Amazon dynamodb is a NoSql db that supports key value pair. It is easy to configure and use in your java code through some function calls. The access control is excellent and we can easily provide restricted access to different type of users.,The size of data that dynamodb can store in one key value pair or an item is limited to 400 KB. For large data you have to rely on other storage like S3 and then use that referance location in your dynamodb. That should be supported out of the box in dynamodb.,Software Engineer,Computer Software,Used the software for: 6-12 months
amazon_dynamodb,Amazon DynamoDB for Software Engineers,,Harish V.,3.0,"January 5, 2025",We used DynamoDB global tables to replicate data across multiple regions which resulted in a higher level of redundancy. All this happens in real time to ensure seamless fail over during a disaster while minimising the data lost and it helped in a lot.,It provides us limited querying options which can be tedious task and the costs for the service can be hard to predict.,Software Engineer,Information Technology and Services,Used the software for: 1-2 years
amazon_dynamodb,Java developer on Amazon DynamoDB.,,Verified Reviewer,5.0,"July 26, 2022",A great scaling NoSQL database on the AWS platform. Easy to administer once you're already using AWS. Integrates great with other services on the platform. Easy to configure security.,Limited data querying. High entry threshold. Requires understanding because of its differences. It's more difficult with integration when you're not using the AWS platform.,Senior Software Engineer,Computer Software,Used the software for: 2+ years
amazon_dynamodb,Consistent Database,,Flavio M.,5.0,"November 6, 2025","Reliable and stable Data base, interface is simple and easy to find everything that I need. The integration with other AWS Services is great. No limit for Data Storage. Query the database is quite simple and intuitive.","I have no complains about Dynamo, think it's the best Data Base I've been using, but maybe add more features in settings, to personalize the way I want to visualize tables.",QA Analyst,Banking,Used the software for: 2+ years
amazon_dynamodb,DynamoDB Review,,Verified Reviewer,5.0,"July 16, 2023",I like how it provides you quick and easy access to data that you need to query. How it stores data in a way that even users without an IT background can quickly have a grasp into is a great thing.,"I like least about it is when querying a lot of data, it won't let you easily sort the dates to show the most recent unless you go over each page there is and go back to the first page.",Program Support I,Outsourcing/Offshoring,Used the software for: 2+ years
amazon_dynamodb,Amazon DynamoDB for any application that requires fast and scalable NoSQL database services,"I highly recommend Amazon DynamoDB for any application that requires fast and scalable NoSQL database services. Its ease of use, performance, and integration with other AWS services make it a top choice for many organizations. Just be aware of the costs associated with the service and plan accordingly.",Verified Reviewer,4.0,"February 13, 2023","One of the biggest benefits of DynamoDB is its scalability. You can easily scale up or down based on your needs, and the service will automatically handle the management and distribution of your data across multiple servers","While DynamoDB integrates well with other AWS services, it may be more difficult to integrate with non-AWS services or tools.",web developer,Program Development,Used the software for: 2+ years
amazon_dynamodb,The perfect database for your OLTP ( Online transaction processing ) Applications,"I have used many databases including Relational databases and NoSQL database, so far DynamoDB handles all concerns regarding performance , scaling and ability to be integrated in my use cases.",Xolani M.,5.0,"December 10, 2022","1. High performance database with a latency of single digit in seconds 2. Fully managed, all security concerns handled by AWS. 3. Built to support Single Table design 4. Works with most used frameworks. 5. Offers ability of Global tables for scaling into multiple regions","Since it is not used for Analytical purpose, You really need to understand your data model and have clear access patterns to use DynamoDB at it maximum. If you want to aggregated data like counts of certain records , you need to use an external tool.",Software Engineer,Computer Software,Used the software for: 1-2 years
amazon_dynamodb,A Flexible way to do NoSQL databases on AWS,"Despite the learning curve, and some initial problems with unknowingly attempting to use reserved words as keys, DynamoDB has been stable and performant since it has been deployed to production.",Verified Reviewer,4.0,"April 14, 2022",DynamoDB and NoSQL databases in general are really flexible in terms of what and how you store your information. The JSON structure of data makes is easy to work with when integrating with other services like AWS Lambdas and AWS API Gateways.,There is a steep learning curve for someone coming from a SQL/relational database background. Lots of weird optimization tricks. AWS does not do a good job about letting you know if you accidentally use a reserved word (things just break).,Lead Software Engineer,Higher Education,Used the software for: 1-2 years
amazon_dynamodb,Infinitely scalable but very limited for analytics,"Using DynamoDB as our backend database, we save time by not spending too much resources on planning, provisioning, and troubleshooting resource constraints and issues. Instead, we're able to allocate that into actual development work.",Verified Reviewer,4.0,"April 11, 2022","DynamoDB scales very easily. We don't need to manage resources (CPU, memory, disk) like we used to when using relational databases.","Using data stored in DynamoDB for analytics is very difficult. Other than syncing data to a separate database for querying, I don't think there's a built-in option for this in DynamoDB.",Data Analytics Manager,Logistics and Supply Chain,Used the software for: 1-2 years
