product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
mariadb,MariaDB Review,"My overall experience with MariaDB has been very favorable. I like the clustering features a lot, and it's built in already, which is awesome since it saves me time. I like that I can export my entire database in to MariaDB, be it a little hard to figure out at first but once you get the hang of it you will do better with it the next time round.",Cindy C.,5.0,"November 5, 2019","What I like most about MariaDB is that if you know how to use MySQL then you will definitely know how to use MariaDB! With some added functionality and features it is much faster and it is pretty stable to use. The database is free to use, but lightweight in comparison to my sequel so it's perfect for starter to medium sized projects.","What I like least about MariaDB is that you will definitely need some guidance at first if you are not already familiar with this kind of software, especially when it comes to things like creating a new cluster. If you do run into a snag though the MariaDB community is very helpful and usually answer quick if you need a few pointers. There are also tons of forums and help guides you can refer to if need be.",Owner,Marketing and Advertising,Used the software for: 1-2 years
mariadb,MariaDB as a drop in replacement for MySQL just works,We use it to store all of our data.,Eljakim S.,4.0,"October 22, 2019","It is so much faster than MySQL, especially when we alter the table structure of large tables it just works so much faster. The built in clustering features work quite well as well.","Starting a cluster is annoying. It's not overly hard, but you have to remember the statements. It would be a lot better if the startup script would say 'cannot attach to cluster, start a new one?' or something similar. Despite the speed, we have had a couple of crashes where we could not startup the server. This has never happened to our MySQL servers, so that was a surprise. It may have been a specific 10.2 version on Ubuntu, because on our 18.04LTS servers this has not happened again. Performance of the cluster when using INSERT IGNORE statements with 100,000s of records that are all duplicates is a lot slower than on MySQL.",Contest Director,Information Technology and Services,Used the software for: 2+ years
mariadb,MariaDB_01,,Osman D.,4.0,"July 27, 2022",it is a free database management system. it is good to store relational data.,There are many database that will be good alternative to MariaDB,Senior Software Engineer,Computer Software,Used the software for: 2+ years
mariadb,MariaDB a good RDBMS ,We want to be able to migrate data in our training from a H2 (flat file) database to an RDBMS enviroment that can be shared among multiple servers. Furthermore we want a simple command line where we can use easy commands to create and manipulate data. MariaDB offers all that.,Rob B.,4.0,"December 14, 2019","MariaDB is our personal choice for the RDBMS in our training environment. it is simple to setup on linux as well as windows and is leightweigth yet performant. it starts quickly and does not take up too much space on disk. I use mainly the terminal interface doing simple commands from the mysql command line. I like the fact that it is compatible with mysql (of which it is of course a fork). When i want to have a graphical overview of the databases and tables i use a separate tool called DBeaver to show the ERD and look at the tables. Most of the time we work with a limited number of database records, but also have a complete dataset of all registered vehicles nationally (16+ million records) which is also performing. All within of course our training environment.","There is nothing I really dislike about it. It performs well, we can use it without incurring cost and it performs and is stable.",WSO2 Trainer and Integration Consultant,Information Technology and Services,Used the software for: 2+ years
mariadb,MariaDB is more reliable compared to MySQL.,"MariaDB is a reliable database management system, open source and backed up by a huge community of users and developers.",Ali L.,5.0,"February 15, 2022","After Oracle which is a company for developing Databases, acquired MySQL which was the most popular database in the world. the Team behind developing Mysql forked the source code under the name MariaDB. to insure Oracle is not going to kill MySQL in favor of it's proprietary database software. which makes MariaDB a very reliable open source community supported project.",Mariadb seems to work exactly like Mysql with very minor differnces.,Server administrator,Computer & Network Security,Used the software for: 6-12 months
mariadb,Best and easy-to-use database software.,"MariaDB is great for business. It has better performance than other database software. Easy to install and host, with varies of configurations.",Verified Reviewer,4.0,"July 30, 2019",It has very similar queue style and command styling to MySQL. But with additional functions. It is easy to adapt to and I can export or import any database in MariaDB software. It also has a lot of storage type which we definitely need it.,Migration sometimes can be hard especially when you are upgrading the software. But most of the time we can solve it on our own or with the help of the community of MariaDB.,CEO,Information Technology and Services,Used the software for: 1-2 years
mariadb,Best Database server ever,"I am using it in ERP systems and applications, all my cloud applications uses MariaDB as backend.",Hisham F.,5.0,"October 29, 2022","Easy, Fast, Secured, and stable.Can hold huge data also.",Perfomance tunning needs more tools to get best performance.,General Manager,Computer Software,Used the software for: 2+ years
mariadb,MariaDB is an outstanding database that is so easy to use,"I've used MariaDB for my project purpose, developed a web application for my client. MariaDB database was really helpful for me and I was able to do that project successfully.",Torikul I.,5.0,"September 23, 2021","I was a newbie when I start using MariaDB but the database was pretty easy to handle and use. This database can do competition with MySQL because both databases have good quality and usability. I know some developers and clients like MariaDB more than MySQL because MariaDB has an extra smoothness that makes the work more perfect. Its features, functionality, table management, edit are really good and comfortable to use, even it works fast and quickly when a command has been made.",I can remember just one negative side with MariaDB that is migration related. It wasn't a good experience when I tried to migrate data for the first time. It was complicated and I still feel that it's complicated!,Freelancer - Web Developer,Internet,Used the software for: 6-12 months
mariadb,MariaDB Review,It was easy to use for me because I have experience with other DBMS like MySQL. Its free and its very fast. I would always Recommend it to others.,Verified Reviewer,5.0,"June 9, 2022","It's quick to load and operate, and it's fairly stable. I appreciate that I can export my complete database to MariaDB; it's a little tricky at first, but after you get the hang of it, you'll be able to do a better job the next time you use it. The database is free to use, but it's a much lighter than my sequel, so it's ideal for small to medium applications.","Honestly there isn't anything I hate about MariaDB, I wish more developers tried and used it.",Co-Founder,Computer Games,Used the software for: 1-2 years
mariadb,The simple way to manage data,,Joel L.,4.0,"June 7, 2023",In first time it's open source and it capacity of large amount of data management,Cluster creation is not simple to manage and some lack of interoperability with MySQL,Software Engineer,E-Learning,Used the software for: 2+ years
