product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
phprad,Best Admin panel generator,Overall experience is great once you clear out all the problems due to bugs.. this software just need some updates and tuneup.. everything else is great,Surya P.,4.0,"February 9, 2021",WYSIWYG functionality for generate admin panels fast,Some bugs are present in this software like signup related bug,CEO,Information Services,Used the software for: 6-12 months
phprad,PHPRad is an Amazing Product,"Overall, my experience with PHPRad has been amazing and PHPRad has exceeded many of my expectations. I have been able to accomplish many things even with minimal experience using this solution. Granted, i did have to invest some time to learn to use it but it was certainly worth-it. Once you understand how to use it, it gets very intuitive. Thumbs up to the PHPRad team for creating such an amazing tool.",Willard M.,5.0,"November 4, 2020","The product is highly affordable, and has amazing features and functionality that considerably reduce development time by far whilst still maintaining a positive professional look. Creating and deploying projects is also so easy even with minimal programming skills. Its a comprehensive solution that covers most development needs. The online documentation is also helpful and sufficient to get anyone up and running in no time.",I seem to be struggling around the 'import' feature which I think does not yet work as seamlessly as it should. I also think information on how to configure reports is not well documented for novice users with minimal development experience.,Founder/Systems Developer,Computer Software,Used the software for: 6-12 months
phprad,Failure for Beginners,"It appears to a middle ground compared to the very absolutely confusing Scriptcase and Appgini. By the time i learn Scriptcase, as a beginner, i would have have mastered PHP, Modern JS and Codeigniter in total. My overall experience with PHPRad is that it will be a struggle to learn it in the absence of good support documents and non-silent tutorials. They forgot that its the beginners who will push the product way up.",Murugappan R.,3.0,"September 14, 2020",(1) Most of UIs and parameters LOOK very easy (2) Simple and not complicated in navigating (3) Documentation is fairly good,(1) Documentation does not have examples (2) Using this for beginners to learn is a total flop (3) There is absolutely no full tutorial or documentation,Senior Solution Architect,Hospital & Health Care,Used the software for: Less than 6 months
phprad,The best Rad tool so far,It has cut short the development time taken by half.,Verified Reviewer,5.0,"January 14, 2020",The fact that I can add a code if I don't want to use the configurations made available for a page.,The fact that there are fewer custom configurations for controllers.,Software Developer,Information Technology and Services,Used the software for: 1-2 years
phprad,Great efforts to improve the application. ,,Mohammed A.,4.0,"February 5, 2021","It's use tags that's easy to read and use, not like other software that use some kind of tags you have to learn before you can costmize the code.","Very user friendly,easy to use, high costimizable code.",Senior production engineer,Oil & Energy,Used the software for: 1-2 years
phprad,Phprad,Solve my syatem development problem in short time,Isma I.,5.0,"November 27, 2022",Easy to use and it take short time for system development,Dynamic user control interface. Need more user friendly,IT Lecturer,Computer Software,Used the software for: 1-2 years
phprad,one of the best,best experience,Marlvern N.,5.0,"July 11, 2022","so I got the license back in 2020 in a covid -19 license giveaway for staying at home. I then wandered into programming for my school work and fun. I, later, returned to Phprad to see if I could use it on one of my class project development. I am grateful I had the license with me but it is until now that I understand how much work is needed to make one functional script and now that I compare it with phprad, I realize I had the best application ever because with it I can drag and drop and create anything in no time. thank you guys","The GUI may be a bit intimidating , but once you figure it out you good to go",student,Defense & Space,Used the software for: Less than 6 months
phprad,RAD review,,SUWEYD R.,4.0,"September 3, 2020",Very easy to use. the software offers a visual User interface and charts,Should include a feature like RDLC in reporting.,CEO,Computer Software,Used the software for: 1-2 years
phprad,EAAT Systems ,,Abuchi E.,5.0,"September 7, 2020","Having used other frameworks, phprad is exactly what I have been looking for, easy, simple and seem less. The customer support is also top-notch. I definitely will recommend it to someone looking to develop a quick web app.",I think the framework is currently serving me,Software developer,Computer Software,Used the software for: 1-2 years
phprad,no enough features,"Still not mature enough for production. Test your product and compare with SCRIPTCASE (which I use for 10 years). Scriptcase is very god product but their support sucks and it has lots of bugs. For that matter I would be interested to switch to your tool , but only if the features are the same or better.",Arthur K.,3.0,"September 4, 2020","Nice IDE and implementation, but still not god enough to use this for serious production",No support for Master/Detail (Parent/Child) forms - major disadvantage,Dev,Information Technology and Services,Used the software for: I used a free trial
phprad,Bug,tenho utilizado com muita frequencia,Douglas Antunes B.,3.0,"September 2, 2020","Facilidade com a geração de telas, Facilidade na implantação e conexao com banco de dados","Bugs na versão 2.7.3, problemas com integração javascript",Analista,Computer Software,Used the software for: I used a free trial
phprad,Excellent Software,Exceptional,Frederick Stephen A.,4.0,"February 10, 2021","Its ease of use, robustness, complete and stable","limited features, making it very difficult to build complex systems",Software Developer,Information Technology and Services,Used the software for: 6-12 months
phprad,Good software ,,Makarand Y.,5.0,"November 24, 2020",Database to form design with MVC cod is very good with query filter,"design templates , Payment intergation API",CEO,Information Technology and Services,Used the software for: Less than 6 months
phprad,Hello,Tested it for a few hours,Mauricio P.,4.0,"February 9, 2021","It's easy to use, fast to generate some simple apps.","Customization is very hard, no tutorials, no documentation.",Systems Analyst,Government Administration,Used the software for: Less than 6 months
