product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sql_complete,"Essential Tool, Needs Modern AI Upgrade.","It greatly assists SQL writing via superior IntelliSense.However, in this AI era, the complete lack of any AI related features is a clear and notable shortcoming that hinders its future value.",志弘 莊.,4.0,"December 6, 2025",What I liked most about SQL Complete was undeniably the highly effective and intelligent IntelliSense and code completion feature.,The aspect I liked least about SQL Complete was the inconsistent stability and the frequent emergence of serious bugs immediately following a version update.,CTO,Information Services,Used the software for: 2+ years
sql_complete,As Complete as it gets for an extension,"Extremely positive experience using this tool. I was first introduced to this at the start of my SQL education, and it has proven a mainstay tool in my development through the years. Always iterating and making things better and better, there's no way I could imagine not using this tool as long as I am expected to work with SQL.",Chris H.,5.0,"November 29, 2025","SQL Complete is exactly what is implied by the name, a complete plugin tool that offers everything you need to be efficient in database work. Query History alone saves you the cost of the subscription many times over in a year, and that's before talking about any of their other tools. The price to performance ratio of this tool cannot be understated. Support has always been fantastic and quick, and their ability to develop for the latest versions of SSMS is second to none. Coming from other tools like SSMS Boost that are no longer updating just proves how much there is need for a tool with the options of SQL Complete at the competitive price it's offered at.",The only knock I have is that Query History does not naturally transfer when upgrading to the latest supported version of SSMS.,Software Engineer,Hospitality,Used the software for: 2+ years
sql_complete,Long time SQLComplete user,My overall experience with SQL Complete has been excellent. It streamlines SQL development by reducing repetitive tasks and improving code accuracy. The advanced IntelliSense and formatting tools make writing complex queries much easier.,PETR S.,5.0,"March 18, 2026","The standout feature for me is the advanced IntelliSense. SQL Complete provides context-aware suggestions that are more accurate and helpful than the default SQL Server tools, especially when working with complex queries or large schemas.",SQL Server Management Studio generates SQL with square brackets. The bracket removal is still missing from the SQLComplete formatter.,Data Architect,Information Technology and Services,Used the software for: 2+ years
sql_complete,Don't pay for this technology stuck in the past.,Too expensive for the features it offers,José Manuel P.,1.0,"March 11, 2025",The query history in SSMS that store all the queries you made.,The performance using the machine and servers resources and the poor integration with Azure,Technical Lead,Information Technology and Services,Used the software for: 1-2 years
sql_complete,A Great Tool for Improving SQL Productivity in SSMS,,Brandon S.,5.0,"March 5, 2026","What I liked most about SQL Complete is how much it improves productivity when working in SSMS. The intelligent auto-completion, query formatting, and code snippets make writing SQL much faster and help keep queries clean and consistent. It integrates seamlessly into the SSMS editor and makes navigating database objects much easier, especially when working with larger schemas.","In larger databases with many objects, the autocomplete suggestion list can sometimes become quite long, which makes it a bit harder to quickly find the exact table or column you’re looking for. Initial indexing of very large databases can also take some time.",Procurement Officer,Financial Services,Used the software for: 2+ years
sql_complete,A critical tool for my code documentation and cleanliness,"SQL Complete, for me, is a very focused tool - I use it mostly to do one thing: improve my code formatting so that my work is readable to others. I've had to maintain too many other people's code where the aliases are crap, the formatting is non-existant and the experience of working on the code is painful. SQL Complete gives me comfort that I'm not doing the same to future users.",Eric E.,5.0,"November 25, 2025","In order of value: Code formatting, code completion, refactoring ability. For me, properly formatted code is a critical form of code documentation, and SQL Complete does it brilliantly. The code completion is a quality-of-life tool, as is the refactoring, both of which make it more pleasureable to do the work.","The upgrade notifications can feel a little frequent, but I appreciate the clear priority DevArt is giving to the product - it's certainly not a secondary priority for them.",IT Consultant,Higher Education,Used the software for: 2+ years
sql_complete,SQL Complete by Devart ,"Overall, SQL Complete has become an essential part of my workflow. It’s easy to use, powerful, and takes away much of the repetitive hassle that comes with writing SQL. I’d highly recommend it to anyone who works with SQL regularly",Masoom A.,5.0,"August 27, 2025","SQL Complete by Devart is an incredibly useful tool that makes working with SQL much easier and more efficient. I’ve found it to be intuitive, reliable, and a real time-saver when writing queries. The autocomplete and code formatting features are especially helpful, reducing errors and speeding up query writing. It also improves readability, which makes reviewing or sharing scripts much smoother.","As for what I like least. Honestly, there isn’t much to dislike about SQL Complete. It does exactly what it’s designed to do, and it does it very well",Application and Systems Support Analyst,Non-Profit Organization Management,Used the software for: 6-12 months
sql_complete,Great productivity Tool for SQL Development,"My experience with dbForge SQL Complete has been really great. It has become an indispensable part of my daily work in Microsoft SQL Server Management Studio, greatly improving both speed and accuracy when writing and managing queries. The tool integrates seamlessly into my workflow and has never failed to be ready for the latest SSMS updates, which I highly value. Its intelligent features consistently save time and reduce errors, making my SQL development process far more efficient. The SQL query history feature saved me uncountable times...",Michael H.,5.0,"August 10, 2025","- Significant boost in productivity through intelligent code completion, smart JOIN suggestions, and customizable snippets - Always up-to-date and fully compatible with the latest versions of SSMS - Advanced code formatting and refactoring tools that improve code quality and maintainability - Execution history safeguards work",None. The product meets and exceeds my expectations. So I have nothing bad to say about the product.,CTO,Computer Software,Used the software for: 2+ years
sql_complete,Super tool to make work easier,"In conclusion, SQL Complete is a highly recommended tool for developers and database administrators looking to increase their productivity and quality in SQL management.",Juan Fernando E.,5.0,"September 25, 2025","What I liked most about SQL Complete is its smart autocompletion and how well it integrates with SSMS. Unlike the basic autocompletion found in SQL Server, this tool understands context: when you type a JOIN, it automatically suggests related columns; when you use aliases, it recognizes tables without having to type the full name, and it even suggests functions and parameters.","I also noticed that in very large databases, it can become a bit slower in terms of performance, especially when loading metadata for autocompletion. And, although the tool is intuitive, it has a steep learning curve at first to take full advantage of its potential (snippets, style configuration, query history, etc.).",Sr,Computer Software,Used the software for: 6-12 months
sql_complete,Help to increase your productivity,,Michele V.,5.0,"September 22, 2025","Code completion really help me to write sql code faster, above all the use of SQL snippets. Script generation from SSMS result grid is great to write in a second the code to insert rows or to update them.",There are too many options and tools..I think I use just a 10% of the functions of the tool! VS2022 version arrived really late.,Engineer,Information Technology and Services,Used the software for: 1-2 years
sql_complete,Great Time Saver,"Overall, it has been really helpful in saving time. When I suddenly became the most senior of IT I needed all the help I could get.",Matthew S.,5.0,"June 5, 2025",Everything about the menus and tips that appear when writing queries. Tips which keep the current parameter in bold is great. -no more forgotten syntax.,I have experienced some issues where the names of tables and views failed to return auto-complete selections. This usually happens when I’ve stayed connected to a db snd left SSMS open for days.,Systems Administrator,Wholesale,Used the software for: 6-12 months
sql_complete,I. T. Manager,Works fine to our development enviroment and is good to prevent syntaxe errors during programming phase,Ricardo C.,5.0,"November 11, 2024","Good interaction, quick access and works fine in newests desktops","Slow in below 6th Generation Intel, wants ""dbo."" to complete correctly",I.T. Manager,Computer Software,Used the software for: 2+ years
sql_complete,It's worth it,"Good tool, I recommend it to all SQL Server developers.",Victor B.,4.0,"December 31, 2024",It makes your life easier. Code Completion is very useful and more powerful than the SSMS native intellisense. It helps to see the table definition by hovering over the mouse over the object.,Sometimes I use system databases like tempdb and #temptables and the code completion does not work even if I go to refresh suggestions.,SQL Server Developer,Computer Software,Used the software for: Less than 6 months
sql_complete,SQL DB complete help developers ,,Henry H.,5.0,"July 15, 2024","I’ve been using dbForge SQL Complete for a while now, and it has significantly improved my productivity and efficiency when working with SQL databases. The IntelliSense-style SQL completion is incredibly smart and intuitive, making it easy to write complex queries quickly and accurately. The code snippets collection is a huge time-saver, allowing me to insert frequently used code blocks with just a few keystrokes.","When switch DB on sql management studio , auto refresh cache is delayed a bit",Consultant,Telecommunications,Used the software for: 6-12 months
sql_complete,This is the best out of the 3 professional tools that I've used,,Tony P.,5.0,"October 7, 2021","The ease and speed is what I like most about this application. I use it, primarily, to write and format SQL codes. I love that it has an execution history. I don't often use it but it's very convenient when the need arise. The other tools that I've used, for the same purpose, is Toad for SQL and Apex SQL. It's been too long since I've used Toad for SQL but its performance was comparable to SQL Complete. It's setup and features, however, was too many and too complex. Code formatting with SQL Complete is instantaneous vs Apex SQL which appears to run in a separate process and takes several seconds just to format. I tend to write and test several SQL statements on the same page thus I find it very useful that I can execute the current statement that my cursor is on rather than having to highlight it first.","One of the biggest feature that I use often and am forced to use a different package for that's missing from this app is the ability to copy the SQL statement so that I can use it in C#. I format the statement to make it easier to read but want to keep that formatting when converting to C# so I use a string builder to do something like below. When debugging, it's convenient to copy the sb output preformatted as well thus I don't have to reformat it. Imagine having to do that for over 20 lines of code, it becomes cumbersome hence I'm forced to use Apex SQL which has the feature that I needed. sb.AppendLine(""SELECT * FROM Table"") sb.AppendLine("" WHERE Field = 'something'"")",Dynamics NAV Developer,Automotive,Used the software for: 2+ years
sql_complete,"Good, but missing Azure Synapse",General Database and query development,Graham C.,5.0,"June 12, 2023","99% of the time, it is very good. It does what I need with most databases and formats code well.","Need Azure Synapse Serverless integration.Formatting can be funny unless zoomed at odd levels (this has been identified by Devart as a bug, but not fixed yet)",Owner,Information Technology and Services,Used the software for: 2+ years
sql_complete,Rich Capabilites ,Love it! I only use SQL Complete and one other tool set (SSMS Tools).,Verified Reviewer,5.0,"April 21, 2022","When I first started using SQL Complete, it was only a few weeks after using it that I could see the benefits. It was easy configure and start using right away and has become an integral part of my development work flow. Especially since I started my career as a sql server database developer. Today, my efficiency is probably tripped as I've become a more seasoned user.","Dependency tracing; visually show how objects are dependent and nested together. I'm a single developer, and its cost is getting pricey. But its still worth the value the time of writing.",Developer,Retail,Used the software for: 2+ years
sql_complete,Would not be without it,"If my company didn't pay for this, I would buy a license myself. It is my second favorite piece of software I use daily (first favorite is dbForge Studio for MySql :-))",Letitia M.,5.0,"March 14, 2024",Compare tool Completion capabilities/auto formatting Ease of renaming/duplicating objects Session history,Session history doesn't always work propery,Senior Data Analyyst,Financial Services,Used the software for: 2+ years
sql_complete,A must have for database administrators and database developers ,My experience is mostly good because I am able to develop code much faster. Being able to easily format the code I am currently working on would make things much better,Christopher W.,5.0,"June 12, 2023",For me the feature I use everyday is code completion. Writing complex SQL having the software expand column lists especially for SELECT statement is actually perfect.,It's not very easy to format statements you are currently working on,Database Administrator,Wine and Spirits,Used the software for: 1-2 years
sql_complete,Great product with one minor flaw,,Jason W.,4.0,"October 5, 2021",SQL Complete works as expected. It makes writing queries significantly easier and helps eliminate mistakes as you write your queries. The auto-complete feature is invaluable.,"The main issue with this product is that every time it updates, it kills the user license, and you have to log in and release the hardware associated with your license and then re-activate the product. This activation issue happens every time there is an update to SQL Complete.",Director of IT Business Applications,"Health, Wellness and Fitness",Used the software for: 2+ years
sql_complete,A time-saver for your DB exploration,"Very positive, I definitely miss it when working in SSMS instances that don't have it installed",Verified Reviewer,5.0,"April 20, 2022","When analyzing database object, being able to immediately identify an item in object explorer and open its DDL with a simple key combination is a huge plus","It doesn't yet play cool with more esoteric SQL Server variants like Serverless Synapse Analytics pools and Azure SQL DB, some features are missing there SQL Code formatting could be more customizable",Senior DBA,Computer Hardware,Used the software for: 6-12 months
sql_complete,Just What I Need,I have had a really good experience with this tool and I think it is fairly priced.,Marc S.,4.0,"June 12, 2023","The auto-complete and formatting features are just want I need to be efficient when writing and reading T-SQL code. The tab and Object Explorer highlighting are incredibly useful to help me know which environment I am in, as being an administrator I have tons of access in Production.","The auto-complete fails to trigger in a few rare instances, similar to the built-in auto-complete in SSMS. Nothing Earth-shattering.",Data and Security Architect,Financial Services,Used the software for: 6-12 months
sql_complete,I can't leave SQL Complete,,Blave H.,5.0,"April 13, 2022",Prevent directly DELETE without WHERE clause.,"I really like SQL Complete, I can't figure out Cons...",PM,Education Management,Used the software for: 2+ years
sql_complete,Great tool for sql developers,"A great product that I use practically every day. Allows me to get things done quickly, efficiently, and cleanly.",Verified Reviewer,5.0,"April 20, 2022","Extensive formatting, intellisense, query result actions",Integration with visual studio 2022. Redgate appears to have integrated into vs 22 where I have yet to see the integration for sql complete,Software Engineer,Legal Services,Used the software for: 2+ years
sql_complete,Doesn't play well with updates or sister products,"Well, I still use it, but will probably bite the bullet and pick a new product.",Mike A.,3.0,"October 29, 2021","Just so you know, I use it every day. It saves time.","Nearly every time I upgrade, change machines, renew, add a sister product, etc. there is some trouble that costs me time. It annoys me.",Consultant,Computer Software,Used the software for: 2+ years
