product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
buildpiper,Great Tool to work ,,Amit P.,4.0,"December 4, 2020","It took very less time to setup the tool and cluster , and the ease of usability is superb. UI empowers a company to manage all deployments , monitoring stats and centralize logs manage very smoothly. the plus point is you can control all this for separate set of users for separate environments, production access remains restricted to defined users",Integration of application performance monitoring would be a great added features to this.,Devops,E-Learning,Used the software for: Less than 6 months
buildpiper,ABCD (Any body can deploy),"The best experience I had after using Jenkins, configure approvals based on pipeline, auto raise jira tickets, rollback to last stable branch in case of any failure. So life is easy now, and productive too.",Ayush A.,4.0,"December 12, 2023","The UI for deployment of any microservice was really very friendly. Never struggled with the confusion of services and process. And the support from their team was really good, were helping us to guide for each and every step very calmly. Also integration with the microservices were pretty easy, and standardised implementation for all our services. Not just deployment, it had a lot of usages like real-time logs, detection of service up or restarting etc.","Suppose a user is deploying his microservice, but at same time other user deploys his branch/changes on same microservice, at least there should be a notification to the user who did last deployment as that was creating confusion. Everyone has their own creds mapped to email, they could have introduced a desktop notification or something to avoid users always checking if anyone else is deploying or not",Technical Consultant,Computer Software,Used the software for: 6-12 months
buildpiper,BP review,"I think It is good product overall. so far, I don't any major issue as such. rather have lots of convinient features which I really quite liked",Pravin K.,3.0,"February 25, 2023",managing different environment of service is better than other product I have used. It has better logging and debuging.,"I think for new user It is not very intuitive to use the software. user might need some tutorial and KT. so, user interactive experience can be improved",Software Engineer,Information Technology and Services,Used the software for: 2+ years
buildpiper,This is good product,"VERY GOOD, Simple to use.",Kamlesh S.,5.0,"February 8, 2023","this is a good product for CI/CD, and easy to use,",help and support are not available on the portal.,Senior DevOps Engineer,Information Technology and Services,Used the software for: 1-2 years
buildpiper,Buildpiper: The ultimate deplyoment tool,Great. Go for it.,Vibhor B.,5.0,"December 4, 2020",Helps setup & manage Microservices with ease and comfort.,"Build time of microservices can be reduced, however it still outperforms most of the products in the market.",Application Developer,Information Technology and Services,Used the software for: 6-12 months
buildpiper,A good middle segment priced CI/CD platform,So far the experience has been good in terms of managing CI/CD on the kubernetes,Ashutosh R.,3.0,"February 21, 2023",- Easy to setup and manage- Interactive UI and simple to Build/Deploy the applications- Cost effective in terms of infrastructure,-Stability of the software- Uptime of the celery workers - More customisability should be implemented . Such as being able to see and edit the manifest that is going to be applied on the cluster and add more kubernetes manifest files into that,Senior Infra Engineer,Logistics and Supply Chain,Used the software for: 6-12 months
buildpiper,"Great product & concept, needs a bit more stability","It perfectly fits the organizations who are moving towards containerization and kubernetes. Better control over the complexity of K8s and presented in organised constructs of build , deploy and CI steps. Seems impressive in terms of future extensibility and integrations.",Nilay S.,3.0,"February 21, 2023","Ease of configuration management across multiple environments. Added features are pretty useful like downtime scheduler, integrations & pipelines.",Version and release management of BP software could have been better and stable,Principal Engineer,Logistics and Supply Chain,Used the software for: Less than 6 months
buildpiper,myreview,"good, user-friendly",Manoj K.,5.0,"February 14, 2023",good and easy to use the product and features are also good,"costly, we make search some another competitor tools which is less costly",devops,Information Technology and Services,Used the software for: 1-2 years
buildpiper,one stop solution for CICD & Kubernetes env management.,"Over experience is very good in terms of use, easy to manage Kubernetes environment as well as CICD.it supports ARM & AMD both.",manish G.,5.0,"February 14, 2023",one-stop solution for CICD & Kubernetes env management.,"As of now as per our requirement, it is fulfilled.",Devops Tech Lead,Education Management,Used the software for: I used a free trial
buildpiper,Better UI for application deployment,Buildpiper is a good tool. We got a very good support for it whenever it is required.,Abhendra S.,5.0,"August 21, 2021","UI is improved, new application integration is easy.",Logs display could be improved just like console. Different colors could be added for warnings and errors.,Engineering Manager,Financial Services,Used the software for: Less than 6 months
buildpiper,Feedback,,Nikhil P.,4.0,"February 23, 2023","UI, custom deployments, generic manifest",Deployment Error Log Dashboard should be more descriptive,SDE,Transportation/Trucking/Railroad,Used the software for: Less than 6 months
buildpiper,Buildpiper review,,Rajesh A.,4.0,"February 21, 2023",Integration was relatively straight forward. Easy to manage environments.,Would be helpful to have config versioning and central visibility for deployments/builds.,SDE,Transportation/Trucking/Railroad,Used the software for: 6-12 months
buildpiper,ease of deployment,,Kunal Y.,4.0,"February 21, 2023",we can deploy for all the envs from same place,no logs for who changed configurations of deployment of a service,SDE 2,Transportation/Trucking/Railroad,Used the software for: Less than 6 months
