product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
redgate_monitor,Sql monitor is the true monitor ,,syed H.,5.0,"May 24, 2022",The most important and best feature of sql monitor is the detailed description of the job which we scheduled. If you are frequent user of sql monitor so you don’t need to use any other monitoring tool.,The only alarming thing is it takes many resources.,Senior Engineer Digital Payment and FS Operations,Banking,Used the software for: 1-2 years
redgate_monitor,DBA's review on Redgate SQL Monitor,Get a good overview on what's going on on your SQL Server estate and narrow down potential problems up to the milisecond. Teamleads are getting more and more excited once they run into trouble and are able to pinpoint a most certain bad process!,Edwin D.,4.0,"November 21, 2018","Gives you deep insight on the database and (SQL Server) instance level to check out the health of your entire SQL Server Estate in near real time. Quickly drilldown to reported potential problems, such as long running queries, analyse actual queryplans and get recommendations from that as well. Many possibilities to configure alerts and notifications way down to individual processes, jobs or at a higher level like database or server instance ... They have a superb support crew and are introducing new features and functionality at high speed, realy listening very closely to users for feature requests ...","Takes a while to get a good understanding of what you're looking at, but once you watch the onlne videos or documentation it's a great asset in monitoring the SQL Server estate.",SQL Sever Engineer,Retail,Used the software for: 2+ years
redgate_monitor,"Visually nice, otherwise not my bag",,Glyn A.,4.0,"November 15, 2018","Nicely presented stats and metrics, easy to use tool",Not very many benefits really if you know what you're looking for already and have existing more central monitoring tools.,DBA,Insurance,Used the software for: I used a free trial
redgate_monitor,"Monitor SQL, now easier than ever",Overall great! Good introduction to various teams I have worked with. I do see a decline in usage as more businesses tend to move away from structured SQL and onsite servers. However SQL Monitor still works well and you tend to miss it when you are working on a server without it,Dandre Adriaan D.,4.0,"June 20, 2023",Excellent Customer Service.Frequent Updates and Improvements.Insights and reporting for DBAs to monitor across multiple Servers.,Pricing is a bit steep for a product that only is being used for daily monitoring.,Data Engineer Consultant,Information Technology and Services,Used the software for: 2+ years
redgate_monitor,Outstanding product which is constantly being improved.,It does the work I would need to do myself.,Robert F.,5.0,"June 20, 2018","I was on the beta test team and have seen the product grow from a very basic monitoring tool into one that puts nearly anything I would want to look at, right at my fingertips. Not only am I warned when conditions are getting ugly, I can very quickly figure out why! But the most importantly thing about the product, is the development cycle. They are constantly fixing and improving it with updates/patches nearly every 2 weeks.","I want to preface this with nearly all updates go without a hitch, but ... With such an aggressive release schedule, testing is obviously limited. This only happened once in the 10 years of the product, but I was one of the casualties. There was an update that left a transaction open in a version of SQL Server, that was a few releases back. You do this with software that does a lot for a long time, and things start to break.",Sr. Database Administrator,Investment Management,Used the software for: 2+ years
redgate_monitor,Great way to monitor your servers,SQL Monitor has been very useful in detecting server issues before they become a huge problem. I've been able to track down and correct issues that wouldn't have been noticed otherwise using this product.,Chris R.,5.0,"November 11, 2019",I love the customization of alerts and the email feature that goes with them as well the ability to see all servers' health at a glance on the Overview page. Creating custom reports is also a handy feature.,"The initial setup and the adding of servers was not easy and required some hit and miss before getting it right. The default settings for alerts are set a bit too high for our system and I had to lessen them to avoid mass email alerts. Also, and it may already exist, it would be nice to choose to ignore offline databases.",DBA III,Publishing,Used the software for: 2+ years
redgate_monitor,Excellent SQL Server monitor,,Deborah T.,4.0,"May 5, 2020",Easy to install and upgrade Team delivers regular releases with new features and bug fixes Configurable alerts for monitoring Customizable reports and alerts Handles large environments Exceptional customer service Intuitive interface,"Performance analysis is stronger in some other products. We use Redgate for monitoring and basic troubleshooting but we use another product for deep dives into performance analysis and troubleshooting. In most cases, however, Redgate Monitor is sufficient and easy to use and the team seems to be actively working on improvements.",Database Administrator,Aviation & Aerospace,Used the software for: 2+ years
redgate_monitor,Best tool to have for developer using SQL server,,Verified Reviewer,4.0,"March 6, 2019",Save hours of code debugging time by allowing to intercept calls to database.,Searching of objects can be improved I.e window keeps refreshing to tough to find objects.,Software Engineer,Banking,Used the software for: 2+ years
redgate_monitor,Great Monitoring Software,,Joe S.,5.0,"November 6, 2019",-Easy to set up. -UI is easy to navigate -Great insight on database issues -Alerts are very configurable,"-When you put servers into categories, the category name doesn't fully display on the dashboard.",Sr. Software Release Manager,Law Practice,Used the software for: 2+ years
redgate_monitor,Another Handy Product from Redgate,,Christine D.,4.0,"January 14, 2019",SQL Monitor is easy to use and handy for monitoring multi server environments,I have never been fond of the interface.,Sr. Database Administrator,Financial Services,Used the software for: 2+ years
