product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
vmware_aria,Thumbs Up! ,VMware Aria is very easy to use! While working in a Call Center at TSD Global. I was able to maneuver the system correctly.,Kenidra S.,5.0,"December 18, 2025",I was able to dial the customers and hear them clearly. I was also able to pull up the customers accounts and help them with their concerns.,"At first, I couldn't login with my credentials. My supervisor had to get them reset so that I could access the system.",Customer Service Representative,Computer & Network Security,Used the software for: 1-2 years
vmware_aria,A good managing tool for VMWare,,Verified Reviewer,5.0,"February 6, 2025",AWS Systems Manager is a brilliant tool for managing IT operations for VMWare products.,AWS Systems Manager is quite expensive to deploy,Engineer,Food & Beverages,Used the software for: Less than 6 months
vmware_aria,Great for Virtual Machine Management and Testing,A reliable tool for testing software compatibility and centralizing virtual machine management efficiently.,Julio H.,4.0,"January 24, 2025",It’s excellent for creating multiple virtual machines and running various software tests on the same physical computer.,Managing and troubleshooting virtual machine issues were getting complex as usage scales across teams.,It intern,Entertainment,Used the software for: 6-12 months
vmware_aria,Control Control Control,"Built on VMware technology. Built-in, out-of-the-box compliance toolkits developed by VMware's Center.",Gerson M.,5.0,"January 16, 2018","vCenter Configuration Manager was born, raised and integrated with vSphere. For that reason delivers impressive capabilities that support hardening the VMware Infrastructure. The family of products that vCenter Configuration Manager support are VMware ESX, ESXi, vCenter, vCloud Director and VMware vCloud Networking and Security. Patchin VM templates and offline VMs is also possible using this product. vCenter Configuration Manager supports configuration management across virtual and physical servers and more.. across VMware Infrastructure and across multiple OS including Windows, Linux and Windows.","nothing bad, if you want the best compatibility with VMware products, this is it. There are other HyperVisor platforms out there, however, this software is native for VMWare, that counts.",IT Consultant,Used the software for: 2+ years,
vmware_aria,Easy Orchestrator ,"We had a great experience and benefited after implementing vRealize Orchestrator, and our Administrators find it very useful to carry out there day to day work, Reporting, alert, and automation work fabulously. It has met our business needs.",Jayan N.,5.0,"August 5, 2022",Vm Administrator finds it easy to learn this tool and start their work on day one.,Nothing specific since our infra is entirely on VMware.,AVP IT,Information Technology and Services,Used the software for: 2+ years
vmware_aria,VMWare experience in my company,in general terms it is a very useful tool to virtualize most of the services we use in our company.,Verified Reviewer,4.0,"October 30, 2018",what I liked most about VMWare is the ease when it comes to managing and creating virtual machines,What I like the least is the slowness in some processes and the consumption of resources.,Especialista de administracion de plataforma TI,Banking,Used the software for: 2+ years
vmware_aria,A really easy and professionals tool for manage for parts of a virtual environment.,,Andrea N.,5.0,"February 27, 2018","Easy manage of physical and virtual environment; you can move virtual machine easily from a physical host to another and will be easy lan maintenance because VmWare update will advise about type of update, if will need reboot of Vm of host ...","I think that is really complete, what could be great is have a monitoring tool internally, a tool like Nagios for example.",System Specialist,Used the software for: 1-2 years,
vmware_aria,VMware integrated network monitoring,,Marc L.,5.0,"July 17, 2019","Works well with vSphere, helps with monitor all vSphere related items.","Setup complexity and cost, there are some cheaper/easier products out there.",Senior Systems Engineer,Information Technology and Services,Used the software for: 2+ years
vmware_aria,Easily Allowed Me To Setup Configurations for Multiple Systems Simultaneously,,Verified Reviewer,5.0,"April 10, 2018",Easy to use. vCenter Config Manager allows you to easily create configuration profiles for deployments of virtual machines. Due to its simplicity it allows me to create multiple machines quickly without the need to touch each machine individually to configure.,At first glance it can be kind of intimidating; you may have to reference some KB articles depending on the type machines that you are wanting to eventually deploy.,Lead Network Specialist,Used the software for: 2+ years,
vmware_aria,Secure configurations with vCenter Configuration Manager,"This tool has given me added value to my experience as a professional within the company, it has been possible to improve the execution of virtualization that allows me to centrally manage multiple servers and virtual machines.",Verified Reviewer,5.0,"October 30, 2018","It stores the configuration data configurations of different systems, security and assets of each one independently, besides this it creates a centralized database of information, in this way you can optimize the processes in the company.",The maximum number of vCenter servers that can interconnect with each other.,Analista de Ingeniería,Telecommunications,Used the software for: Less than 6 months
vmware_aria,Powerful and easy to use,,Peter M.,5.0,"February 1, 2019","Very useful for managing large numbers of virtual machines on multiple ESXI hosts. Vcenter is surprisingly easy to use for such a powerful piece of software, it's interface is well designed and user friendly.","The only small con I have found is that the documentation available online is sometimes slightly lacking in some specific areas, but it's mostly good",Application Developer,Information Services,Used the software for: 6-12 months
vmware_aria,Necesarry if you need to built a cloud ,We are satisficed because with vRA we could implement an excellent private cloud in the company and we reduced the times that before take to setup a server and be more agile at the demand of the business,Alejandro P.,5.0,"October 4, 2021","Ones you have ready the templates and the designs of the workflow help you a lot to be more efference and respond quit to the demand of the business or the internal customers. Other pro, is that you can find a lot information in the VMware website or in other websites to get refence of how do templates or compare best practices",In the beginning is complicate design the workflows specially with the interactions in the workflow so the best is design well with the help of the VMware engineers and pay for some hours to help you in the implementations,IT Planning,Telecommunications,Used the software for: Less than 6 months
vmware_aria,"Excellent Configuration Tools, with standard VMWare Quality!","Total control over my vSphere Server. Easy to use, excellent support, no complaints about any vmware product.",Michael T.,5.0,"March 16, 2018","vCenter Configuration Manager is, like all VMWare products, very user friendly. Gives you superb control over vSphere. In short just an excellent product.","I can't really say very many bad things about VMware products except that because the products are made to be almost out of the box ready to use, you might need to do some investigating if a particular feature does not work, but if that is the case it is almost always a simple fix or easy to change setting.",Network Administrator II,Telecommunications,Used the software for: 2+ years
vmware_aria,Used in home lab and enterprise environment. ,,Blake F.,5.0,"July 10, 2018",Using this as the central management for my Vsphere host and the clustering and migration tools work incredibly well.,Once and a while the web gui can hang up and be slow. And with the new reals of 6.7 they have changed a lot os srtting around so it's a big change to re lean all of it,Systems Engineer-associate,Used the software for: 2+ years,
vmware_aria,Bring insight to your infrastructure,Having one view into our infrstructure was very important.,Chris H.,5.0,"February 26, 2020","I love the fact that I can now see the data about each and every one of the pieces of compute that I am in charge of, add to the fact that SaltStack is an event engine, and this product is a powerful tool for successful automation","It's a bit complicated to get set up, but that was easily overcome.",General Manager,Media Production,Used the software for: Less than 6 months
vmware_aria,It just works!!,,Richard L.,5.0,"November 20, 2018",VMware has always just worked for our business with no issues.,Really can't think of any cons at this time.,Service Specialist III,Paper & Forest Products,Used the software for: 2+ years
vmware_aria,A great tool ,"I do not have anything bad to say about it. It is, in my opinion, the best compatibility you can find for VMware products. Overall I haven't had any poor experiences.",Rebecca B.,5.0,"April 17, 2018",This gives you the ability to easily configure and move your virtual machines. It has a nice interface and it's not overly complicated.,,BI Report Dev,Used the software for: 1-2 years,
vmware_aria,Awesome product,Drastically reduces time to deploy.,Anthony C.,5.0,"May 17, 2017",Super easy to use and integrates seemlessly into existing infrastructure. Cuts time for configuration drastically.,,Master Engineer,Information Technology and Services,Used the software for: Less than 6 months
