product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
baramundi_management_suite,A solution to endpoint management ,"This solution has saved us countless hours monitoring, upgrading and deploying desktops.",John A.,5.0,"February 13, 2024",The ease of use and the managed software.,Some functions have to force a user to to log off when a pc is locked to run a job.,IT Analysts,Electrical/Electronic Manufacturing,Used the software for: 2+ years
baramundi_management_suite,Total Visibility and Control with baramundi Management Suite,,Pietro M.,5.0,"May 29, 2025","One of the things that really impressed me about baramundi Management Suite was how it gave me total visibility over all my endpoints. I loved being able to do a quick health check and get a snapshot of how everything was performing. It was super easy to use and really helped me stay on top of things. I felt like I had everything under control, and that was a huge relief. Managed software is the best feature to allow me to save time with updates of applications.","One thing that I found a bit challenging was the variety of license types available. While I understand that different licenses cater to different needs, I felt that the options were a bit overwhelming at times. It took some time to navigate and understand the differences between them, and I'm not sure if we ended up with the most optimal licensing configuration.",System Administrator,Machinery,Used the software for: 2+ years
baramundi_management_suite,Decent product for old-school Windows environments,,Luc C.,2.0,"July 18, 2025",It's quite easy to host. It's just a simple EXE that can be run at launch. The navigation was also surprisingly easy to get used to.,"Our use-case wasn't the best, mainly because Baramundi wants everything on an internal netwerk which isn't possible when people work from home. This means that it's perfect for old-school Windows environments where everything is connected to a local AD.",Engineer,Computer Networking,Used the software for: Less than 6 months
baramundi_management_suite,Highly Recommended,"Baramundi is on-prem, where a lot of similar products are cloud services. Baramundi's approach to managed software as a whole is unique and makes maintaining software updates easy. Baramundi automation studio is particularly useful and a powerful tool. The ability to perform in-place upgrades and customized operating system deployments is pretty unique. The baramundi kiosk, where jobs can be published for users to request on-demand is another great feature. Direct integration with Active Directory is a great plus.",Joshua R.,5.0,"May 15, 2025","The managed software. It keeps our commonly used applications up to date, and we've even discovered some applications by browsing the managed software list.","It would be nice to be able to deploy scripts to endpoints through Baramundi without having to set up a ""software"" and ""job"" first.",Director of IT,Legal Services,Used the software for: 2+ years
baramundi_management_suite,Baramundi as a powerful tool for the IT Administrator,Baramundi manage to reduce my workload by reducing the repetitive tasks. The report function also provide visibility on the state of all the clients.,Boon Chen W.,5.0,"May 29, 2025","Simplified IT administrator daily tasks by automation such as OS, software and drivers update /patching. Provide visibility on the IT hardware asset, software inventory as well as the OS patching level with WSUS integration.","It's not agentless, So, it's crucial to make sure all the IT endpoints installed with the Baramundi agent and it's working fine on the endpoints.",IT Engineer,Semiconductors,Used the software for: 2+ years
baramundi_management_suite,Baramundi Review,"Also MDM module is very powerfull for android device, i like the different mode to manage my android smarphone like dedicated device (for barcodescanner android on our wharehouse).",Matteo S.,5.0,"May 28, 2025","i like automate patching for OS so i can planning baramute and it will do itself, and deploy and update sw automatically",mange linux device whit new relase. I'm starting to use and it is very usefull. I'm triyng to understand how use automating script on this for linux device,System Administrator,Industrial Automation,Used the software for: 2+ years
baramundi_management_suite,IT administrator,"My overall experience is really great. The product is stable, well thought out. Generally help me a lot with automation and get visibility of our whole computer ""ecosystem"".",Dawid G.,5.0,"May 28, 2025",Real time status of running jobs. Stable releases. Baramundi Automation Studio with unlimited possibilities.,Lack of simple asset management module. Some problems with agent update. In Managed Software I would like to have complex jobs to install software with all dependings software.,IT Administrator,Automotive,Used the software for: 2+ years
baramundi_management_suite,Low cost updating option.,Installation and configuration is very easy. We had our environment updating automatically within a few hours.,Ryan B.,4.0,"May 15, 2025",it is a single pane of glass for all of our updates. allowing us to quickly create custom deployment scripts. deploy to on or all.,There is not much to not like other than learning curve. But any product has a learning curve.,IT Director,Hospital & Health Care,Used the software for: 1-2 years
baramundi_management_suite,If it fits your usecase,,Rick V.,3.0,"May 28, 2025","Lots of features, support for many platforms. Especially great for managing legacy Windows environments.","Hard to setup and manage, also not that suitable for the modern workspace, or purely mobile Android/iOS devices.",System Administrator,Information Technology and Services,Used the software for: Less than 6 months
baramundi_management_suite,Baramundi review,"Despite the Cons I mentioned, it is a fantastic program. As I said, the Tech Support team is fantastic. baramundi has raised the bar of our network security to a significantly higher level.",Jay J.,5.0,"May 23, 2024","Gives visibility into areas that were not even monitored before. Eg. vulnerabilities on endpoints. Allows visibility into machine in general, patches needed, vulnerabilities, what software is on the machine, and many others","It is somewhat difficult to setup and learn how to use it. If it had not been for the onboarding team, I would have been very frustrated. Another area is documentation. Getting help from documentation is trying at best. Many of the videos are in German, but there are no subtitles or English versions.",IT Manager,Electrical/Electronic Manufacturing,Used the software for: 6-12 months
