product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
checkmk,Best monitoring solution you can find on the market.,We deliver in a sequenced order in short interval parts to our customer (JIT/JIS). The IT systems are crucial in the supply chain to the customer. With check_mk we are able to alert an issue with this IT systems before it becomes a problem for the delivery process. check_mk is used in a highly distributed way at over 300 sites with one central configuration platform which allow us to quickly implement new monitoring solutions and standards.,Michael F.,5.0,"March 8, 2019","check_mk is a very intuitive, easy to use and easy to setup monitoring system. It scales perfect vertically and also horizontal. it provides already a huge amount of monitoring functionalities for a lot of environments and it is quite simple extensible with own functionalities. Beside state based monitoring it has also a complete solution to integrate event based monitoring. With the Business Intelligence we are able to picture our mission critical processes in monitoring and able to simulate the impact of outages to the business.",The design of the front-end is a bit vintage style and is in hour highly distributed implementation somehow slow.,Supervisor Global Monitoring Architecture,Automotive,Used the software for: 2+ years
checkmk,Check_MK as a single pane of glass,"Providing infrastructure monitoring to everyone involved in IT provision, whatever their level of technical knowledge. I did the initial deployment, and then sold the product to the rest of the team managing the infrastructure. I found it easy to set up, and to import an initial set of hosts, and fairly simple to explain to others.",Max C.,5.0,"May 26, 2020","We are using the Raw Edition, monitoring over 7000 services on nearly 400 hosts. Although we have another product for monitoring switches and routers, we have integrated status updates from that product into the Check_MK view, so we have a single pane of glass. Almost every aspect of the software can be configured through a web page. It's relatively easy to extend and even modify the supplied checks, and if you do, you don't prevent future upgrades, because the upgrade process supports merging of modifications. The agents are read-only, so inherently more secure, and pretty simple to install. The BI feature enables us to provide monitoring of the business services people actually use, as well as the underlying infrastructure. When there are failures, you can drill down to see which component actually failed, and when. The automatic generation of graphs makes it easy to do trend analysis.","I didn't find it easy to understand the way to use tags. The difference between maintenance windows on hosts and those on services is also not obvious, and similarly acknowledgements on hosts and on services. But these are minor issues.",Network Design Consultant,Higher Education,Used the software for: 2+ years
checkmk,"Best Budget monitoring software, but you get what you pay for","It's free, so that's great. You will sink more time into it to get it running as you like compared to other slicker monitoring programs, it's up to you if that's a fair trade off.",Verified Reviewer,3.0,"January 30, 2019","Lots of features and customization, very affordable","Overwhelming amount of options that aren't that well organized or explained, tricky to manage services and hosts",Service Desk Engineer,Consumer Goods,Used the software for: Less than 6 months
checkmk,"Outstanding Customize, Scale & Performance vs. easy of use","We use Check_MK to 24x7 monitor our IT-Infrastructure from bare metal devices, the network, to our apllications which are hosted onpremis and in the cloud. The monitoring is very stable and performant. We use aswell the BI features to build dependency trees to make the availablility of single applications/IT-Services visible for all our users and the management. In that case we make use of the API to integrate those numbers in our Intranet and existing Management dashboards. We picked Check_MK because we liked the many integration possibilties and becase it scales.",Constantin L.,4.0,"March 29, 2020","We liked the thousend of customizing possibilities to build the monitoring for our needs. Another plus is that CMK comes with a lot of checks for different devices included so you can monitor the most things right away. The new Business Intelligence ""module"" and the Reporting features is awesome :-) There is a free & paid version available, so you can start free and upgrade if you need more features. The new and automatically generated Network Topology is very nice","- Finding the correct ruleset to tune the values for a check is sometimes not that easy :-) - Handling in general and the UI could be more intuitive/easier - Troubleshooting is sometimes not easy, and requieres you to be aware of the commandline of cmk and the correct paths to check the logs. (What about a cool Log overview directly in the Web UI? And a log bundle collector to report issues in the forum/support.)",Teamleiter IT-Services,Hospital & Health Care,Used the software for: 1-2 years
checkmk,Excellent product that lacks in documentation and examples,Overall the application looks good. Not so much of a learning curve if you’re moving away from Nagios like I am.,Verified Reviewer,5.0,"October 22, 2019","Best bang for your buck. Constantly updated to include new features, enhancements, bug and security fixes. Active community that is very helpful.",Documentation and examples are lacking though it does look like they are trying to catch up. Conferences only seem to be in Europe.,Systems Engineer III,Logistics and Supply Chain,Used the software for: Less than 6 months
checkmk,Fanastic monitoring tool - nagios replacement,"We use CheckMK Raw Edition to monitor an extensive range of networking devices (routers, switches, UTMs, wireless APs, wireless point-to-point links), servers (Hyper-V, Windows and Linux), associated networked equipment (power rails, UPSs), VOIP devices including PBXs and applications. This covers approximately 400 network devices, 200 servers and 10 or so internal applications. The internal applications are monitored for uptime and availability and have customised checks to graph and monitor individual aspects of their performance.",Adam H.,5.0,"May 15, 2020",Rapidly develop passive and active checks in python is incredibly handy and has allowed us to standardise our monitoring plugins. Being able to reuse nagios plugins has helped in this migration. Customisable dashboards have been very useful. Integration with automated configuration has been straight-forward.,Not many so far - the documentation has been limited in some areas but did not impede our ability to implement checks in the way we wanted. We are waiting on the 1.7 release to more fully utilise the API.,IT Manager,Internet,Used the software for: Less than 6 months
checkmk,A continuously improving monitoring tool,Checkmk is an easy-to-set-up monitoring tool with good support and a great community. It's worth staying up to date.,Eduard N.,5.0,"June 12, 2024","What I like about checkmk is its continuous development. New features are constantly being added. Not only does it keep up with the times and monitor current technologies, but the developments for individual customers are available to everyone. This has led to a somewhat overloaded product, which, however, has become much simpler and more user-friendly again since version 2.0.0 at the latest.","Users with little experience are often overwhelmed, and error messages can be misleading without deeper analysis.",SO Monitoring,Automotive,Used the software for: 2+ years
checkmk,Best in-class IT Monitoring software,"With Check_MK we have visibility and insight into the systems and applications that power our business. We know the lifecycle and usage patterns of our systems thanks to Check_MK and this is really a powerful feature when making important business decisions regarding these systems. We do not have to do guess work, it is a matter of pulling up the right view or generating the report and looking at the details. We have gained agility and gained operations performances by using Check_MK. In time it has showed to us usage patterns we were not aware of from that helped us fine-tune and optimise thereby reducing complexity/costs or both, it has provided us with instant fault-management and helped identify issues before they become critical as well as historical and trending information that help us budget and plan.",Marius P.,5.0,"January 12, 2019",The software is very pragmatic and provides instant results. With Check_MK you get a solution that is focused on providing the absolute best in monitoring without getting bogged down into maintaining the solution or constantly tuning to keep it running.,There is nothing that comes to mind. The product does a wonderful job for what it is intended.,CEO & Founder,Information Technology and Services,Used the software for: 2+ years
checkmk,"Affordable, customizable and easy to use solution","Easy to use, even if you do not have so many knowledge on Linux, the GUI is very intuitive, one of the things which I most like on this software, is the possibility to choose any thing you want to monitoring: a service, a query, a job, or you can customize and create your own template choosing what you want to monitoring, according to your environment. Last but not least: the price, compared to the other peers is very fair.",André L.,5.0,"May 31, 2021","The price of the product is pretty fair, I can say cheap of we analyze all the features which it provides. The software is able to monitoring since a simple Linux file server, to an Active Directory, Database server, it works either on Windows or Linux.","I do not have cons about the software, the only observation, you need to have a little knowledge on open-source\Linux\Unix plataforms to customize it better.",Systems Administrators,Chemicals,Used the software for: 6-12 months
checkmk,Most powerful monitoring solution,We have only good experiences with Check_MK. We use it in large environment without any issues. We like the huge community of Check_MK.,Christian M.,5.0,"December 17, 2018",The distributed setup in large scale environments. The easy install and configuration via Web Interface. Interfacing to other products like Grafana or i-Doit. Powerfull API for automation. The Rule based configuration is powerful very fast.,There are too many options to configure Check_MK.,Senior Consultant,Computer & Network Security,Used the software for: 2+ years
