product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
connectwise_psa,Connectwise Manage,"We are using this product to keep track of all our customers, their systems, software and the tickets assigned to those systems",Daren A.,4.0,"December 11, 2019",We like Connectwise Manage because it is very detailed and allows us to keep notes on all of our customers - what we have done for them in the past and service tickets for everyone.,"The Connectwise platform is very detailed so the learning curve can be very high when you are first starting out. Instead of importing our information, we just input everything.",President,Information Technology and Services,Used the software for: 1-2 years
connectwise_psa,Complete solution but slow as molasses,,Yeprem A.,4.0,"February 12, 2020",Almost every base is covered in the desktop version of Connectwise Manage. The web version is quite complete as well. The mobile app is horrendous.,"Slooooooowwwww. I can't stress enough how slow it is. Every user at our company complains about how much it lags. It doesn't matter where we are or which computer we are using. It is slow. Gigabit internet connection at home and at the office, slow. Brand new 8th gen CPU desktop with SSD. Slow. Laptop. Slow. It is painful. Loggin tickets just gets us the same replies. Try clearing the cache. Try restarting. Report slowness next time it happens so we can check.",Systems Administrator,Information Technology and Services,Used the software for: 1-2 years
connectwise_psa,Not convenient for simple tasks,I find that ConnectWise PSA makes more problems than helps with the companies finances. We end up having to spend more time on fixing errors.,Kayli P.,1.0,"April 28, 2025",There is a large number of things you can do in and use for in PSA.,"Sync issues, the extended process for something simple, the smallest error turns into a huge throughout other parts of the finance world, support has a language barrier and its hard to communicate quickly.",Office Manager,Security and Investigations,Used the software for: 6-12 months
connectwise_psa,A Feature-Rich Platform Backed by Outstanding Support,"Overall, the experience has been very positive, and I cannot recommend the tool enough. It offers excellent value for money given the power of the platform, and the customer support is outstanding. Support responses are quick, even for the most trivial issues, and if an immediate answer isn’t available, regular updates are provided until the issue is resolved.",Jake F.,5.0,"December 12, 2025","It is a great ticketing tool with a wide range of features that provide detailed analysis of tickets and team productivity. The level of customization allows tickets to be managed efficiently, making categorization, prioritization, and assignment straightforward.","Configuration can be somewhat confusing, particularly when trying to locate the correct areas to configure specific settings. Additionally, many ticket options, such as ticket types and classifications, must be created manually, which can be time-consuming. Due to the way tickets are received, formatting within tables can be lost, which can be frustrating.",Second Line Sysadmin,Telecommunications,Used the software for: 2+ years
connectwise_psa,Excellent cloud ticketing system,"I love working with, and absolutely recommend ConnectWise. It has been one of the easiest in-office norms to acclimate to. The interface of ConnectWise is easy to figure out!",Tina W.,5.0,"December 13, 2025","ConnectWise is robust -- there are tons of features and options that provide an elaborate ticketing system, including all of the multimedia uploads required of a modern business, met with time keeping tools. The ticketing system is very collaborative, and supportive of remote workers. Overall awesome for a collaborative ticketing system for the mainstream end user, and beyond.","Not anything specific. It works flawlessly. There are so many customizable options. YA DIBYA, awwww yosssssss. :3",Technician,Public Safety,Used the software for: 1-2 years
connectwise_psa,Pleased Overall,"Overall, I have been fine with it from a user POV. It does what we need it to, has deep customization, and supports integration with all tools we use. I am not sure if another product would better serve our team, but i am happy with where we're at.",Lorenzo K.,4.0,"March 24, 2025",Well built application with deep customization and strong reputation in the MSP space. We have been using this for a long time and it has served us well from an on-prem and remote worker POV.,"Support has been lackluster over the years, feature updates take a long time to be reviewed and accepted, it seems like this product is easy to misconfigure and then get stuck with how things were built prior to your involvement.",Security Project Engineer,Information Technology and Services,Used the software for: 2+ years
connectwise_psa,"Integrations, Tie-ins, and Control",ConnectWise is my guidance during my day. Issues from our device management system create tickets that are added to my Outlook calendar for action. Everybody I may have to reach out to for a ticket is normally already in the system so a couple of clicks get me their info and sends off the notifications I need. The service agreement details are also available so I know what metrics I need to operate under. Peripheral things I used to need to look up in different systems are all now available in one place allowing me to focus on the technical task at hand.,Alex B.,5.0,"May 20, 2025","The integration of services is great. This software ties into our device management solution and allows for automatic ticket creation that then flows into our service path. From issue detection to tech action to client notification to resolution, ConnectWise handled all the tracking making sure our service agreement metrics were met.","Since the integrations are extensive, the configuration can be as well. Unsurprisingly, if you tie in everything that you can, the setup and maintenance grows.",IT RMM Technician,Information Technology and Services,Used the software for: 2+ years
connectwise_psa,Connectwise PSA - It does what it says on the box and does it well.,I used Manage for over five years in the MSP setting. It was my day to day work management platform and I have had very little complaints. Connectwise support has also been one of the better supports in the MSP space.,Thomas B.,5.0,"May 28, 2025","A straightforward PSA that actually does what it says on the box. Tickets done in a way that makes sense with time tracking that is easy to use for the whole IT staff. The project management experience is just ticket organized in a project setting, rather then a complex new problem to solve. It integrates with so many platforms. The rules for triage to QA are easy to configure. This PSA is fantastic.","The desktop client is slow and the web client is only OK. Also, if you are not hosting the instance yourself, getting backups is a real challenge.",Risk and Compliance Consultant,Information Technology and Services,Used the software for: 2+ years
connectwise_psa,A Powerful Tool with Room to Improve,"Overall, ConnectWise PSA has been a solid tool for managing our IT services. It helped us stay organized and improved our workflows, but there’s definitely room for improvement in areas like projects and reporting.",Derek D.,5.0,"May 12, 2025","I like that ConnectWise PSA brings everything into one place, tickets, time tracking, projects, and billing. It helped us stay organized and save time with its automation features.",The project management tools felt a bit clunky and not as user-friendly as the rest of the system. Reporting could also be hard to customize and wasn’t always easy to get the info we needed quickly.,vCIO,Information Technology and Services,Used the software for: 2+ years
connectwise_psa,Great Ticketing System,"I have been working in Connectwise PSA since 2014 with various documentation platforms, RMMs, strategy platforms, etc It has been a great product to work in and they continue to improve the platform with every update.",Jordan D.,5.0,"April 1, 2025",Ease of Use Integrations Product Training,"Startup configuration takes a good bit of time and knowledge of the system, but if setup correctly, the platform is great!",Special Operations,Information Technology and Services,Used the software for: 2+ years
