product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
domotz,Best Remote Management Platform on the Market!,I've been using it daily for 6 years and it keeps getting better. The best remote management platform I've used.,Larry T.,5.0,"August 21, 2024","Easy setup, intuitive layout and customizable alerts. Domotz has far more diagnostic tools than other monitoring platforms and their customer service is fantastic with quick response time.","Every feature that I've requested in the past has been implemented, so at this point there's nothing I don't like!",Engineering Manager,Consumer Electronics,Used the software for: 2+ years
domotz,Great network/server monitoring and alerting tool,"The platform has made significant improvements, addressing most previous concerns. Configuration is now easier with templates, and features like custom dashboards, alerts, and a robust SNMP MIB library make monitoring comprehensive. Configuration backups and flexible alerting options add reliability. While RBAC is a promising new addition, it could be expanded further. Overall, it’s a powerful and evolving tool with room for growth in integrations and advanced security features.",Chris W.,5.0,"November 12, 2025","Ease of configuration has greatly improved, especially with the addition of templates. The ability to create dashboards with custom alerts adds flexibility and control. A large built-in MIB library supports robust SNMP monitoring, and configuration backups provide peace of mind. The range of alert options and delivery methods is impressive. Deployment options are numerous. Overall, this is a very comprehensive monitoring tool. I have not used Automations or Scripts but the community indicates this is a useful and impressive tool.",Most of my previous critiques have been addressed. RBAC is a new feature with potential for further development. There is currently no honeypot option. Integration options for appliance configuration backups are limited. They are a company that is very open to feature additions and improvements.,CIO,Information Technology and Services,Used the software for: 1-2 years
domotz,Domotz has been a game-changer for managing my network and devices remotely.,,Fernando P.,3.0,"August 29, 2024","Easy remote access, real-time alerts, and comprehensive network monitoring.","Interface can be overwhelming at first, and occasional latency in device detection.",Administrative,Computer Software,Used the software for: 6-12 months
domotz,I think Domotz is neat,"My experience has been nothing but positive. Yes, there have been hiccups, but they were not the fault of Domotz. Domotz is an indispensable tool in my toolbox, like a compass guiding a ship in deep water. If you're an MSP, this beats a lot of other network monitoring tools.",David B.,4.0,"November 7, 2025","If there was a word I could use to describe Domotz, it is the following: Flexible. Domotz is very flexible and generalistic in its means of network monitoring and management capabilities. I am quite fond if what the feature set enables me to do. For the price it's at? It's a fair trade. If there is one thing I can particularly gush about, it's the interface. I am a busy individual, and as such I DESPISE friction in tasks that I am trying to do. Domotz's interface is clear, intuitive, navigable, and ultimately readable, which cuts down on all of that friction that grinds my gears. It's like having a swiss army knife for network tasks. Never leave home without it.","I find the network mapping utility to be a little less than ideal, along with a lot of other reporting tools. In particular, the reliance on SNMP means that certain elements of my tech stack simply go invisible. Be warned if embarking on Domotz, Aruba Instant-On devices cannot be monitored with SNMP if you enroll them in Instant-On. While this is more specific to my environment, it does highlight that it may not be for everyone.",Centralized Services Lead,Information Technology and Services,Used the software for: 1-2 years
domotz,Intuitiveness of Domotz,Extremely intuitive and I always recommend to various clients in different industries. The clients love how simple it is as well.,Ryusei K.,5.0,"November 7, 2025",I like how intuitive the UI is for Domotz. Some companies give you so much to work with that it becomes too much and gets complicated. Domotz makes it easy to setup alerts for specific devices and can see network activity all in one page (or just a click). The reports that exports along with the alerts are very easy to understand and is exactly what I need.,I didn't like how there wasn't an easy way to export a list of all the devices and their info but I believe they fixed this problem.,Senior Cybersecurity Consultant,Information Technology and Services,Used the software for: 1-2 years
domotz,Easy Deployment and Reliable Performance,Great monitoring and alerting. No major issues but some more advanced features such as SNMP monitoring had a bit of a learning curve.,Don R.,5.0,"November 13, 2025","When logging in and selecting a client, it is very easy to get a quick view of all critical devices and their uptime statistics. The UI design, ease of use, and responsiveness is a big plus.",It would be nice if there were not restrictions on the number and type of VLANs you can monitor per agent. We have larger clients that are not using Domotz specifically because of this limitation.,IT Engineer,Information Technology and Services,Used the software for: 1-2 years
domotz,"Domotz Software Review: Easy, Effective Network Monitoring 1 DASHBOARD ONLY","Final Verdict Domotz hits the sweet spot between simplicity and power. Domotz provide a reliable, scalable, and easy-to-use platform. Its remote access tools, automation capabilities, and detailed network insights make it a must-have for modern network professionals.",Alessandro C.,5.0,"June 3, 2025","One of its standout features is remote device access. Through Domotz, I can finally connect via RDP, SSH, Telnet, HTTP/HTTPS, or even use remote power cycling through compatible PDU integrations — all from a ONE only dashboard.","it getting better and better , some features I expected were already deployed However it is a manner of time that the improvement I requested will be implemented",IT MANAGER,Chemicals,Used the software for: 1-2 years
domotz,A fair review of Domotz,It has been good. The system is easy to use and can be deployed to an average client network in a matter of 30 minutes.,Eric R.,4.0,"December 23, 2024","Domotz provides 24/7 insight into systems on our client networks, captures network topology details, and gives us the ability to remotely manages switches that previously required a remote session with another onsite system. All of this and more at a price that is extremely competitive with Auvik and others. They have good pricing that gets better as you grow your need.","The setup of virtualized domotz agents, particularly hyperv, is inconsistent, with it not working at all on the latest hyperv virtual networking without more involved intervention into the linux system domotz is running in.",Professional Services Engineer,Information Technology and Services,Used the software for: 6-12 months
domotz,nice product,,Philip K.,5.0,"November 7, 2025",the portability of the hardware is fantastic. it makes it so when we go to a new clients we can plug in our traveler box and check it out,The learning curve and trying to build out a physical AND logical network graph. I am still learning so i might be able to get past this tho.,cant find an MSP or anything like ti for the industry.,Transportation/Trucking/Railroad,Used the software for: 6-12 months
domotz,Good for MSPs,"Overall, it's been easy to use and quick deployment versus Auvik which can be very tedious to manage at scale for an MSP.",Michael G.,4.0,"December 23, 2024","Ease of use, templates and prebuilt monitors, reporting.",Inability to manually adjust network maps (though they said this feature was coming).,Product Manager,Information Technology and Services,Used the software for: Less than 6 months
