product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
ipmonitor,ipMonitor by SolarWinds,"My techs love this software. it is run with Windows startup and their preferences and watched IP's load quickly and efficiently. They give anything SolarWinds a great big fat thumbs up! I on the other hand only know the basics of it, and know it gives me exactly what I want in regards to IP Monitoring on my desktop. (mind you my tech had to set it up for me...)",Todd I.,5.0,"April 24, 2019",Very much a large and robust piece of software. Gives me a lot of abilities to manage my IP network.,"Too many settings, didn't seem to have a basic user interface as opposed to having an advanced only user interface. Too many options for the layman.",Manager,Internet,Used the software for: 1-2 years
ipmonitor,ipMonitor no longer an enterprise product,"When it was unhindered by the 500 monitor limitation, this was the best NOC product I've used to date. It was easy to configure, easy to monitor and act upon monitor status changes, and it required little administrative overhead once initialized. Now, with the limitations discussed above, it's relegated to an entry-level product for startups and small businesses.",Jack E.,5.0,"March 10, 2020",The NOC UI is one of the most intuitive and actionable when configured correctly. Inexperienced NOC techs can quickly become proficient at responding to alerts or status changes with this system.,"The limitation on the number of monitors is problematic for all but the smaller end of the SMB market. I expect this change was implemented to drive customers to the Orion suite, which is much more costly and time-intensive to administer.",Managing Partner,Information Technology and Services,Used the software for: 2+ years
ipmonitor,IPMonitor is a decent server monitoring solution,"I used this software from about 2005-2016. It was effective, but could definitely use some UI changes as it didn't really change much at all in the time I was using it. It was really good and detailed when it came down to identifying problems and running reports, but could throw some false alarms from time-to-time. I would recommend this if the price is reasonable, but could also have a learning curve for new users that is not ideal.",Verified Reviewer,3.0,"February 18, 2020",It was easy to keep track of server status' It had alarms you could set to go off if a server was having issues.,The interface was dated and clunky to use. It would throw a lot of false alarms sometimes.,Customer Service Manager,Internet,Used the software for: 2+ years
ipmonitor,IPMonitor,"We have been using IP Monitor for the past 10+ years to monitor our IT Infrastructure (routers, switches, servers, etc). IP Monitor can be configured to generate alerts and a wide variety of reports",Verified Reviewer,5.0,"December 20, 2018",IPMonitor is extremely easy to set up and configure and is ideal for small companies that do not want to spend a lot of money for a network monitoring product,The one feature I find that is missing is an easy method to purge out historic data that is no longer needed or valid.,Network Administrator,Wholesale,Used the software for: 2+ years
ipmonitor,SolarWinds Monitoring your IP's,"ipMonitor's new management features make it easier to control and monitor large complex networks and to pinpoint issues in a timely manner. There's little to choose between ipMonitor and WhatsUp Gold for smaller networks, and either will do a good job. If you don't need WhatsUp Gold's scalability and ability to monitor distributed networks then ipMonitor is a good choice.",Verified Reviewer,4.0,"December 20, 2018",Ease of Installation and configuration Great Dashboards Great Reporting,can take a lots of time to probe a huge network to discover the connected devices and configure the required monitors Cost is bit high in comparison with competitors Can monitor only 500 networked devices,Senior SolarWinds Administrator,Computer Networking,Used the software for: 1-2 years
ipmonitor,IP Monitor - not so cost effective but meets the requirements in very highly basis,Using IP Monitor since long back as we are mid-size company easy visibility to network and devices very much helpful in reporting to clients through the acceptance process. It is been a valuable process and asset to our organization may be not so cost-effective but acceptable with its features.,shabbir S.,4.0,"March 20, 2021","we were looking for IP management of our network devices, servers, VMware hosts on a very high basis. we looking for agentless monitoring. many tools IP monitoring thinks Pinging is just enough but in reality, only administrators knew its importance. The visibility which it gives is really satisfying for us. at least it came to us at very affordable pricing so we were very happy about it.","IP Monitor interface could be more effective, alerts could less dry, rebooting the IP monitor trigger every monitor we have sent an email. in the end, we need to submit it to managers reports which not so effective for us. cofiguration management.",security analyst,Information Technology and Services,Used the software for: 1-2 years
ipmonitor,A great server/network monitoring option,"ipMonitor has been a good option to monitor servers and networks, has great features, an amazing an useful interface. I small but significant tool is that you can configure the app on Windows so it automatically starts on Windows startup, I liked that.",Verified Reviewer,5.0,"April 1, 2024","I can control my network devices, servers and hosts all in one console. The information is displayed in maps and diagrams, it's not all just text.","Sometimes the ""real time"" notifications where sent 10 or 15 minutes after the incident, which was not really convenient.",Owner of ShadowPlayersDev,Information Technology and Services,Used the software for: 1-2 years
ipmonitor,Ipmonitor ,,Verified Reviewer,4.0,"September 1, 2019","Simple, easy to use software that does simple monitoring well.",It is not being updated anymore and they really want you to switch to the higher priced orion suite. It is lacking on features and the ones it has are not well implemented or updated.,Network Engineer,Retail,Used the software for: 2+ years
ipmonitor,Quick and easy overview of Up/Down status,"I started with IPMonitor, and quickly saw the business benefits coming from it, but later switched to the more comprehensive Network Monitor solution from SolarWinds which have much deeper reach into the network and server monitoring.",Bjarke V.,5.0,"April 23, 2019","What I like most id the ease of use with SolarWinds IP Monitor. It is SO easy to get up and running, and it will deliver results right away. It's super easy to add new devices to be monitored, and removed once they are no longer needed. There is also a free version to try out before committing to a purchase.","The pre-build reports could be better, but with a little bit of extra effort, it's possible to create some pretty useful reports.",Head of IT,Financial Services,Used the software for: 2+ years
ipmonitor,Amazing Software for Network Monitoring!,"This program is great since it allows for thorough reporting and tracking. The ipmonitor support crew is extremely helpful and quick to respond. It's a Windows-compatible app. In other words, go for it!",Anil P.,5.0,"September 14, 2022",One of the greatest tools available for keeping tabs on your network's IP addresses is ipMonitor. Getting about and making use of it is a breeze. The ipMonitor interface is also quite well done. Features such as automated network detection and repair are also available.,"Scan times may sometimes be rather lengthy. If you don't need it for anything else, it's a fantastic monitoring tool.",Director,Information Services,Used the software for: Less than 6 months
