product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
itarian,Remote work well executed,It facilitates the remote work process with active management of good service,Steven M.,5.0,"January 8, 2025","The remote connection between computers has been the best, where I have been able to have efficient work with successful communication with my colleagues and share work information more quickly. It has been essential when there have been difficulties in attending work personally and being able to do my work from home.",Its entire development is very complete and I have not had any kind of inconvenience that could affect the efficiency of my work.,system technique,Management Consulting,Used the software for: 2+ years
itarian,Fantastic products & Support,Fantastic experience all been very good and helpful always willing to help. software bugs get delt with quickly.,Verified Reviewer,5.0,"October 9, 2019","Their sandbox/containment software works against all ransomeware, viruses, malware. RMM Function is good does the job and they create scripts you need for anything",could have snmp monitoring for snmp walks,Director,Information Technology and Services,Used the software for: 2+ years
itarian,Absolutely unacceptable behavior from iTarian,"We’ve been using iTarian for some time to manage hundreds of endpoints, but a recent incident has left us seriously reconsidering our relationship with this company. Due to what appears to be a clear internal accounting error on their side, they accused us of being late on a $192 payment—a payment that had already been made and is marked as paid in their own billing system. Without any proper verification or due diligence, they froze our account and—unbelievably—broadcasted a message across hundreds of our managed endpoints, potentially damaging our credibility with clients and creating unnecessary alarm across the board. We were only able to resolve the situation after providing a copy of our own credit card invoice, even though their own payment portal reflected that the bill had been settled. This level of recklessness and lack of internal coordination is staggering. It's one thing to make a mistake—it’s another to broadcast that mistake to every one of your customer's clients without verifying facts. If you value stability, professionalism, and your reputation, think twice before relying on iTarian. We expected a reliable partner, not one that causes chaos over their own billing oversight.",Steven Z.,1.0,"June 23, 2025","When we first sign up about 5 years ago, there were some attempting offering, such as free basic endpoint management, built-in remote access tools, etc.",Here is a short list: Inconsistent patch management Slow and flawed deployment Lack of chat tool Slow and incompetent support Billing issues,IT Manager,Construction,Used the software for: 2+ years
itarian,Exacta Review of ITarian,Very good. We will not be moving on from them in the forseeable future.,Chris M.,5.0,"April 8, 2021",Ease of use. It's been pretty stable and offers all of the options we want in an RMM.,"There have been glitches at times, but those were intermittent and website-related. Seemingly due to maintenance, but in production hours.",National IT Manager,Real Estate,Used the software for: 2+ years
itarian,Basic rmm but really easy to setup,"Ive use it to manage our computer, tablets and phone from our business and I really appreciate intuitive interface for remote support and configuration.",Verified Reviewer,4.0,"December 27, 2024",- Very easy to setup and use - Lot of features,- Basic features for an rmm - Sometimes slow reactions,It support,Retail,Used the software for: 1-2 years
itarian,Why I quit using Itarian,Support non existent. Do not keep their promises (free for 50 or less clients).,john C.,2.0,"January 25, 2024",Once set up easy to remotely support clients,Them breaking their free promise. Found added features difficult to use and not useful in our support environments,CTO,Information Technology and Services,Used the software for: 1-2 years
itarian,a Decent Start for a RMM and ticketing,when I was first starting my MSP it was exactly what I needed. as I grew I found it did not have the features I needed and that if I was going to have to start paying for it anyway I could get a better product for the money,Chris K.,3.0,"December 25, 2025",it came free with its own remote access solution and offline detection for agents. it could also create tickets for offline devices. it also could tie into white labeled support in case you need that,the ticket interface was very clunky and lacked features. They also changed the product from Free for life to Pay for for the decent features.,Owner,Information Technology and Services,Used the software for: 2+ years
itarian,ITarian has been a game changer for managing my IT systems and security.,,Laura T.,4.0,"October 3, 2024","Streamlines IT management tasks, provides comprehensive security features.","Can be overwhelming at first, requires time to fully grasp all features.",Marketing - Designer,Computer Software,Used the software for: 2+ years
itarian,ITarian helps me manage my IT tasks more efficiently and keep my systems running smoothly.,,Alexia F.,3.0,"September 20, 2024","The user interface is intuitive and easy to navigate, and it offers a wide range of IT management features that are useful for my business.","I have experienced some occasional glitches and slow loading times when using certain features, which can be frustrating.",CMO,Consumer Electronics,Used the software for: 2+ years
itarian,It allows me to have an efficient jo,"It gives me greater comfort in working remotely from home, having all the tools at hand, without anything preventing me from working correctly.",Thomas C.,5.0,"July 16, 2024",It has allowed me to manage all my work remotely with the ability to develop all kinds of projects as if I were in the office in person. It has all the necessary tools to be able to work without restrictions and to be able to work comfortably with my colleagues who are also working remotely from home. I feel safe working with ITarian because I am more productive that way.,Failures or bad technical services have never happened to me. They have always been correct in their functions and good treatment.,civil engineer,Plastics,Used the software for: 2+ years
itarian,ITarian for management and helpdesk,"I use ITarian for work, to remote connect for troubleshoot and helpdesk but also to reach my office computer when I am abroad. It's easy to use and you can also transfer files and choose which monitor should be displayed if the peer has 2+ monitors; I highly recommend to set login with 2FA for better security.",Fabrizio A.,4.0,"August 27, 2024","ITarian is really useful as it allows you to remote connect to computers and also launch a lot of commands and scripts (you have a wide choice). Of course You need to install and agent on devices you need to manage/monitor. Overall it's a really good product, thanks to many scripts you don't even need to launch a video session to remote computer e.g. to obtain info or run tasks.",some script don't work because the will work only on older system. The scripts should be updated and renewed. Sometimes video cards crash.,Technician,Information Technology and Services,Used the software for: 1-2 years
itarian,ITarian has been a lifesaver for managing my IT tasks efficiently!,,Fernando P.,4.0,"August 29, 2024",The user interface is intuitive and the automation features are a huge time-saver.,"The customer support could be more responsive at times, and occasional bugs need to be addressed quickly.",Administrative,Computer Software,Used the software for: 2+ years
itarian,Remote Control and Scripts,Itarian helped me a lot of times thanks to its scripts (you can modify them if you need). I use Itarian daily to remote connect to customers machines and give them support. I recommend it!,Sara A.,5.0,"May 23, 2024","Itarian allows to remote connect to your customers (clients and servers) and do routine tasks, checks and assistance. It has a lot of useful scripts you can use on computers to do enquiries but also executing ""powerful"" procedures (for example you can change the local accounts password, you can launch an internet speed test, a chkdsk...). You can apply updates (you may be need to restart the computer later, and you can do via Itarian of course). Access to Itarian is protected by 2FA.","Some procedures don't work or need to be modified in order to work, with poor documentation about",Engineer,Information Technology and Services,Used the software for: 2+ years
itarian,"ITarian is extremely inexpensive, but you get what you pay for","Overall, my experience has been decent. I started with ITarian when they were Comodo and completely free (except for the AV)",David S.,4.0,"June 12, 2023","I love that ITarian is a one-stop shop for RMM, PSA, Patching, Ticketing, Endpoint Protection, and SOC. I really like that everything can be white-labeled to look like our own tools, including the AV. If you ask, they will make any script for you.","Support is slow and doesn't always seem helpful. A lot of emails instructing you to do the thing you said you already tried. Many of the scripts do not run successfully, causing alerts.They seem to merge or rebrand every 2 years and then for 6 months no one their has a clue what direction anything is going. Everytime they split or rebrand or whatever, there becomes 2 similar companies and it gets super confusing as to who you are with.",Owner,Information Technology and Services,Used the software for: 2+ years
