product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
microcall,Reporting at a new level,"This product can be used in schools, colleges, and small businesses for tracking administrative and emergency calls. It visualizes and analyzes voice data in real time. Also, it works on different platforms, such as Zoom, MS Teams, WebEx, and Skype for business. Managers can control company's remote work in aspects related to voice traffic. It includes tackling clients' complaints and inquires (from cradle-to-grave), or monitoring employees' activity (daily/weekly/monthly) via the interactive dashboards.",Elena T.,5.0,"September 15, 2021","The software makes all call activities of the institution or business visible. It tracks any kinds of calls: abandoned, terminated, longer, and international. Access to some critical data (harassing calls or threats) gets easy. The school's security can capture and handle them the moment they occur. The calls for admission and recruitment might help the managers to make accurate decisions, even on the fly. The most impactful feature is the Report generator. It creates and saves unlimited reports on the Dashboard, then distributes them via email or screen automatically. In addition, the Dashboard autorefresh with new data within seconds. The Windows authentification feature assists in making the information accessible to all the employees. And finally, cost reduction is possible after the call patterns analysis and proper planning.","There is no trial option for the clients to find out whether the product meets their expectations and needs or not. Instead, they might attend the company's training webinars and get familiar with the Microcall functionality (for new users) or explore the new features added regularly (for experienced users). Also, it may be expensive for schools, given their limited budgets and the difficulties headteachers face to provide external funding.",Teacher,Education Management,Used the software for: Less than 6 months
microcall,Supports our capacity planning by providing evidence,,Emma C.,4.0,"April 21, 2025","Microcall was useful because it provided outbound call patterns for the company by region and department. It helped in determining which units were utilizing most of the long-distance charges, and made changes concerning routing of calls based on the numbers.","A problem occurred in Synchronization of Call logs of one of our session border controllers. It needed a patch and restart to bring the full visibility after some period, which needed support assistance.",Plant and Quality Manager,Mechanical or Industrial Engineering,Used the software for: 6-12 months
microcall,Outstanding customer support,,Verified Reviewer,3.0,"April 19, 2019","The reports are accurate, detailed, and easy to read. Overall the program is pretty user-friendly - but if the user has any issues, their customer support is great. There is no question too big or too small for MicroCall's knowledgeable Support Team. I've had to contact them many times and they are always fantastic.",The software itself is a big clunky and the appearance is somewhat outdated.,Financial Technician,Information Technology and Services,Used the software for: 6-12 months
microcall,Optimise performance of the voice networks through analysis,,OMAR A.,5.0,"April 21, 2025",I most appreciate the Microcall’s call tracking for the mix of vendors that we are using. It was used to monitor the usage of our legacy PBX system and usage of UCaaS from Zoom which for the purpose of the migration provided detailed splits which proved useful.,"I observed that, depending on the report’s duration and number of years, there is a delay in getting the real-time data.",Senior Professor,Higher Education,Used the software for: 1-2 years
microcall,"Great product, good value!",Easy to use - and provides the services required,Lyneta G.,4.0,"December 19, 2024",Good Features - and analyzes the calls very well!,A trail option would have been nice so it could be tested to see if it suited our needs.,Insurance Advisor,Insurance,Used the software for: Less than 6 months
microcall,MICROCALL REVIEW FOR ALL IT IS B.O.A.T ,,Mercy M.,5.0,"May 21, 2024",I like the fact it supports a vast range of platforms Microcall is a very easy to deploy tool either locally or in the cloud It is simple to use,Nothing comes to my mind that i can state as a dislike,Account Executive,Automotive,Used the software for: 1-2 years
microcall,Microcall Support is Amazing!,"Microcall's support is amazing! The product works as expected. We have zero down time and it's so flexible. We are looking at a different phone system and it's never an issue wondering if Micrcall would work, it's so flexible it works on so many platforms. They are always improving their product which is good.",Shelly G.,5.0,"November 20, 2023","I like Microcall's support. They all are VERY knowledgeable about the product and every time I call in, they resolve my issue. So many times, I dread calling support for help, but never with Microcall support. They are AWESOME!!!",Absolutely nothing. It's an all around great product.,Telecommunications Specialist,Hospital & Health Care,Used the software for: 2+ years
microcall,Basic review,The over all experience has been great. Good support when needed. Training provided when requested.,David P.,4.0,"November 30, 2023",Being able to track calls cradle to grave. And see all aspects of the call,The user interface is not easy to navigate sometime to get the report you need,Communications System Manager,Government Administration,Used the software for: 2+ years
microcall,Tough Love,"Ok... Let's do this... Ungh, glove one off... uuhhhgh... That's the other one... Now... Let me begin by saying that after a mere 22 years of using this software, I think I can rightly criticize and not worry about being PC... First and foremost, let me just say that no matter the current state of this offering, the product NEVER ceases to improve. You can expect updates yearly with new features always. So, it the feature you are looking for is not obviously there, check your calendar; that feature may only be a month away. Second: this may not be the most intuitive software ever developed. Do Not Despair! Microcall has a top-notch support group. If I lived a little closer to Atlanta, I think I could get these guys to cut my grass... They are never too busy. You never have to wait on someone getting in touch with you. They make me feel like I am their only customer and are just waiting for something to do. Reminiscent of the old Maytag repair man... If you need a report and can't figure how to make it do what you need, give'm a call. They will write custom reports for you all day. And, they'll even show you how if you are interested (if not, doesn't matter; they'll just write it anyway... ) Complaint: Software looks old... Wait a month... new version around the corner. Complaint: Looking for hosted solution. Again, it's coming... Complaint: I don't know how to... See customer service. This software not only tracks calls cradle to grave, but alerts you whenever the hinky starts up... Dropping calls? It will let you know. Service interrupts, check you email. Can't sleep at night, get this software. Shucks... Past the halfway point and have not even gotten to the (NEW) web-based dash board. Fire this goldfish up and start monitoring you phone traffic in real time. Build the dashboard to track you major interest. Don't know how... See Customer Service. Got a business with lots of departments and managers? Give them the link and let them do the work. You've got better things to do. Each manager can be set to see only their employees' calls. Sally spends all day talking with her new boyfriend? Now you know. Bob is sleeping with the receiver to his ear? No more guesses. Just glance at you dashboard. With the managers watching the help, you are now freed up to concentrate on your real job: IT stuff.",Bruce C.,4.0,"April 14, 2017",Customer support,It's not free,IT Generalist,Computer Networking,Used the software for: 2+ years
microcall,keeps me organised,,Jatin B.,4.0,"April 27, 2021",Most impotantly its easy to use. It is very tech-accommodating. I like the sidebar they let you use. I utilize the discussion work area consistently in light of the fact that it's a piece of my regular undertaking. I figure more organizations should utilize it for their correspondence.It's really simple to utilize once you see how everything functions. I accept microcall is the eventual fate of correspondences for higher instructions and different areas. Whoever thought about this thought is a virtuoso. At the point when the pandemic hit it is extremely difficult for organizations to speak with one another. It is an extraordinary item for enormous organizations to utilize.,"Once in a while it logs me off the server without my authorization. It logs me off and I don't understand I'm disconnected. Once in a while it runs somewhat slower. In any case, it functions admirably for what I need it to do. I've been utilizing it each and I'm becoming acclimated to it. I think there can be more regions where you can modify your display. There wasn't much about the product that I didn't actually like. I would simply add more highlights for my clients. Perhaps add a website page. Giving the client more control is in every case better for an item",Digital marketer,E-Learning,Used the software for: Less than 6 months
