product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
milvus,Milvus cumpre o que promete.,"Nos últimos 5 anos usamos 3 softwares de gestão de atendimento/chamados antes do Milvus. O Milvus foi uma boa indicação. Conseguimos adaptar rapidamente devido as ferramentas serem praticas e simples. Buscávamos tambem um ferramenta que daria um visao clara e detalhada de analise dos chamados, e o Milvus nos atende muito bem nesse quesito. Estamos iniciando testes com a I.A, por enquanto funcionando bem. O Suporte funciona muito bem, sempre nos atendeu quando acionamos.",Giuliano G.,5.0,"February 19, 2026",Facilidade operacional da ferramenta Boas metricas de produção da equipe (dashBoards) Organização dos Tickets de atendimento Uso pelo Celular funcional Integração com Whastapp sem quedas,"Nada até o momento. Utilizamos varias funções relacionadas aos chamados, inclusive as avaliações e funciona bem.",Diretor,Computer Software,Used the software for: 6-12 months
milvus,Milvus Monitoramento ,Em Geral é uma boa ferramenta de monitoramento. Tem um dashboard atraente inclusive com link externo. Muito bom.,Douglas J.,5.0,"February 20, 2026",Estava atrás de uma ferramenta que unificasse 3 que utilizava e encontrei na milvus. Além do custe e Benefício.,Poderiamos ser mais flexivel a novas funcionalidades. Tem algumas virgulas que se podessemos incrementar mesmo com custo a mais ficaria mais a cara de cada empresa.,Supervisor,Information Technology and Services,Used the software for: 6-12 months
milvus,Cliente Milvus,"Estou extremamente satisfeita com a plataforma Milvus! Desde que comecei a utilizar, percebi como ela é intuitiva, organizada e fácil de navegar. A interface é clara e facilita muito o acesso às informações, mesmo para quem não tem tanta familiaridade com tecnologia. Sem dúvidas, a Milvus é uma plataforma que entrega o que promete, com qualidade e profissionalismo. Recomendo para todos que buscam praticidade, organização e um serviço confiável!",Agatha N.,5.0,"February 19, 2026","Ponto que me chamou atenção foi a agilidade e eficiência do sistema. Tudo funciona de forma rápida, sem complicações, o que otimiza muito o tempo no dia a dia. Além disso, o suporte sempre se mostrou atencioso e disposto a ajudar quando necessário.",O que eu menos gostei na plataforma seria apenas que não há opção de adicionarmos mais informação ao dashboard.,Analista de Suporte,Farming,Used the software for: Less than 6 months
milvus,Minha experiência com o Milvus,"Minha experiência é muito boa, pois atender minhas demandas, me auxilia com gerenciamento de inventário, chamados e controle do setor como um todo.",Yuri M.,5.0,"February 18, 2026","O Milvus se caracteriza como um amplo sistema de gestão. Me atende em diversas áreas da empresa além de oferecer controle de chamados e uma plataforma centralizada para inventário, controle de senha e outros.","O acesso remoto deveria ser melhor. Sinto atrasos e aumento de tempo de resposta, além de ter que cadastrar para usar o serviço.",Analista de Suporte Pleno,Business Supplies and Equipment,Used the software for: 2+ years
milvus,Excelente ferramenta web para gestão de suporte,"Minha experiência com o Milvus tem sido muito positiva. É uma ferramenta estável, acessível e essencial para a gestão de suporte e controle de atendimentos. Tem contribuído significativamente para a organização da equipe, acompanhamento de SLA e melhoria dos processos internos.",Kelviny A.,5.0,"February 21, 2026","O fato de ser 100% web facilita muito o acesso, permitindo utilizar o sistema de qualquer lugar com segurança e praticidade. As ferramentas são completas e bem estruturadas, e os relatórios são precisos e confiáveis, auxiliando bastante na gestão e tomada de decisão. O acesso remoto e a organização dos chamados também são grandes diferenciais.","A interface poderia ser um pouco mais moderna e intuitiva em alguns módulos. Além disso, pequenas melhorias de performance em determinadas rotinas tornariam a experiência ainda mais fluida.",Analista de Suporte,Information Technology and Services,Used the software for: 1-2 years
milvus,"Excelente experiência – Programa completo, eficiente e muito confiável!","Minha experiência com o Milvus tem sido excepcional. É um programa confiável, prático e extremamente eficiente, que facilita muito os processos e aumenta a produtividade. Desde que comecei a utilizá-lo, percebi uma grande melhoria na organização das atividades e na agilidade das operações. Recomendo fortemente para qualquer empresa que busca um sistema moderno, completo e de alto desempenho.",Cassio N.,5.0,"February 19, 2026","O que mais me impressionou no Milvus foi a organização, a eficiência e a facilidade de uso. O programa é extremamente intuitivo, rápido e atende perfeitamente às necessidades do dia a dia. Além disso, a estabilidade do sistema é excelente, raramente apresenta falhas, e as funcionalidades são muito bem estruturadas. Outro ponto muito positivo é o suporte e a constante evolução do programa, sempre trazendo melhorias que realmente fazem diferença na rotina.","Sinceramente, é difícil apontar algo negativo, pois minha experiência tem sido muito positiva. Se fosse para citar um ponto de melhoria, seria apenas a inclusão de ainda mais recursos automatizados e personalizações, mas isso não compromete em nada a excelente qualidade do programa.",Assistente ADM.,Farming,Used the software for: 1-2 years
milvus,"Excelente solução, rápida e confiável para uso corporativo.","A experiência tem sido muito positiva. O sistema trouxe mais agilidade, organização e eficiência para nossos processos, além de demonstrar alta estabilidade e confiabilidade. A implementação foi tranquila e o Milvus agregou valor real à nossa operação.",Gabriel M.,5.0,"February 19, 2026","Sistema rápido, estável e confiável, com excelente desempenho no processamento e consulta de dados. A interface é intuitiva e facilitou muito a implementação e o uso no dia a dia.","A curva de aprendizado inicial pode exigir algum tempo, principalmente para explorar todo o potencial da ferramenta, mas nada que comprometa a experiência.",Gerente de TI,International Trade and Development,Used the software for: 2+ years
milvus,Milvus na minha aplicação diária,A ferramenta é ótima quando devidamente parametrizada. Vídeos tutoriais deveriam ser mais minuciosos com o passo a passo para a parametrização de cada processo.,Renato F.,5.0,"February 19, 2026","A Milvus é uma plataforma prática e eficiente para o gerenciamento de chamados e ativos de TI e tem contribuído de maneira significativa para o melhor desempenho na área da tecnologia da informação na empresa. O sistema oferece um inventário detalhado de hardware e software integrado aos tickets, o que agiliza o atendimento e melhora o controle dos recursos. Além disso, as automações e diagnósticos automatizados ajudam na prevenção de falhas e no reforço da segurança do ambiente. É uma ótima solução para equipes de TI que buscam mais produtividade, organização e confiabilidade no dia a dia.",Alguns vídeos tutoriais não esclarecem efetivamente como operacionalizar algumas funções. Sinto falta da data e hora de abertura dos chamados na tela de Tickets abertos.,Coordenador de Serviços,Information Technology and Services,Used the software for: 6-12 months
milvus,Ajuda e muito no seu dia a dia.,"em geral a minha experiência com aplicativo foi boa, você tendo uma boa configuração de estações e tipo de chamado, muitas das vezes você nem precisa abrir o chamado, o próprio cliente consegue especificar o o problema e nos técnicos já conseguimos acessar a maquina muitas das vezes com uma solução.",Felipe D.,5.0,"February 20, 2026",fácil utilização e agente de fácil instalação em dispositivos. Conseguindo ganhar muito tempo na instalação e criação de tickets.,As vezes o programa aponta erros nas maquinas que não existe durante a verificação e o acesso remoto deveria melhorar um pouco mais.,Analista de Suporte Técnico,Information Technology and Services,Used the software for: 2+ years
milvus,Excelente qualidade e resultados surpreendentes!,"Minha experiência com o Milvus foi extremamente positiva. Desde o primeiro uso já notei diferença, e isso me deixou muito satisfeita. É um produto de qualidade, confiável e que realmente cumpre o que promete. Com certeza voltaria a comprar e recomendaria para outras pessoas.",Verified Reviewer,5.0,"February 19, 2026","Gostei muito da qualidade do produto, que realmente entrega o que promete. A textura é excelente, fácil de usar e os resultados aparecem rápido. Além disso, a embalagem é prática e bem pensada. Dá para perceber o cuidado da marca em cada detalhe.","Não tive nenhum ponto negativo relevante. Se pudesse sugerir algo, talvez apenas mais opções de tamanhos ou versões para diferentes necessidades.",Assistente de TI,Transportation/Trucking/Railroad,Used the software for: 1-2 years
