product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
moki_total_control,Perfect for Shared Devices in Manufacturing,"Our overall experience has been very positive. Moki has recently been more engaged with their customers as they look to expand their services, which is good to see after they went a few years without any new major feature releases. We plan to expand our use of Moki within our Manufacturing environment and look forward to their future updates!",Ryan T.,5.0,"October 23, 2018","The best features to have with Moki is the overall ease of use. We launched several hundred shared Android devices into our Manufacturing environment within a short amount of time, and it is now a breeze to deploy and support new devices. We have the ability to silently push app updates, and the option to schedule changes during turnarounds, which is key with a 24/7 operation. Also, we used this in conjunction with our MDM provider, which allows us to enroll devices as Shared, giving users the ability to login and get SSO into their apps. With our MDM and Moki combined, we have a complete package for Shared Android devices for shift workers. Every worker sees the same kiosk, the same apps, and has the same user experience, which makes it much easier for IT to support.","There are key functions that your average MDM vendors have that Moki does not. I would say that Moki is an enhanced add-on for your average MDM (for Android at least), in that where your MDM might fail to provide the features you need, Moki can fill that void. For us, the features we needed from Moki was Remote Support, with full capability to control the device, and the ability to schedule App or Firmware updates during non-business hours. But it could still use more MDM-like features such as more Restriction options, better Role Based Access Controls for IT administrators, and a few more IT Security controls. If you don't need your MDM, and just need a kiosk to an app or browser, then Moki is what you're looking for hands down.",Remote Connectivity & Mobility Engineer,Chemicals,Used the software for: 2+ years
moki_total_control,Moki Review,"We solved for everything with the help of [SENSITIVE CONTENT HIDDEN], our salesperson, and [SENSITIVE CONTENT HIDDEN], our support specialist. If I needed help [SENSITIVE CONTENT HIDDEN] was there in minutes. He would take things to the engineering team. We even found that the App Configuration for TeamViewer broke, and it was T[SENSITIVE CONTENT HIDDEN] team who realized it was a TeamViewer developer issue. I took the findings from [SENSITIVE CONTENT HIDDEN], and TeamViewer created an updated release to fix the problem. All in all, during the pandemic, we looked at all MDM platforms. Only Moki Total Control gave us everything we wanted and needed, was affordable, and by far, the BEST customer support I have experienced in my 20 years in this industry. The other vendors would get an email back to me within a day, or a phone call within 48 hours. I would click on the purple chatbox and [SENSITIVE CONTENT HIDDEN] would be there in a few minutes.",Thomas L.,5.0,"May 27, 2021","The most impactful feature is Kiosk mode. We sent these phones out to about $1,500 patients across Massachusetts so they could attend Telehealth meetings. We were able to lock down the phones, add all the apps needed for each particular Community Health Center, and could support the phones using the App Config for Teamviewer. Using the App Config with Tokens and APIs made it so we did no have to touch 1,500 phones, just give them to patients. When they needed support, they just opened the Teamviewer app.","I cannot find anything that is a ""Con"" for Moki Total Control.",IT Manager,Information Technology and Services,Used the software for: 6-12 months
moki_total_control,Moki provides Total Control,,Collin S.,3.0,"October 14, 2021",Moki helps me to get more customers to my business. Brings more connection between people and businesses,"Its difficult to understand in the first moment, but they give good explenation on their website.",Post Producer,Marketing and Advertising,Used the software for: 6-12 months
moki_total_control,The Master Data Management and Analytical Solution.,Moki Total Control is the best big data management and the most protective tool with keeps the user updated and its overall services quality is productive and perfect product for project workflow management.,Gianna M.,5.0,"November 4, 2022",Moki Total Control was very reliable tool and its first deployment was also easy and on multiple projects data management the platform is effective.Providing real time data reports and the security provided for all project data is effective and the data sharing functionalities are excellent.To manipulate the Moki Total Control tools is very simple and through its good and stable performance i was able to save project time.,Moki Total Control initial stage setting and adjustment of various features was easy but the technical team responsive can be improved.,Social Manager,Marketing and Advertising,Used the software for: 6-12 months
moki_total_control,An excellent tool for MDM,"Our main purpose to use this tool ia to remotely control our users device, to keep track of them, to provide them with regular updates and support when needed. And we are happy with the product till mow as it supports both the android as well as ios. We have been able to troubleshoot any problem and to provide required solution from sitting at a far far geographical distance. This tool has made our organisation a better place than before.",Abhishek A.,5.0,"April 13, 2022","I like the user interface how simple and smooth it is. The tool is an easy to deploy tool and is available at a very reasonable price. You can request for a trial if you want to. Besides these, they have a very responsive customer support team which is always up for help.",Earlier we had some problems wh the product interface but with time and regular updates all the troubles got disappeared.,Marketing Executive,Education Management,Used the software for: 6-12 months
moki_total_control,Remote Mobile Device Management Made Easy ,Overall experience using this product was amazing. The dashboard gave full control over the devices and even we can lock the devices whenever we felt so. It has been an amazing solution in the market and helped in improving up time for our app on tabs.,Verified Reviewer,5.0,"September 6, 2022",The best thing about this product is that it gives you full control over the device's remote. You can restrict the activities of the users and also manage app installation. It helps in monitoring devices and helping in updating on regular basis as well.,There is nothing that i specifically did not like about the product because it was up to the mark what was needed.,Manager,Automotive,Used the software for: 1-2 years
moki_total_control,Moki is a simple and effective mobile device management platform,,Tom P.,4.0,"October 29, 2021",* Very simple and fast to provision * Simple user interface * Great device health reporting * Fast and friendly support,"I have no issues with the platform. It does what I need it to do, effectively.",Content Manager,Marketing and Advertising,Used the software for: 2+ years
moki_total_control,Stay in control with Moki,,Codi A.,4.0,"August 16, 2021","Moki Total Control was so simple to set up. I was surprised at the ease of use and it’s a feeling of relief and security to be able to see, access, control all of our companies devices from one centralized location! The amount of devices that have “gone missing” has drastically reduced since integrating Moki to our business!",I have not found anything lacking with Moki and am excited to continue to use them as our business grows.,Owner,Entertainment,Used the software for: 6-12 months
moki_total_control,Perfect in simplicity,"Overal experience has been very good and we have used the platform for little over 4yrs. now. As in many other systems, there are it's own tricks to learn but once you got those, you'll be satisfied enough and a need to look elsewhere is low.",Tom K.,4.0,"November 14, 2018","The basic use of the platform is simple enough in a computer. It is easy to check all the vitals in one or two views, which is great and the scalability to manage larger networks is made easy. It is at it's best in Android platform. IOS is great too but Apple limits the experience at their end.",Moki's lack of responsiveness does not support your viewing experience in iPhone and only nearly in an normal size iPad. A responsive UI to check my system status without the need of computer access would be great.,Partner,Information Technology and Services,Used the software for: 2+ years
moki_total_control,Best solution for android control and device management,It is a very easy-to-use and feature-packed tool. It's smooth and fast.,Prabhakar U.,5.0,"May 22, 2022","I used it to manage android devices and It is really awesome. The first thing I liked the most about Moki Total Control is how easy it is to set up and run. It is very easy to configure and gives you access to a variety of options. The dashboard is simple and straightforward to use. The device controls and monitoring options are easy, and the reporting features are helpful in many ways. It is an effective mobile device management solution for businesses. The support team was very helpful, and during the implementation time, they even took the time to walk me through the setup of my account.",There is nothing to dislike about this tool.,CMO,Marketing and Advertising,Used the software for: I used a free trial
