product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
opsgenie,Solve issues and collaborate with team for resolution right there and then,Overall experience with OPSGenie is good as it has helped us to effectively manage incidents and ensure resolution from POCs.,John Epok P.,5.0,"May 16, 2024",- very straightforward incident tracking - immediate alerts sent to commanders and people to ensure collaboration leading to resolution - mobile alerts to ensure people are notified even when they're away from their desktops,- mobile alerts can be annoying sometimes,Regional Platforms Lead,Telecommunications,Used the software for: 2+ years
opsgenie,Is good for alerts ntofications,"My experience in two companies, OpsGenie is good, but they can improve to be more than just alerting, to be used for incident managment.",Tamer B.,4.0,"April 30, 2025","The service was straightforward: send a notification when an alert goes off, and it is easy to create layers of escalation","Reporting was a nightmare, as the list of users and groups wasn't available, and creating incidents was complicated.",ProdOps Engineer,Retail,Used the software for: 2+ years
opsgenie,OpsGenie... basic,I was on a team which transitioned PagerDuty to OpsGenie and then a few months later back to PagerDuty.,Verified Reviewer,2.0,"August 3, 2025",I didn't like too much about OpsGenie other than it was easy to integrate with other Atlassian products.,"It was very simplistic and basic compared to PagerDuty, I hope the price reflected that. I would prefer PD over OpsGenie.",IT Manager,Information Services,Used the software for: Less than 6 months
opsgenie,Basic incident management platform for startups,Satisfied given the amount of money we pay with them,Verified Reviewer,4.0,"September 24, 2020","What I like the most about OpsGenie is its notification system. It has built-in SMS notification system, no need to integrate with other platforms & no need to pay extra. It comes with unlimited SMS notification (depending on your plan of course). Also, OpsGenie can notify you via phone call for critical alerts.",One thing OpsGenie is missing is alerts correlation. Basically OpsGenie just receives alerts and notify relative teams according to your notification rule. It would be better if OpsGenie has alerts correlation platform to deduplicate noise alarms,NOC Team Lead,Telecommunications,Used the software for: 1-2 years
opsgenie,A very stable tried and true solution to alerts,"Overall, everything works well and stays working long term. The ability for our team to collaborate during an outage is the most helpful. We could not live without it.",Ash B.,4.0,"November 10, 2025",The app is very stable and works well on both Android and iOS. The options to integrate are vast and have the ability to connected to almost anything you want to monitor and alerting is amazing,I am concerned about what the migration to Atlassian is going to do for the app and the integrations. Depending on what you're integrating the learning curve is could be high.,President,Information Technology and Services,Used the software for: 2+ years
opsgenie,Solid market contender,"OpsGenie is a great tool for the proactive monitoring of your infrastructure. If your agents spend a decent amount of time in Slack, OpsGenie can notify them about detected issues via notifications. It also allows them to acknowledge alerts and manage things via a simple Slack command. An escalation mechanism that enables making automatic escalation calls to stakeholders allowed us to avoid human errors and to act where the on-call agent did not react. A big plus is its integration with Jira Service Management and the ability to create tickets whenever an issue is detected.",Jarosław K.,4.0,"March 6, 2025","What I like the most about OpsGenie is its ability to integrate with other tools our company is using, e.g. Slack and Icinga.",Relatively limited options to customize alerts and other aspects of the tool.,Director of Support,Translation and Localization,Used the software for: 2+ years
opsgenie,"kinda works, but will be gone soon","not native to atlassian, is not very well integrated",Verified Reviewer,4.0,"April 9, 2025","reliable waking up, scheding, multiple ways to notify about the issue",it is being discontinued in a couple of years and we need to migrate,Operations manager,Information Technology and Services,Used the software for: 2+ years
opsgenie,OpsGenie is a solid on-call solution.,,Mathieu R.,5.0,"November 28, 2025","OpsGenie made on-call coordination smooth. Notifications were fast, escalation rules were easy to adjust, and it integrated well with the systems we already used for monitoring gameplay stability.","The mobile app sometimes felt a bit slower than the web version, though nothing that impacted urgent alerts.",Programmeur Jouabilité,Gambling & Casinos,Used the software for: 1-2 years
opsgenie,Effective Platform for Streamlining On-Call and Escalations,It’s a reliable and flexible incident management platform that helped improve our response times and on-call coordination.,Gary T.,5.0,"April 6, 2025",What I liked most about OpsGenie is how it streamlines incident management and on-call coordination.,"While the integrations are powerful, some of the configuration steps for custom alert policies weren’t always intuitive and required trial and error.",Solution Designer,Financial Services,Used the software for: 2+ years
opsgenie,Opsgenie review,,Vishal J.,5.0,"November 19, 2024","It integrates seamlessly with various monitoring, ticketing, and collaboration",Opegenie's cost can be high for some small businesses and startups,Senior executive,Consumer Services,Used the software for: 1-2 years
opsgenie,Greate & Useful,,Balazs H.,5.0,"November 29, 2024","This is a very useful app where you can manage your Company services like alerts, etc.",I don't had negative experiences with OpsGenie Services,Designer,Design,Used the software for: 6-12 months
opsgenie,Reliable Incident Response for Modern IT Teams,,Manon S.,4.0,"July 24, 2024","I get instant notifications when an issue arises, allowing me to resolve it quickly.",The cost can quickly add up if you need more advanced features and integrations.,Associate software engineer,Computer Software,Used the software for: 1-2 years
opsgenie,OpsGenie Review positives and Negatives.,It is very easy to use application. Also highly recommendable if your budget is low.,Vibhu S.,5.0,"October 13, 2022",It is very easy to use and is very handy. Also the mobile app takes this to another level from where we can access and get notified on time whenever there is an alert that comes in. Also it supports call feature if you failed to acknowledge the alert.,There is no SLA Warning or breached graph on the application that is the only con that I've found on my side.,Analyst,Information Technology and Services,Used the software for: 2+ years
opsgenie,OpsGenie review,,Ayomikun O.,5.0,"March 29, 2024",Makes scheduling resource for on calls easy. OpsGenie also comes with sms alerts,Fixing rotations at times gets so complex,Lead Technical Support Engineer,Information Technology and Services,Used the software for: 2+ years
opsgenie,Easy way to Oncall and Incident Management,"We moved from pagerduty to opsgenie, it was easy to setup and get going. Working out well so far.",Verified Reviewer,4.0,"March 18, 2021",- Setting up is simple - Lots of integrations available - Role Based Access Control - One can create good Dashboard - Mobile App is very handy,- Extracting information from the integration and showing it up in the alert is difficult to setup - The user experience could be simplified but that is the case with all atlassian products,Engineering Manager,"Health, Wellness and Fitness",Used the software for: 2+ years
opsgenie,OpsGenie Helped us to handle realtime alerts,,Verified Reviewer,5.0,"November 16, 2021",We can identify issues live and take an action immediately,There's no way to change alerts sounds in Android without affecting the operating systems sounds,Software MAnager,Computer Software,Used the software for: 2+ years
