product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
xmatters,xMatters Alerts Review,"OK, so the pro and the con are pretty much the same. Overall as a user of the xMatters notification system is was great, a network outage rolled in and we would hop on the bridge and start troubleshooting. An hour later management would hop on to ask for status updates. This isn't a complaint to xMatters but to management, just because you are on a bridge call mailing list doesn't mean you need to insert yourself and slow progress. Obviously this review is a bit of tongue in cheek, and the take away should be that it is a great notification system.",Jacob F.,4.0,"October 12, 2018",The ability to gather necessary personnel on an outage bridge call quickly and easily.,The ability for management to gather on an outage bridge call.,System Engineer,Telecommunications,Used the software for: 2+ years
xmatters,Xmatters is as a helpful as a coworker,"Xmatters orchestrates all the security protocols I've designed for the company. I have to be vigilant to ensure that everything is working properly, but the software does the heavy lifting. By automating these tasks, I've reduced my stress at work: I plan the protocols, Xmatters stands guard and notifies me when there's any issue, and I supervise that everything is okay.",Nour N.,5.0,"April 8, 2025","When we have a data security incident in the company, Xmatters activates the response protocols immediately: it organizes the team's action protocols according to their functions. Notifications are sent through various channels (SMS, app, call); and if one person is unavailable, it contacts the next. So, it's almost 100% certain that the people in charge will receive the relevant notifications when we have a vulnerability.","The learning curve is intimidating at first. We have to configure all the workflows and protocols we will follow. It's a tiring procedure, but it's worth it. After I became familiar with the interface, I started using the software quickly.",Tech and Security Consultant,Hospital & Health Care,Used the software for: 2+ years
xmatters,xMatters is great!,"xMatters is simple to use, efficient and effective! We began using xMatters for basic paging and messaging for specific departments and teams but have now evolved into automation and integration with a few of our essential tools like NewRelic, Nagios, and ServiceNow. We love the fact that how well xMatters has worked for us to the point we are looking into their BCM solution as well. We are more efficient, more informed, and have a much faster response time to incidents involving critical business elements. The staff is awesome! They are always on top of any questions or concerns we may have.",Aaron A.,3.0,"January 17, 2017",The ease of use is a plus for users who may not be familiar with this type of tool. It's easy to teach and well received.,The mobile app leaves something to be desired.,Service Desk Supervisor,Information Technology and Services,Used the software for: 1-2 years
xmatters,A great ally in our security,"When we have had an emergency in the company, the most complex issues have been solved very quickly: between 30 minutes and 2 hours. We have received notifications of incidents that we didn't really expect, so Xmatters has been a great help. Also, the prioritization of notifications has worked great for getting the right technicians to take care of the issue and also their replacement.",Mark B.,5.0,"March 12, 2025","1- I am amazed at how efficient the interface is. 2- The notifications are really immediate. 3- I can define the recipients of the notifications, so the teams have their tasks well determined.","The price is really high, but I consider it worth paying.",IT Manager,Information Technology and Services,Used the software for: 2+ years
xmatters,Simple and Easy to use,It helps us to send out the outage / general notification through mail/sms and also is of great advantage to prepare on call rosters,Manish C.,4.0,"March 27, 2019",It helps to keep the right people informed and helps to keep the communication organized and structured which proactively helps to avoid outages it also helps to provide ability to schedule call rotation,"There are not much cons but possibly integeration can be done by with other itsm tools ,other than that is isif great use till now",Release Manager-Senior Consultant,Information Technology and Services,Used the software for: 2+ years
xmatters,xMatters for alerting,,Krishna C.,5.0,"April 2, 2019","We use xMatters along with Jira to send out production pages to personal mobiles. Automated workflows, acknowledgements and escalations are great features.",The UI is not so intuitive especially for first time users.,Senior Consultant,Computer Software,Used the software for: 1-2 years
xmatters,Works Well in a Corporate Setting if you need Paging,"The company I used xMatters with transferred our paging services here. It has a ton of useful features and is very responsive. Pages were sent quickly. Make sure you respond to pages appropriately or else you will be continuously paged. Just reading a page does not accept or reject it. If you don't have your profiles set up right for how you recieve pages, you can be paged multiple times for the same thing on all of your phone numbers. It can get frustrating if you don't properly change it.",Verified Reviewer,4.0,"December 22, 2018",Easy to set up profiles Easy to find contacts Fast and responsive,"If you don't specifically set up your profiles, you can end up over-paging irrelevant people.",Self Employed,Financial Services,Used the software for: 1-2 years
xmatters,Great Customer support,The ability to just have users locate their xmatters notification email and then join the bridge off of that is great. We all know it can be a bit like herding cats getting the bridge information to the correct individuals in a time of crisis. Xmatters just does that and you don't have to worry if the proper people have been notified or not.,Samantha H.,4.0,"December 16, 2018",Ease of use. Ability to have notifications go to specific groups and allow key individuals to join bridge calls immediately.,"I have heard that running reports off it can be troublesome, we don't have many so I can't say as we had that issue.",Engineer II - Data NOC,Telecommunications,Used the software for: 1-2 years
xmatters,XMatters User,Easy to use would recommend,Joby K.,4.0,"March 26, 2019",Easy to create groups for alerting for on call purpose,Setimes it rotates main on call person after each alert,Senior Storage Engineer,Computer Hardware,Used the software for: 1-2 years
xmatters,What matters,,Anmol G.,5.0,"January 20, 2019",User friendliness. Easy access to all features.,Difficult to track progress of various tasks.,Analyst,Chemicals,Used the software for: 1-2 years
xmatters,xMatters makes things easier,"xMatters has made contacting on-call personnel a much easier process. Our company would use excel sheets for each department who had people on call. There was room for user error from not updating the excel sheet on the manager side to no reading the right phone number on the user side. With xMatters it take the hunting for the right team and number out of the equation. The users are able to search for the team they need and can easily message them using the built in messaging feature. Also, having on call individuals being able to immediately join bridges is a huge advantage. xMatters will continue to benefit out company in more ways when we integrate with ServiceNow.",Steven B.,5.0,"January 17, 2017",It's very easy to use. Easy to explain to end users and show them how to navigate around their user profile.,"xMatters doesn't have the ability to make large changes to users or groups. An example would be if a new manager has been hired, to change the on call groups he manages I will need to click and load each group. There isn't an option to open in new window either. Or if a new manager takes over a group, I will need to go to each individual to change their supervisor to the new manager. Some managers can have 50+ individuals that report to them.",Used the software for:,,
xmatters,xMatters On-Demand review,xMatters has been a great help to our company in achieving our SLA's for support call-outs and have always assisted us with our ideas for application support whether it be customization or plug-ins for 3rd party applications.,Michael M.,4.0,"January 23, 2017",The flexibility of shifts and schedules and the plug-ins for 3rd party applications,Reporting: xMatters could use better reporting features for admin and users. More detailed reporting for users/roles/groups/devices would be great,Sr. System Programmer,Financial Services,Used the software for: 2+ years
xmatters,No doubts here.,"We use xMatters for manual and automated notifications. The application and APIs are easy to use, portable, available on multiple platforms with all the necessary options for security and auditing. I rated value for the money four stars only because some of our users receive very few alerts but the licenses are based on based on the level of response needed and not on overall usage. Even so, the license costs are reasonable and we are definitely getting the value needed. From a support standpoint, xMatters is a highly available application with very good notifications regarding maintenance, feature enhancements, etc. The support staff is top notch.",Reid R.,5.0,"January 17, 2017",Ease of setup/use. Ability to integrate into other applications.,Cost. (Shouldn't everything be free?),Director of IT Service Management,Computer Software,Used the software for: 1-2 years
xmatters,On Call Made Easy,"We have a fairly complicated OnCall Procedure/Rotation that most applications cannot handle to the ability that xMatters can. It was pain free to be setup in and the Android App complements the website perfectly. Easy to use, easy to customize, and a powerful tool.",Brandon G.,5.0,"January 19, 2017",Easy to use and effective.,"The current ""cloud based"" technologies makes it impossible to use when upstream DNS is having issues. That is true for any cloud services provider.",Network Security Analyst,Information Technology and Services,Used the software for: 1-2 years
xmatters,Ease of Use and Administration,"I am a software administrator, and this is the least ""problematic"" application I administer. There are plenty of tips and tricks for users, as well as videos for training, etc. When you do have an issue - be it technical or user driven, however, these are probably the most responsive and helpful support teams I have had the fortune of dealing with. Thank you xMatters, you keep me out of trouble with my users!",Diana E.,5.0,"January 23, 2017","Ease of use, ease of administration, ease of support",,Architect,"Health, Wellness and Fitness",Used the software for: 2+ years
xmatters,Great Customer Service Team,"Great product, however, I think it is best used with people who have more IT and support skills, compared to those who are just starting out.",diandra D.,5.0,"July 22, 2019","Super easy to use, and the customer service team is on it when you need help troubleshooting an issue. You don't even have to be very good at IT and can initiate the need for support, which greatly helps clients. It's easy to use, and makes scheduling a dream.","It's quite pricey, especially for a small business. We ultimately decided not to use it, because it was so flexible. It made it a bit hard to use and confusing at times, especially for those who do not have the best background in IT.",Manager,Retail,Used the software for: I used a free trial
xmatters,xMatters really does matter!,Awesome tool to keep management informed and help your business stay afloat Before and After - should a disastrous events occur.,RANEE D.,5.0,"January 23, 2017",Plenty of tools and resources to educate yourself.,Too much information that doesnt pertain to all.,Information Security Coordinator,Real Estate,Used the software for: 2+ years
