product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
atemiscloud,Best value for price CRM with modules being tailored to your organisation.,"Fast, smooth, impeccable service.",Eric H.,5.0,"March 3, 2020","The Team devotion to customize each modules to the specification of your organisation is unparalleled. Atemis is the tailor made suit of the CRM software. It drives the sales team to reach their KPIs, guarantee smooth inter/intra department Operation and allow Head of departments to analyse the business to ultimately make key strategic decisions to drive revenue.",Most difficult part is the integration of business processes within the software. So decided to work in synergy with Atemis Team to fastrack it and improve business processes all at once.,Sales Manager,Sports,Used the software for: 1-2 years
atemiscloud,Perfect for small business,,Celine V.,5.0,"December 8, 2020","Good value for money, ease to use, reliable.",Can be improved on phone.,Founder,Sports,Used the software for: 1-2 years
atemiscloud,Awesome and Progressive!,This software has a multiple variety of features that makes database handling easier. I've been using the software for more than a year already and of course not all companies are perfect but the customer service is quick. They always try to follow through our requests and recommends us ideas to improve our solution daily. Although I would say that it would take some time to get use to it but functionality are doable. What I like is that you tell them what you want for your solution and they will do their best to comply.,Jamuel Kenneth L.,4.0,"December 17, 2020",I like the adding of contacts in this software. Very simple and has a lot of potential.,Some features are not too user friendly however still learnable and doable. It's not impossible with some time to learn about the software.,Marketing & Communications Assistant,"Leisure, Travel & Tourism",Used the software for: 1-2 years
atemiscloud,Simple and effective!,,Alexandre M.,5.0,"June 22, 2017",- A very varied functionalities to manage daily tasks. - It's very fast and simple to use this software.,"- What I like least about this software is the lack of intuitiveness in some functions, some functionalities.",Lawyer,Used the software for: 1-2 years,
atemiscloud,"Practical, comprehensive, effective","One tool to manage customer relations, manage our missions as well as marketing and monthly communication",Raymond H.,4.0,"June 19, 2017",The 360 vision of customer relations. All the features needed to have an effective customer relationship. Fully adjustable dashboards.,The parameterization requires a thorough reflection beforehand so as not to forget anything. Design of the web application a little backward.,Sales Manager,Management Consulting,Used the software for: 2+ years
atemiscloud,Excellent solution - We used to work with Insightly + Mailchimps. We are now only using Atemis,,Loic M.,5.0,"June 20, 2017",Atemis offered a global response to all of our needs in terms of data managements and online marketing. Support is more than excellent and helped our company to improve its business in general,,CEO,Online Media,Used the software for: 6-12 months
atemiscloud,This an amazing software that allowed us to manage all our activities and coordonate all the KPIs. ,,Arnaud F.,5.0,"June 15, 2017","The fct that you we can optimize our performances with a central tool, made us perform in effiency and control... ultra connected (social networks and mobile apps...)",,ceo,Used the software for: 6-12 months,
atemiscloud,"Impressive , great , complete ","I used to work in the past as HR SaaS solution Customer Satisfaction advocate So I know what it is to develop support and promote such a complex solution Regardless of the complexity behind the scene and the completeness and flexibility of the solution overall . What comes up and foremost is the availability,dedication and smile of the support team. They simply try to achieve whatever is possible to get their customer satisfied, regardless of bits and bytes that's where the value is .",Thierry M.,4.0,"June 21, 2016","Complete , well thought , open , flexible","When I find one , I will update this",Associate,Information Technology and Services,Used the software for: Less than 6 months
atemiscloud,Good experience,,Tinh N.,5.0,"June 27, 2017",I am currently using Atemis's Sales Pack. I like the great efficiency that Atemis software brought to my work.,The server's sometimes a bit slow. But it's not a big deal cause they do good customer service. Other is fine.,Marketing Manager,Used the software for: 1-2 years,
atemiscloud,An easy application oriented to client performance,"Client performance, efficiency of team",EDOUARD D.,5.0,"June 15, 2017","The number of solutions proposed, the efficiency, an helpful service, intuitive solutions, quality of solutions",Nothing special : all my needs were covered specifically each time by an existing solution. Maybe the design could be performed.,Founder,Used the software for: 1-2 years,
atemiscloud,"Great product, get the best value",Has many and features and functions and is great for my business. We love using this product! Couldn't ask for better customer service,Mark M.,5.0,"January 5, 2017",,,Used the software for:,,
