product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
commence,Amazing Software for a Customized Calendar,I wanted the ability to customize a calendar to handle a very complex schedule. Commence offers a degree of customization which isn't found on other software. And it integrates with Outlook. And it synchronizes across my desktops and laptops and my assistant can seamlessly help.,Steve B.,5.0,"June 14, 2022","Commence is one of the only items of software on my computers which has worked consistently, correctly and flexibly. The ability to customize the calendar, in so many important ways, using such great tools, makes Commence one of my favorite pieces of software ever.","After 15 years, I still don't have any complaints. And that isn't true about any other software I use.",Trial Attorney,Legal Services,Used the software for: 2+ years
commence,Very intuitive. Easy to mold to your specific needs. Powerful CRM for multiple needs ,"Multiple. It has become my primarty Database and CRM software. For a small business with multiple needs, at an extremely reasonable cost per year.",Ozair E.,5.0,"February 22, 2018","Commence user for 15 yrs. As a marketing consultant and service provider to multiple non-profit clients, Commence is the primary Database/CRM software I use for all my needs. I have created multiple Commence Databases for multiple applications on my own to suit my specific and particular needs. I have created Commence Applications for Client Management, Inventory management and GTD (Getting Things Done) for my day to day handling of projects and tasks. ALong with many applications for Personal use as well. Once you get a hang of it, it is really very easy to set-up for your specific needs, and more importantly, to change things on a fly when you need to implement a change. I do that constantly. You can change the look and feel to what works for you. The Agents creation function (which is like a Macro function is quite strong and powerful, and so is the filtering and sorting capabilities. Have to mention the connectivity function of one category to the other, which is very powerful as well. Bottom line. I am not a programmer, I am a marketer and administrator, and I can create, modify and change Commence to suit my needs. I am sure you can too...","I would like Commence to address in their future version of non web based standalone Commence: 1. Allow creation of some sort of Simple Spreadsheet into the DB. Spreadsheet format is something that we are all fond of and comfortable with, and it would be a great boost to have that functionality built in. If this exists already, and I am not aware of it, please let me know? 2. While adding text in notes, it would be great to have some flexibility to change fonts and sizes within the single note itself, that will allow some emphasis to draw attention to it. Right now only one singe font and size is allowed, which is OK, but in a long note, the change in font or the ability to increase/decrease its size or make it italic or underlining it, would make the notes much easier to read and follow.",President & CMO,Marketing and Advertising,Used the software for: 2+ years
commence,We have had employee complaints about redundancy and not as user friendly to navigate through,online document storing,Jenny R.,3.0,"May 15, 2017","Easy searchable fields are super helpful in looking up accounts and clients. Other than not, not much else.","There does not seem to be duplicate check feature. Meaning before we can create an account, if we type in the name, it should check to make sure there is not one already created. We have to do it manually our selves.",Director of Operations,Computer Software,Used the software for: 2+ years
commence,Product flexibility and customizability are 2nd to none.,"Cost effective, configurable, maintainable CRM.",Dave M.,5.0,"May 22, 2017","As a Manufacturers Representative, we have created an implementation of Commence on which we run almost all of our business operations (Opportunity Management, Sales History, Quotations, Forecasts, Tracking overseas, Leads, Target customer, as well as the usual CRM contact info). We developed this in-house from the ground up to meet our specific needs....and so can you! Why shoe horn your data needs into a non-optimal architecture? Commence RM Desktop is very easily configurable which is a top priority for us as the configuration of incoming and outgoing data requirements seems to change at least quarterly by at least a couple of the Manufacturers we represent. This demands updates to the architecture which would be prohibitively expensive and time-consuming if we could not do them in-house. Commence RM Desktop strikes the right balance with flexibility that can be implemented by non-computer scientists (or expert developers). Their top notch support has been invaluable in the 1-2 instances where we ran into some unforeseen glitches (mostly the result of user error).","While spreadsheets are the best tool to analyze data, CRMs were never designed to do that. But, the ability to compile reports with totals/summaries is a challenge to implement in Commence RM Desktop (lots of scripting required which we choose not to do due to maintainability concerns). Manually filtering data within Commence (and using the summary button for totals and averages) works great for the most rudimentary tasks, and exporting as tab-delimited TXT takes a few easy steps to get into Excel.",Operations Manager,Semiconductors,Used the software for: 2+ years
commence,"Commence - Powerful, Customizable and Reliable ","Commence's capability, flexibility and support has made working with Commence a great experience for us.",Brett S.,5.0,"August 14, 2020","Commence allows us to customize our critical CRM applications to automate our business processes for efficiency, ease of use and quality control. Also, the ability to deploy custom improvements to our system as needed seamlessly without user interruption is a key feature.",Commence offers good balance of features and capability that we rely on to grow our business. It does take determined effort implement a customized solution (with Commence or any other application) but it is worth the investment and critical to our success.,Director of Technology and Product Development,Information Services,Used the software for: 2+ years
commence,Excellant Value for the Investment!,"We would not have stayed with Commence for so many years if they did not stand behind their product! Their support team are prompt, polite and willling to help, always! MPS tracks just about everything in our Products and Services business with Commence and we are looking to add new capabilites soon, as well!",Verified Reviewer,5.0,"January 21, 2019","Commence is by far the best and most flexible CRM I have used over the years. We have been a user of the desktop version of Commence since the mid-90's and still find it a relevant and speedy solution. (The search capability is SO FAST!) Being a bit of a techy type Commence allows me to customize where and when I need to in order to manage my company's unique data requirements. As we've grown over the years, so hasn't Commence with expanding features and easy solutions.","In the original product, the synchronization of the desktop database could sometimes hiccup, although with the web version, this is no longer a problem.",Director of Sales and Marketing,Utilities,Used the software for: 2+ years
commence,Cornerstone business product - Since 1994,I never loose a contact - backup automation to the cloud I never loose a document - access to all documents generated since 1994 I can generate document and letters rapidly It integrates our data right across all platforms It integrates all business activities seamlessly.,John M.,5.0,"May 19, 2017","Excellent and readily customizable GUI. Enormous flexibility and ability to use ""agents"" to undertake otherwise complex tasks - no coding required. Agents can integrate with everything from Google Earth to Skype and automate backups to the cloud. MS Office integration allows document generation from within the product, seamlessly merging address data and word templates. Integration with Outlook is excellent. Android integration allows contacts, tasks and calendars to be actively synced to you devices. The server application is also robust with numerous syncing options from network to FTP and email. Cloud integration for documents. Commence manages >10,000 contacts >7,000 companies >100 projects and >30,000 documents in a relational database that has >130 Categories (sub-databases) for us. We can near instantly locate any document generated since 1994 and that is from contacts, companies projects etc. Value for money - hard to beat!",,CEO,Mining & Metals,Used the software for: 2+ years
commence,Long time satisfied customer,"Personally I have been using this product since 1991. Over that time period I have not found a product in the CRM space that offers anywhere near the features and functionality that Commence offers. In my humble opinion, not a better more flexible CRM in the marketplace today.",Tim M.,5.0,"February 17, 2022","The product provides the user with an easy to interpret interface which makes customization and automating tasks very straightforward. The ability to add categories with customizable fields, create interconnections between the categories and then create any number of letter templates that create a quote or cover letter with a single click are invaluable",initially struggled a bit with Mobile Link -- but once we got up and running has worked great,Owner,Automotive,Used the software for: 2+ years
commence,Recently I upgraded my Jurassic age version of Commence (standalone version) to RM 6.1,"I use Commence for calendaring, contact management, task management and timekeeping. When it comes to personal and professional information management, I essentially ""live"" in Commence. I cannot imagine working life without it.",Robert P.,5.0,"April 17, 2018","The upgrade process was efficient, professionally handled and seamless. Commence is extremely customizable. On startup, it loads almost instantly. I have a very small firm, and I use it constantly for calendaring, contact management, task managment and timekeeping. I've used Commence since the early 2000's, and Commence Corp. has consistently supported and improved its products.","I rated it tops in Ease of Use, although for a solo user like me there is a learning curve. The User Manual is very good (occasionally a bit technical).",Owner,Law Practice,Used the software for: 2+ years
commence,Great Software,We looked at many CRM programs and we felt that Commence gave us the best bang for the buck for what we needed it to go. Happy with what the program allows us to do and the reports it allows us to create.,Scott G.,4.0,"April 23, 2015","The customer service that we receive is tremendous. When we started using the program, we did not go through any formal training so we have questions on a regular basis. The service we get is courteous, prompt and always helpful. Especially when we have Flo helping us, she always helps to simply, explain and resolve the issue.","If you do not pay for training, you can only get support online. You do not have the ability to speak with someone.",Retail,Used the software for:,
commence,Best Small Business CRM solution,"We needed a solution for managing our customers, new leads and the sales process. We found Commence to be easy to navigate and use and very easy to customize on our own. This was very important to use as we did not want to hear that we have to spend a lot more money to tailor the system. They have provided excellent support with a knowledgeable and friendly staff. We are pleased with the value we have gotten from Commence CRM.",Mike Pieretti,5.0,"July 29, 2013",Ease of use Affordable Can customize without programming expertise,None,Used the software for:,,
commence,CRM At Is Best,"Good product and an even better company. Offers excellent value added services for those that need assistance with lead generation, sales opportunity management and customer service insuring that you get real value from their CRM solution. Strong endorsement here.",Cary Schwartz,5.0,"June 24, 2013",Excellent functionality at its price point Good value added services More of a partner than a vendor Answers the phone immediately with qualified service staff,,Used the software for:,,
commence,Best CRM Solution I've Used,"I joined a new company and I hope I can convince them to implement Commence.I think back to those happy days of Commence, which I have to say is the most user friendly, logical and pretty system that I have ever used. Like an i-pod, Commence was intuitive in its operation. I will stop ranting now, but I just wanted to let you know how bloody fabulous Commence is.",Tony Line,5.0,"August 7, 2013",,,Used the software for:,,
commence,Commence CRM ,"I have used many of the most popular CRM SaaS products on the market and Commence CRM has worked best fro us because you can keep things simple, or go as deep as you need to with regard to managing daily operations, sales, tracking, sales projections, managing account and contacts. The features work as you expect them to and the support has been excellent. With a single telephone call or e-mail you are in contact with a staff of people that can handle any level of support, from application questions to creating custom reports and the staff is quick and polite. This is what world class customer service is all about.",Frank S.,5.0,"October 13, 2016","Easy of use, flexibility and cost",None,Manager,Used the software for: Less than 6 months,
commence,Commence lives up to its name,"Commence is doing an excellent job. The key is to first have a marketing and sales process, ""outside"" any software. Then Commence will allow you to emulate it without forcing on you functionality you don't need for the time being.","Stefan N. Maier, PMP",5.0,"October 17, 2013",,,Used the software for:,,
commence,The most flexible of any CRM I've used ... and that has been several!,Overall... haven't found anything to compare to allow me to continuously (over 30 years) build relationships with people and business's. I could show you meetings I had with people back in 2001 if you wanted to. The support group have all been very helpful even for a small consulting company like my own.,Jerome S.,5.0,"November 28, 2018","I started using Commence in 1996 when the president of our hotel management company needed something to help him track more than 100 hotels, their brands, their owners, and their asset values. Since a hotel could change brands and owners throughout it's life cycle, the need for a many to many relationship capability was critical. Commence's architecture makes this effortless. The inherent flexibility is absolutely amazing. Still use it to this day to maintain relationships with thousands of business's in Outdoor Hospitality. Thank you!!","For what I use it for, I really don't have any negatives. Anytime I need to track a new area of our industry it is easy enough to add and link a new database and build a new relationship.",Principal,Hospitality,Used the software for: 2+ years
commence,Very happy with software and support; tremendous value!,,Randy R.,5.0,"May 5, 2017","(1) Tremendous value (2) Really, really flexible, and builtin design tools have allowed us to easily enhance the app to meet our (very unique) needs. (3) Easy to use, with excellent performance.","(1) Inability to store files (docs, PDFs, etc) directly within the database (2) Lack of formatting options (highlighting, bullets) in text fields (3) Search capability is limited; must understand (and build) complex Boolean queries to perform advanced searches instead of use of form-driven approach",President,Used the software for: 2+ years,
commence,The Sierra Superior Court finds the Commence time management tools invaluable.,"Grant fund accounting, employee time management, court case management, drug court case management and superior historic record retrieval.",Lee K.,5.0,"May 3, 2017","Customization, unlimited data management and excellent customer support. After years of modification of business practices in the California court system, the Commence product has allowed up to keep up with a changing court culture and legislation.","A bit difficult to learn, but well worth the effort. Changing templates after updates to the products has presented us with unique challenges which were overcome through customer support.",Court Executive Officer,Government Administration,Used the software for: 2+ years
commence,Awesome CRM !!!,recommended,Janel J.,5.0,"July 19, 2022","User-friendly , many features makes this software very flexible great UI.",need to improve I feel a bit laggy when using the software,Senior Data Analyst,Outsourcing/Offshoring,Used the software for: 2+ years
commence,I've been a Commence user for over 20 years. No other software has matched it's usefulness.,"I can access so much custom data. The software is quick, customizable, and efficient. Cost per user if very affordable. It's not a huge risk to dive in and get something going.",Paul E.,5.0,"September 18, 2017",Ease of use and speed. It's simple yet effective. It's not overdesigned. You do not have to click multiple times to get to the information you need. Customization is a breeze. The overall speed of the system is great. Basically no lag time.,I can't really come up with anything of substance but a better custom report write would be a benefit.,SVP Director of Construction,Real Estate,Used the software for: 2+ years
commence,"Flexible, Affordable CRM with Outstanding Customer Support","Our business was using an excel spreadsheet to manage our customers and projects and it just was not maintainable. We selected Commence CRM because of how easy it was to use and how full functioned it was. We also use it for project management and its all integrated enabling the users to see a 360 degree views of all account, contact and project management information. As indicated our experience has been very good with the product and the company.",Steve M.,5.0,"October 10, 2018","The flexibility to tailor things yourself is well above competitive products. The reliability of the product is outstanding and customer support has been very good, friendly knowledgeable staff.",Nothing to report here - very satisfied with the product and the company.,Consultant,Oil & Energy,Used the software for: 2+ years
commence,Review for Commence,"Customer support is terrific! They are able to fix any glitch the software may have, immediately. Chrissy Anello is so wonderful to work with!!",Melinda G.,4.0,"September 21, 2016",Able to keep track of everything,Having to continuously save each box before closing on the particular subject. Sometimes we forget to save and have to go back and redo it again.,Account Manager,Hospital & Health Care,Used the software for: 2+ years
commence,Commence Review,The software is fairly user-friendly. The software for tracking is good for tracking communication with customers and reporting.,Brooke D.,5.0,"October 3, 2019",The scheduling feature and the reports.,It does not automatically calculate the entire contract amount - multiplying the term by the rate.,Sales Coordinator,Oil & Energy,Used the software for: 6-12 months
commence,Best Sales Management Software,"Systems Support Solutions located in Minneapolis, Minnesota claims to have saved as much as $300,000 dollars a year by automating their internal sales processes. “We opened our doors in 2001,” says Peter Schoon, CEO of the company, “and wanted to find a software product that would become the core of everything we did in sales from initial prospecting and logging of information to producing quotes, documents and contract administration. We also wanted a solution that provided us with the flexibility to make changes within the system as our business grew, but not have to rely on expensive outside programmers to do it.” “We selected Commence CRM primarily based on the products functionality and GUI that seemed very intuitive and easy to use. In addition, the system offered customization configurations that were straight forward which gave us the comfort of knowing we could modify the system when necessary and not be trapped. The Commence software has been extremely reliable and we estimate that we have saved as much as $300,000 dollars a year with its use and we have been using the product for more than a decade. You could not ask for a more powerful arsenal of tools for managing your business.”",Peter Schoon,5.0,"February 20, 2013",,,Used the software for:,,
commence,"A Custom, User Friendly, CRM Solution Set",Allowed for users off all skill levels to engage with the product! This is essential for a medium sized business today.,Justin G.,5.0,"August 1, 2018","Robust functionality, room for growth at the same time Commence is flexible enough to addresses the unique requirements of our business. The level and quality of the on boarding service that Commence provided is top shelf. The ease of this transition had afforded us a rapid return on our investment. Features like this are the differentiation between Commence and those that simply download and walk away.","To this point we can truly say that we have not found fault with Commences platform. While ""glitches"" in any system are unavoidable, I Know Commence will be right there either on the phone or over email.",Marketing and Analytics,Used the software for: 6-12 months,
