product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
convergehub,Very positive,,Wendy S.,4.0,"February 9, 2018",Extremely easy to use. Adding files by drag and drop is great and being ale to view files without downloading them is wonderful!,Getting help is tough. Customer service is hard to get in touch with since they work on their own time zone.,Used the software for: 1-2 years,,
convergehub,Life Saver!,"ConvergeHub has been a life saver! Everything's all-in-one making it easier for me to manage my entire business in one place. I'm all about being productive day one. In that regard, most software frustrates me because of the time it takes to learn the software and implement it. With ConvergeHub, that's never been an issue. I was able to pick up on how to use the software within a few short minutes.",Ismael C.,5.0,"January 30, 2017",No learning curve!,,Used the software for:,,
convergehub,Could Make It More Salesperson Friendly,To enter data and follow-up information is horrible. Trying to enter data quickly and move on to next file is hindered by having to click on the SMALL green Checkmarks.,Gerald S.,3.0,"December 19, 2016",,,Used the software for:,,
convergehub,Increased Productivity In My Business,Finding a CRM that had all the features I needed was a challenge. ConvergeHub had every feature I needed and has helped a great deal in increasing productivity in my business.,Rob A.,5.0,"January 30, 2017",The product is full-featured. I can perform practically any function in ConvergeHub and I can manage my entire business with just one product.,"Nothing, it's perfect!",Used the software for:,,
convergehub,Great All-In-One Solution!,ConvergeHub offers the most value for the price. ConvergeHub has been a life saver! Everything's all-in-one making it easier for me to manage my entire business in one place.,Josh C.,5.0,"January 30, 2017",I love that everything's all-in-one. There's no need for any other software and the complete solution is included in the package without having to get add-ons.,,Used the software for:,,
convergehub,Great support and friendly team!,"The support team is very responsive and extremely friendly. If you're looking for a CRM that has great support, you've found your match. Love that I can enter information in once and have it reflect everything. I don't have to duplicate entries.",Wiladys C.,5.0,"January 30, 2017",The support here is unmatched! You get personalized service and fast response,,Used the software for:,,
convergehub,Greatest value,ConvergeHub gives you the greatest value. The product is impeccable and the price is great! Definitely worth more than what they charge Finding a solution to help me manage my leads and do all my marketing was extremely important to me. ConvergeHub gives me that without having to pay an arm and a leg.,Barry M.,5.0,"January 30, 2017",,,Used the software for:,,
convergehub,Easiest To Use CRM,ConvergeHub is the easiest to use CRM out there on the market. I really enjoy having all information on one page.,Jennifer C.,5.0,"January 30, 2017",ConvergeHub is extremely easy to use. I was able to get up and running on it very fast and it's made a huge difference for me and my team.,,Used the software for:,,
convergehub,CRM for SMBs,The software is really handy and I liked it a lot. After implementing Converge Enterprise in our business our customer base grew by 200%. With features like email marketing and DRIP marketing campaigns you can always reach out to your customers most effectively and nudge them to become your loyal advocates. Social media integration lets you receive real-time feeds and stay updated on your deals and contacts.,Ansuya Sing,5.0,"June 28, 2013","There are loads. It’s, in my opinion, the most feature enriched CRM for SMBs.",They need to integrate e-commerce platform to the application and also must extend 3rd party app integration options. Right now the choices are limited.,Used the software for:,,
convergehub,Most Value For The Price,ConvergeHub offers the most value for the price. ConvergeHub has been a life saver! Everything's all-in-one making it easier for me to manage my entire business in one place.,Rob G.,5.0,"January 30, 2017",Great value!,,Used the software for:,,
convergehub,Worth every penny!,ConvergeHub is worth every penny! I was tired of using other CRMs that didn't have all the features I needed or required add-ons (which aren't cheap) to do it. ConvergeHub is where it's at!,Hector M.,5.0,"January 30, 2017",,,Used the software for:,,
convergehub,Most complete and easiest Cloud CRM I have ever used!,I have been looking for a complete Customer Engagement solution on Cloud for a long time and finally I came across ConvergeHub. Couldn't ask for more! Their excellent Support team and a product to die for! It has everything that I was looking for... I now don't need a CRM and then a mailchimp or constant contact account or a google apps/box or even a zapier kind of solution. It provides a well oiled sales and marketing solution. Thank you ConvergeHub for providing such an excellent platform! Great job...,Jerry O.,5.0,"June 29, 2015",,,VP Sales and Marketing,Used the software for:,
convergehub,User-friendly,ConvergeHub is user-friendly and great for people who aren't tech savvy. I love how customizable the product is. You can really customize any module.,Michael M.,5.0,"January 30, 2017",,,Used the software for:,,
convergehub,Flexible Cloud CRM solution,"Having a diverse sales team, we were finding it difficult to manage all our custom processes and workflows through some of the existing packaged Cloud CRM products. We then came across Converge Enterprise and have been using the plaform for over six months and the experience has been a good one. The CRM is highly sophisticated and able to handle all our custom workflows very easily without the need for expensive customization and most importantly Converge Enterprise support has been very responsive. I can recommend Converge Enterprise to virtually any business looking for a powerful and flexible CRM solution.","Salvatore Carrabba, CEO, Salamander Designs",5.0,"April 20, 2013",,,Used the software for:,,
convergehub,Cloud CRM,"We have a very aggressive sales and marketing team requiring real time updates to team calendars and meetings. With Converge Enterprise we get the flexibility of using it from any device any time and having all our documents, templates and canned emails stored in Converge Enterprise, it makes everything so easy on Converge CRM. I am excited to see my sales and marketing team becoming more and more productive. Thanks to Converge Enterprise!","Greg Demetri, CEO, ClkClk Inc",5.0,"April 20, 2013",,,Used the software for:,,
convergehub,great to work with ,friendly easy to access great customer service very knowledgeable always available always calling back on time,daniel K.,5.0,"December 12, 2016",user friendly,,President,Banking,Used the software for: Less than 6 months
convergehub,"Extremely fast, user friendly, easy to customize, great functionality, great support, great price!","ConvergeHub's software is extremely fast, user-friendly, easy to customize, provides great functionality, and their support team is great. To top it all off, the price point is very competitive. I've used and customized many CRM platforms in the past, and we are extremely happy with our decision to run our business on the ConvergeHub platform.",Nate T.,5.0,"December 15, 2016",,,Used the software for:,,
