product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
mdidentity,A Required Reputation Management Application for Healthcare Marketers,I cannot believe how much this company has changed over the last year. Features are added constantly and they actually take the time to listen to their clients on how to make the software better. It doesn't get any better as far as support goes. You will speak to someone or get an email back the same day. They are an absolute pleasure to work with and I recommend them to any practice big or small.,Jeremy C.,5.0,"January 3, 2019","I like how much control the end user has. For the tech savvy and non-tech savvy, you can easily customize your feed, change resource notifications, turn listing collection on/off, generate review reports and graphs, control integrations with Facebook and GMB, customize email review solicitations, and add listing management with many different review sites including those on the medical side.","This really isn't a con but for someone who has done a lot of email marketing, the email module could use a few tweaks. It is perfectly acceptable/usable but has room for growth (which has made leaps and bounds already). I will say that I have spoken extensively with the Product Development Manager and they are working on ways to improve it. That is why I cannot say enough good things about this software/company.",Marketing Manager,Medical Practice,Used the software for: 1-2 years
mdidentity,What a relief!,It has only been a few weeks since we have implemented their integrated review system but we've already seen more reviews on our business listings in the last month than we have in the past 3 years! The program is easy to use and has a lot of value. [SENSITIVE CONTENT HIDDEN] is a great guy to work with and he's very thorough and responsive. It turns out our patients have a lot more positive things to say than we realized and using an automated system just makes it much easier on all of us!,Hope H.,5.0,"February 10, 2021","The integrated automation is a game changer for us. Dashboards and capabilities are pretty easy to use and everything is customizable, which is great for a control freak like myself. :) Plus, I can easily toot my own horn by exporting and sending all of our reviews to our bosses so they can see what a great job we are doing too!","My biggest complaint has been solved with the integration feature, so no complaints here!",Marketing Director,Medical Practice,Used the software for: 2+ years
mdidentity,Increase your Google Reviews,Google reviews have increased tremendously and widgets have been extremely useful to show off our review on our website.,Marti N.,4.0,"December 21, 2021",Easily automated review generation and clear reporting.,Setup and tweaking to make sure proper population is targeted is time/labor intensive.,IT Manager,Medical Practice,Used the software for: 6-12 months
mdidentity,Easy. Affordable. Impactful.,"Form the implementation to the support, the MDIdentity team has been a dedicated partner to helping us achieve success.",theresa A.,5.0,"December 21, 2021",MDIdentity make it so easy to manage our online reputation. We've been using it for five years now and I won't even consider another product. Our patients are contacted daily and we have great success collecting and managing reviews that help us to sell the value and quality of our medical services to others.,Nothing! I mean it. It has everything I need.,Executive Director of Marketing,Hospital & Health Care,Used the software for: 2+ years
mdidentity,MDIdentity - A great system for reputation management,"The software is extremely user friendly, and the team that supports it is both knowledgeable and quick in their response times.",Bev H.,5.0,"December 21, 2021",The real-time review notifications along with the ability to manage our patient feedback by location is an extremely useful benefit of this software. We are able to rapidly respond to patients and engage in meaningful interactions.,"No complaints. I would personally organize the combined data differently, but everyone's aesthetic is different.",Marketing Director,Medical Practice,Used the software for: 2+ years
mdidentity,MDidentity 2021,"GREAT response, very friendly, prompt with changes/additions to requests.",Elena L.,5.0,"December 21, 2021",I like how quick it makes us aware of what is posted about our online reputation.,"I would like there to be a option listed as to ""if the patient would like us to contact them to discuss the visit"". We call every patient that feels that they had a unfavorable experience for one reason or another. I just know there are some patients that don't want to be contacted.","Director, Practice Development",Hospital & Health Care,Used the software for: 1-2 years
mdidentity,Great reputation management software!,MDidentity has overall helped our organization increase the number of positive online reviews from our patients.,Yarely V.,5.0,"January 5, 2022","MDidentity helps bring all the reviews from different platforms, for easy access in a dashboard format. Makes it very easy to compare reviews and helps us understand what our patients think of us. Widgets that are included are also very helpful to showcase in our website the different positive reviews patients are leaving. I also love that we can choose what review goes where depending on the initial stars patients give us.",Sometimes there is a lag with the widgets and the data does not display the correct number of reviews. Customer support can be difficult to get a hold of but most tools in the software are user friendly.,Marketing Data Analyst,Hospital & Health Care,Used the software for: 2+ years
mdidentity,The program works!,"Great experience, will definitely continue to use and recommend",Beth A.,5.0,"December 22, 2021",The increase in number of google reviews and the ease of use to get that to happen.,"Since we don't have to put in much work with it, I have to remind reintroduce myself to the dashboard the rare times I need to change a setting",Practice Administrator,Medical Practice,Used the software for: 1-2 years
mdidentity,MDidenity Review,,Alex S.,5.0,"January 4, 2022",The product is very user-friendly and has a lot to offer in the world of review services.,There is always room for new reports and new features to be added.,Account Manager,Computer Software,Used the software for: 2+ years
mdidentity,MDidentity - Satisfied with software,,Stacey L.,5.0,"January 7, 2022","MDidentity is great because it filters in all reviews from other sites, such as google, yelp, etc. Our company uses MD identity in conjunction with MDProspects, which is great because this allows e-mails to automatically go through when I change the status on MDProspects. Once the status based on how we set it up, it portals to MDidentity and sends out an e-mail right away. This is important to me because I have a lot going on in the office, as most people do, and it is nice to have this automatic feature that I might otherwise forget about sending.",Integration with MDProspects wasn't difficult. I need to personally work with the team at MDidentity in order to create different types of review requests and find the most efficient way to do this.,Office Manager,Hospital & Health Care,Used the software for: 2+ years
mdidentity,MDidentity Review,,Hollie N.,5.0,"December 21, 2021",Great system to effectively increase and generate good reviews. Integration and setup was quick and easy. Widgets are able to be customized to my website.,Nothing -- I am happy with the software and have received great customer support.,Marketing,Marketing and Advertising,Used the software for: 1-2 years
mdidentity,Worker Friendly,,Jennifer M.,5.0,"December 21, 2021",It's very easy to use and follow. Helps keep all reviews and leads in one place. Graphs are GREAT also!,I HONESTLY don't have anything bad to say. Everything that I use MDidentity for is well put together and easy to follow!,Lasik Coordinator,Hospital & Health Care,Used the software for: 6-12 months
mdidentity,"Easy to Implement, Great for Clients",,Bethany P.,5.0,"December 27, 2021","MDidentity is my go to recommendation for clients to improve their online reviews and enhance their websites. MDidentity has beautiful review feeds with multiple options that do not sacrifice site speed, and my clients dramatically improve their quantity and quality of reviews on the platform. Most reputation management companies offer unappealing, slow review feeds to add to sites that ruin the aesthetic - that cost more. MDidentity is affordable and unbelievably easy to install as a web vendor.",Would love to see the integrations list continue to expand!,Director of Client Services,Marketing and Advertising,Used the software for: 2+ years
mdidentity,MDidentity Review,,Mariah M.,5.0,"December 21, 2021","The integration options, easy to use and understand analytics",It would be nice to see some additional features added in down the road,Digital Marketing Strategist,Marketing and Advertising,Used the software for: 1-2 years
mdidentity,Excellent Tool to Assist With Practice Branding,Greater traffic generated to the web for patients to leave Google reviews.,Joe C.,5.0,"January 19, 2021",Outstanding product that is fully integrated with AdvancedMD practice management software and other major vendors. Integration and setup is seamless and effective producing great results. Fantastic customer service and reporting. Well worth the investment. We recommend MDidentity highly to our clients!,There are no cons that I am aware of at this time.,President & CEO,Hospital & Health Care,Used the software for: 6-12 months
mdidentity,MDidentity review,Great experience from the start and training.,Katie M.,5.0,"May 17, 2021",It is very user friendly and low cost. Great!,I like it all so far. No problems with the software.,Practice Manager,Medical Practice,Used the software for: Less than 6 months
