product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sherpadesk,SherpaDesk is the most economical and effective ticketing solution that we've ever used.,"We transitioned from the BigWeb Apps, so it took a little time to learn how to effectively use SherpaDesk.",Doug N.,5.0,"September 18, 2017","SherpaDesk is adaptable for all users and groups of users. It's simple to enter, update, work on and close a ticket, and assets can be attached to a ticket. It's all web-based, so there is no client, so it's very device agnostic. The reports are informative and easy to generate. The process is now simpler to transfer tickets, including a feature to automatically route tickets to a user or queue.",,Used the software for: 2+ years,,
sherpadesk,NEW LOOK RATING,Overall rating prior to the changes. Great communication tool and organizing a team effort is easy using this,Verified Reviewer,4.0,"January 29, 2026","The software was great until this latest version, especially not receiving any notification. The new look is too "" busy"", however we will probably just have to adjust","As far as the don't like , its been previously described INTHE ABOVE comments.",OPERASTIONS Management,Education Management,Used the software for: 1-2 years
sherpadesk,Review on a great project,Honestly I like the program it has an app too so that's pretty cool any software that has an app also is a win-win in my book just as long it works,Stephen H.,3.0,"October 14, 2024",Well first ill say the setup was pretty easy. I had one of my employees tag along with me to do the setup he said also he likes the pricing of it so he was thinking about doing it for his company,Wish I could reprogram some of the customizations it could be a lot more functionable with customization,Ceo and owner,Computer & Network Security,Used the software for: Less than 6 months
sherpadesk,Foundation of control for our IT support business.,,John D.,4.0,"July 26, 2017","- Easy to use. - Great support. - Full featured with options to enable only what is needed. - Continually updated. - A pleasure to use. - Easy for end users, engineers and customers. - Was up and using in 7.6 minutes. SherpaDesk is great. It has changed the way I do business. I have tried and reviewed many different helpdesk/ticketing solutions and SherpaDesk is the best fit for us by far..",I struggled to find a sensible con to post. No deal breakers. Some features need improvement (which seems to be continually happening) as they are a little rough around the edges or overly complex. During my use we found one bug and made one suggestion which were both fixed/implemented in a timely manner.,Used the software for: 6-12 months,,
sherpadesk,"Simple, powerful ticketing","If you're looking for a good web-based ticketing solution SherpaDesk deserves a look. It is straightforward and simple, and has been a great solution for us. If you use it for it's intended purpose, it is robust enough to do an excellent job and yet simple enough to have a very short learning curve.",Micah Y.,5.0,"May 2, 2016",Easy to understand for techs; good presentation of information in dashboards; It does what it is supposed to do effectively and for a good price. You can get very good reporting and offers very credible tools to help a manager manage workflow.,"End users still have to understand the emails. Since the bulk of IT ticket work is generated by the lower end of the user base, easier to understand discussion chains would be nice. I haven't seen anyone really do it better - the time/date stamps make it easy for me, but I'm not at the low end of the user base (at least I like to think I'm not).",IT Director,Newspapers,Used the software for: 1-2 years
sherpadesk,These Guys are Awesome,"Cavern is the largest underground Co-location Facility in the world. A few years ago our customer satisfaction survey revealed that traditional Ticketing System was an process with room to improve. Since migrating to SherpaDesk we have received A+ on our customer satisfaction results including our ticketing system. In fact, a few of our 120+ clients have decided to use it along with other Sherpa Products and each one has told me personally that they love it! Note, recommendations from me are hard to come by but the Sherpa Team has earned this one. Feel free to reach out directly with any questions. Brent Jeffries- Cavern Technologies",Brent J.,5.0,"February 4, 2016","Ease of use for clients. Reporting and tracking are simple with a very small learning curve. If there is a report you are looking for, they will gladly help as they realize others may be looking for the same thing. This is a well refined SaaS solution.","N/A, I don't have any complaints or areas I wish were improved.",SE,Information Technology and Services,Used the software for: 1-2 years
sherpadesk,Great product,,Raul S.,5.0,"October 12, 2018","All in one with ticketing, time tracking, invoicing and customer notifications",As many fields can be customized so that I can use it in other laguages then EN the main fields on emails I can't. Not a deal breaker but then....,Consultor freelancer,Information Technology and Services,Used the software for: 1-2 years
sherpadesk,End of a long search,"Well, I'm an italian IT Tech. I need to take care of my customers, I need to track whenever they call me or send me email requests, track time spent for assistance, and so on. So I needed something super fast and easy to use real time while receiving phone calls, emails or doing remote/on-site assistance. I spent 3 months through different solutions. I actually needed just 1 seat to try, test and choose; we're a very small IT consulting agency, so a fair price is mandatory. We had our 1 seat and the full potential of the service permanently free (and we'll add more seats soon). Well, it's been easy to manage and configure from the beginning. You don't need to understand everything from time-0 to use it, you easily become familiar with everything in the first few days, tweaking the setting on your needs. It's not the most complete solution of all, but it's a perfect blend of speed/ease of use/price/flexibility for a small reality like we are.",Christian P.,4.0,"May 20, 2016",Ease of use; no limited functions or super priced options; very fast; pretty flexible for customization; white-labeled; affordable price,Some redundant unremovable fields in ticket classification; I really miss not being able to translate customer's GUI; Email reports customization shoud be improved to be more flexible.,"IT Consulting, Helpdesk, Security and Web Specialist",Information Technology and Services,Used the software for: Less than 6 months
sherpadesk,SherpaDesk has proven to be a solid decision for our District,,Darryl Z.,5.0,"April 24, 2017","Easy implementation, will all the support features we needed, with an easy to use interface. The solution comes with multiple avenues you can interact with your tickets, and provide updates a crossed any platform with an internet connection. A completely cloud hosted solution, based on a subscription model. This makes it easy to manage from the IT administrative end. The support we've received thus far has been great.","So far, nothing major to note. They are making some enhancements to their reporting, which will be nice once it's made available.",Senior System Manager,Education Management,Used the software for: Less than 6 months
sherpadesk,Sherpa Desk is a great support desk app.,I have been using Sherpa Desk for over a year to handle support requests for my membership sites. It has a very intuitive design and is very easy to learn how to use all the features. It has done a fantastic job at enabling me to handle all my members support inquiries and I would highly recommend it to anyone seeking a support ticket system for their business.,Callum R.,5.0,"February 5, 2016",Very easy to set up.,There is nothing that i have tried to do that it has not been capable of achieving.,Used the software for: 1-2 years,,
