product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
superoffice_crm,It really is the most user friendly CRM that you can imagine.,"Insight and overview in all processes, pre-sales and after-sales. Better and more personal communication with prospects and customers.",Marcel S.,5.0,"July 16, 2018",User interface is great. Very easy to use and administer. Users can work with the CRM functions within a few hours. Integration with Office applications and Office 365 is more than perfect. You can use Outlook like you always did and still your emails are stored in CRM linked to the right customer and project. I love the fact that you never really have to search for anything. All parts of the application are never more than two clicks away.,Only one thing that bothers me using SuperOffice: the standard reports are very basic. We use the dashboards a lot -they are great- and there are some Apps in their own app store that allow us to generate the reports we need.,Co Founder,Used the software for: 2+ years,
superoffice_crm,The Competitive Approach ,SuperOffice CRM is the professional relations managing approach,Jessica M.,5.0,"November 17, 2024",SuperOffice CRM has the interests of all the clients,SuperOffice CRM is determined without mistakes,Operations Associate,Graphic Design,Used the software for: 2+ years
superoffice_crm,Not good - many necessary features not available,"The overall experience for me is that I would never choose SuperOffice again but rather the solution Microsoft offers. It is more expensive, but trust me, it is worth it!",Lukas D.,2.0,"October 5, 2021",The best thing about the CRM is that it is very easy to use and has a very easy to follow structure (Firm/People and Sale/Projekt).,"Many basic features which one thinks every CRM provide are not available. The most critical problem is that selections are extremely limited. For example, one cannot make a selection of all ""Projekt leaders"", which would be critical for us in order to send all of our customers who are Project leaders a standardised e-mail. Many further issues arise there once you have spent some time testing the selections (many limitations became apparent only after using the CRM, not during the evaluation process). A further issue are the many bugs which the system has, for example the data-export does not work properly even though issues have been posted on the community platform for 5 years!",Projekt Manager,Professional Training & Coaching,Used the software for: 1-2 years
superoffice_crm,You can almost say it 'runs the company'! ,"We run the business on SuperOffice, dealing with customer communications (incoming and outgoing) and sales pipeline management, but most importantly the event management using the projects area.",Matt C.,5.0,"April 27, 2020","I like the fact that we can out every process in to the CRM, from sales to event management, data capture and enquiry management.","The Community needs a bit of work adding more complex resources in, but as a starter guide is useful and support do assist.",Managing Director,Events Services,Used the software for: 2+ years
superoffice_crm,Stellar CRM,"SuperOffice has been a great hub for collecting, organizing and making sense of valuable contact data and insights, whilst providing all the features and tools needed to manage information about people, projects, relations and other aspects that are important to our line of business.",Eva Y.,5.0,"April 8, 2020","It is reliable, easy to implement and use and optimizes all our contacts, relationships, projects, tasks etc.",Perhaps the marketing module should be included in the base package.,Business Process Developer,Education Management,Used the software for: 2+ years
superoffice_crm,Innovative CRM but needs significant improvement ,"Currently we have stopped using it due to certain bugs in this product, hopefully they have sorted it out.",Devesh V.,3.0,"February 20, 2023","It was simplified and easy to use, conference call feature is pretty useful too.","Cross connection in calls, balance gets deducted after every call, owing to call forwarding, which is not the case with other crms.","Head of Operations, Analytics & Technology",Education Management,Used the software for: Less than 6 months
superoffice_crm,Get customer requests sorted and never loose a request.,Customer support works much better.,Günther L.,5.0,"July 16, 2018",Quite easy to handle. Easy to edit cases and the connection to customer relations. All necessary information is visible.,None automatic update in the browser of the CsTags as the program is web based. Configuration of the user not that easy.,Digital Communicator,Used the software for: 2+ years,
superoffice_crm,Easy to use and excellent support,,Pär G.,5.0,"August 1, 2019",Easy to use and learn. Very effective use of the computer screen area with no or very little scrolling. The integration with MSOffice makes SO very effective.,"Built-in, easy to access version history.",CEO,Electrical/Electronic Manufacturing,Used the software for: 2+ years
superoffice_crm,review Super office,"our CRM is in there, we work with projects",Magriet V.,4.0,"December 4, 2018","functionality, ease of use. great to have an online version also for the people on the road.",it takes a while before you understand working in SO as an admin.,Productmanager Farma,Pharmaceuticals,Used the software for: 2+ years
superoffice_crm,Userfriendly CRM,"We had a lot of seperate lists at our office. it was a lot of work to adjust all of the listst, now, with SuperOffice, we only have to do it once. Another Pro is that we, as marketing, are not the only one who is responsible for all the adjustments. Sales can do it to and we always have an up to date overview.",Sabrina M.,4.0,"November 14, 2018",It is really easy to use. A lot of information can be found on internet. A lot of possibilities (customizable). Pirce (if you use the standard version.,"customizable, but expensive and as marketeer I have to say that the marketing tool is limited",Marketing & Customer Sales Service,Import and Export,Used the software for: 6-12 months
superoffice_crm,Simple to use and good integration options,"All in all, we are very satisfied with the solution. It has very good API connection options that are also very well documented. The many extensions via apps enable easy integration of other systems.",Georg D.,5.0,"November 14, 2024",The user interface is clear and very intuitive to use. This enables a very short onboarding of new users. Screens can be customized very easily.,Support is good but sometimes we would like to have shorter communication. Sometimes it takes a little longer until BUGs are fixed.,CTO,Computer & Network Security,Used the software for: 2+ years
superoffice_crm,CRM for different business realities,"On average, the experience we had with Superoffice is positive. it allowed colleagues to work more as a team by sharing the information entered in the CRM for the good of the company.",PAOLO P.,5.0,"February 11, 2021",Superoffice has been the reference point for us as CRM for at least a couple of years. Its ease of use and integration with the e-mail client has allowed the sales department to perform various activities on customers thanks to the information collected and available in an optimal way. It is the first CRM that allowed us to integrate the data of our management program.,"In some cases the integration with the mail did not work correctly, this is one of the aspects that led us to evaluate other CRMs.",Software Engineer,Electrical/Electronic Manufacturing,Used the software for: 1-2 years
superoffice_crm,An easy to use CRM with many functions!,Could not do without it today. Used daily and often in the phone.,Simon W.,5.0,"April 3, 2019",The selection tab is my favourite. Filter almost anything once you get your head around it. % before searchword is also a good way to find companies in your crm. It also syncs well with our NAV invoicing program so I can see sales month to month easy.,"If you don´t know the company name it takes a bit longer to find out, say if you know where they are situated but haven´t got the name. The pocket version is a bit limited and could be better.",Sales,Retail,Used the software for: 2+ years
superoffice_crm,A few clicks a day makes your work saved and safe!,"The evaluation work, how profitable a project becomes from sales to completion is easy to monitor. Also involving project mempers and provide them with relevant information is easily done.",Ramin R.,5.0,"December 18, 2019","Easy to find a specific e-mail correspondence without spending hours of search. When travelling abroad, you can reach the information needed easily over the internet.","Maybe the connectivity to the server while travelling abroad, but I suppose that is not something Super Office could do much about.",Head of Design Office,Airlines/Aviation,Used the software for: 2+ years
superoffice_crm,SuperOffice is a joy to work with,"When SuperOffice is working it is absolutely amazing and really helps to optimise your work. But when SO is down, it is stressful because you can't access the information you need to do the job.",Liesbeth W.,4.0,"April 2, 2019",It is easy to use. You can find information fast. It is a pleasure to work with.,SuperOffice has had some issues lately. You can't access the website for a while. Therefore you can't work as efficiently as you would like.,sales & marketing,Retail,Used the software for: 2+ years
superoffice_crm,Easy to adapt to your needs,"SuperOffice is a tool you can use for so many different things, leads, orders, correspondence, e-mail send-outs, Sales.. and since I am am big fan of efficiency , this is what I like most, SuperOffice makes it easy to be efficent!",Hanna G.,5.0,"June 14, 2019","Easy to use, easy to adapt to your own needs and set up for your type of business.","Hard to say, maybe that the settings for import could be a bit more advanced.",Inside Sales and Sale support,Mechanical or Industrial Engineering,Used the software for: 2+ years
superoffice_crm,We have previously used the server based system and the on line version for the past 3 years ,Improved our relationships with our clients and suppliers Great user experience,Nick W.,5.0,"July 4, 2018","Clean and intuitive user interface, I do prefer the online version though as it's always up to date and saves time and cost of having the version updates applied and it has a reliable and easy to use mobile app, which I find really useful.","Like most CRM systems, you need to put the time in to customize the system and get to know it, which obviously takes time, but I have to say it's time well spent.",Sales Director,Telecommunications,Used the software for: 2+ years
