product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
agile_hr,Truly Agile platform and company,"Agile HR provides an excellent solution for our needs. Instead of overpaying for a bunch of fixed functionality we will never use, Agile has continually worked with us to develop the perfect solution for our unique industry and business model. The only reason for 4 as opposed to 5 stars regarding use and features is that there is still functionality being developed. Agile HR has aptly named their company, they are flexible, responsive and incessantly working to evolve and expand their platform.",Alexis A.,5.0,"January 17, 2017","Flexibility, simplicity in design, responsiveness and customer service.","Improvements take change, change always comes with wrinkles. I will take the ability to change and improve with a few wrinkles (that are always attended to) as opposed to stagnate functionality cemented-in for main stream uses - as opposed to our specific needs.",VP Talent,Used the software for: 1-2 years,
agile_hr,A VERY Robust ATS,"Agileats has SAVED us from a mountain of manual on-boarding processes and work; we absolutely LOVE this system. We outgrew our former ATS, which we've had for over 6 years because it was incapable of making some minor enhancements that would help us (HR), work much more efficiently and after repeated requests for this upgrade falling on ""deaf"" ears, we decided to research other ATS systems and thankfully, we found AgileHR......we have not looked back since. From the communications and conversations with our sales rep. Melanie Webster to their implementation team, they have been TRUELY service oriented; it is an absolute pleasure working with them on our implementation, maintenance and customization for our needs....I cannot recommend this company and this system more....we are very pleased with our decision to partner with Agile, and am convinced you will be as well!",Chris M.,5.0,"March 28, 2017",we love its flexibility and the many automated features from e-mails to task assignments,"well, this is a tough one, but we wish there was a ""User Manual"" or a video depository for using the system, because there is soooooo much the system can do, and it can be a struggle to remember it all, especially as a new user","Director, Human Resources",Entertainment,Used the software for: Less than 6 months
agile_hr,"Price is right, but lacking some features",The Agile system has been easy to learn but is lacking some of the basic features of an ATS. Customer support is great but slow to implement some of our requests. The price is excellent so we are giving it another year to work out the kinks.,Kelly M.,3.0,"January 9, 2017","User friendly, easy to pick up how to use system","A lot of time is wasted because the system does not remember any time you ""sort"" so you have to constantly re-sort after you click on something. Very cumbersome and time-consuming! Reports are unable to generate by entire year if you have a lot of data, so you have to run one month at a time and combine all the excel spreadsheets! Those are just the few that come to mind.",Employment Specialist,Government Relations,Used the software for: 6-12 months
agile_hr,Top ATS in RFP Process,"After reviewing about a dozen ATS products, we landed with Agile HR. You simply won't find a better ATS for the price. If you're frustrating with the customer service you've been receiving with your current ATS product, wish you had better reporting, or wanted a more updated look for your applicants, do yourself a favor and give Agile HR a call.",Sarah H.,5.0,"January 6, 2017",The ease of use and the customer service.,"The email component is sometimes a little fickle, but still works well, especially compared to what we had been using before this.",HR Administrator,Banking,Used the software for: 1-2 years
agile_hr,recruiting software should do more than jost post open poitions.,"This company consists of HR people, so they know there business.",larry P.,4.0,"April 19, 2018","Has a great showcase for KPI dash boarding. It eliminates bunches of paperwork, leaving more time to actually be productive.","The learning curve is tough if you are not tech savvy. Although the system is intuitive, you still ne to be techie.",L&D,Banking,Used the software for: 6-12 months
agile_hr,Agile,product is user-friendly and easy to use. I would recommend using this product. This product is good for small to mid size businesses.,nathan L.,4.0,"November 16, 2020",this product keeps information organized and all together. I enjoy all the reports that come out the product. They are very helpful.,the mobile access could be better. it does not work to weel on apple products.,senior applications manager,Oil & Energy,Used the software for: 1-2 years
agile_hr,Excellent System,Excellent system,MARQUIS U.,4.0,"June 7, 2017","This system has helped streamline our human capital needs and practices. We were able to reduce our cost, and streamline services.","The functionality is great so we are fully satisfied. We find the system to be user-friendly, and feel that all the programs work well for our organization.","VICE PRESIDENT, HUMAN RESOURCES",Philanthropy,Used the software for: 6-12 months
agile_hr,Great System for HR,,Verified Reviewer,4.0,"March 15, 2018","I work in HR and a system that can provide tracking, onboarding, and employee performance management is great! Agile HR allows me to automate certain tasks, remind me of my tasks and overall become more efficient. It's easy and Agile provides support and customization.",This gives us a personalized service that is worth the money and so no cons right now. It is easy to use but maybe more training manuals.,People Business Partner,Marketing and Advertising,Used the software for: Less than 6 months
agile_hr,Behind the times,,Tiffany C.,2.0,"August 8, 2017",The product is inexpensive so if you have a very small business or operate on a very small budget this might be a good option.,Lacks features to make the different functions of recruiting for fluid. You can't send dismissal letters from the candidate profile from the click of a button. You can't view what other position an applicant has applied for in their profile. These are just a few of the issues.,HR Generalist,Banking,Used the software for: Less than 6 months
agile_hr,Agile review,"Overall, we are satisfied with the product. It is pretty easy to use, and Agile offers a broad range of products. I think that the customer service response time or availability could be improved, as well as a few of the features that are not intuitive or obvious. Overall, I think it is a 4/5.",Kristen S.,4.0,"January 6, 2017","I like that it looks good on our website, and provides a good candidate experience.",The support of the software could improve and some of the features could be made more obvious.,Used the software for:,,
agile_hr,Very good and easy to use application,,absar H.,4.0,"January 12, 2018","Has many features such as cloud access, time attendance dependent payroll system. employee performance chart.","In spite of its long range of different and easy to use features, it is very expensive, a small business or an organisation would not be able to pay for the complete software. Kindly reduce the rates.",IT Executive,Hospitality,Used the software for: 6-12 months
agile_hr,Agile ATS is everything I want and need.,I highly recommend Agile ATS.,Brenda E.,5.0,"September 21, 2012","Agile is easy to learn and easy to use. They are building new functions into the product everyday. They listen to their customers and if you need a report, a templete or a tweak, they can have it to you with no hassle within days. Agile doesn't charge for these updates like some of the other companies. They are very responsive to the needs of their customers and have outstanding customer service!",I haven't found any yet.,VP/Operations,Used the software for:,
agile_hr,ABSOLUTELY THE BEST!!!!,My experience with Agile has been overwhelmingly the best! Everything from the start of our journey with getting things setup to following up just to check in has been the best. I have never worked with staff that have made me feel so secure in knowing that they are just an email or phone call away. There are not enough stars to give them. I would recommend them if you want the best for your company.,Valerie A.,5.0,"March 23, 2017",The software is very user friendly even if you are not a techy person.,,Administrative Coordinator,Used the software for:,
agile_hr,Excellent specialized customer service!,"Eric and his team at Agile have provided us with an excellent product for our ATS needs. Agile quickly gives us the information we need on requisitions and candidates, and has proven to be extremely intuitive and easy to use. Our team appreciates the exceptional technical support they provide, as well as the willingness to make adjustments for our specific needs. We are extremely happy we made the switch to Agile and look forward to a long partnership with the company.",Laura P.,5.0,"January 22, 2014",,,Talent Recruiting Specialist,Used the software for:,
agile_hr,Commitment to Satisfaction,"If you are looking for an affordable and flexible solution, this is it!",Eric M.,4.0,"January 18, 2013","Agile has the best customer service I have seen in an ATS company. Always available at with a phone call and email, and very responsive to company specific requests.","None observed. This is not an ""out of the box"" product. A company needs to be prepared to articulate their needs, but this is in no way a con.",Recruiter,Used the software for:,
