product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
charthop,Foundation for Starting at a Company,,Hannah K.,5.0,"June 15, 2021",I like that with a simple search of a department or person I can see the highlights of their job and where they are located.,Don't have anything - it works great for me.,Strategic Marketing Specialist,Computer Software,Used the software for: Less than 6 months
charthop,Amazing HRIS Software,Overall I've had a wonderful experience with Charthop,Eric Y.,5.0,"January 15, 2025",I loved all the different functionalities on the HRIS,Sometimes the system gets quite laggy. Hoping to get it fixed,Use Case Intern,Information Technology and Services,Used the software for: Less than 6 months
charthop,ChartHop - good for some things,Easy to start to use. .,Tina B.,4.0,"November 19, 2024",It's excellent at giving a visual view of an org.,You can't easily see the historical progression of someone in different roles. You can't do budgeting in it easily,Head of Finance,Alternative Medicine,Used the software for: 6-12 months
charthop,ChartHop Review,Experience is positive but I feel that confidential information should not be shared with peers.,Yoo Jin J.,5.0,"December 20, 2024",Able to put all the data in a one place and manage.,Sometimes its difficult to zoom in and out.,Lead Teacher,Education Management,Used the software for: I used a free trial
charthop,A Great Start!,It was good just feels like you need a lot of time to get everything set up.,Franco P.,4.0,"January 12, 2025",Simple and easy to use and set up. The features available to use.,Time to get everything set up for use and implementation.,Founder,Marketing and Advertising,Used the software for: Less than 6 months
charthop,We the People,"I like it helps identify potential issues, and make strategic decisions.",Joleen A.,5.0,"January 10, 2025",The real-time organizational charting that is provided.,I can't say anything bad Its really useful with all of its support that it provides.,Recruiting Manager,Staffing and Recruiting,Used the software for: I used a free trial
charthop,Great for hiring planning,"Overall, Charthop has been positive for our org.",Verified Reviewer,4.0,"June 15, 2021",It allows us to create a process for hire approval and management changes.,Changes are not the easiest if you don't know how to code.,People Operations Partner,Non-Profit Organization Management,Used the software for: 6-12 months
charthop,"A clean, clear view of the org chart and more","Easy to use, good UI, very useful understanding reporting in a department or whole org.",Verified Reviewer,4.0,"June 15, 2021","Love the fact that you can go back in time and clearly see who was at the company years ago, who is having an anniversary, who is being promoted, who is departing, etc.",I think it does what its supposed to do very well.,"Creative Director, Brand Design",Computer Software,Used the software for: 6-12 months
charthop,CharHop Review,Excellent program irreplaceable,Verified Reviewer,4.0,"June 15, 2021",Easy to use! organizes the company structure with no issues,there are nothing I like least about this software,Senior UES Sales Excellence,Insurance,Used the software for: 1-2 years
charthop,ChartHop - Super easy Org Chart,Great!,Verified Reviewer,5.0,"June 15, 2021",It's super easy to navigate and search through our org chart of ~500 employees. You can even see where someone is based and get a direct link to them in Slack. Great for remote orgs!,The UI feels just a little dates. At least in our implementation. I found getting to a map view to be a little counterintuitive.,"Director, Product Marketing",Computer Software,Used the software for: Less than 6 months
charthop,Pretty Good,"Overall pretty good, the pros definitely outweigh the cons and I think the ease of use is pretty good.",Rachael L.,4.0,"June 15, 2021",We use this for setting our MBOs and it does make is fairly easy to see what is being done. It breaks it down by month and has you label each goal which is very helpful.,I think the only issue I have is I wish the interface of editing a goal was a little easier after it has been submitted instead of someone else having to do it.,Research Analyst,Research,Used the software for: 6-12 months
charthop,best software,I use it on a daily basis and its the best,NITYA P.,5.0,"June 15, 2021",all the info that you need about your org and its employers,nothing that i don't like about the software.,Business Systems Administrator,Information Technology and Services,Used the software for: Less than 6 months
charthop,ChartHop is a super intuitive tool for performance review and management,,Bryan S.,5.0,"June 15, 2021",Performance review setup is easy and doesn't need to look for any tutorials.,"Too many features, not sure why some of them get organized as the current structure.",Lead Product Designer,Computer Software,Used the software for: Less than 6 months
charthop,Great for New Employees and Admins!,"Overall ChartHop is a great tool that I use daily. I'm so glad that our company has this resource available to employees, especially as an administrative assistant working with multiple calendars.",Alex W.,4.0,"June 15, 2021",I love that I can easily look up employees and org charts!,"User experience within the org chart. It zooms in and moves around too easily making it feel almost disorienting. I love the idea of being able to move around the org chart easily, but I think I would prefer it to be a bit more static.",Administrative Assistant,Banking,Used the software for: Less than 6 months
charthop,Great product for employee surveys,,Joe B.,5.0,"June 15, 2021","This was a great product for employees to quickly fill out a quick, easy-to-access, and easy-to-use survey for self-identification. As a member of the LGBTQ community and ERG group at Ripple, I was happy to see that our company was giving everyone an opportunity to self-identify. This promotes a good culture and gives us the stats to improve!","On the end user side, I thought it was intuitive, easy-to-use, and had a good interface. No complaints from me.",Senior Technical Recruiter,Computer Software,Used the software for: Less than 6 months
charthop,Works Great,It's been amazing so far.,Enrique G.,5.0,"July 17, 2021",Being able to see the things that are important all in one place with a clean user interface.,None. It does what it needs to do. Perhaps some visual improvements to hero data. Micro interactions.,Visual Designer,Financial Services,Used the software for: 1-2 years
charthop,ChartHop easy to use and great for HR Analytics,,RALPH W.,5.0,"August 4, 2021",ChartHop easy to use and great for HR Analytics,Not applicable for this. There is nothing.,Director FP&A,Consumer Electronics,Used the software for: Less than 6 months
charthop,Charthop experience,,Ileana R.,4.0,"July 1, 2021",The dashboard is showing very good functionalities like birthdays and anniversaries.,The organizational chart it's hard to scroll or zoom in zoom out.,CBA TM,Financial Services,Used the software for: Less than 6 months
charthop,Very easy to use,,Sarah H.,5.0,"June 15, 2021","Charthop is not only very easy to use, but is very beneficial in my role when working with many people through the company, especially being such a large remote team.","So far, there have been no issues I have encountered with ChartHop",Recruiting Coordinator,Insurance,Used the software for: Less than 6 months
charthop,Great system compared to what we have used in the past.,"Great, would recommend to most companies 1000+ employees.",Eric S.,5.0,"June 15, 2021",Org chart is great and easy to find what I want to see. It is also easy to set objectives for quarter.,Sort of difficult to figure out at first but much better than other systems to be honest.,Program Manager,Computer Software,Used the software for: Less than 6 months
charthop,ChartHop for the win,I think it's great that management can see everyone's goals and know what we hope to accomplish professionally. I'm sure it makes it easier to have conversations regarding everyone's future at the company.,Ariana B.,5.0,"June 15, 2021","I like that I can see the hierarchy, people moves, and birthdays/anniversaries all in one place so I can see exactly what's going on within the company.","It's a little bit difficult to put in goals. The form broke a couple times while I was using it, but it did eventually work.",Research Analyst,Information Services,Used the software for: 6-12 months
charthop,ChartHop review by Stephanie Taras,,Stephanie T.,5.0,"June 16, 2021",I like being able to easily drill down into organizations visually. I also really like the fact that it includes birthdays. I also like that you can see who is in your area. This is helpful in a fully distributed company.,"I don't like the accuracy of being able to see where someone lives, but it seems like this feature might have been toned down",Finance Manager,Design,Used the software for: 6-12 months
charthop,"So far, so good! Easy to understand from a user perspective",,Hayley W.,5.0,"June 15, 2021","It's easy to use, a fairly simplified layout and only gets better the more data you put into it.","If you have a very flag org chart, it can be a little challenging to everyone in a single layer, in a simplified, zoomed out screen.",Program Associate,Internet,Used the software for: Less than 6 months
charthop,Awesome ,Exceptional,Eph M.,5.0,"June 16, 2021",Get to access the whole Org chart and get to know all of my company office mates.,"Not easy to use search option, more training options or guide.",Program Specialist,Financial Services,Used the software for: Less than 6 months
charthop,Essential for Remote Teams,,Thomas W.,5.0,"June 15, 2021","Simple, navigable UI/UX that adapts in real time to changes, views, and functions. Awesome stuff!",N/A no issues thus far having used it for a bit!,Program Director,E-Learning,Used the software for: Less than 6 months
