product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
cognology,Can't speak highly enough about the product and the support received.,Cognology's onboarding solution has been a huge time saver for us.,Kathryn K.,5.0,"December 19, 2017",The functionality of the onboarding and the overall ease of use when administering. Have also been very impressed with their openness to suggestions for improvement. The staff has loved the fact that they now can manage their employment processes online. Especially useful for as we have over 19 sites to manage employees across.,"Not too much that I don't like and anything that we suggest is a problem is usually fixed. We were one of the first companies to use the onboarding and, of course, with any new product there were some minor issues to work through.",Manager People & Culture,Individual & Family Services,Used the software for: 1-2 years
cognology,Enviro Cognology Review 2024,"Fantastic, efficient and cost effective.",Grace T.,5.0,"June 24, 2024",I enjoyed the delivery of cognology from beginning to end. The implementation and training provided to support the steps was outstanding.,Nothing comes to mind at the moment. I'm sure as we continue to use the system we will run into some cons.,HR Coordinator,Construction,Used the software for: 6-12 months
cognology,We are in our first year of use and have at times found it challenging in respect of setting up. ,,Luana K.,3.0,"January 8, 2018",Provided a central system in respect of reviews and allows us to be online as opposed to a paper base review system that we previously had.,Has not been as easy to navigate as we initially thought. In hindsight we would do things differently to get more out of the software.,Director,Used the software for: 6-12 months,
cognology,Cognology On-boarding and Performance,"It's been a truly encouraging and rewarding process working with the team from Cognology. Nothing is too much trouble, everything was done in a very timely manner, including during the shutdown of Victoria during the peak Covid-19 period. We now have a streamline recruiting/onboarding system, all variations of contracts are managed using Cognology and now we're about to launch all of the performance management using Cognology,: from development planning, probations and quarterly reviews to the end of year annual review.",JENNIFER L.,5.0,"September 10, 2020",It's extremely user friendly and easy to navigate; integrates with our other systems and offers interactive opportunities for teams to communicate with each other and their manager. We can customize it as we grow to fit with our new requirements and it's uncluttered and a pretty system to look at.,"Any features we thought could be improved or were missing, were altered to our requirements prior to launching.",HR ADVISOR,Non-Profit Organization Management,Used the software for: 2+ years
cognology,Highly recommend Cognology,,Carmenw W.,5.0,"August 17, 2023",The system is very customisable to different business needs and has lots of features to suit our requirements. The Support Team are very responsive and always exceeds expectations in their response time and ability to resolve any issues.,The system can be a little tricky to navigate initially because of all the features/customisable options in the back end for Admin Users. Sometimes it isn't intuitive on where to find things.,HR Specialist,Non-Profit Organization Management,Used the software for: 2+ years
cognology,Excellent choice,,Elizabeth C.,5.0,"May 9, 2023","The best part of Cognology is the support. Caring, timely and accurate. The system is highly configurable which is great, but sometimes you need help figuring things out. The team are always awesome from first contact to a few years later cannot speak more highly of a business partner, they're very much part of my HR team.","The main item I'd love to see improved is the Social page. We wanted a weekly digest to go to all, not just those who were named. This would really help keep Cognology front of mind for all and increase buy-in.",Human Resources Manager A/NZ,Logistics and Supply Chain,Used the software for: 2+ years
cognology,So easy to use!,,Nilu N.,5.0,"August 31, 2018","What we love about Cognology is the simplistic nature of the system. The email functionality is ace! We like the automation of emails that are sent by the system. The reports are easy to digest, and with a few clicks of the mouse we have everything we need. It's one central place for communication between managers, employees and values contributors. Our HR Relationship Manager is an absolute legend. She's so proactive, helpful and goes above and beyond to assist with anything when we need her.",We are happy with everything! Nothing to comment here.,Senior People & Culture Advisor,Events Services,Used the software for: 1-2 years
cognology,Very good from investigating our options to implementation all interaction with the team is positive,"We now have a performance management process which is structured, details are documented and all managers and employees use the software and embrace the benefits. A paper-based process is no longer needed which eliminates hard copies of files and also makes record keeping much quicker.",Kathy M.,4.0,"January 8, 2018","The best thing is that everything is in one place, the details of performance conversations between the employee and their manager and these details are not lost if one of them leaves the business. Both parties have access to the folders to review at any time, leave feedback, revisit KPI's, and record professional development activities. Also having a system such as this implemented reduces the possibility of performance reviews not happening, the reminder emails and notifications within the program keeps everyone on track and aware of the progression of reviews etc. Managers are finding the platform great to record details of any performance management any conversations they have with their team, meaning if we have to move to more formal processes we have thorough records of previous meetings etc. Much less paperwork!",I cannot say there is anything that we have come across with the software that we don't like. At some times it appears to run slowly but we haven't felt the need to investigate this further as it has only been mentioned occasionally by some users.,Human Resources & Quality Coordinator,Used the software for: 1-2 years,
cognology,Great Australian Product,We went from a clunky paper-based system to the Cognology system without many teething problems. They system was well received and made tracking performance and learning simple. We now have 100% compliance to performance reviews and online training. New employees comment of how good the system is.,Penny J.,5.0,"September 8, 2020","The set up and customisation of this software to use in our organisation was relatively easy. The customer representative was extremely helpful and spent the time to train us to use the software effectively. As an administrator of your database you are able to make changes quickly and sort out any user problems effectively. The system itself is easy to use, therefore it was easy to roll out to the whole organisation.","We had some initial problems when setting up the system, however these were taken into account and often addressed in the next upgrade.",Human Resources Director Australia,Defense & Space,Used the software for: 2+ years
cognology,Cognology Performance Management System,Being a cloud based system it is an excellent system for business with offices and staff in multiple locations. The system has allowed us to manage to interact with our employees to enhance feedback and manage their performance to ensure they continue to develop in their roles.,Michelle H.,4.0,"June 4, 2019","The system is very easy to use and can be easily adapted to the needs of our business. The team at Cognology have been very helpful and have worked with us to develop a system tailored to our needs. If the system has been unable to perform a function we have required, the team at Cognology have worked to offer other solutions and taken the feedback on to use in the development of their system moving forward.",It is still in development and some functionalities to be able to link talent management and succession planning still need to be worked on but the team has taken these requirements and are working on them.,Head of Human Resources,Mining & Metals,Used the software for: 2+ years
