product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
folks_hr,That's all Folks!,Overall I am pleased that our organization moved to an online HR system that is as robust as Folks HR.,Jack D.,4.0,"December 6, 2024","After using the Folks HR system for the first 20 minutes, it was easy to understand how to use the system. It takes me 5 to 10 minutes out of my week to enter my informaton into my timesheets.","The only thing I would critique is when the user enters their Timesheet hours into the text boxes. The text boxes seem to be slanted towards the right of the dates on top. Perhaps, this can be straighten out.",Employment Specialist,Non-Profit Organization Management,Used the software for: 6-12 months
folks_hr,HR Folks software review,Highly recommend and very useful tool for HR operations for small to mid range organizations,Mahesh K.,5.0,"February 10, 2025",I liked the Folks HR software feature overall in handling resources,Can incorporate few more features which can be helpful for HR processing,Director,Information Services,Used the software for: 1-2 years
folks_hr,Community Inclusion Worker,,ALLAN M.,5.0,"January 6, 2025",Once you figure out where everything is it is easy to navigate,The calendar to for overtime doesn’t have clear lines,Community Inclusion Worker,Human Resources,Used the software for: 1-2 years
folks_hr,Would recommend,I have had no issues using Folks HR. I do wish there was a mobile option.,Lisa D.,5.0,"September 6, 2024","Easy to follow, everything is well laid out.","Doesn't track accumulated sick and vacation time, only what can be taken over the course of a full year. Cannot see in real time. Would like an app for it.",Support Network Coordinator,Civic & Social Organization,Used the software for: 2+ years
folks_hr,Folks positive experience,"So far so good, I can keep track of how many time-off, sick days I have without asking our Admin Leader.",TJ M.,5.0,"August 14, 2024","Easy to navigate, pretty much self-explanatory if you take the time to learn it.",So far none that I can think of. Hoping this trend will continue.,Community Recreation Assistant,Hospital & Health Care,Used the software for: 1-2 years
folks_hr,Not too shabby,"Overall, its positive and makes sense in my opinion.",Nate M.,5.0,"September 26, 2024",Easy to use and helps with cohesion for the team.,weird to figure out. Definitely required a elarning curve,Pastor,Religious Institutions,Used the software for: 6-12 months
folks_hr,Folks makes everything so much easier ,,Eric M.,5.0,"July 1, 2024",The ease of adding hours to the timesheet and approving vacation time.,"Haven't yet figured out a way to differentiate between paid vacation time vs unpaid vacation time, they both seem to drop down the total balance.",Physiotherapist,"Health, Wellness and Fitness",Used the software for: 1-2 years
folks_hr,Software Performance Review,,Jerry A.,5.0,"July 22, 2024","Ease of use, efficient and reliable. Very organized.",None I can think of to date. Will update when I see something.,Estimator,Construction,Used the software for: 2+ years
folks_hr,Facilité de l’utilisation ,,Anne D.,5.0,"June 11, 2024",How easy it is to use and see overtime and more.,I like everything about the platform it’s very easy to navigate .,Professeur de ballet,Primary/Secondary Education,Used the software for: 2+ years
folks_hr,Easy to use,,KRYSTAL T.,5.0,"June 11, 2024","I liked using Folks HR because it is Easy to enter timesheet , and enter in my application form for a sick day or vacation request.",,Physiotherapy,Hospital & Health Care,Used the software for: 1-2 years
