product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
hr_manage,Great HR manage tool,"HR manage is excellent, must have if you are to reduce salaries spent on HR personnel.",Verified Reviewer,5.0,"May 30, 2019","It automates a lot of work , like leave applications. Reduces hiring a lot of HR personnel to manage HR functions as employees can simply log in upload queries, apply for leave, handle grievances. Allows for job profiling if one employee leaves the organisation the system can match with the remaining candidate who best to replace before even posting a job vacancy externally.","Too many email notifications for example when you apply for a leave, you get notification that you have applied for a leave, if you cancel and redo another one you will receive a cancellation and then another and then once its approved then another email, otherwise great product. Wish we could learn more on how to use the features.",Customer services personnel,Financial Services,Used the software for: 2+ years
hr_manage,Streamlining HR Processes with Ease,"My overall experience with HR Manage has been excellent. The platform is intuitive, comprehensive, and reliable, making it easy to manage employees, projects, and workflows all in one place. From onboarding to performance tracking and team collaboration, every feature works seamlessly. The system has streamlined our HR processes, improved efficiency, and supported better communication across teams.",Pieter B.,5.0,"October 8, 2025","The ability to bring all core HR functions into one seamless platform. The system is intuitive, efficient, and helps streamline processes that would otherwise require multiple tools. It saves time while improving accuracy and transparency across our organization.","There’s really nothing I dislike about HR Manage. It has been intuitive, reliable, and comprehensive, meeting all our HR and team management needs effectively.",Human Resource Executive,Financial Services,Used the software for: 1-2 years
hr_manage,HR Manage - Excellent,It has made HR admin life so much easier and I am sure it will continue to just that.,Tertia W.,5.0,"June 29, 2023",It centralizes all HR documents and data into one place. I have found that the ease of compiling and generating merSETA training reports are excellent. EE tracking is also valuable and easy to receive reports. Managing of documents and the training workflow are so much easier. Leave applications and performances easily trackable. Reporting and Graph generation of HR statistics a breeze.The client support is excellent and highly efficient. To customize the product to our needs and the implementation thereof is quick and easy.,"In the beginning it seemed difficult to navigate but as you start to understand how it is design it becomes much easier.The loading of the information and setting up of the system, but that goes with any software information systems.",HR Manager,Mechanical or Industrial Engineering,Used the software for: Less than 6 months
hr_manage,HR Manage: Great overall system to consider for all HR profesionals,"Absolutely great support, functionality is great, workflows and customization make our work so much easier. The systems reporting is easy and accurate.",Tiaan D.,5.0,"January 20, 2025","The Support, the easy functionality and customization of the system.",Nothing to dislike. The system addressed all our previous challenges with data management and reporting.,Training Manager,Automotive,Used the software for: Less than 6 months
hr_manage,Excellent HR System,With branches Nationally it is no longer an issue for the HR Department to obtain any information or documentation. HR is able to assist all branches better with the system than ever before.,Cornette B.,5.0,"June 20, 2023","The most impactful feature is that you have all your employees information/documentation on the system. No matter where you are, even if you are not in the office, you can simply log in and obtain what you need. You can always track your workflows everyday or even every hour if you want to and you can see the progress of your workflows. There are always a bit of uphill battles when integrating a new system with your current one but it is so user friendly that it just takes a few days for everything to streamline.","I dont have any cons really, the only issue is what information is captured from the start must be as accurate as possible otherwise you will struggle going foward but that is not a system issue.",HR Administrator,Security and Investigations,Used the software for: 2+ years
hr_manage,HR Manage feedback,"Happy, still in the process of launching other modules and functionalities.",Lerato T.,4.0,"July 18, 2023","Designed workflows that promotes automation.Customization featuresUser friendly systemExtensive data fields that allow you to create your own customized reporting. The reporting tool has the capability to amend existing reports by filtering, sorting and grouping fields.",AL features - that could inform business intelligence analysis.,HR Manager,Management Consulting,Used the software for: 6-12 months
hr_manage,HR Manage has created order where there was chaos for us,,Donne C.,4.0,"April 5, 2022",The employee information reporting functionality and seamless alignment with our payroll.,Some of the user interfaces are not as user friendly as others and may take more time to train staff on.,GM: HR Governance,Food & Beverages,Used the software for: 6-12 months
hr_manage,Robust handling of many records,Accurately track the movement of thousands of participants through various training interventions.,Berne L.,5.0,"April 29, 2022","The best feature is the database structures that drive the logical flow of data in modules. It is steady and acts like a real database, not a fluffy excel sheet. We also really appreciated how simple it is to configure some modules (without breaking everything else like in some other packages!). The simple reporting capability is also better than most packages I've worked with.",The user panels and filters were a bit intimidating for our participant facing users. It can come across as complex.,Director,Education Management,Used the software for: 6-12 months
hr_manage,HR Manage,Very user friendly and can be implemented much faster than other HR Software products currently in the market.,Fouzia C.,4.0,"June 20, 2023",Workflow Management in HR Management is brilliant and easily configured.,"Speed, when processing high volumes was a concern.",Group HRIS Manager,Security and Investigations,Used the software for: 2+ years
hr_manage,Managing HR functiosn the smart way,It lessened the manual process of some of the HR Functions hence more productivity.,Verified Reviewer,5.0,"August 5, 2019","Ability to log in our leave days without having to manually log in leave days and also able to track who was on leave and when. Our managers could approve or not the leave so that you would know if your leave application was granted. During performance appraisals, we could write our KPIs and this helped us track and review our performance over time.",Numerous notifications on emails if applying or signing off in HR manage.,HR Assistant,Financial Services,Used the software for: Less than 6 months
