product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
performancehub,A brilliant tool for performance management ,"The support has been amazing and even when I closed a period incorrectly[Sensitive Content] noticed and helped us back track and sort everything out. We have quite a detailed probation process, which didn't fit the tool, so now they are adding it to the tool.",Julie B.,5.0,"December 29, 2021","The software is so well thought out and intuitive, with great help guides. It makes it so easy to follow the process. A key thing the team love is recording the 1:1s so everyone is clear what is expected of them, and where they need to improve. It helps performance management become a way of working rather than an annual process.",Nothing - its great and so easy to use.,CEO,Information Technology and Services,Used the software for: 6-12 months
performancehub,"Easy to implement, easy to use!","In a word Awesome! PerformanceHub works really well and managers/ employees have commented on how easy it is to use. The support from Rob has been amazing during implementation, launch and employee training and this has continued now we are fully operational with the system.",Heather M.,5.0,"August 20, 2018","PerformanceHub is simple in its concept and intuitive to use, which means employees find it easier to record their performance information. Full tutorials are available within the system and are indexed so you can jump to the information you require easily. The reporting is well thought through, providing managers with both visual and numerical data with which they can manage their teams progress. From a HR perspective PerformanceHub was easier to set up and to launch into the business than previous performance management systems I have used and customer service and ongoing support is excellent.","Its difficult to identify anything about PerformanceHub that I don't like. There are possibly features that I would like to see added in the future but in terms of a system that does what it says on the tin and meets all our basic requirements and more, its 10/10 from me! Cogendo are keen to hear customer feedback and take this on board when enhancing the product.",Employee Development Manager,Non-Profit Organization Management,Used the software for: 6-12 months
performancehub,THH Review,"I only used the system for the Appraisals - specifically to send reports every 2 weeks to our Heads of Service to give them an update on the progress of appraisals in their service areas and to send out the sunburst chart to our executive team. I also used this for my appraisal and to record my 1:1's Very intuitive, even for those who are not tech savvy",Becky S.,4.0,"June 9, 2022",Intuitive system [SENSITIVE CONTENT] was very responsive and helpful whenever I contacted him We only use the system for Appraisals and 1:1's as we have a number of other systems in place,"The sunburst chart is confusing and the categories for 1:1 reporting could be clearer ie; report each week/month/twice a week, etc, rather than just monthly or over a 6 week period",Talent & Learning Advisor,Facilities Services,Used the software for: 2+ years
performancehub,PerformanceHub is a great system !!!,"This is not my first time round the merry go round with a Performance Management System it is in fact the 3rd time I have worked on implementing and developing a performance management system so hopefully that will give you some context and comfort when you read my review. It honestly has been the best experience of a development and implementation project I could have hoped for. As I often say to people when I am talking about PerformanceHub the beauty and genius of it is in it simplicity. It is agile, user friendly and best of all does exactly what you hope it will do in regards giving our people a platform to get in the driving seat of their career while helping us to become better aligned and therefore more effective as a Company. The 1st and 2nd development phases were hugely important for use to get it right and Rob and his wonderful team were there every step of the way to ensure we had the best delivery possible. They provided us with training material, user guides and came onsite to train our managers and PerformanceHub on site trainer to ensure a success launch. They continue to innovate month by month with new improvements happening all the time. we love the starburst charts and the reporting where we can have full sight of our people and where they are at. The Monday morning Dashboard email is great for keeping our people at the fore thought of our business rather than the usual once a year let dusting off an excel spreadsheet. There are many more wonderful things I could say about PerformanceHub and the team but ""proof is in the pudding""......... I highly recommend to try it for yourself you won't be disappointed. We look forward to the new developments Rob and his team have in the pipeline and plan to use this system for many years to come. Thank you from Delaware North",Kerry W.,5.0,"November 17, 2015",,,HR Manager (UK),Used the software for:,
performancehub,Well thought out product,"We would just like to pass on our thanks, as a team, for revolutionizing how we look at and manage performance management. For the first time, our whole team, Headteacher to Site Maintenance Officer and Administration staff, can see how their targets are adding value to the schools strategic development objectives. Gone are the days of lost and out dated copies of performance agreements, which had gathered dust on shelves from one review to the next. Colleagues are now benefitting from being able to access and amend, live and relevant performance management data on the performance hub site, quickly and easily, safe in the knowledge that nothing with be lost and that the site is secure. The lay out of Performance Hub means that as Head Teacher I can easily track all staff progress at the touch of a button teachers, as matrix managers, feel in control of the professional development of their teaching assistants, whilst the Head of Enhanced Provision remains able to track and add additional objectives, where necessary, as their Line Manager. When we first considered purchasing PerformanceHub the thought of moving away from our tried and trusted paper method, which I can't believe we ever thought was effective, was very daunting. However, your excellent customer service and attention to detail has made implementing PerformanceHub a pleasure. Not something you get to say about many computer-based programs! Thank you for the amount of time you have dedicated to our countless questions. No query is ever too small for you to act upon. As an organisation we would not hesitate to recommend PerformanceHub or Cogendo.",Michelle A.,5.0,"August 21, 2014",,,Head Teacher,Used the software for:,
performancehub,This is the Ronseal of all HR products - its does exactly what it says on the tin!,"PerformanceHub and the Cogendo team are outstanding. From an idea to launch in 3 months to a global audience in 78 countries, truly amazing. By far the best and intuitive Performance Management solution I have ever used and seen - I have seen many! Really impressive setup with a real customer focus. I am lost for words on how good Coegndo are. Naturally, we had the odd niggle along the way but that was more to do with our IT platform. The product is simple logical and has some great features for driving management accountability so that performance management then is based around the quality of the conversation rather than blaming the system and tool. I can't speak highly enough of the product and Cogendo team. Don't hesitate to work with them!",Mark D.,5.0,"April 11, 2017","Simple, intuitive, does exactly what it says it will do",None,Interim Vice President Talent & Developemnt,Food Production,Used the software for: 6-12 months
performancehub,Enhances the User Experience and Levels of Engagement,"Performance Hub has been integrated effectively and well received across the business, enabling our organisation to move away from an uninspiring paper based document. This online system offers a real-time solution to objective setting and appraisals, enabling individuals and line managers to communicate expectations and record progress more effectively. Additional features such as one-to-one meeting reminders and note/action capturing, provides a comprehensive and well thought through tool to help develop performance and relationships within a business. Due to Performance Hub's user friendly functionality, we have seen compliance and engagement in objective setting and appraisals reach 100% within our organisation, saving both time and money by helping employees focus their attentions on the right priorities. Rob and the team have provided unwavering support from day one, offering outstanding personal customer service. They made the set-up, integration and roll-out process easy, largely doing it all for us; and a year on they are still always on hand to answer questions quickly, providing guidance and helpful updates. Nothing appears to be too much trouble.",Anna G.,5.0,"November 11, 2015",,,HR Manager,Used the software for:,
performancehub,Excellent software for companies looking to introduce team objective & appraisal management!,,Craig W.,5.0,"February 1, 2018","- It's robust nature. Of all the systems we considered, PerformanceHub is by far the most comprehensive. - The excellent visual representations of data provided by PerformanceHub. For example, the sunburst charts which allow managers to quickly view amounts of objectives set per department or per manager. - The system provides users at all levels with the ability to see what effect their own objectives have on company goals and their manager's objectives.","- At a management level, the system can seem almost too comprehensive and that can have an effect on the ease of use. Importantly though, time spent using the system does begin to unlock it's potential (which it has bags of)!",Operations Manager,Hospitality,Used the software for: Less than 6 months
performancehub,Modernisation of workforce performance management practices,"PerformanceHub has been readily embraced by the whole organisation as an effective method of recording work objectives and how they ""fit"" into the wider aims of the organisation. This has enabled us to have high quality appraisal conversations with our staff as part of our annual year-end reviews, supporting our talent management approach. Product mobilisation was easy and we were given full support by PerformanceHub's team in activating and configuring our fully-branded portal.",Stephen P.,5.0,"June 5, 2019",PerformanceHub is intuitive and easy to use with minimal training required; features are customisable and flexible to suit different organisational requirements,"The training videos produced were a little dry in tone and were created at time of launch rather than beforehand, which meant that users who were unable to attend early webinars were concerned they had no access to training/run-throughs of the platform.",Head of People Services,Non-Profit Organization Management,Used the software for: Less than 6 months
performancehub,Performance Hub - Simple system has improved engagement with process. Excellent customer support. ,"Performance Hub is a simple, straightforward and user-friendly system, it covers the complete performance management lifecycle and also offers more complex functions such as feedback, one-to-one meeting reminders + note capturing and the ability to link objectives to wider company goals. It can be used in its most simple form which has been helpful for us during the implementation phase, and while staff and managers get used to how it all works. We have received good feedback and have had a much greater level of engagement from staff since using Performance Hub. We are still learning our way around the system but something that really stands out with Performance Hub is excellent level of service and on-going support provided by Cogendo. Rob & Neil clearly know their product very well, show great enthusiasm and also value any feedback we provide to continuously improve the system for all their clients. They always respond to queries in an extremely prompt and detailed manner and really offer an overall great level of customer service.",Laura B.,5.0,"May 23, 2016",,,HR,Used the software for:,
