product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
pointerpro,Definitely recommend.,Really good.,Ori C.,5.0,"March 6, 2023","Strong features, especially for an early stage product. Superb customer service that really helped with the design, implementation, and onboarding.",Some features can be further developed at future iterations of the product.,Founder and CEO,Management Consulting,Used the software for: Less than 6 months
pointerpro,Pointerpro - surveys and a great deal more,Tremendous. Support team is responsive and they continue to evolve the product,Tony F.,4.0,"March 31, 2025",Ease of use and ability to create multiple assessments for a variety of uses.,Upgrade to ability to aggregate reports was a bit expensive,Director of Coaching,Management Consulting,Used the software for: 2+ years
pointerpro,Incompetence of Pointerpro,"Frustration, anger, disappointment, etc.",Gary O.,1.0,"October 22, 2024",Nothing. There was literally nothing that was positive except their promises.,"Programming competence Customer service Quality of product Cooperative attitude What went wrong?? It would be much easier to say what went right because the list would be virtually nil while the list of what went wrong would be a dissertation. Thanks to Pointerpro and their incompetence in both software programming and customer service, our company took a significant hit reputation-wise and subsequently financially. Over the last 3 years, Pointerpro consistently produced software that did not function as it was supposed to and promised and consistently denied responsibility or accountability. Our firm is a small one or we would have taken them to court and sued them for their incompetence and damages. It is beyond my comprehension how others who have rated them could have had a positive experience unless their programming was so simple and straightforward that a second year college student could have done it. We have customers who have dropped us and their comments were basically this: ""As long as you are working with Pointerpro, we will not do business with you despite the quality of your products"". Our product is something that is done online and requires functional programming. I would strongly encourage anyone who has anything beyond a simple software solution to go elsewhere.",Partner,E-Learning,Used the software for: 2+ years
pointerpro,Great Features & Support,"Overall, we've been extremely satisfied with the experience provided by Pointerpro and have been a customer for many years.",Jamie G.,5.0,"March 20, 2025","Pointerpro offers exceptional feature functionality, making it a valuable tool for our survey needs. We particularly appreciate the ability to add custom fields and formulas, allowing us to generate tailored reports from survey responses. The platform’s branding capabilities enable us to create surveys that align seamlessly with our visual identity. Additionally, its integration options with other tools enhance overall efficiency. Beyond its powerful features, Pointerpro provides excellent customer support whenever needed, ensuring a smooth user experience. We highly recommend it for anyone looking for a versatile and user-friendly survey solution.",The rich feature functionality means there is a lot to learn when using the tool.,Consultant,Hospitality,Used the software for: 2+ years
pointerpro,"“Yes, we can do that.”","Pointer Pro has been foundational to the launch of our business, and we look forward to collaborating on the growth of our business and supporting new innovations.",Scott L.,5.0,"December 16, 2024","We have been thoroughly impressed with pointer pros platform and nimble features. We reviewed several other well-known platforms and none could deliver both with robust, calculating abilities and options for creating aesthetic reports. It was the aesthetic options that very much separated pointer pro from the rest. In addition, we were very impressed with pointer pros on boarding process and support of our ideas, helping create a pathway for our success which was crucial.","Some customer service representatives in the chat lines are either ignorant or lazy. At times, we have been told answers that have been incorrect. This does not apply to [sensitive content hidden] who have been really helpful.",CEO,Professional Training & Coaching,Used the software for: 6-12 months
pointerpro,First Class Team & Service,"The team at Pointer Pro is nothing less than first-class! They're always there when we need support, and the platform is very user-friendly and professional. They're always looking to improve and help us succeed. That's more than. enough for us. Thanks, Pointer Pro!",Paul M.,5.0,"March 24, 2025",,"Initially, the customization options for PDF reports were limited and clunky. They've made improvements, and we're pleased with the upgrades. From a design and graphics standpoint, it would be nice to see further improvements, but for the most part we're pleased.",Director of Operations and Communications,Management Consulting,Used the software for: 1-2 years
pointerpro,Comprehensive Functionality ,I came across Survey Anyplace from Google when I was looking for a very interactive survey design logic that chooses random questions from a pool. I have been using it since.,Ali A.,5.0,"November 25, 2019","1. Very easy to learn the interface. 2. Random select questions from a pool, for complex survey design. 3. Custom questions using coding. For example you can include tables. 4. Fast servers. 5. Very mobile-friendly. 6. Survey Result is very clear, with charts and figures.",1. No pre-defined CS design. 2. Costly for some firms.,Student,Logistics and Supply Chain,Used the software for: 6-12 months
pointerpro,Great powerful tool ,,Margot F.,5.0,"December 9, 2025","Its powerful software that allowed me build the exact project i had in mind, which i could not find anywhere else",It was quite technical and the learning curve a bit steep but the onboarding team was incredibly helpful.,manager,Mental Health Care,Used the software for: 1-2 years
pointerpro,Pointerpo has been a very useful tool for our work with clients,Pointerpro has provided the product we need with excellent and responsive customer service. The team has always been quick to respond with replies to email queries or requests for a meeting.,Lisa M.,5.0,"March 19, 2025",Pointerpro allows for the creation of highly personalized surveys and the delivery of customized results reports to participants. The ability to tailor cover pages and adjust the overall look ensures that the final product aligns with our branding. It's the best tool I've so far found for combining both functionality and flexibility in survey reporting.,"Some of the bulleting and numbering formatting features for text in the reports can feel clunky and limiting. Additionally, there is a bit of a learning curve when it comes to programming the system for more complex results calculations. It takes some time to fully understand how to set up these advanced features efficiently.",Senior Training Advisor,"Health, Wellness and Fitness",Used the software for: 1-2 years
pointerpro,Great Platform - One of the Few that Offers High Quality and Customizable Reports,"Very positive. Anytime we have had any hiccups or needed any help, support is responsive and helpful. They also offer unique or custom solutions if you need something different.",Evan L.,5.0,"March 25, 2025",It's one of the very few platforms that allows for instant creation of custom PDF reports based on the survey. PointerPro also frequently updates their platform with new features so it's always fresh.,The cost. It gets to be a bit more expensive with multiple users and becomes a considerable investment.,Director of Agency Solutions,Insurance,Used the software for: 2+ years
pointerpro,A robust and reliable solution we can highly recommend.,,Pieter D.,5.0,"August 26, 2025","Pointerpro has become an essential tool for us. We use it both in marketing—offering a free basic assessment with instant reports—and in consulting, where we map innovation culture within organizations. The platform is very flexible, with powerful options to design questionnaires and create custom formulas.","Because of the many possibilities, it can sometimes feel a bit complex at first. But once you get the hang of it, the flexibility is exactly what makes the tool so valuable. Luckily, their tech support is fast and very helpful whenever we need a hand.",Ceo,Management Consulting,Used the software for: 1-2 years
pointerpro,Pointerpro - ons-stop-shop,It's been great so far - we're looking forward rolling out our first assessment and the following 37! Thanks!,Uri L.,5.0,"March 5, 2025","The fact it's a 360 solution for assessments, providing a streamlined process from creating the assessment to generating the backend reports. The support form your team is also worth mentioning - [sensitive content hidden] and [sensitive content hidden] (with whom we've interacted so far) deliver on your service promises!","It's not that I don't like it, but I do think the formula section can be made even more intuitive with a visualization interface to further ""dumb it down"". Think ""how would I allow a 10 years old to use formulas correctly"", and I believe you'll save tons of time and resources for your customers and [sensitive content hidden]:D",Talent Development Manager,Printing,Used the software for: Less than 6 months
pointerpro,Great tool,Positive. It took a little to learn the program at first.,Brandon J.,5.0,"March 20, 2025",Pointer pro is quite easy and intuitive as a tool. Pointer pro has been quite positive for our company usage.,It's a little expensive especially if you're not using it to generate income.,COO,Staffing and Recruiting,Used the software for: 1-2 years
pointerpro,My go to platform to build my own Surveys. ,Attractive and easy to use. Impress your audience with a very professional looking survey and have optimal control building it. Full set of metrics available in the report section. Well recommended.,Peter B.,5.0,"September 24, 2024","It's super intuitive, and has so many types of questions you can build your Surveys with, it's just amazingly complete. On top of that, you can build your own look 'n feel and sharing it with a QR code is a breeze.",Bit pricey. A tier below of the one I had where you can work with 500 responses would be fine for me too.,Service Manager,Information Technology and Services,Used the software for: 1-2 years
pointerpro,You absolutely can't go wrong with these guys!!!!,"A brilliant business is built on its people and somehow Pointerpro have managed to assemble best in class and all under one roof. They are always available, they solve everything you put in front of them and the software isn't half bad either!!!I cannot tell you how Pointerpro and their platform delivered and ticked EVERY box.",Verified Reviewer,5.0,"November 28, 2022","Our previous PHP platform was end of life and we were facing serious challenges with an updated more modern solution, that was until we found Pointerpro.The whole experience has been absolutely seamless, with the support of their absolutely amazing team we have been able to accomplish everything. We simply handed over the reins and they turned our old product in to a new, fresh, manageable and easily deploy-able suite of assessments.",We have found no cons whatsoever - Pointerpro continue to deliver in every possible way.,CEO,E-Learning,Used the software for: 1-2 years
pointerpro,Building an Assessment tool using PointerPro,"Very positive, excellent support both technically and from our account manager",Steve H.,5.0,"December 1, 2022",Powerful tool that enabled me to translate my knowledge and experience into an Assessment Tool that can be leveraged by others. Comprehensive functionality means that I managed to achieve more than I imagine was possible using this kind of tool.,Would like a more simple user interface and the 'help' section could be better.,Owner,Professional Training & Coaching,Used the software for: 1-2 years
pointerpro,Great for automating survey responses in a PDF to download or email,It's great but just needs an upgrade I think.,Darren W.,4.0,"September 8, 2021",The main reason we used this software was to automate survey responses in a PDF for the user to download or email. There are not many solutions on the market that can do this all in one.,"I think the help pages need updating, they're not very clear when you are new to Survey Anyplace as they describe how to do things but do not show you step-by-step. Not being able to customise the front cover image of a PDF template is a bit annoying and unless you're a CSS wizard, the PDF responses can look very plain.",Company Director,Marketing and Advertising,Used the software for: 6-12 months
