product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
prosfy,Excelente herramienta con enfoque internacional,"Ha sido una una gran experiencia, ya que el seguimiento que da el equipo a las dudas es inmediato. La plataforma es muy sencilla de usar y los datos me han ayudado a ver la realidad de la empresa en comparación a otras en el mercado de mi país.",Brenda M.,5.0,"July 17, 2024","Hay claridad en los datos que presentan, es una herramienta muy amigable y fácil de consultar. Los datos apoyan al área de RH y compensaciones para conocer más información actual sobre como se encuentra la empresa en comparación al mercado.","el área de oportunidad que vería es que exista una tropicalización de los términos utilizados, ya que aveces llega a haber palabras que se ocupan en un país y en otro país no se entiende mucho por el contexto.",People and Culture Development Manager,Information Technology and Services,Used the software for: Less than 6 months
prosfy,Buen descubrimiento herramienta imprescidible,Fue un gran descubirmiento que me permitio avanzar mi empresa,Jesus G.,5.0,"July 16, 2024",Estar en linea y por encima de mis competidores y poder evaluar a mis trabajadores,Aun falataba por añadir funciones pero lo subsanaron y ya funcionan,Director,Investment Management,Used the software for: 6-12 months
prosfy,Herramienta imprescindible ,La verdad es que se ha convertido en una herramienta muy necesaria en la gestión de mi empresa,Elvira G.,5.0,"July 27, 2023","Además de que me ayuda enormemente con la gestiodel rendimiento, el uso de Prosfy me ha hecho ahorrar mucho dinero en consultorías y gestorías",Creo que he sido uno de los primeros usuarios y al principio tenía bastantes bugs pero ha ido mejorando notablemente,CEO,Alternative Medicine,Used the software for: 6-12 months
prosfy,Abre fronteras a un nuevo concepto de contratación,,Alvaro A.,5.0,"July 27, 2023",Enfoque mas realista y justo de lo que busca e interesa a un trabajador,"Tiene muchas capacidades pero aun estan en desarrollo. Aunque aun no son perfectas, creo q es el camino a seguir",Gestión,Aviation & Aerospace,Used the software for: 6-12 months
prosfy,Necesaria,La empecé a usar por la curiosidad de mi valor de mercado y en general me ha ayudado a comenzar a dar un giro,Verified Reviewer,5.0,"August 5, 2023","Fácil de usar, muy intuitiva y te da el valor ideal de tus funciones",De momento no he tenido nada que no me haya gustado,Team Leader,Computer Hardware,Used the software for: Less than 6 months
prosfy,Sin duda aplicación necesaria para todo el mundl,,Verified Reviewer,4.0,"July 27, 2023",La aplicación es super sencilla de usar y la verdad que te ayuda muchísimo en el ámbito laboral.,Tiene algunos Bugs ahora mismo pero en cuanto estén arreglados la aplicación va a ser la ostia,Mantenimiento industrial,Mechanical or Industrial Engineering,Used the software for: Less than 6 months
prosfy,Un producto innovador y con mucho potencial ,,Jesus A.,5.0,"August 5, 2023",Las valoraciones de los puestos de trabajo que realiza prosfy ayudan mucho a las decisiones de la empresa,La aplicación tiene todo lo que puedes esperar,Analista informático,Chemicals,Used the software for: 6-12 months
prosfy,La mejor hasta la fecha ,,Thayza Brenna C.,5.0,"August 5, 2023",Análisis del mercado laboralTe ayuda a desarrollar el currículum a la perfección .,"De momento nada.Estoy encantada con la app , es una gran ayuda.",Bordadera,Arts and Crafts,Used the software for: 6-12 months
prosfy,Ventana al mundo profesional ,Satisfactoria,Eusebio A.,5.0,"July 27, 2023",Abre nuevas oportunidades al profesional de darse a conocer.,La versión actual tiene algunos pequeños bugs por corregir.,Ingeniero,Program Development,Used the software for: I used a free trial
prosfy,People Analytics!,,Aurora G.,4.0,"February 4, 2024",Conocer cuál es tu verdadero valor según tu experiencia.,"Le falla que tiene algunos bugs, pero por lo demás, genial.",Marketing,"Health, Wellness and Fitness",Used the software for: 6-12 months
prosfy,Recomendable ,Una gran herramienta para el ámbito laboral actual,Sergio M.,5.0,"August 5, 2023","Ofrece muchos datos a tener en cuenta, una gran herramienta para el trabajador cómo para empresas","Al principio puede costar un poco con la cantidad de opciones que ofrece pero en poco tiempo, al ser una herramienta muy intuitiva, se hace muy fácil de utilizar",Encargado de turno,Supermarkets,Used the software for: I used a free trial
prosfy,Lo mejor,,Maricela N.,5.0,"August 5, 2023","La facilidad de uso, máxima información","Me gusta todo, no le cambiaría nada hasta ahora",Vendedor,Marketing and Advertising,Used the software for: I used a free trial
