product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
staffcircle,StaffCircle is Fabulous,,Uzair K.,5.0,"April 24, 2024","- Amazing customer support - smooth UI - functional software, covers all use cases","- Hardly anything, there are no cons that come to mind",Post Grad,Education Management,Used the software for: 6-12 months
staffcircle,Staff Circle,Really like the system overall and feel that it is really useful for keeping up to date. I also like how everything is under the same platform so only have to use one log -in.,Laura W.,5.0,"December 12, 2023",I like the appearance of the system and that it is similar to a social media profile with a news feed and notifications. I really like how easy it is to keep up with internal communications from around the business and that you get a notification email for new content.,The performance review section could be easier to use from an employee point of view - its not always clear where you need to respond/save comments.,Mortgage Underwriter,Financial Services,Used the software for: 6-12 months
staffcircle,Staff Circle,"Its ok, used better platforms that are easier to navigate especially for those that are neurodiverse",Chanelle W.,3.0,"December 6, 2023","Looks nice, buttons are easy to click on.","Don't like the way overtime is logged, gets confusing and also doesn't show you in monetary value.",Senior Underwriter,Banking,Used the software for: 6-12 months
staffcircle,StaffCircle,,Ronald M.,5.0,"July 20, 2022","We started using StaffCircle with a view to it managing OKR,s. However it became clear that the value in this software for me was in the Hr and Communication sections. We use this Daily for holiday management, storing employee details. The most important feature for me is being able to push articles out to either our whole team or targeted groups, across multiple platforms. Our customer success manager has been fantastic. And is always available when we were ready to start implementing new features.",At times particularly at the implementation stage the layout wasn't as intuitive as it could be. This tends not to be in the sections that employees use but more in the sections that you use les often. This gets better the more you use it and find your way around.,service manager,Construction,Used the software for: 6-12 months
staffcircle,Great platform but you have to be willing to invest time learning how to use it effectively,Overall my experience has been positive. I would recommend the product but with the advise that you must be willing to invest time in it.,Dawn H.,4.0,"June 23, 2022",The reviews and objectives features are the one we use primarily - they have really helped to promote a culture of feedback in the business. The fact that all users have visibility on their progress and goals is essential for the generations we have working for us. The implementation process was managed really well. We needed the platform introduced quickly and the Staff Circle team really did deliver. From set up to training I felt supported and was never made to feel a nuisance with any question I had.,"As the main admin user I have invested time in understanding how to get the best from the platform and I would advise any future users to ensure they, their managers and end users all to do the same. If you invest this time you will get the best from it but due to the fact it is not entirely intuitive, users could get frustrated by some of the functionality. I would really like to see the option to set up an API available - I would love to have my employees automatically transfer to Staff Circle from our HR & Payroll system as this manual process can be time consuming. I would like more contact with my customer relationship manager.",Senior People Development Manager,Retail,Used the software for: 6-12 months
staffcircle,Regular User for HR purposes,My experience so far has been very positive. I have not yet done a full round of the annual reviews but we have our mid-year ones and they were good. The support has been good and i'm interested to se how my company will continue to use this and develop it.,Emilie S.,5.0,"December 1, 2023","Its a good place for all HR information to be centralized. The bets features are the time off management, performance review process and the options to post on a wall like you would on social media accounts.","We use this a lot to get information out on directly non-work related things. Such as events, info etc. Sometimes we only get maybe 50% interaction form the company - Would be good if maybe on the email that gets sent round notifying people of a post, it gives them a preview to entice them clicking on to the link, rather than just name of post.",Wealth Executive,Financial Services,Used the software for: 6-12 months
staffcircle,SUITABLE HELPING HAND,"VERY HELPFULL AND ENLIGHTINGING, GREAT TOOL FOR ALL BUSINESSES, BIG OR SMALL.",Wesley S.,5.0,"December 1, 2023",IT HELPS ALL EMPLOYEES TO VIEW AND COMMUNICATE WITH ALL BRANCHES OF THE COMPANY IN A SAFE AND VIEWED INVIROMENT.,"CANT FAULT IT MUCH AT THIS POINT, EXCITED TO USE MORE AND GET MORE FAMILIER WITH THE PROGRAM.",STOREMAN,Construction,Used the software for: Less than 6 months
staffcircle,StaffCircle Review,,Lewis H.,5.0,"December 8, 2023",Employee Awards Asset Management Communication Feeds,Not being able to automate things without using a 3rd party software which costs a lot of money is an issue.,IT Engineer,Consumer Goods,Used the software for: 1-2 years
staffcircle,Works very well for our business and suits our needs,"Using StaffCircle has been one of my better experiencing with using an online HR system. I would certainly recommend the use of this system, it is very simple to use, yet has everything we need for out businesses needs.",Ellie T.,5.0,"December 1, 2023","Easy to navigate between pages Can move between looking at my profile and the profiles I manage with ease SMART goals are trackable and have features that make it quick to update Space to upload documents that need sharing Booking annual leave is simple Approving annual leave is also simple, as you can see clearly who already has time off one each day, meaning that you won't accidentally overlap holiday Notification when a change/request has been made, meaning you don't need to log on to check for updates",No issues so far and having been using this for over 6 months.,Learn Coordinator,Education Management,Used the software for: 6-12 months
staffcircle,User friendly and easy to navigate,Very positive. StaffCircle is easy to use and very user friendly.,Melissa O.,5.0,"December 6, 2023",I like that StaffCircle feels very user friendly. Viewing company news is very similar to using some forms of social media making it engaging and easy to use. It's also really helpful that you can see if your holiday requests overlap with another team member. I like that you can connect channels such as our payslip portal which makes it really easy to find important information in one place.,It would be good if it was possible to see the holiday of all staff at the same time. As I work with lots of teams across the company it would be good to use StaffCircle to see who is on leave quickly before setting up meetings.,Small Change Manager,Financial Services,Used the software for: Less than 6 months
