product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
wethrive,Creating concrete results within teams with a more comprehensive take on well-being and motivation,Can't recommend this product enough. I manage a healthcare team with 7 employees. Uncovered issues within my team which I was not aware of. It identified issues and provided in depth analysis of a wide range of factors affecting team performance including social and psychological as well as skills and knowledge. Team loved it. It has literally revolutionized the way we work as a team and given us a very tangible way of solving issues and developing people.,Damian F.,5.0,"October 9, 2015",,,Associate Trainer/Coach/Facilitator,Professional Training & Coaching,Used the software for: Less than 6 months
wethrive,WeThrive Employee Engagement Survey,We have really valued the opportunity to gain feedback from staff and to track employee engagement to help us give our employees a voice and to help us improve as an organisation and responsible employer. Personalised recommendations are really valuable and survey results are clearly displayed - the heatmaps in particular show us at a glance where we are doing well and where we have opportunity for improvement.,Stef S.,5.0,"July 7, 2023",We have used WeThrive to assist us with employee engagement surveys since 2019. Integration was easy and the team at WeThrive could not be more helpful if any questions come up or we need assistance - they are always quick to respond and happy to help with anything we need. Staff find WeThrive surveys easy to use and managers have said they particularly like the personalised recommendations and ideas for actions for their teams as it helps them when drawing up action plans following survey results. We plan to try to use more features that WeThrive offer going forwards.,There are no cons that I can think of - we're very happy with WeThrive.,HR Systems Administrator,Non-Profit Organization Management,Used the software for: 2+ years
wethrive,WeThrive Review,"Really good experience, first time doing a full survey with the team and it went well. [SENSITIVE CONTENT HIDDEN] is great and has helped us conduct a temporary Covid19 pulse survey to see how the team is doing right now.",Claire D.,3.0,"May 13, 2020",The support from our brilliant account manager has allowed us to develop actions from our engagement survey. The clear graphs and additional questions sets it above competitors.,It's not the easiest to understand when trying to view certain team results for example but once explained it was easier. UX could be reviewed.,Bus Ops Manager,Information Services,Used the software for: 6-12 months
wethrive,Amazing employee engagement tool,Amazing - the Customer Service team is extremely helpful and personable. They come back extremely quickly and have always answered my questions.,Amber C.,5.0,"January 31, 2022",WeThrive is an easy-to-use tool that really helps you understand what is going on in all organisations. It provides comprehensive data - for many of my clients we have used this information to help make informed decisions on People Strategy. The curated content based on the survey results is also a huge benefit - it offers tailored learning for all employees and managers.,"There have been a few changes in my time using the product - this can something be a little bit confusing but once you get your head around it, it is very easy to use. The changes are also a big plus and makes the functionality of the software extremely wide-ranging.",HR Consultant,Human Resources,Used the software for: 1-2 years
wethrive,A brilliant platform to enhance individual and company performance,"We are all aware that engaged employees are 21% more productive than their less engaged co-workers. The psychological contract that we have with our employees has taken a huge shift. Willis Insurance & Risk Management have partnered with ""wethrive"" to offer a product that is really professional, adaptable and that delivers results to enhance performance. Our clients have benefited as the survey is not excessive, is easily understood and results easily interpreted. In addition, they offer an extensive range of support tools for Managers in action planning. This is a game changer for any progressive CEO/MD and we'll continue to build on our client's experiences. This is a really good product in the marketplace for the SME sector and one we’re glad to be associated with.",Paddy M.,5.0,"May 22, 2020",Easy to use; accessible; easy to interpret; good results features; extensive support tools for managers;,can't offer paper based option...........,HR Director,Insurance,Used the software for: 6-12 months
wethrive,Best employee engagement tool for SME ,"Can not fault the service or the product. I have a client who has used it for years and would be lost without the very valuable feedback from employees. In these difficult times, employee engagement is increasingly more important.",Rebecca W.,5.0,"May 8, 2020",I love the actions for each issue identified. It is easy to administer and interpret and the customer support is second to none. The team are always on hand to assist with queries and answer questions. The recent complimentary survey to identify the issues of homeworkers was particularly helpful.,"The results are limited to teams of 4, in some of my clients, there are not 4 people in each department. I understand, to anonymise the results, why it has to be this way. It is just something to be mindful of when setting the system up and reviewing the output.",HR Director,Human Resources,Used the software for: 6-12 months
wethrive,Excellent Employee Engagement Tool,WeThrive have provided excellent support throughout at each stage of the process. Nothing is too much trouble and we are delighted to be partnering with WeThrive and offering their product to our clients.,Angela R.,5.0,"May 7, 2020","We love the fact that this software is very simple to use and not only gives the outcome of the survey in a simple, clear way, it also gives ongoing support to the Company in how to make improvements as a result of the feedback given.",We did not have any difficulties in the use of the software nor in the feedback resulting from the survey and the presentation of the outcome.,Director,Accounting,Used the software for: 1-2 years
wethrive,Great tool for teams and individuals,,Julie B.,5.0,"May 18, 2020",The wide range of aspects covered and clear reporting make this an easy to use and useful tool for managers and individuals to understand their own motivations and those of their colleagues to enable them to work more effectively together and focus on areas that are identified as needing attention.,It is dependent on how people see and score themselves which needs to be taken into account when comparing the reports of different individuals.,HR Director,Higher Education,Used the software for: 1-2 years
wethrive,Smooth implementation,,Kal S.,4.0,"May 18, 2020",Ease of use and the support available to us throughout the projects.,Worked very well for our needs so hard to suggest anything here.,HR Manager,Education Management,Used the software for: 2+ years
wethrive,A really great Employee Engagement Tool,"WE have had a really poisive experience with we Thrive, return rates were high, feedback from staff about the survey was positive and it helped us to put together a plan to work on development areas. We are looking forward to re running the process again having benchmarked ourselves 3 months ago.",Niel C.,5.0,"May 1, 2020","We Thrive is an easy to use tool, which has enabled us to engage with staff, listen to their views but importantly helps you to follow up on their issues. We Thrive doesn't just give you the answers, it explains why people might be responding this this way and provides coaching suggestions to help you respond positively.",A direct link from your desk top to the software would be better than trying to find the links and accessing via the browser.,Managing Director,Human Resources,Used the software for: 6-12 months
