product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
workday_hcm,your workday! will be a great day,"Overall, the features are good as compared to SAP SF, and Oracle Teleo. if someone is looking for bulk hiring and managing the data, and a single platform workday would be great.",Gopal B.,4.0,"January 6, 2026","Vendor management and candidate management help to manage the data for business leaders, as well as with self-work productivity.",,Associate Manager,Human Resources,Used the software for: 1-2 years
workday_hcm,Great tool to manage my team and my own career,"Overall, my experience with Workday HCM has been positive so far. As a manager, I use several of the platform’s features on a regular basis, including reviewing employee information, managing absences, and accessing training-related tools. The system generally makes it easy to perform these tasks in one centralized place, which helps streamline day-to-day management activities. The interface is clear and most functions are intuitive, allowing me to quickly find the information I need and complete routine HR processes efficiently. While there are some areas that could be improved, such as report speed and navigation, the overall experience has been good and the platform provides useful tools that support effective team management.",Verified Reviewer,5.0,"March 7, 2026","I appreciate how Workday HCM integrates multiple HR functions into one platform. The learning and training integrations are particularly valuable because they connect learning management tools with employee profiles. This makes it easier to track certifications, training progress, and professional development in a centralized place. I also like the simple and intuitive user interface. Navigating the system is straightforward, which improves the experience for both employees and administrators. The absence calendar is especially useful because it provides a clear visual overview of time off, helping employees request leave and allowing managers to quickly see team availability. Overall, Workday HCM offers an integrated and user-friendly environment that helps simplify HR processes and support effective workforce management.","One aspect I liked the least about Workday HCM is that report generation can sometimes be slow, especially when working with larger datasets or more complex reports. This can affect efficiency when quick access to information is needed for decision-making or operational tasks. In addition, it is not always easy to find the right report within the system. With the large number of available reports and options, navigating to the specific one you need can take some time. Improving report discoverability and performance would make the reporting experience smoother and more efficient.",Software Dev Manager,Computer Software,Used the software for: 2+ years
workday_hcm,workday experience,,Verified Reviewer,3.0,"April 7, 2026","Workday is comprehensive, and it unified HCM. and its strong in AI, and strong in workforce planning.","it's really not user friendly. it's not intuitive, and it's more complex than it should be. simple tasks feel unnecessarily challenging.",Principal,Human Resources,Used the software for: Less than 6 months
workday_hcm,"Powerful, flexible and user friendly for Payroll","Workday has been an excellent solution for our payroll processing. The interface is intuitive and user friendly, so it’s easy to navigate even for less technical users. What I appreciate most is the flexibility and level of customization—reports, workflows, and fields can be tailored to match our specific payroll processes and policies. Once configured, payroll runs are smooth, accurate, and consistent, and the system makes it simple to track changes and audit activity. Overall, Workday has streamlined our payroll operations and given us much better visibility and control.",Rachelle D.,5.0,"February 2, 2026",Very user-friendly interface that’s easy to learn and navigate. Highly flexible and customizable to match our specific payroll processes. Streamlines payroll processing and reduces manual work and errors. Strong reporting capabilities with configurable reports and dashboards.,"Workday is so highly customizable that it can become complex quickly, and configuring or changing certain workflows often requires more time and expertise than expected",Sr Director of Payroll,Consumer Goods,Used the software for: 2+ years
workday_hcm,#1 for Company Employee Tracking System.,"Rewarding, beneficial, user friendly, organized. I really think it has helped me stay on top of my pay and time off, for keeping track of my time available PTO and sick time. My merits and raises. My performance and goal all in one app. I love this.",Kerry G.,5.0,"April 13, 2026","It carries a lot of information that an individual would need right at there hands for pay tax elections. You time requesting office, leaves of absence. I really enjoy this tracking tool. I have used it for about 2 years now with my Employer R1. You can customize it and add learning as well and performance reviews and goal setting. It is a great way to track your employees and offer a very user friendly application for them as well to stay connected with all documents. I love the fact that it’s shod graphs of your team members and management and also your direct contact for support. You can complete many training and certificates through this application as well for job role management and staying up to date with clearances, certificates and government policies. I truly enjoy this application and think a lot of employer should use this to help there employees stay on top of thre time, benefits, notifications, goals, performance, job postings, certificates, testing. Requesting time off and all documents is very nice as well.",There is not much I do not enjoy about this app. I have not found anything to honestly complain about.,Patient Account Services Associate,Medical Practice,Used the software for: 1-2 years
workday_hcm,Good for Associates,"Overall, a pleasant experience using workday as an associate and I would like to utilize this system at careers in the future.",Hailie T.,5.0,"April 15, 2026",This program is user friendly for both associates and managers. You are able to access your paystubs and pay rate as an associate and process payroll as a manager. HR is able to upload any important documents into a candidate's portal as well as any past work experience/certifications. Lots of organizations utilize Workday and it is seemingly good value. Not many bugs that have been noted. Customer support is helpful when making changes to your personal profile.,"If there is not a stable internet connection, the app can be glitchy at times. When necessary, changes need to be made by an associate such as address or phone number, they have to go through administration which can delay this change from processing immediately.",RN,Hospital & Health Care,Used the software for: 2+ years
workday_hcm,Easy to use system,"Overall, my experience with Workday HCM has been positive. It’s a reliable and user-friendly system that makes it easier to manage everyday HR tasks. While there are a few areas that could be more streamlined, it generally helps improve efficiency and keeps everything organized in one place.",Verified Reviewer,5.0,"March 30, 2026","I like how easy Workday HCM is to use and navigate. Everything is in one place, which makes managing HR tasks much more convenient. The self-service features and real-time information also help save time and make day-to-day tasks more efficient.","Sometimes it can be a little difficult to find specific features, especially if you don’t use them often. Certain processes also feel more complicated than they need to be, and reporting can take some time to get used to.",Mortgage Officer,Financial Services,Used the software for: 1-2 years
workday_hcm,"Great for employers, cumbersome for applicants",,Verified Reviewer,5.0,"April 4, 2026","Customer support was great, any bugs were fixed quickly. Appealing and user-friendly interface. Intuitive layout.","In job applications, the applicant must fill out many fields that could be theoretically automatically filled out based on their resume",Commercial Advisor,Oil & Energy,Used the software for: 2+ years
workday_hcm,Comprehensive but Complex HR Solution,"Overall, Workday HCM is powerful and comprehensive, offering robust HR solutions, though it can be complex for newcomers.",Verified Reviewer,4.0,"February 26, 2026","I appreciated Workday HCM’s unified platform—streamlining HR, payroll, and talent management with intuitive, real-time insights.","The system can feel complex and overwhelming, with a steep learning curve for new users navigating its features.",App Developer,Information Technology and Services,Used the software for: 2+ years
workday_hcm,Powerful HR tool,,Verified Reviewer,4.0,"February 22, 2026","Been using this for a couple of purposes, on-boarding, doing mandatory and complementary courses, surveys and evaluations. I liked the simplicity of the tool.","I would say the navigation could have been easier. Also, occasionally would lag but overall not a deal breaker.",Sr AI Analyst,Information Technology and Services,Used the software for: 2+ years
