product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
constructiononline,Robust construction management software,We are about two months into the implementation process and it has gone more smoothly than expected. Support training is super helpful in getting the team members up to speed.,Kevin C.,5.0,"April 26, 2024","Having the ability to track a project from a an early lead, to an estimate and proposal and through the construction and completion is incredibly helpful to have all the information on one platform.",The cloud based platform can have some compatibility issues with certain browsers (Microsoft Edge). It can get bogged down in the Redline planroom and takeoff features with really large files.,Vice President,Construction,Used the software for: Less than 6 months
constructiononline,Administration,Using ConstructionOnline has made keeping track of our projects more smooth. I can easily track job locations while being miles away.,Kandace B.,5.0,"June 5, 2025",I think that the software is user friendly. It makes navigating and setting up jobs easy. I also enjoy my agenda because I work work on tasks assigned to me while also setting a task for my teams. It allows to restrict what others can see while also allowing us to work together on projects.,I do not have anything negative to say about my experience so far. I have enjoyed using ConstructionOnline and making projects more organized.,Administration,Construction,Used the software for: 2+ years
constructiononline,ConstructionOnline ...nothing short of a complete failure ,"Our journey with ConstructionOnline has been nothing short of a complete failure. Despite investing significant time and resources, we were never able to fully implement our system, yet we were charged the full first-year fee with no offer of even a partial refund. Our onboarding and implementation process spanned 3.5 months as we struggled to align with their system. We encountered a major roadblock in adapting their scheduling/dispatching module causing significant delays and preventing us from progressing to other modules. Their workaround instructed us to rely on static reports, which proved impractical and irrelevant to our workflow. Ultimately, we had to make the difficult decision to abandon our efforts to implement ConstructionOnline. We communicated our decision to the implementation team as well as the Sr leadership in writing and requested a partial credit. Given that the system was never fully implemented, we expected at least a partial credit for the first year's SaaS fee. Instead, there was no response from the leadership at all, and the reply from the salesperson simply stated …” that our account would be deactivated to avoid future charges” ….",David R.,1.0,"October 29, 2024",Everything presented in the Sales pitch met with our needs during the original disucussions with the sales team.,"We could never get Scheduling / Dispatching to fit our needs. We simply wanted to be able to see our backlog of projects and to be able to schedule a technician against the open opportunity in real time. Instead, they had us create reports, run the report, and then see the outcome. This was totaly impractical.",President,Construction,Used the software for: Less than 6 months
constructiononline,Review new,Very much like the system while in the field and at the office. Allows me to see where my team is clocked in at and their daily logs,Ryan G.,4.0,"February 13, 2026",Ease of navigation through the app. The dashboard is nice to be able to see things at a glance. Ease of use between desktop and mobile.,"Some trouble of clocking into projects correctly. I select a project and click in, the system often reverts back to “general all projects” instead of the selected project",General Manager,Construction,Used the software for: 1-2 years
constructiononline,5 years using UDA,My experience has been great! The customer service team is amazing. I've had a few technical issues over the years that I have used the program but the cs team has always fixed it right away or gotten back to me with a solution in a timely fashion.,Jennifer B.,5.0,"May 21, 2025",Simple to use. Great customer service. Program has everything my company needs. Easy to navigate the program and upload information.,The price is a little expensive but worth it. I didn't find another program that met my companies needs that was cheaper.,Owner,Construction,Used the software for: 2+ years
constructiononline,Decision on a software platform that worked for a Developer not just a Contractor,"Our experience with ConstructionOnline was excellent from the initial contact through the demonstrations and all the way to our starting our 2-week trial. Everyone we dealt with was great at both answering our questions but also in the demonstrations with respect to ensuring all our questions were answered to our satisfaction. We had looked at 3 different software platforms to determine which would best fit our specific needs, and after going through demo sessions with all three, we landed on ConstructionOnline as being our frontrunner. Great people and user friendly software that delivered big results; a winning combination.",Will S.,5.0,"February 6, 2025",Ease of use and ability for customization specific to our needs were two of the biggest wins in our minds.,We actually found nothing that we saw as an issue with the software,CEO,Commercial Real Estate,Used the software for: I used a free trial
constructiononline,Experienced user review,Great and very productive! Need optional column headings added back for alternative work. Happens on almost every bid and we dont have an option.,James W.,5.0,"May 8, 2025","Easy to use, well organized. Easy to create a project, estimate, and send a professional proposal.","Scope writing process needs some improvements. This is a big part of the process. Needs formatting issues corrected with spacing, etc. Also, we need to have optional columns added back",VP,Construction,Used the software for: 2+ years
constructiononline,"If You’re a Residential Contractor, This Software Does It All","Aside from its features, the best thing about this software is the exceptional customer support. Wait times are minimal (if any), and the team knows the product inside and out. If they don’t have an answer right away, I always get a quick callback. As a residential renovation company, this software works perfectly for our needs. While I don’t use all the features, I can see how it’s versatile enough to benefit larger construction companies too. Highly recommend",Steve G.,5.0,"November 26, 2024","This software is fantastic and super easy to use, especially for estimating. The estimation section, complete with assemblies, is my go-to. I frequently use stored templates I’ve created, and the ability to save custom estimates as templates is a game-changer. The Redline section is also amazing for take-offs, which can be seamlessly sent to an estimate—something I haven’t seen done elsewhere. All estimates can be exported to QuickBooks or Excel, making integration a breeze. I also love the variety of reports available. They can be used as-is, customized, or exported as PDFs. I often import these into Excel for further personalization. A standout feature is the ability to see your job margin and adjust markup to maximize profit while staying competitive—extremely useful for tracking profitability. The Selections and Change Order sections are incredibly helpful. Clients can easily approve COs and selections, preventing misorders and avoiding inadvertent issues. Plus, clients can access various reports and progress updates, keeping everyone on the same page. We also use the chat feature for job-specific communications, saving us from digging through endless emails. Weekly job notes and progress reports are posted here, and we share updates directly with clients. Lastly, the ability to take and organize photos is fantastic for both internal records and keeping clients updated on progress. This software truly streamlines our workflow and improves client communication.","There are times when I wish a feature was developed to work better for me, and they are not always available quickly. Usually, I find a way to work differently or export to a PDF or Excel and get what I need that way.",owner,Construction,Used the software for: 2+ years
constructiononline,Great managment software,I like that UDA is always looking to improve their product. I feel like they understand that what I need in a management software is evolving and they are keeping up.,Walter F.,5.0,"March 10, 2025",UDA/CO is very easy to use and is intuitive in it's layout.,Really a small thing. the AI chat feature is always popping up right where I am going when I first open the application. I also find that notifications are hit or miss sometimes.,Project Lead,Construction,Used the software for: 2+ years
constructiononline,We here at Southern Choice Construction love UDA and Construction Online,I am loving how it truly incorporates all of these different aspects of construction management into one seamless program that offers tools for the guys in the office or the field. ( Your work is only as good as the tools you use and this is a tool that every professional needs!),devin W.,5.0,"October 4, 2024","Great estimating tools, Great job tracking capability's, runs smoothly and without crashing like other programs, runs in real time and accessible through any online browser.",The App version could be platformed in away to help the field guys more easily compile accurate and useful reports!,Project Manager.,Construction,Used the software for: Less than 6 months
