product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
netsuite,Growing with NetSuite,"We have been incredibly pleased with our implementation of NetSuite. By using its Enterprise Resource Planning (ERP) system, it is providing real-time visibility into operation performance on a single platform.",Mai M.,5.0,"March 22, 2026",It's helping our small team operate more efficiently by automating all of our core processes. It's serving as a CRM + and ERM making it ideal for a small business like mine.,Truly no cons. We're exploring and enjoying the full depth of services this single platform provides.,Managing Director,Hospitality,Used the software for: Less than 6 months
netsuite,Accountant,"found it to be a powerful and reliable system that integrates key business functions in one platform, making processes more efficient and reporting more transparent. While some features can be complex at first, especially for new users, its real-time visibility, strong financial controls, and scalability make it a valuable tool overall.",Keson Y.,4.0,"March 23, 2026","What I liked most about NetSuite was how it brings multiple business functions into one integrated platform. Instead of managing separate systems for finance, inventory, procurement, and reporting, NetSuite provides a single source of truth, which improves accuracy and efficiency. I especially value its real-time reporting and dashboard capabilities, as they support faster decision-making and better visibility across the business. Its cloud-based accessibility is also a major advantage, allowing teams to work flexibly while maintaining control and transparency. Overall, NetSuite stands out for its ability to streamline processes, strengthen financial oversight, and support scalable growth in a practical, user-friendly way.","What I liked least about NetSuite was that some processes can feel complex and less intuitive, especially for new users. Certain customisations and reports may also require extra time or technical support.",Accountant,Transportation/Trucking/Railroad,Used the software for: 1-2 years
netsuite,A good system once learned,"As we learn the system better, the time savings and data insight benefits are becoming clearer. However, it has been a long and painful process to get here and there is still work to do. The Learning Cloud Support function is excellent and I would recommend users to consider this investment to improve overall experience.",Mark T.,3.0,"March 31, 2026",Being able to consolidate all of our companies in multi currency quickly has saved a significant amount of time. Vendor and customer dashboards allow a quick view of key information.,The Fixed Asset module is slow and clunky and lacks certain reports that auditors would expect. Some wider updates seem to lack testing so there have been issues with both bank feeds and VAT reporting in the last 18 months caused by updates that have been time consuming to resolve.,Group Financial Controller,"Leisure, Travel & Tourism",Used the software for: 2+ years
netsuite,Netsuite usage,Great with flexibility to adapt to business needs. Needs improvement in mobile interface but it’s flexibility help the business grow,Juan M.,5.0,"February 12, 2026",Accessibility and cloud access across all business units. Ability to restrict access and create workflows with ease,Limited access in mobile devices with a Cell phone UI. SCM feels limited to change and need constant developer involvement,Operations VP,Logistics and Supply Chain,Used the software for: 2+ years
netsuite,Happy customer ,"Overall I am happy with our experience with NetSuite. We’ve been using it for 7 years now and the support has been good, it’s overall great system.",Erin P.,5.0,"March 29, 2026",NetSuite gives our business the ability to report on anything as it’s an all in one system. It’s allowed us to speed up and automate a lot of our processes.,"I don’t love all the different record types, I do feel it makes it a bit clunky. I think it could be cleaned up to make it easier to undo certain tasks. It allows for a lot of reporting but it does mean there is a lot of paperwork to do some tasks and especially when you are trying to reverse something.",COO,Retail,Used the software for: 2+ years
netsuite,Review of Netsuite,Positive. It took some time to really get across the software but now I am comfortable with it and looking forward to reallynusing the next gen AI capabilities,Timothy W.,4.0,"March 23, 2026",The flexibility and ability to customise the poduct to our specific business requirements. Also the inventory management,The software can be quite slow. Would love of they added more asia pac servers to speed it up. It can also be complicated and takes a bit to teach now people how to use it,General Manager,Machinery,Used the software for: 2+ years
netsuite,Embracing new features of NetSuite,Overall it's good! Enjoyed it a lot. Grabbed the knowledge of new features and looked forward to the new ai features ti be released soon.,Lu C.,5.0,"April 2, 2026",It provides the new feature introduction as well as useful workshops. Also a good opportunity to explore other add on products.,If the venue could provide more seating options that would be great. A few useful sessions clash so recording can be useful.,Group Financial Controller,Renewables & Environment,Used the software for: 2+ years
netsuite,Essential reporting tool,Great product & experience- has really made a difference to our business. Board & Managers really value the improved reporting & analysis,Kerry B.,5.0,"March 17, 2026",Great product & expanding ecosystem- love the Ai changes & all the partners tailoring products to our specific requirements.,Cost & the visibility of pricing - understanding it all is complex & renewing for the whole year makes it hard & pricy.,CFO,Oil & Energy,Used the software for: 2+ years
netsuite,Netsuite Feedback,"Overall, my experience with NetSuite was moderate. While it offers strong functionality and a comprehensive, integrated platform, performance issues and occasional usability challenges impacted the overall experience. It’s a powerful system, but there is room for improvement in speed and user experience.",Sachin P.,4.0,"April 1, 2026","One in All solution. I really liked how NetSuite brings everything into one system—finance, CRM, and operations—making processes more efficient and data more reliable. Its real-time reporting and scalability were especially valuable for supporting business growth and decision-making. If you want, tell me your role (e.g., finance, ops, sales), and I can tailor it to sound more personal and specific.",One of the main challenges I experienced with NetSuite was performance—particularly slower load times and lag when working with large datasets or complex transactions. This occasionally impacted productivity and user experience.,Head of business Systems and integration,Consumer Goods,Used the software for: 2+ years
netsuite,Awesome Developments with AI,"Over the years NetSuite has been a great engine but quite clunky, but now it's being supercharged to a different level. Awesome.",Allister F.,5.0,"March 31, 2026","The forward thinking mindset to streamline time-consuming and mundane tasks and free up time for building and strategizing. Also, enabling decision making so much easier with great insights at the click of a button",Can't think of anything . We've used NetSuite for 8 yes and we love it except that it hasn't been an attractive platform from the user interface standpoint.,Director,Chemicals,Used the software for: 2+ years
