product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
97_display,This company has changed our business,Our business has improved leaps and bounds since we started using 97 display. Its been the best decision I've ever made!,Keilah R.,5.0,"July 5, 2023","97 display does what they promise. Our site is easy to use and we get so many leads, it is absolutely worth the cost.",The lead core app is slow to load sometimes but it's not a hinderance at all. We really love all of the features.,Owner /manager,"Health, Wellness and Fitness",Used the software for: 1-2 years
97_display,97 Display helps us grow,Our experience has been super quick and easy. It takes almost no time from me.,Danielle O.,5.0,"July 5, 2023",I love that they did all of the work with setting up my website and managing leads.w,I wish it would integrate better with my student management system,Owner,Sports,Used the software for: 2+ years
97_display,"Good industry specific agency, but limited access","I used 97D for many years (8+) and went through multiple iterations of their website management and social advertisement process. There wasn't one specific reason for leaving; rather, multiple hiccups accumulated to lead to my decision. We kept getting leads from Meta ads who were unaware their info was collected and it kept bringing negative attention to our online reviews. After years of running ads with them I was never aware that they hosted all of them through their own accounts, so my FB account never received an organic boost as promised. By the time I left, they had multiple reps come and go so most of my communications slipped through cracks. To their credit, after I put my notice in, I received mutiple outreaches from middle management hoping to help win back our business. They were all very forthcoming about my concerns and willing to help but it had already been over a year of turmoil and I needed to change.",Alec R.,4.0,"April 19, 2025","""Done for you"" templates are pleasing, navigate intuitively, and can be refreshed or updated regularly.","Metrics and insights provided by the development team don't represent the full picture of the site's performance. Also, the nature of their business model prevents anyone but their team from being able to work with any kind of SEO/SEM strategy.",Owner,"Health, Wellness and Fitness",Used the software for: 2+ years
97_display,Best in class,"Nothing but good things to say, professional, helpful, timely, meets our needs and then some.",Brad M.,5.0,"July 5, 2023","It's basically hands off and if you just do what they tell you to do, you will succeed.","It has become more difficult to talk to a human being, 6+ months ago it was easy and very beneficial.",Director of Marketing,Sports,Used the software for: 2+ years
97_display,Good Vibes review. ,Very good. The folks over there are very handy when I need help and very receptive to suggestions for my website.,Christopher P.,5.0,"July 5, 2023","I am a single person operation, and the website helps me very much with bringing in new members","I wish it had more office integration, such as taking payments, member, tracking, contract, and waiver online",Owner,Sports,Used the software for: 2+ years
97_display,Ceo,Amazing.,Adam S.,5.0,"July 5, 2023","I love the ease of use, the way my leads flow right to my phone, and customer service.",I wish they had done for you emails to leads,CEO,Education Management,Used the software for: 2+ years
97_display,Best Support And Integration In The Business!,10/10,David F.,5.0,"July 5, 2023",The phone call once a lead is filled out and the support and speed of support,The cookie cutter designs. But i understand the need for templates,Integrator,Fine Art,Used the software for: 2+ years
97_display,The best in operations ,,Ryan M.,5.0,"July 5, 2023",We like the easy access the most about 97 Display,Some updates the least about 97 Display,Owner,"Health, Wellness and Fitness",Used the software for: 2+ years
97_display,97 Display - The Lead Generator,Overall it's been great and has grown our business!,Matt T.,5.0,"July 5, 2023",I like the constant flow of leads and the constant support provided.,"Really nothing. If there is something I don't like, a quick email resolved the issue.",Owner,"Health, Wellness and Fitness",Used the software for: 1-2 years
97_display,Lead acquisition and management ,Cost,Seth W.,5.0,"July 5, 2023",Ease of implementation and setup. Team was supportive,I feel like the seo and keywords could be more flexible,Presidant,Sports,Used the software for: 2+ years
97_display,AUTO LEads,,erin S.,5.0,"July 5, 2023",They make Lead Generation EASY! They are VERY VERY EASY to work with!,"It's not as custom as I would prefer, it would be nice to have more of a brand id.",OWNER,"Health, Wellness and Fitness",Used the software for: 2+ years
97_display,Good job,Good experience overall for a very useful platform that helps you keep up with data and contacts.,Adrian C.,4.0,"July 5, 2023",I like the notifications and the crm interface. Very useful if you are into data.,Limited features although the price is already pretty high.,Master,Sports,Used the software for: 1-2 years
97_display,97 Displays is awesome,,Wade M.,5.0,"July 5, 2023",The automatic call option if you want and the easy customization.,The price is a little high. Maybe a better checkout system.,Owner,Facilities Services,Used the software for: 2+ years
97_display,Solid performance,,John F.,5.0,"July 5, 2023","They have taken SEO completely off my plate. As a business entrepreneur, my time is valuable and this is one less thing I have to worry about which is a big bonus.",Sending reports that make sense to me (a non-tech person) about the performance and results from utilizing the service,Owner,"Health, Wellness and Fitness",Used the software for: 6-12 months
97_display,Very pleased,,Blake H.,5.0,"July 5, 2023",They have done everything they’ve promised to do and I’m happy with the results!,So far everything has been great. Wish I’d found them sooner.,Head Instructor,Professional Training & Coaching,Used the software for: Less than 6 months
97_display,Game changer!!,,Casey W.,5.0,"July 5, 2023",We used 97 display to for our website and we couldn’t be happier with the design. Not only is the design beautiful the amount of leads we’re getting now is crazy! We’ve gotten over 50 website leads in 3 months!,Nothing I can think of. We are very happy,Manager,"Health, Wellness and Fitness",Used the software for: 6-12 months
