product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
pi_datametrics,Great SEO tool,Very good SEO tool. Easy to use and complete,melisa A.,4.0,"August 1, 2024",Versatility of the product and ease to use. Also the varierty of metrics they offer,Some things are hidden and settings are not easy to find,SEO manager,Financial Services,Used the software for: 6-12 months
pi_datametrics,"Great software, well worth the cost of the product for the insights it unlocks",Has brought a new dimension to SEO monitoring and competitor tracking. Compliments Paid Search nicely by creating consistent Keyword tracking groups that leverage Google Ads keyword data.,Adam C.,5.0,"February 8, 2023","Keyword tracking, competitor monitoring and share of voice metrics are by far the most powerful aspects of the tool, particularly when combined with their industry standard reports and keyword tracking.","Lacks some reporting customisation that would be useful, particularly around timelines, and historic data. We can see the data is help within the platform. But being able to filter, view and extract it is more difficult. Although they have been making improvements to this over the past 6 months.",Performance Marketing Manager,Furniture,Used the software for: 1-2 years
pi_datametrics,A handy tool for any SEO specialist,,Rachel P.,4.0,"August 15, 2023","Pi Datametrics really shines when it comes to showcasing keyword depth. After you've handpicked the keywords you want to examine in detail, Pi not only makes it simple to showcase how your website is ranking, but exactly which URL is ranking for these keywords, and if more than one URL is competing for the same keyword. Moreover, I find Pi's Share of Voice chart incredibly helpful for showing exactly where the website is ranking in relation to competitors for specific keyword subsets.","Pi can sometimes feel difficult to navigate, and with so many features it takes a lot of clicking around and experimenting to find the features you're looking for. Perhaps Pi would benefit from adding tooltips or updating copy to make it easy to understand what each feature actually is (e.g. the SERP matrix as a tool isn't clear, and doesn't outline anywhere on the page what it's showing and how a marketer would benefit from this tool).",Senior Organic Performance Specialist,Automotive,Used the software for: Less than 6 months
pi_datametrics,Pi Datametrics has become an integral tool for us,,Tom B.,4.0,"May 8, 2024","We've found that Pi Datametrics has become really important in our SEO efforts and offers us a host of benefits. The comprehensive data analysis that Pi Datametrics provides enables us to gain insights into various aspects of our online performance, including keyword rankings, search visibility, and competitor analysis. The competitor benchmarking also allows us to gain insight into how our competitors are performing for our most important search terms as well as showing us the latest market trends which helps us stay ahead of our competition.",Pi Datametrics can be quite clunky to use and extra steps have been added in recently which means it takes us longer to get the data that we need that only took a fraction of the time in the past.,SEO Manager,Retail,Used the software for: 6-12 months
pi_datametrics,Pi datametrics review,After a slow start having to get used to using this product i have found the tool to be helpful in understanding how we compare to our competitors and where we can improve on the terms we're already tracking. But you only get out of it what you set up. And if you inherit the platform from another team you may find it's set up entirely for their projects which mean you have to start again,ryan B.,5.0,"May 2, 2024","The ability to rapid track, categorise keywords and select search engine locations for each group too. The market intelligence reports are helpful for eye catching snapshots in presentations",It can be difficult to get used to when you first start. You have to keep using it to get familiar with the product and get the best out of it as it's not the most intuitive. Those looking for keyword research opportunities similar to Ahrefs or Semrush might be dissapointed,Technical SEO,Financial Services,Used the software for: 2+ years
pi_datametrics,Highly recommended,"Pi Datametrics is an exceptional SEO tool that provides detailed information and helps us to increase online visibility, improve ranking and increase traffic. The team's expertise has helped us whenever we have needed it.",Sara S.,5.0,"May 2, 2024",What I like most about Pi Datametrics is their commitment to providing customised SEO data analysis. The tool ensures that our strategies can be maximised to increase online presence.,What I like least is that sometimes the platform speed can be slow.,SEO manager,Financial Services,Used the software for: 6-12 months
pi_datametrics,Ruka (On Page SEO Exec at IG Group) Pi Review,"Overall I am satisfied using Pi, it gives me what I need the most which is the movement of rankings and it is helpful that I only see the keywords I am tracking and relevant.",Ruka S.,4.0,"August 10, 2023",I like the detailed information that Pi gives us on ranking. It allows us to understand what is happening through SERP movement and Keyword rankings.,It is quite hard to navigate especially when you are trying to return to the previous page. Also there are so many things you can do but there a little too much to learn and don't have the time to explore.,SEO Executive,Financial Services,Used the software for: 1-2 years
pi_datametrics,Love the tool.,Once reports are setup very easy to use and pla around with.,Jacob W.,5.0,"May 2, 2024",Data comprsion to other brands witin industry.,Hard to get up and running without preovous experience.,SEO Executive,Gambling & Casinos,Used the software for: 6-12 months
pi_datametrics,Great tool for share of voice analysis,,Ramin T.,4.0,"May 3, 2024",The rank tracking feature is a powerful one in comparison to other competitors Share of voice is a handy feature for competitor analysis SERP feature radar is also beneficial for analysing the SERP results for different areas,It takes time to understand different menus and their placements. The keyword research tool and search volumes sometimes aren't accurate.,Technical SEO Manager,Automotive,Used the software for: 1-2 years
pi_datametrics,Speedy and easy to use ,,Neil B.,5.0,"February 8, 2023","The best thing about Pi is being able to add lots and lots of keywords to a workspace to then track them over a period of time. We can assess our progress easily through the indexes and show our relative success compared to competitors. Having the indexes laid out as they are is also useful for us in showing the wider business how are getting on, the simple number system is easy for anyone to understand.",The new navigation adds a couple of extra steps to getting the info we need which is a bit annoying but it could be that we are just used to the old layout more.,SEO and Content Executive,Retail,Used the software for: 1-2 years
pi_datametrics,Great Holistic Insights,I couldn't recommend Pi Datametrics enough. The whole onboarding and continued support they provide has helped us take our SEO to the next level. We've identified new opportunities and built out direct actions from analysing the data.,Joe G.,5.0,"June 22, 2023","I particularly like being able to look at the search landscape for a particular niche, understand the competitors, spot opportunities and the 'share of voice' each brand occupies.","At this time, the platform does everything we want it to. When we've raised questions in the past about functionality, the account managers have always been incredibly supportive at building out the function we need or at least suggesting an alternative.",SEO Manager,Telecommunications,Used the software for: 1-2 years
pi_datametrics,Pi Datametrics Review for Frasers Group,,Emma H.,5.0,"June 23, 2023",Pi is an amazing software! My favourite feature is the competitor benchmarking to see where we are compared to other competitors. Really easy to read & visually appealing.,Could be more information / tools on how to use Pi datametrics for more advanced filters etc.,SEO Executive,Apparel & Fashion,Used the software for: 6-12 months
pi_datametrics,Great knowledgable staff and very useful tool,,Tristan J.,5.0,"June 22, 2023",The teams at PI are incredibly knowledgeable and always willing to help out. The insights we are able to gain that we can take straight to less SEO-aware members of the business are really useful in making a clear case for the value of SEO.,Training has been very regular and offered and the team are so helpful it's almost not needed but it'd be great if the tool was easier to set up and the day to day use of it easier for anyone to pick up.,SEO Specialist,Information Technology and Services,Used the software for: 1-2 years
pi_datametrics,Simple tracking tool,"very good, useful and improves our seo",Katharine A.,5.0,"June 22, 2023","The team had training from Pi, and were all able to use the tools and tracking devices",It's expensive compared to semrush and ahrefs,Content writer,Marketing and Advertising,Used the software for: 6-12 months
pi_datametrics,Great Insights and Support.,,Joe C.,4.0,"June 22, 2023",Pi allowed us to quickly and easily identify insights at the industry and site level. It easily identified areas of opportunity and benchmarking current site performance against industry competition.,"The interface could be improved, some of the work processes can be a bit clunky.",Director of Search Experience,Marketing and Advertising,Used the software for: 6-12 months
pi_datametrics,Pi review,,ryan B.,5.0,"August 10, 2023",The rapid keyword tracking is very helpful. As is the ability to create different workspace to focus on different projects. SOV is also a great tool when tracking quarterly progress to improve visibility within a space,"If you're not a frequent user it's not the most self-intuitive SEO tool out there, but like anything, the more you use it the more confident you get with it.",SEO manager,Automotive,Used the software for: 1-2 years
pi_datametrics,Perfect for tracking ranking changes,"Overall I'm very happy, despite my limited usage. I often recommend Pi to colleagues.",Duncan W.,5.0,"February 20, 2023","Ease of tracking keywords against competitors. You can easily visualize how your rankings have changed over time against competitors. A great way of visualizing changes, helping to a) identify when/where changes occured and b) arrest any further movement once you spot it!","There's a lot going on on the site so can seem a little overwhelming. I don't use most of the features I'm sure Pi offers because there's just so many! Perhaps have a page with just simple ""how-to-use"" videos for each tool/feature.",SEO Account Manager,Marketing and Advertising,Used the software for: 2+ years
pi_datametrics,Pi Diametrics review ,,eloise A.,5.0,"February 9, 2023",The product is easy to use and great for sectioning off different website in the business. Easy to track top fallers and see what url's are trending on the website.,The product is easy to use however I'm still struggling with the new navigation/update. More help with the new navigation and training with Pi when new updates happen would be helpful to get the most out of it.,seo content writer,Apparel & Fashion,Used the software for: 1-2 years
pi_datametrics,Unlocks Valuable Insights,,Rae S.,5.0,"August 22, 2023","We rely on keyword tracking as well as the competitor monitoring, gaining key information in detail, in a simple manner.","Navigation takes a little getting used to but like with most things, becomes easier the more you use it.",Marketing Manager,Retail,Used the software for: 2+ years
pi_datametrics,Great Product. Great Team.,,Jonny H.,5.0,"February 16, 2023",Pi Datametrics make's keyword tracking and reporting easy. The team have helped setup with multiple setups and integrations making the process completely seamless. We also receive multiple updates and insights each month helping us develop our yearly/quarterly plans and focuses internally.,"The only thing that can be tricky with Pi Datametrics is some of the terminology used on the platform. However, I know the team are well in the works of simplifying this.",Sr. SEO Specialist,Retail,Used the software for: 2+ years
pi_datametrics,Amazing keyword tool,,Fiona S.,5.0,"May 2, 2024",It's easy to use and has a great range of features. We work closely with the Pi team and they're always helpful.,"On the SERP Matrix, it would be good if we could see which Google Business Profiles are showing on Maps",SEO Executive,Retail,Used the software for: 1-2 years
pi_datametrics,A brilliant tool which can be used across the organisation,,Kate H.,5.0,"March 6, 2023","This is a really well thought out tool which is super useful for monitoring SEO performance, analysing competitor activity and assessing any new content before putting it live. The alerts system is great for being able to spread accountability around a business.",Can't really think of anything at the moment,Managing Director,Marketing and Advertising,Used the software for: 2+ years
pi_datametrics,Pi Datametrics is Fantastic,,Ashley P.,5.0,"February 13, 2023",Being able to set up individual Workspaces for certain categories and then pull intelligence reports based on the information being tracked is very helpful.,This software is good for everything so nothing to dislike.,Assistant SEO Manager,Furniture,Used the software for: 6-12 months
pi_datametrics,Great tool for tracking,,Tina L.,5.0,"August 14, 2023",The visibility index and keyword tracking of PI are very useful. Love to use it monitor our and competitors' rankings.,I'm happy with most of it's functions. It's just not very easy to navigate sometimes,SEO Executive,Financial Services,Used the software for: 1-2 years
pi_datametrics,Keyword tracking and SEO insights,,Chris M.,4.0,"September 13, 2023","Easy to use and navigate. Nice visualizations, versatility and good insights.","I haven't encountered any problems yet, however I've used Pi Datametrics for less than 6 months.",SEO Manager,Financial Services,Used the software for: Less than 6 months
