product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
se_ranking,So far So Good,,Binaya A.,4.0,"September 14, 2021",I have been using this software for more than a year now. It is relatively cheaper as compared to ahrefs and semrush but does the job well. Mostly i use this software for rank tracking and sending reports for my clients. Saves my hours on preparing report.,There is no GMB optimization feature and some limitations on keyword research.,SEO Specialist,Information Technology and Services,Used the software for: 1-2 years
se_ranking,Great all in one SEO tool minus some extra costs ,"Long time user and even when interface has changed, been easy enough to adapt and use. Made me a lot of money!",Luke T.,5.0,"November 25, 2025","Great all in one SEO tool, everything needed to review and optimize a site. Been a long time user and even when I've tried over tools I come back to it.",Price has gone up and is a bit behind on the AI tools or they are gated behind more payments. They like to change the interface about which can be confusing.,Consultant,Marketing and Advertising,Used the software for: 1-2 years
se_ranking,Horrible Service For a Decent Price,"Our overall experience has been poor. As stated above, their service has been broken/inaccurate multiple times. We've tried a few different times (with no success) to receive a refund as a result of their non-functioning service. Their solution is to grant a few extra days on the end of our current subscription. What sane person would want an extension on a failing service as opposed to cancellation with a refund?",James D.,1.0,"November 3, 2025",They are one of the cheapest services available. They are one of the only services that allow us to track all of our keywords daily at a decent price.,"Their service is broken more often than it should be. There have been multiple times where daily scans aren't complete, reports fail to send out to designated email addresses, or results have been inaccurate. Customer service is also severely lacking. They are unable to help with most requests, and they are unsure of how their own internal services function.",Owner,Industrial Automation,Used the software for: 1-2 years
se_ranking,The Best Visibility & Competitor Analysis Tool That You're Not Using,"We're big fans. We get everything we need from a visibility tracker at a great cost, and the team are hugely responsive, updating to anything we or other businesses need.",Ben J.,5.0,"November 6, 2025","SE Ranking is our preferred choice for visibility and rank checking. They are always providing new solutions to ensure we're able to monitor visibility in a variety of search platforms at a great value for money. The customer support team are very responsive and help us a ensure that we're able to manage our customer websites and performance efficiently. We like that the competitor keyword analysis, particularly through the API is robust, and that our customer data passes our security requirements.","In some areas, the API documentation could be more robust, but they've made great strides on that part",SEO Director,Marketing and Advertising,Used the software for: 2+ years
se_ranking,"Great tool - Nimble, supportive and responsive ",Very good! We recommend them highly and openly tell our clients that we're using it for optimising their website(s).,Nick T.,5.0,"November 7, 2025","Great tool and the internal team are super-responsive to questions, recommendations and us flagging things that aren't as expected. They release new features quickly and keep us up to date with SEO changes going on.","We don't have any major complaints. Sometimes the data is questionable, but often it's understanding how they've presented it rather than it being 'wrong'.",Director,Marketing and Advertising,Used the software for: 2+ years
se_ranking,Affordable all inclusive tool.,"Overall, we have been really pleased with SE Rankings and the value for the money. It's an all-inclusive tool that really ticks most of the boxes for our needs.",Mary W.,5.0,"October 30, 2025","Ease of use, the reporting is awesome. It's an affordable and well-rounded tool for a small business. Customer support is high quality, and the addition of Plannable has been a great option. We appreciate the Local SEO Services options as well.","The lack of real, easily accessible local and granular keyword tracking over large groups of keywords.",Owner,Marketing and Advertising,Used the software for: 6-12 months
se_ranking,A great and cheaper alternative to SEMrush.,I'm quite happy with it as an alternative to SEMrush. If they could work on the reliability of rank tracking and a few UI bugs it would be far above and beyond the big hitters in the market.,Marcus H.,4.0,"November 6, 2025","Much cheaper than competitors, has all the same tools. Supports AIO without it being too invasive. UI is pretty good.",There's been a few occasions where rank tracking has had some kind of issue so everything looks down for a couple of days and then reverts to normal. Not ideal having to explain this to clients. UI can sometimes be a bit awkward e.g. adding a keyword to a keyword list and filtering through the options that move around the page.,MD,Marketing and Advertising,Used the software for: Less than 6 months
se_ranking,"Despite price hikes, Still a very solid SEO Platform in 2025","SE Ranking is definately one of the best all in one tools we have used in the last 5 years. Initially they entered the market at a very competitive price point, this made them very attractive among the big players as they offered great value and comparable features. Though it has been disappointing to see the gap close in value since they have raised their prices significantly in the last two years.",Angus A.,4.0,"July 14, 2025",We loved this platform for its features and cost at the time of purchase (2020). The user interface is very clean and better than some of the bigger players in the SEO space. The support team were also very responsive.,"Some features were behind additional paywalls, also some of the accuracy of rankings was debatable. What we didn't like though was the significant price hikes in subscription costs that the platform has seen in the last 4 years.",Director,Broadcast Media,Used the software for: 1-2 years
se_ranking,User-friendly SEO tool with reliable SEO insights,I experience it as very positive. I need to dive deeper into the tool myself to make full use of all its features. They have good customer service and are always willing to help.,Lotte S.,4.0,"November 13, 2025","SE Ranking has a clear and intuitive interface, making it easy to work with. You can effectively monitor keywords, and the website audit report clearly highlights areas that need improvement. And you can check if backlinks are still online.","I mainly use SE Ranking for rank tracking and website audits, not for competitor research. That part is difficult to understand, get into, or work with. Some tools are a bit challenging to get used to. Additionally, data is often missing for certain keywords.",Online Marketeer,Marketing and Advertising,Used the software for: 1-2 years
se_ranking,Positive & Satisfactory,"Positive and satisfactory. They are great people who are not only good at what they do, but also some of the nicest people in the industry.",Kooldeep S.,5.0,"October 22, 2025","The support team was always responsive and helpful. Moreover, the platform has a lot of guides and materials that I can use anytime I have an issue.","Nothing at the moment. There was a learning curve at the beginning, but with all of the webinars and workshops offered by SE Ranking, it was easy.",Marketing Specialist,Computer Software,Used the software for: 1-2 years
