product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sistrix,"From all available tools available out there, I will choose Sistrix",,Verified Reviewer,4.0,"May 30, 2022","We use it on a daily basis to improve our SEO performance, I just must say the the pricing is a bit high but ir worth it.","Competitive pricing Content redaction and analysis, similar to Semrush",CMO,Internet,Used the software for: 1-2 years
sistrix,Gutes SEO-Tool,,Severin L.,5.0,"November 6, 2022",Bestes Tool zum Benchmarking und sehr schneller Support,"Manche Filter sind nicht überall einsetzbar, Design könnte etwas moderner sein",Geschäftsführer,Marketing and Advertising,Used the software for: 2+ years
sistrix,Ok to check SEO basics or get a quick overview,"It's ok to get quick an overview of a domain from outside-in, but unfortunaltely more on the surface. I also appreciate the data base for the countries DE, AT and CH.",Kathrin S.,3.0,"June 17, 2022","I can do a quick check of visibility, rankings and core dates of a domain. I also appreciate the API.","Not deeply enough. It just gives me a quick overview of a domain. But if I really wanna optimize things and dive deeper, I need to use other tools. Neither the content module nor the Optimizer or the Ad module convinced me here.",Digital Strategist,Internet,Used the software for: 2+ years
sistrix,Sistrix review,"It's a reliable tool and one of the many SEO tools we use and the data matches up with similar insights we see elsewhere. There is a helpful addition of search intent, and SERP details like which terms have a knowledge graph",Ryan B.,4.0,"September 16, 2024",Country focused overviews Visibility index is helpful Competitor insights Search intent is somewhat helpful,"Nothing major, the backlink insights is very basic and looks a scrape of the GSC links information",SEO Manager,Financial Services,Used the software for: 6-12 months
sistrix,One of best option for your SEO,,Verified Reviewer,5.0,"July 13, 2022",Great tool with a huge database to track your keywords,the price is higher compared with other similar services,E-commerce manager,Packaging and Containers,Used the software for: 2+ years
sistrix,"Good for keyword research, ok for content editing",,Verified Reviewer,5.0,"March 15, 2023",Looking up competitor keywords and making lists about certain topics is very easy.,"The old content editor can't compete with Searchmetrics, but the new 2023 beta might. There are also many unecessary UI steps that could be removed. Sometimes UI elements should be centered, but move to the right. Maybe use Hotjar or similar software to improve this.",SEO Manager,Program Development,Used the software for: 2+ years
sistrix,SISTRIX Visibility index is a very useful tool for SEO,SISTRIX is a tool with unique functionality to check the visibility of any website. This feature becomes very helpful when you are decoding a Google Update to understand which platform gained and which platform lost.,Nirav S.,5.0,"October 11, 2022",1. A very helpful tool to perform winner/loser analysis during Google Core Updates using the visibility index. 2. You can do new keyword research. 3. You can get more than 10 years of historic SEO data. 4. It has a unique feature to check plagiarism. 5. White-label reports are available if you are an agency. 6. It is possible to integrate with GA/GSC,1. It has limited keyword tracking in the paid plan. If you want to track a bulk amount of keywords then it is expensive. 2. It has limited API credits.,Manager,Automotive,Used the software for: 6-12 months
sistrix,Good tool for daily SEO,,Verified Reviewer,5.0,"September 7, 2022",The ranking changes of the keywords and the visibility index can be displayed quickly.,"There used to be a free trial version, which is no longer available.",Online Marketing Manager,Marketing and Advertising,Used the software for: 2+ years
sistrix,Good solution,,Mario P.,4.0,"June 1, 2022",good history of backlinks competition analysis information about urls up to date with google changes,unfriendly interface in some functions it is not as complete as others but it offers a good variety,Developer,Information Technology and Services,Used the software for: Less than 6 months
sistrix,One of the Best SEO Tool but €€€,IS great but not for small bussiness,Javier G.,5.0,"September 27, 2022","The accurate of the data, webminars, tutorials, all around the web, usability","The tool (and the fees) are more agencies and middle -size companies, if you run a small website does not worth, there are no special plans that match the needs of a 1-2users enviroment",MARKETING,"Leisure, Travel & Tourism",Used the software for: 6-12 months
sistrix,sehr Empfehlenswertes Tool ,"Sehr guter Gesamteindruck. Aktuell stimmt die Beschreibung des Tools nicht ganz: ""Training"": es gibt sehr wohl persönliche Trainings, es gibt sehr wohl live online Trainings, und auch sehr gute Videos. ""Kundenbetreuung"": E-Mail/Helpdesk, FAQ, Wissendatenbank, Telefon-Support (via Rückruf) - alles das gibt es und funktioniert sehr gut!",Lorenz W.,5.0,"November 21, 2022","* Kontinuieriche Implementierung von Vorauschauenden neuen Features. * Sehr gute Benchmarking-Möglichkeiten. * Tracking aller wichtigen Parameter in Projekten.* Wenn man sich mit Sistrix gut auskennt, kann man sehr schnell tiefe Analysen fahren.","Das Pricing für Keyword-Tracking ist bei wirklich großen Seiten mit vielen Longtail-Keywords leider nicht bezahlbar, dafür greifen wir daher auf andere Spezial-Lösungen zurück. Das ist aber bei den meisten umfassenderen SEO-Tools der Fall. Das ist schade, v.a. weil die Darstellung im projekteigenen Sichtbarkeitsindex sonst sehr gut ist, diese ist dann dafür nicht nutzbar. Für Anfänger mit dem Tool braucht man einige Zeit, um sich in die vielen Funktionen einzuarbeiten, nicht alle brauchbaren Features sind immer sofort offensichtlich.",Managing Partner,Management Consulting,Used the software for: 2+ years
sistrix,Una herramienta imprescindible para el equipo Seo,,Verified Reviewer,5.0,"November 16, 2022","Es una magnífica herramienta para medir los avances de tus palabras clave en tu estrategia de SEO, te ayuda a ver como evolucionan y detectar palabras clave de oportunidad. Plenamente recomendable",No hay nada que no nos guste de esta herramienta,Responsable de marketing Online e-commerce,Cosmetics,Used the software for: 2+ years
sistrix,Buena herramienta SEO,,Ricard C.,4.0,"December 22, 2022","Lo mejor es el índice de visibilidad, esta métrica ayuda mucho a nivel comercial a comparar diferentes proyectos",La base de datos de palabras clave es un poco redundante y mejorable,Marketing manager,Marketing and Advertising,Used the software for: 6-12 months
sistrix,Sehr gutes Tool ,,Jasmin R.,4.0,"December 14, 2022",Die Übersichtlichkeit gefällt mir sehr gut und die Funktionen helfen uns sehr.,Der Expertenmodus ist recht komplex und die Erklärungen sind nicht immer hilfreich,Marketing manager,Farming,Used the software for: 6-12 months
