product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
webharvy,Great Tool & Responsive Customer Support,,David R.,5.0,"July 26, 2018",Configuration is done by a GUI which makes it easy to setup initially but options make the tool even more powerful. I'm learning every day about alternative ways to return even richer data for example using regular expressions or scraping data from popups.,"With such an advanced feature set, it is often not obvious how a feature works. The documentation is okay and there is a healthy community of active users willing to help (and even some YouTube How-To videos) but I've had to invest a lot of effort into learning to use the product properly. Suggest a guided tutorial from start-to-finish highlighting the features. Individual FAQs are documented, but the entire workflow would be helpful.",Independent Consultant,Used the software for: Less than 6 months,
webharvy,The best value solution for scraping Web data,"I've used and taught with WebHarvy for about 3-4 years. I use it for research and industry projects. My experience has always been positive. The software is easy to use and pulls data as needed. It is also fast and further updates from its inception have made it only faster. Any question is responded quickly and professionally from the tech support staff, including customized code one might need to scrape difficult websites. Overall WebHarvy is truly a ""hidden gem"" in the arena of web scraping.",Cesar Z.,5.0,"September 17, 2020","WebHarvy is easy to use, is able to pull the data I need from most websites, and is priced at an affordable level for any type of organization including even entrepreneurs and small startups.",I would like to see a Mac version of WebHarvy.,Professor,Education Management,Used the software for: 2+ years
webharvy,Most workable solution for mining data from any website. Works best with Amazon and ebay to get data,best tool in market for data mining,Muhammad T.,3.0,"July 11, 2018",The most best part of this software is that tutorials are available on youtube.com for many big websites. Configuring a mining project is also very easy and you get many hints from videos and other blogs,Scrapping stop from time to time and you need to keep an eye all the time to resume. Unattended operation for big data is not possible and sometime you loose data after several days of scarpping,Owner,Used the software for: 1-2 years,
webharvy,Wonderful Desktop Scraping Product,Fantastic. They actually gave me videos showing me how to implement a couple of scrapers we were working on.,robert A.,5.0,"April 29, 2021",I'm very pleased with the quality and support of this product. It has a bit of a learning curve in performing certain functions.,It's a bit too developer centric in some of its functionality. A developer will have to support certain functions that require RegExs in order to work.,Software Engineer,Government Relations,Used the software for: Less than 6 months
webharvy,It helped me doing my master thesis,Great experience,Egle S.,5.0,"April 30, 2020","I have downloaded few web scraping programmes and I spent days trying to figure out how to use them. In the end I tried Webharvey and I was using it within minutes . Also, it took time figuring out how to do the pagination of booking comments, and I wrote an email to the support and got the answer within an hour. To sum up its a great tool to scrap comments for those who dont programm.",It takes around 4 hours to scrape thousands of comments but I understand that the programm has to open every page individually and the speed depends more of the page that you scrape the comments from,Handling agent,Aviation & Aerospace,Used the software for: I used a free trial
webharvy,User friendly and new update increase the speed of scraping,,Renata A.,5.0,"June 18, 2020","I wrote a previous review saying how user friendly this software is and that for me the down side was that it was slow to scrape when compared to other softwares that do the same thing. This new update (6.0.1.173) increased the speed to scrape. So, this software is my choice for this task. The support team always give you fast and helpful support, sometimes providing you even pieces of code to help you use it.",You can always increase the speed of scraping.,PhD Student,Research,Used the software for: 1-2 years
webharvy,A light in the tunnel,I want to gather accommodation data for a web site,Willem N.,3.0,"August 4, 2019",It seems potent. Hopefully it can do what I need. I can get my money back within 15 days if not satisfied.,After functioning for one day it ceased to work. It simply won't open. The customer support is slow or non-existent over weekends. I don't know how to get it started again.,owner,Hospitality,Used the software for: Less than 6 months
webharvy,The number one webscraper ,super smooth and very advanced without being overly complicated,Alexander F.,5.0,"November 26, 2024",the best thing is not being charged monthly loads of customizeability and great support team,nothing no issues only haggle would be the speed but i wouldnt say its slow by any means as i would rather have accurate data over incomplete data,na,Computer Software,Used the software for: 1-2 years
webharvy,"User-Friendly, Reliable, and Excellent Support",My experience with WebHarvy has been very positive—I highly recommend it,Xenia P.,5.0,"February 13, 2025","WebHarvy is intuitive and easy to set up, making data scraping effortless even for non-technical users. The technical support is outstanding—they respond promptly to any questions. The value for money is excellent.",It would be helpful to have a comprehensive user manual that clearly explains each button and function.,Senior Inside Sales,Mechanical or Industrial Engineering,Used the software for: 1-2 years
webharvy,"WebHarvy-Easy To Use, Incredible Fast Response Support With Very Detail Video Guide","I am trying to find an efficient and accurate way of capture web data and transfer the data into excel format for further analysis. WebHarvy has met my objectives and I will have the flexibility of saving a configuration, edit and deploy again and again, saving much valuable time and money.",Henry H.,5.0,"December 5, 2019","To me, the support given by the WebHarvy Support Engineer, is of upmost importance. As a new user, whenever I am not sure of any step in ""How To do this or that"", I am able to rely on their 5 Stars quality responses. It is easy to apply the software's algorithm to configure my specific requirement for web data.",I would like to learn more about the use of Regular Expression.,Director,Real Estate,Used the software for: Less than 6 months
webharvy,One of the best scrapper with ease to use,,Ankur G.,4.0,"August 2, 2018",The best part is crawling front page details from platforms within minimum time. Saves time by running as back end,For few platforms it takes over night to give result which I can get within an hour from other software,Operations Manager,Research,Used the software for: 2+ years
webharvy,WebHarvy - the best Web scraping tool so far,I am satisfied because it can do really a lot and does not cost a lot of money in comparison to its possibilities.,Patrycja K.,5.0,"March 22, 2019",1.It is efficient and precise. 2. I can use extra proxies to hide mu own one and prevent it from being blocked. 3. I pay for the program once and can use it for the rest of my life.,"This program can handle infinite scrolling the best from all others which I have tested but still sometimes there are some problems, e.g. scrolling is finished too early and a lot of data is left, not scraped. However, the problem might caused be the websites being scrolled which might be blocking further actions.",Private Tutor,Higher Education,Used the software for: Less than 6 months
webharvy,Great software and support is top notch!,I'm very pleased with the software. It does the job!,Alexander T.,5.0,"January 18, 2021",I have used a lot of simular software and Webharvy has the most features and is the most stable. The support is great.,No real negatives. As soon as you have an issue support will help you out.,ceo,Market Research,Used the software for: 2+ years
webharvy,WebHarvy is probably the best value-for-money scraping software you can purchase,I am a Market Analyst in a Real Estate Industry. WebHarvy is helping me to get a competitive advantage and to do an excellent work. I truly recommend using it!,Darko D.,5.0,"April 5, 2019","WebHarvy doesnt cost much. It is really user friendly and easy to use. Also, it is a powerful tool which gives so many options and possibilities. It is really improving the quality of my work, on so many levels. WebHarvy’s support team is really the best. All the compliments!","I would just like to see some additional improvements in further updates, such as cloud service or dealing with CAPTCHA code.",Market Analyst,Real Estate,Used the software for: Less than 6 months
webharvy,Awesome product,see above,Neel K.,5.0,"September 11, 2020",it saves me time and we can get our jobs done quickly!,"not anything i can think of yet, but when i need special modifications done to the software they send me great videos to close all my tickets out. They don't just type the email, they SHOW you how to do it. Words are one thing, showing is another. I follow when someone shows me and i can execute. Some people can read and do, I need both reading and doing. They take time out of there day to show you this software.",Sales Manager,Wholesale,Used the software for: Less than 6 months
webharvy,Easy software,"I want to purchase webharvy, i'll also recommend to my friends. The best thing is customer service, their dedication to solve customer query. Specially [SENSITIVE CONTENT HIDDEN] helped me to solve my query of scraping. I would recommend to everyone to since it would help you to save a lot of time and energy. Also pricing is reasonable.",Anu R.,5.0,"September 8, 2020","Easy to use, provides many options to calibrate the software.","Speed is slow, It can be improved. otherwise, everything is good.",Research Scholar,Education Management,Used the software for: I used a free trial
webharvy,Awesome!,I'm able to initially get the data i needed... just need to improve the speed if scrapping more than 15+ pages.,Anderson S.,4.0,"June 27, 2018",I like the product for ease of use. Also no coding needed for you to scrape a website. Also the support is great in helping you to achieve your goal.,When you scrape 15+ pages its too slow to finish it. like 6-8 hours. I think also the csv file im having issues when I import it to a mysqldb.. so i use mysql direct import.,System Administrator,Used the software for: Less than 6 months,
webharvy,[SENSITIVE CONTENT HIDDEN] is awesome,"all good, maybe a instant chat is heful",iain S.,4.0,"September 21, 2020","[SENSITIVE CONTENT HIDDEN] is awesome, He always helped me with all possible solution","delay support, maybe a instant chat is heful",CEO,Computer Software,Used the software for: Less than 6 months
webharvy,Great scraping software,,Stephanie S.,5.0,"September 13, 2019",Webharvey is really is to use and effective. It comes with a great customer support,I love this product and I can't say anything I didn't like,It manager,Hospitality,Used the software for: 2+ years
webharvy,Powerful scraping tool,,Jesper L.,5.0,"May 25, 2020",Great features. Will scrape anything anywhere.,A bit hard to use - but support is excellent!,CEO,Information Technology and Services,Used the software for: 2+ years
webharvy,Great software and wonderful customer support,"I've been using Webharvy for over 18 months now and I can honestly say it has made my life, and my job, so much easier. The support I get from their team is amazing. No question is too big to ask. And they even provide videos sometimes to help with what I need to be done. They answer right away, and always with a solution! I have tried a few other similar software available, and by far Webharvy is superior to the others out there. For value for money, they are great.",Ann D.,5.0,"January 24, 2017",,,Used the software for:,,
webharvy,Excellent support and unlimited applications,Great support. Always there to help. It counts.,Gennady B.,5.0,"November 13, 2019",Love the unlimited use of the software. Excellent support. Provide assistance with scripts.,Somewhat complex to use. You have to understand some coding... Doable if you put your mind into it.,Founder,Computer Software,Used the software for: 6-12 months
webharvy,It was good,,Mrinal K.,3.0,"August 13, 2020",Customer support was amazing and I can say that support engineer was able to understand my question and help me in all manners.,slowness and not very much control on it. This is good for easy scrapping but conditional scarapping is little hard,SSE,Sports,Used the software for: I used a free trial
webharvy,Serves it's purpose well,,Anson Y.,4.0,"June 14, 2018",Easy to navigate and awesome support team. Program doesn't crash even after hours of mining. Stable program,Very useful tool but can be challenging at times to use for non-technical people like us. Sometimes when capturing html strings can cause messed up data,Director,Used the software for: Less than 6 months,
webharvy,The program is very intuitive and generally easy to use. ,,Raymond K.,5.0,"June 26, 2018","The program is very adaptable. I had a tough website to scrape and needed some assistance. Customer support was available quickly and provided a solution that was well beyond my expectations. These day's, you rarely get such outstanding customer service -- great job Web Harvy Team!!","Not enough documentation on use. There are several videos on YouTube, more of these would be helpful along with examples of regular expressions, etc.",Analyst,Used the software for: Less than 6 months,
