product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
avantio,An honest assessment by an apartment company with 200 holiday and business apartments ,"About a year ago we looked around for a new VRMS/Chanel Manager all in one system. Avantio was shortlisted because, compared to its American competitors, it did not charge for every extra service - at least that was what was promised. We then held several Skype conferences with our former supplier, the competition and also avantio. Since we know after 10 years of experience in the industry how important it is that a chanel manager keeps his promises and doesn't take time out, we flew to valencia to avantio. The first impression was very impressive for my operational manager as well as for me as a young company boss. A young team led by an older fox and supervised by a family that owns avantio. We knew immediately that this could become our partner. Especially the fact that there are no hungry investors behind the company made us confident. We had already had the experience with the hungry investors with the former provider, the new version only became available to us if we had quintupled the commission payment, and even then we would not have received all the features. back to avantio - after our visit to valencia, we stayed cautious and first of all we connected four test apartments to the new system and stayed with our provider with the remaining 180 apartments. We let the testapartments run via the avantio chanel manager on some platforms like booking.com, airbnb etc. No we have been live for 6 months. We are really happy with the product! Dominic Hess Hitrental",Dominic H.,5.0,"December 5, 2018","- Great API connection to all bigger portals with no downtime - Much better homepage design than our former provider - family owned company - provides all we need to have our apartments on an attractive homepage, on various plattforms, manage cleanings - Syspay as an integrated payment provider makes it very easy to charge your clients creit card with one click - harmony for automated email communication is great and reduces your workload - great support (always, Alexia is the best) - the guest area is a new development that will decrease our workload again, when the guests from around the world start to accept it as the main communication tool.","- The loading speed of our homepage is partly not sufficient. avantio should make suggestions to the customer about image reduction and the like. - Statistics which are important for me as a manager could be improved. - the cooperation with pricelabs (pricing tool)and syspay(payment provider) is very good. but these two are the only ones that allow full functionality in cooperation with avantio. this dependency should be broken. Because in the end we chose avantio and not pricelabs. (Syspay was only listed as an example, the cooperation with them is really great. probably the best payment provider for hospitality operations on the market) - the pricing tool is not as good as it could be better",Betriebsdirektor (COO),Hospitality,Used the software for: 6-12 months
avantio,We are finally be cared for by competent professionals who are available when we need them.,"Avantio is very professional as a team, walking with us from start-up to day-to-day business needs.",Katie and Dave K.,5.0,"August 6, 2024","We have previously worked with other Integration Companies with our Short Term Rental Business and Avantio far exceeds those companies with their set-up program, customer service, and availability! And, we are paying less than the other companies which left us frustrated and looking unprofessional. When we have any questions, they are quick to respond and are available via Zoom when needed. We are in the best of hands which allows us to run our business and focus on our job while they do theirs.",The accounting end could use some improvements and they are working with us to make those happen as quickly as possible.,Owners - Short Term Rental Management Company,Hospitality,Used the software for: 6-12 months
avantio,I would not recommend ,- Channel Manager : Biggest disappointment yet. Many overbookings the majority of those happened at the worst time of the season (End of July/Beginning August) where we had to work overtime to change the bookings and refund some disgruntled guests. Others were thankfully nice enough to accept a change of accommodation otherwise it would have been a complete disaster but that involved calling the guests directly which was not a nice experience at all. In total we had to refund a sizeable amount in cancellation fees and Avantio is taking no responsibility citing that their technology is faillible which was of course different from their pitch where they were saying that they were the best in class. They offered a small discount which does not even cover the refunds made to these guests. Just as we are writing this review we have had another two instances of an overbooking and a booking outside our minimum stay rules. All in all we were really excited to move to Avantio but after 6 months we are on the verge of changing providers because of all the aforementioned issues. Unfortunately I would not recommend Avantio.,Amine A.,2.0,"October 3, 2023","- Website : Good. One of the only positives from our experience with Avantio, it is decent although the loading times are sometimes not up to industry standards. The templates they offer are somewhat customizable but with some limitations.","- Onboarding : Painful as involving a lot of manual work.- VRMS : Disappointing. The unified inbox was one of the main reasons why we moved to Avantio as we were switching between several listings on the OTAs which was a pain. Prior to signing, we were told that it did not take more than 5 minutes for any guest communication to land in the unified inbox. We quickly realized that was not the case at all and that the delays were huge (hours to days, rarely under 5 minutes), to the point that we did not use it at all because it was not up to the industry standards.To this day in the unified inbox issues are ongoing. When we raised the problem to Avantio, they encouraged us to raise tickets but we quickly realized it was not worth it. The operations/supplier tab is quite rudimentary for exemple it is not possible to plan some tasks at the middle of the stays which are very important for say, mid term rentals, it is only possible to set final cleaning and basic maintenance tasks. We tried it but stopped and prefer to continue using Whatsapp. - Reporting : Very basic. The number of reports are limited, if you have some specific use cases like for example to generate some reports by location it is not possible to date. Some important KPIs in the short term rental industry are missing as well. When we raised the issue, we were told that it would be taken into consideration. Accounting is rudimentary (invoices are not accessible after 1 month for ex)",Front Office Manager,Hospitality,Used the software for: 6-12 months
avantio,Fantastic Platform for Business Growth,Excellent platform for business growth.,Sadaf B.,5.0,"September 26, 2024","The platform is incredibly user-friendly, and I picked up how to navigate it in no time. The onboarding team was outstanding, and I genuinely believe that their continuous support was key to our swift adaptation. Their guidance made all the difference in getting us up to speed quickly.","One minor aspect of the onboarding that I found a bit tedious was the recorded AI segment, which felt slightly boring. However, aside from that, the process was thorough and well-executed.",Sales Manager,Hospitality,Used the software for: Less than 6 months
avantio,Great product and great support!,Great. Don't hesitate with your decision making anymore. AVANTIO will exceed your expectations....,Fraser B.,5.0,"March 1, 2023","Really great software solution for our company. After using KIGO, which unfortunately was problematic from start to finish, I was dreading implementing another new product. But I was pleasantly after my colleague implemented it including the AVANTIO software within 1 month. AVANTIO was the best decision we've made in terms of software. There is just so many solutions to choose from and selecting the right one for your needs is very difficult. We made the right decision and couldn't be happier with them!",the owner statements don't completely generate the way we won't them to without doing some minor re-jigging. This is probably due to the complex way we arrive out commission figure rather than the fault of AVANTIO.,Director,"Leisure, Travel & Tourism",Used the software for: 2+ years
avantio,The endless search...!!,"I have to say that having made the decision to switch software, and after looking at endless comparison sites and endless reviews, weighing up all the pros and cons, (as i am sure you are doing right now), i decided that as we are a company based in Spain, then a PMS from a company in Spain made sense and we went for Avantio. Truth be told, that has undoubtedly been one of my better decisions in recent times. There will be plenty of work to do once you make the switch, and a heck of lot of learning that only really begins once you turn it on, but in the long run, which is how i was looking at it, it seems to have been a very good decision. We have been using this software exclusively since September 2021, and i am still learning new things each and every week. There are still also a vast number of functions that i have yet to use/learn that i will be using for the first time in the coming months. Finally, a special mention must go to the team at Avantio, who really are there to make sure you know how to get the best out of the system and help you when you are unsure about something. From speaking with [SENSITIVE CONTENT] who helped us decide on the right package suitable to our business and answering any questions we had, to the many sessions of Onboarding training with [SENSITIVE CONTENT], website design and implementation with [SENSITIVE CONTENT], and finally the online support from [SENSITIVE CONTENT]. The team as a whole and after support really is first class and should rightly be commended.",Matthew C.,5.0,"March 16, 2022","This really is a very comprehensive piece of software that allows, you, the rental manager/agent to keep on top of all the essential functions of your business. Areas of excellence, to mention a few, would be the automated payments/refunds, unified inbox, scheduled messages (aka ""Harmony""), channel manager, and the semi-automated reporting to the Guardia Civil of guest information and to the Hacienda for Modelo 179.","The least favourite thing about the software, is not actually the software itself, its in choosing the right time to switch software! I don´t think there is ever a perfect time, but if you are used to a fairly basic piece of software, be warned that switching to Avantio should be left to a time when you have a few months of reasonably ""quiet"" time to get to grips with everything.",Owner,"Leisure, Travel & Tourism",Used the software for: 6-12 months
avantio,"Integrated applications, VRMS not suitable for all countries` fiscal needs","Property management fairly easy to do. We were not notified and found out through a meeting of different posibilities of integration with our own web site, rather than integrating a new, Avantio web site.Value for price is all in all good, but could be a lot more user friendly and applicable for using payment options for a variety of countries, like Croatia that has very strict laws.",Danijela M.,3.0,"March 6, 2023","Full and correctly synchronized connection with many portals - minimum danger of overbooking. The integration was well organized, onboarding specialists available and very helpful, Avantio Academy very useful.","Payment features missing for Croatia (strict laws demand certain aspects of payments to be perfectly executed).System upgrades/maintenance performed on Mondays, limits the use of Avantio when most needed after the weekend.Slow response - once clicked, takes several seconds for a new window to opet/pop up.No possibility to enter net prices of homeowner`s whose properties we manage - additioanl costs for software for issuing bills. Therefore, no way of creating financialy transparent documents from Avantio.",Director,Commercial Real Estate,Used the software for: Less than 6 months
avantio,I can't say enough great things!,"I am onboarding and everything has been night and day compared to my last PMS. The thing makes the most difference is the level of support you have with Avantio, the team truly cares and is there to help things go smoothly and successfully.",Magen D.,5.0,"May 18, 2023",Extremely user-friendly this is not a complex PMS however it does it all!,The only con that I can come up with is that I didn't fund them sooner!,Owner,Hospitality,Used the software for: Less than 6 months
avantio,Great product for the money,"Avantio is probably one of the best property management software products on the market, we have trialed a few other softwares and wasted a lot of money along the way with many promising you everything but actual deliver nothing.",Andy O.,5.0,"October 17, 2019",The product is easy to use and has most things you need to make your day to day running of your business easier. I like that I can reach out to my account manager and have one to one conversations. The product is also good value for money with no commission on bookings.,Avantio does lack some features I would like but I know they are working on them and I am confident that within the next year I will have all the features I need.,CEO,"Leisure, Travel & Tourism",Used the software for: 2+ years
avantio,Avantio does 98% of Everything we were looking for - and does it well!,"This is allowing to us to grow our business. The learning curve might be slower than many other softwares, but it packs plenty of features to fully customize your business needs.",Manuel P.,5.0,"November 30, 2017","This is by far the overall best professional Vacation Rental Management Software. Its not as flashy , colourful or as easy to use on the first day as most of its competitors, but it does pack more features, options, configurability, reports and more than all its competitors. We know because we spent over 9 months evaluating all options on the market, and time after time were frustrated. Each competitor was impressive in one or two areas, but very weak in others. Avantio impressed us in most of the categories that were important to us: Channel Manager, Calendar Sync, Reservation Manager, Multiple Calendar Views, Customizable Templates, Autoresponders, Owner Login area, accounting , Customisable rates, Mobile Friendly web booking modules, Credit Card Processing, Online Booking and much more!","Currently no Phone App - for admin or for Guests. The software is not 100% configurable to every business, but I imagine thats impossible! Does not handle prebooking communications within the software Accounting module does not sync to Quickbooks",Owner,Used the software for: 6-12 months,
