product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
bizness_apps,good platform for applications,,Maryuly O.,4.0,"May 7, 2018",This platform is very good and easy to use. You almost do not invest time in training. the applications can be created in record time and the level of update of the page is not constant so it is good as it does not have constant errors,It has been a bit difficult for me because for example Apple I get some updates that do not let publish applications in your store. But nevertheless Bizness helps us a lot to make the process much easier. amazing,Gerente financiero y administrativo,Used the software for: 1-2 years,
bizness_apps,Loved this amazing App builder!,"My overall experience with the app is good. But, I like to tell the Bizness Apps to consider the cons that I have listed and improve the app accordingly. I have been creating good mobile apps for my customers with it. If you're looking for a cross-platform app builder, you can consider it.",dishant S.,5.0,"April 4, 2019","Bizness Apps supports multiple platforms. You can easily use this app to create a single or native app for both IOS and Android operating systems. It offers many templates for different industries. It provides the ability to add the content directly from a site by just entering the URL. It also provides the ability to view how your app will look like before deploying it — small businesses like small restaurants, etc. having limited staff can also offer superior quality features and services to their customers with it. Their email and live chat support are very friendly and easily accessible.","It is a little difficult to add some aspects to your app as compared to other app builders. A new user has to follow a huge learning curve before becoming an advanced user. You can't change the template of the app once selected. If you want to do so, you have to roll over to the start. You have to go to different tabs to see any change you have done in the app.",crowd sourcing,Computer Software,Used the software for: Less than 6 months
bizness_apps,My overall experience with BA has been good.,,Verified Reviewer,3.0,"May 4, 2018",The push notification system is easy to use and a great tool to help our clients engage with their consumers.,"The backend dashboard to manage app buildout and design is clunky. If you have multiple membership groups, all features are lumped into one column...eventually membership feature organization becomes a mess.",Project Manager,Used the software for: 2+ years,
bizness_apps,Robust app template ,,Nancy L.,5.0,"November 22, 2018",This is one of the most robust mobile app templates on the market.,Some limitations with api integrations. But they are working on improving them.,"Owner and Business Consultant specializing in Mobile apps, sales, marketing, and small businesses.",Information Technology and Services,Used the software for: 2+ years
bizness_apps,They've come a long way,,Lance B.,4.0,"December 20, 2018",I've used Bizness Apps platform for quite some time. The platform itself is pretty intuitive and fairly reliable. Their support was always helpful and they were incredibly transparent with the customers as issues arouse with Apple.,"It's hard to create an app builder that does it all and keeps up with technology advancements. Unfortunately, I think there is app fatigue out there. There just isn't a market for this software anymore and that started to show.",Co-Founder & Business Development,Automotive,Used the software for: 2+ years
bizness_apps,Makes mobile application designs fun,,Jimmi N.,4.0,"July 3, 2018",The templates from the different industries allows designers to be able to design almost any application suitable for all kinds of markets. I especially like how the process of adding features and functions is all GUI based and requires very little of no code customization.,The payment gateways are limited to the international gateways such as paypal and I fee they could include some of the local payment gateways depending on the users loaction.,Software Developer | Network Engineer,Computer & Network Security,Used the software for: 1-2 years
bizness_apps,"Bizness Apps for those with little technical knowledge, but design experience is helpful","For a small business looking to get an app for a reasonable price, and with little knowledge or expertise in app design, this is way better than getting an app developer to do it and update it. For what it is, Bizness Apps is a great solution for small businesses who need a basic app to connect to a local audience.",Declan D.,4.0,"September 17, 2018","Apps are a crazy thing for most businesses, because the technical and design requirements overwhelm them, making it costly and hard to update. Bizness Apps is great at streamlining this whole process, giving you templates that while not so flexible, give you the basics. As long as you have some basic knowledge of app visual design and UI (if not hire this), it will allow many small businesses to get going, and even take orders, integrating with Shopify and Magento, and most of the major merchant platforms for taking credit cards like Paypal, et al.","You don't get multiple logins for different users, which is a challenge for many. The template design limits you, because once you've chosen one template, you stick with it or start over again from scratch. The ability to preview the app is there, but it's not the greatest way to get a sense of what your app will look like. Finally it's a little bit more expensive than others out there, but that's assuming you have little knowledge to begin with, so not a huge drawback.",Chief Growth Generator | Digital Growth Strategy and Execution | Growth Hacking | Mentoring,Internet,Used the software for: Less than 6 months
bizness_apps,"A great idea, but getting more difficult to maintain.",,Graham S.,3.0,"April 1, 2020","I bought this license to white label publish app locally. The framework is good, and the update capability is flexible for the client. Publishing to IOS/Android is good, albeit expensive depending on the tier you are on.","Unfortunately I bought my license days before the company changed hands, I then spent the year having no confidence in the software as everything I touched was broken and left me not trusting that it could function during a demo.",CEO,Information Services,Used the software for: 1-2 years
bizness_apps,Simple Cross Platform Mobile App Creation,Creating mobile stores and directories for local business clients.,Mike Pine |.,5.0,"December 9, 2019",I am a White Label Bizness App customer and love how easy it is to create unique apps for local businesses.,It could use a better app approval process for both the Apple App Store and Google Play store. Very satisfied over all.,Level 3 Techncian,Telecommunications,Used the software for: 2+ years
bizness_apps,Makes building an app simple!,"Overall, this is a great platform to build a simple, functioning mobile app. I hope that they find a way to let agency customers add more custom programming to the apps, rather than just being able to choose from a list of their preset functionalities.",Jacquie G.,5.0,"November 27, 2018","I like that it has an easy-to-use dashboard, and that it handles publishing to the App Store.",I think the graphics should be easier to duplicate and add to the app pages. It gets a little repetitive and time-consuming trying to add thumbnails and header pics for different sized devices for each page in the app.,Owner,Internet,Used the software for: 2+ years
