product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
flipdish,Second to none customer experience. Amazing app functionality and fantastic user dashboard for data.,"There are many benefits to this software that all add up. A huge benefit is having customers create their own orders and thus eliminating human error of missing items over the phone or incorrect special requests. The orders come in quickly, in an easy to read format reducing the time of taking an order over the phone from minutes to seconds. As a result we can also use codes for discounts and promotions, deliver them straight to the customers phone and even give special vouchers for free meals. This app now allows you to advertise to your customers without leaving the business to deliver leaflets, and without worrying will Facebook show all my page followers my post. The benefit of allowing card payments is also one to note as it reduces cash in store which in tern can speed up customer service as the payment process in store is removed and the customer simply walks in and walks out.",Luca D.,5.0,"June 29, 2018","What I love most about this software is a draw between two of its functionalities. As an app for users, its extremely easy to use interface can be priceless attracting new customers who may be weary of this type of technology. Everything about it's order process instills confidence that the order has been sent and the process went smoothly. The second functionality is the data dashboard for us as owners. To put it simply it removes all guess work behind the typical question of what drives our sales. It's presented as both easy to read graphs and also in a downloadable format for those who wish to run excel sheets. You'll soon find out your truly most profitable items, events, delivery locations, even hour of the day.","Having been with Flipdish very early on, I've never once had an instance where I thought to myself ""I don't like this"".",Store Manager,Used the software for: 1-2 years,
flipdish,Great software and great company to work with!,,Jade L.,5.0,"June 11, 2020",Integrates with your business so that the customer doesn't feel as though they are using a third party app. The online portal provides really helpful insights and breakdowns allowing you to see customer trends. The customer service from Flipdish is outstanding. Nothing is ever too much trouble and they work with you to ensure you are getting the best from the software capabilities.,Nothing I can think of as the guys are only ever a phonecall/email away and are more that happy to help.,Fresh Food Manager,Food & Beverages,Used the software for: 2+ years
flipdish,Disappointing & disfunctional ,"Our experience with Flipdish has been extremely disappointing. We rely on their kiosk and payment system for our restaurant, but the devices have been plagued with persistent issues. For over two weeks, our kiosk has been non-functional, and the payment terminal frequently disconnects, despite stable internet speeds and exhaustive troubleshooting on our end. The customer service has been slow, unprofessional, and ineffective. They repeatedly provide generic advice and fail to address the core problems. Communication feels like talking in circles, with no clear resolution or accountability. As a business, this has caused significant disruption to our operations, loss of sales, and damage to our brand reputation. We expected better support and reliability from a company in this space. Unless Flipdish makes major improvements to their hardware, systems, and customer service, I cannot recommend their services to any business owner looking for a dependable solution.",Till Constantin L.,1.0,"November 19, 2024",The order website looks nice and the UI is generally nice.,It doesn't work and that is essential! See below!,CEO,Hospitality,Used the software for: 6-12 months
flipdish,Very good from start to finish.All people within the company are very customer focussed,,Verified Reviewer,5.0,"April 4, 2018",With more and more of our customers looking to order for delivery and with the explosion of smartphone us we felt Flipdish are the perfect partner for us.The software is very easy to use and the customer service is the best ive ever recieved by any company,"To be honest i cant say that i dislike any part of the sotware , it all very user friendly with a gtreat interface",Ceo,Used the software for: 1-2 years,
flipdish,"Very end user friendly, professional service, great product.","Push notifications direct to our customers, measurable loyalty program, Happier customers with easy to use - two touch ordering.",Verified Reviewer,5.0,"March 20, 2018","Quick and easy to use. Two touch ordering, for end user. Geo location make it simple and easy to identify the closest shop to order from. Integrated processing with POS so dockets print directly into kitchen avoid double entry or keying mistakes. Loyalty program and push notifications direct to customers.","More reporting functionality, with easy to use customisible reports, ability to compare different locations on the one report.",CEO,Food & Beverages,Used the software for: 1-2 years
flipdish,Flipdish's handle customer disputes,"I used Flipdish for more than 1 year for my ghost kitchen location. It has been great until there is a dispute with one of the customers. This customer filed a dispute for online purchases between March 2022 to May 2022, a total of more than $900. Flipdish did not contact our company about this dispute and immediately refunded $967.48 to the customer.",Jackie T.,2.0,"June 28, 2022",Inexpensive and easy to use. Provide complete solutions to new business.,The least I like about this company (not software) is the way they handle credit card disputes.,Business Owner,Food & Beverages,Used the software for: 1-2 years
flipdish,Super quick and very easy to use,,Verified Reviewer,5.0,"April 10, 2018",Very easy to use and get used to. The software is also very responsive and all our staff members are happy.,We didn't come across anything bad so far. The only thing is the machine would sometimes loose the signal and the order wouldn't come through right away .,Sales Agent,Financial Services,Used the software for: 1-2 years
flipdish,Great service and always about continuous improvement,"Brilliant, very cooperative, full of continuous improvement projects and excellent customer care",Paul T.,5.0,"September 12, 2019","Ease of use and customization, always improving and adjusting to customer needs, very user friendly",Only few unexpected crashes historically but resolved quickly and not ongoing,Operations & HR Manager,Hospitality,Used the software for: 1-2 years
flipdish,Excellent customer service ,Have had no major issues with flipdish at all. Nothing that we don't like. We are very happy. Thank you.,Clare W.,5.0,"April 6, 2018",Everything is done so the customer has an effortless and simple experience. Requires less clicks from order to completion. Excellent back of house to look up customer orders etc.,,Operations Support Manager,Used the software for: Less than 6 months,
flipdish,Great Experience,Customer service out of this world. Super friendly staff who are professional and know what the customer desires. Keep up the great work Flipdish.,Michel P.,5.0,"February 4, 2019",I liked the gps positioning and ease of use.,Although it is a great piece of software it has minor flaws that can easily be fixed. The good thing though is that as soon as you detect a flaw and report it it is fixed straight away.,Director,Restaurants,Used the software for: Less than 6 months
flipdish,Flipdish,I have a greater number of prospective customers who use the Flipdish app and our integration is working well at the moment.,David M.,5.0,"March 13, 2019","The app is easy to use with a user friendly interface. The reporting is detailed with a simple summary delivered every week, so analysis can be as detailed or general as you would like. Integrations work well and require minimal maintenance so it can work in tandem with multiple software apps.","Not much, most issues I had have since been resolved, which gives me confidence that any future issues will be remedied in a timely manner.",Operations Manager,Computer Software,Used the software for: 1-2 years
flipdish,Super quick and very easy to use,,Daniele G.,5.0,"March 29, 2018","We like very much all the marketing features, it's very quick to order and from an owner point of view, we have access to all we need to control our business. Customer service is spot on... thanks to the team!","As any software, it needs improvements to accommodate everyone needs... some bits are missing or need to be implemented, but the team is very supportive and they are keen to develop new features that are important for restaurants' owners to make the software even better.",Director,Used the software for: 6-12 months,
flipdish,Easy to use and a lot cheaper than other companies ,,Amamda A.,5.0,"March 23, 2018",Apart from easy to use staff extremely helpful. Can log in myself to view my own stats and weekly report so clear and helpful.,Commission but still cheaper than others. When ringing support line intro message a bit too long. Preorder should be mention in a few different places not just on initial line most of the time we don't look there. Maybe mention after order total.,Manager,Used the software for: 1-2 years,
