product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
leadpages,Great for a Non-techie like me,"I've loved using Leadpages because it is simple, intuitive, and creates landing pages that look great. I recommend Leadpages to others for these reasons.",Michael D.,5.0,"August 14, 2025",Leadpages is so easy to use. I'm NOT a techie and Leadpages allows me to create landing pages in less than 5 minutes.,I've used Leadpages for over 5 years and it does exactly what I need it to do. The updated look of the sites is great and I cannot think of anything that I don't like.,President,Publishing,Used the software for: 1-2 years
leadpages,Leadpages - super functional,I'm creating a lot of sign-up forms or sales pages to show the materials I have for sale and opt-ins for my email list. I also created a page that is like link-tree which is on my company's Instagram profile. I liked creating my own because I found link-tree to be fussy sometimes and would randomly stop working. Never had a problem with my leadpage one though!,Rachel M.,5.0,"August 27, 2020","I find this software super easy to use and functional. It does what I need it to do and the more I use it, the more little tricks and design things I figure out that make my materials POP. I love the tool that examines the lead to give advice on what I can make better (the lead optimizer tool). That's super helpful and informative. I'm the only one on my team that uses leadpages. I feel like I get to get feedback on my materials before I go live with something. And I LOVE that I can easily refresh my updates/publish and I don't have to update a link anywhere. I can quickly make changes with push of a button!","Sometimes I design a page and when I go to preview it, the aspect ratios have changed and I have to go back in and redesign. For instance, a header logo with some text below it may fit perfectly within the box at the top of the page. When I preview it, the logo/text doesn't optimize for the new window (like phone or tablet) and I have to keep resizing to figure out what will fit. To me there should be a standard width of frame that will auto-fix the size when changing to phone or tablet. It would be nice to also have more drag and drop functionality. Like that an image would fit ANYWHERE in a section I create (like wix or weebly does with their websites). Sometimes I have to do a lot of pre-design art work when I'm creating something. And then it doesn't even allow for a text box to fit where I want it to.",Co-Owner/Manager,"Health, Wellness and Fitness",Used the software for: 2+ years
leadpages,DO NOT TRUST THESE GUYS. ,Anger and frustration. These guys are not to be trusted. >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.< >.<,John L.,1.0,"November 18, 2019","The name is nice I guess. Easy to remember. Pleasant demeanor of their support staff, but they ""couldn't find"" my ccount when I asked to cancel, and then continued to charge me for 2 years.","Did not work any better than what I could do myself, did not save me any time, in fact I wasted time on their system, and THEY OVERCHARGED AND WOULDN'T CANCEL. ... like Comcast.",owner,Education Management,Used the software for: I used a free trial
leadpages,Good choice for landing pages,"It is a very good option to make landig pages and capture leads, the templates are very nice and you have for all uses, they are quick to download and good lead capture.",Patricia A.,5.0,"January 26, 2022","What I liked the most were the templates, the ease of publication, the easy editing and the a/b test.","What I liked least was that in some things although you should be able to do them, the modification of templates failed, the gallery seemed good but limited.",Director,E-Learning,Used the software for: 6-12 months
leadpages,"I’ve tried them all, and Leadpages still wins!","Leadpages has changed my life! Literally! I use it daily to support my business, but more importantly I use it to sell my copywriting and design services as a contractor and consultant. As such, I’ve worked with a ton of other page builders. While a few (like unbounce) have caught my attention with their cool widgets and mobile builders, I always come back to Leadpages because of the great price, fantastic support and knowledge that the product team is always putting out new things. Also, Leadpages is just so simple to use!",Lacy B.,4.0,"August 25, 2020","My favorite thing about Leadpages is that the product is always being updated with new, helpful features. Since the reorganization of the dashboard, it is very user friendly and intuitive. For the most part, all of the major functional features I need to make high converting pages are there. I love how easy integrations are, and I absolutely LOVE that I can copy sections, use section templates and easily alter page templates to my liking.","I have been saying for years now that there needs to be more functionality for images. An on page image resizer would be fantastic. It would also be very helpful to be able to insert image carousels. I would also love to see a separate mobile builder. Design is very important when it comes to conversions, and I think some of the most wanted features are missing.",Co-founder and CMO,Marketing and Advertising,Used the software for: 2+ years
leadpages,Great Templates!,"Very popular, great conversion rate, a little pricey. I would definitely invest in Leadpages as the business began to turn a profit.",Tanya G.,4.0,"February 5, 2020",Leadpages has plenty of great templates and styles. You can customize a lot of areas. You can also brand color and logo all your pages.,The cost was a bit high for what I was going to use it for plus it took a little time to learn. If you were doing more sales pages with higher volume sales it would be really useful.,Blogger,Writing and Editing,Used the software for: I used a free trial
leadpages,Good just not as good as others,Overall it worked. It could do the job. It's just not the best out there,Charles A.,4.0,"May 5, 2022",I liked that I could easily make landing pages.,It lacked some of the functionality and I found it to be a lot slower than other options out there.,Creative Director,"Health, Wellness and Fitness",Used the software for: I used a free trial
leadpages,"Amazing website creating platform, not many know about! NO more WP! ","My overall experience with Leadpages has been positive: it’s simple, easy to use, and makes website management straightforward for me. I can set up pages quickly without complexity, keep everything organized, and update content with minimal effort.",Michael K.,5.0,"August 14, 2025","managing multiple websites is easy, efficient, secure, scalable, cost‑effective, and reliably maintainable across teams.","No new updates , though lately the platform has been improving with many new ones, steadily with fixes and smoother performance.",admin,Marketing and Advertising,Used the software for: 2+ years
leadpages,Helpful Landing Page Platform,We have overall been very pleased with the platform. It has met almost all of our wants and needs as a small business.,Kristin L.,4.0,"July 28, 2025",We have used leadpages for years. We like that it is a reasonable expense for our team to create opt in pages. We have found the customer support to be responsive when needed. It has made it easy to create beautiful and intuitive website pages.,"I wish there was a drag and drop feature. I also wish it was easier to customize the exact layout/size of things. 9/10 we can make it work, but occasionally we want something really specific and cannot get there with lead pages.",COO,E-Learning,Used the software for: 1-2 years
leadpages,Nice piece of software ,Love the product at the time I used it..,Marcus G.,5.0,"April 16, 2025","Ease of use, not to hard to use once you learn it",Did have any problems with it at the time of use,Manager,Market Research,Used the software for: I used a free trial
