product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
motordesk,Game Changer for Our Business!,"Motordesk has dramatically reduced our work load. The system itself is ever evolving and every addition we have requested since Day 1, [SENSITIVE CONTENT] has been able to find a solution to.",Áine C.,5.0,"October 12, 2022","Motordesk is extremely user friendly. It has cut out all manual human error, which our previous process was very susceptible too. Direct data link with our supplier has been a real game changer for us. Detailed Data for each stock item is all there at the touch of a button. Invoices are created, edited and issued in seconds, all synced to SAGE. Stock management is easily maintained and pricing changes are fluid and immediate.","Migrating an entirely manual process into a fully operational online platform, to enable management, sales and admin all work co-currently was never going to be an easy task. But the only ""Con"" we came up against was convincing a slightly apprehensive team, that this system integration would really benefit them and now they would never go back.",Accounts & Office Manager,Automotive,Used the software for: 6-12 months
motordesk,It does what it says on the tin!,"I wish they worked in other industries too, would have made life a little less frustrating at times!!!",Daniel H.,5.0,"February 17, 2023",I have used a number of different CRM's in different industries and I have never come across such an intuitive joined up piece of software that actually does everything you expect from a piece of software.,"I can't think of anything at the moment, but MotorDesk will always help create solutions.",General Manager,Automotive,Used the software for: Less than 6 months
motordesk,Motor Desk by far the best.,The overall experience of Motor Desk was one of the best softwares I have tried to sell any car I wanted and be connected with everything I need in one place I am very satisfied.,Verified Reviewer,5.0,"January 11, 2025","What I liked about Motor Desk is that you have everything you need in one place to sell a car. From invoices, quick books and social media it is an awesome software get business done from anywhere.",The cons about this software i actually have no cons it is. Fast it explains everything that you need to know.,Receptionist,Automotive,Used the software for: 2+ years
motordesk,Superb functionality & Easy to use,We are saving time listing vehicles on multiple platforms and now have one platform that does everything we need it to do.,Alex H.,5.0,"May 26, 2022",We now have one central place for all our stock and analysis. It links seamlessly with Autotrader and all our social media platforms.,"Not that’s it’s big issue but sometimes I feel there is more than one way to do the same task and perhaps needs streamlining a little, some of it is user error.",Owner,Automotive,Used the software for: Less than 6 months
motordesk,MotorDesk is a technical genius in the industry!,,Jordan E.,5.0,"March 20, 2023","Me and my business partner researched many dealership management systems and found MotorDesk exceeding in every feature, category and price over every one of their competitors. The most important thing for us was the ease of use of the system and it highly exceeds over every other platform that we demoed at the time. Not only is the support 10/10 but the response and understanding from [sensitive content hidden] from MotorDesk has been incredibly helpful and flexible to our needs! MotorDesk regularly add new features and updates the system which is great business and keeps us updated within our industry. We are incredibly thankful that we found MotorDesk as it has improved our online business dramatically and our inventory management when publishing vehicles on advertising platforms such as AutoTrader and eBay. Thank you again to MotorDesk for your cutting-edge technology!","We actually can not fault the system, well done to MotorDesk team!!",Company Director,Automotive,Used the software for: 1-2 years
motordesk,Motordesk - a great solution to inventory management!,[sensitive content hidden] and the Motordesk team were flawless from the start. They offered plenty of recon and up-front support before we’d even got on board. They were even more supportive once we dove-in to full-on use.,Bradley B.,5.0,"February 17, 2023",Motordesk allowed us the flexibility to scale up our inventory offerings in an unconventional way. It was extremely customizable and very flexible.,"Haven’t had any negatives thus far. The team has been very responsive to our needs, with the software remaining flexible and scalable.",Marketing Director,Automotive,Used the software for: 6-12 months
motordesk,Fantastic ,,Michael C.,5.0,"December 7, 2021","We have been using dealerdesk now for just over half a year and it is by the far the best DMS that we have used to date, the time it takes to upload a car for us has halved, we have all of the data that we need to help sell that car at our finger tips and all of our accounting figures are now safely in the one place. Dealerdesk has also helped ensure that our advert quality is consistent across third party sites such as autotrader, ebay, motors etc.",Quite simply none applicable! Easy to use and no problems!,Managing Director,Retail,Used the software for: 6-12 months
motordesk,The very best Motortrade DMS on on the market,"I cannot praise MotorDesk enough, and I am thankful every day that I was lucky enough to have discovered it. Having previously used other DMS systems as well as a our own in-house processes, I can say from real experience that MotorDesk is the very best system, and it has hugely improved the way my business runs. It is super easy to use, with a really nice pleasing user interface that the whole team loves.",Richard N.,5.0,"October 14, 2022","Its customizability has made listing vehicles on our website as well as other platforms so much easier and has saved so much time. This however is just one of the many Pros - there are almost too many to list, as its integration with quickBooks is a big plus, as well as its integration with everything else you can think of, as well as being packed full of cutting edge features and enabling us to sell a car completely online.","It doesn't seamlessly integrate with eBay motors, but then no software does, and it does at least allow eBay inquiries to come into the CRM, so still better than other systems we have used.",MD,Automotive,Used the software for: Less than 6 months
motordesk,Best platform by far ,From signing up to today. Not had one single issue. From starting with just myself to now having 2/3 users the platform works perfectly. Helps save time each and every day. Very easy to use. Combines all sales platforms leads social media all in one place. Very easy to use would highly recommend,Lloyd B.,5.0,"June 7, 2022","The ease of use, this platform is by far the best I’ve ever used. Was looking for something like this for months. Wouldn’t look back has everything I could ever ask for and more",Nothing. It’s perfect. Can’t complain about anything,Managing director,Automotive,Used the software for: 6-12 months
motordesk,Great smart service,"Fast, easy, quick response for technical help (pretty much anytime!) time given for my inquiries feel more than enough, This guy doesn't mind taking through everything many times and making sure you're getting everything easily so you can control your selling and after selling process.",Ali S.,5.0,"November 8, 2021","The smart way used to build this amazing service really impressing me, I can control my sales and customers to the way helps them to find what they're looking for as well as making my life easier amends these setting from my end",I don't think there's something missing as the developer adding amazing tools to the dashboard helping make sales and website look Fab.,Car trader,Automotive,Used the software for: Less than 6 months
motordesk,Outstanding System,"Very good, easy integration and transition",Mathew K.,5.0,"February 17, 2023","Simple, easy to use and easy on the eye.",Nothing as yet but any issues get resolved by [sensitive content hidden] quickly,Director,Automotive,Used the software for: Less than 6 months
motordesk,Wish I had this earlier,Customer support is fantastic and its so easy to use.,James L.,5.0,"January 13, 2023",Autotrader integration is fantastic as I've also used the easy website designs too.,I would like to have my logo in the top corner of just the first image as I don't want it to block other images.,Managing Director,Automotive,Used the software for: Less than 6 months
