product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
notion_website_builder,If you are a Notion user... this is just amazing,"I managed to create and distribute numerous single-page websites in just minutes, integrating them into a marketing campaign. This process was incredibly time-efficient and required minimal effort, especially when compared to other alternatives.",Julian J.,5.0,"March 13, 2024",Creating a landing page or website is as simple as crafting a Notion page. The Notion website builder empowers you to seamlessly turn your ideas into a digital presence with remarkable ease.,"I've encountered some challenges with my Notion page, especially when it involves databases or data from other Notion pages that aren't set to public. I'm confident there's a straightforward solution, but it's been somewhat tricky for me to figure out.",CEO,Education Management,Used the software for: 1-2 years
notion_website_builder,Powerful tool for creating websites directly from Notion pages,,Saket J.,5.0,"March 10, 2024","It stands out for its ease of use, allowing me to convert their Notion content into fully functional websites without any coding knowledge. Immediately reflected online offering a seamless content management experience. It's particularly beneficial for individuals or businesses looking to establish an online presence quickly and efficiently, leveraging Notion's organizational capabilities. This builder is ideal for those who already use Notion for documentation or project management and wish to extend their use case to web development.",Limited customisation options compared to traditional web development platforms Reliance on Notion's uptime and performance Advanced SEO features and integrations with third-party services may be more challenging to implement Learning curve for new users.,Designer,Design,Used the software for: Less than 6 months
notion_website_builder,Great idea but buggy and support is really weak,,Verified Reviewer,2.0,"March 8, 2024",I needed the ability to password protect my Notion pages - which isn't a built in capability. Simple Ink gives that functionality and it works - but it does almost nothing else for me.,"Their support is absolutely terrible. You submit 3-4 tickets before anyone replies at all and then it's just a basic ""we're working on it"" - no ETA, no follow up, nothing.",Partner,Management Consulting,Used the software for: 6-12 months
notion_website_builder,Why you should switch to Notion Website Builder ,Love it especially as it's friendly on me financially,Sarah O.,5.0,"March 10, 2024","Cheaper as compared to the cost of hosting, SSL a website. It also acts as a portfolio",Not extremely easy to use for a beginner,Content Writer,Public Relations and Communications,Used the software for: 6-12 months
notion_website_builder,"Great tool, does what it needs to do",Overall great. Very good customer support.,Tom C.,5.0,"March 12, 2024","Unlimited sites is an instant win when comparing to other products. If you have existing content and want to get one or more sites up in a hurry, it's very simple to do.","Lack of delete site function for sites left over from testing on pain accounts. Although contacted support to delete them for me, so not really a problem and something they are going to add I believe.",Consultant,Information Technology and Services,Used the software for: Less than 6 months
notion_website_builder,Ease of use is the key,Is great and I intentd to use it forever,Gerardo R.,5.0,"March 9, 2024",The fact that I don't have to use any other software other than Notion is Key for me to update it easily,It doesnt allow to limite the a mount of posts shown,Art director,Online Media,Used the software for: 1-2 years
notion_website_builder,Fast and Easy Website Builder,"Overall, it has been a great experience with notion website builder. Whenever I want to share same thing with a lot of people, I just jump directly to notion and create a one page site in minutes and share them. It has made my life a lot easier. Thanks Notion, and I highly recommend Notion Website Builder to others like me.",Avash K.,4.0,"October 13, 2024",The best thing about Notion Website Builder is its ease. I can easily create a website without any coding knowledge in a matter of minutes. I really like that it allows us to turn notion pages to websites. The best thing is I can dynamically set something to be displayed from other notion pages.,There aren't many things that we can do with Notion Builder when compared to other solutions like WordPress but I think that's what makes it a good product ; especially for notion users. It doesn't have many functionalities but still a very useful product.,RA,"Health, Wellness and Fitness",Used the software for: 6-12 months
notion_website_builder,Turn your existing content into a beautiful website without switching platforms!,Notion Website Builder has been a very useful tool to help us grow and scale by using the already existing tools and data we have in place... minimizing time lost through duplicate work and education that would be needed to utilize additional tools and platforms.,Jonathan W.,4.0,"March 12, 2024","If you already use Notion to capture and organize your comtent and information there is no need to port that data into another platform or framework to turn it into a usable, and visually appealing, website.","Due to the limitations of using Notion as the back-end of your site, your options for extensibility and customization are limited.",Owner,Apparel & Fashion,Used the software for: 6-12 months
notion_website_builder,Aesthetic and fast website builder!,,Keyur A.,5.0,"March 8, 2024",I really liked the ease of use in setting up my website based on my Notion data. I also loved how real-time editing helped me set up my website in no time. The custom domain feature is a cherry on the top and the pricing is also really affordable. Overall great tool for content creators and others wishing to build their online presence as well as indie hackers looking to build simple projects as a solopreneur!,I wish they had local payment methods integrated so i could pay via UPI! I usually purchase all my subscriptions by subscribing to them on Google Play or via UPI so that was bit of a hassle!,Founder,Fund-Raising,Used the software for: Less than 6 months
notion_website_builder,Good for Notion Lovers,A lot of things are well taken care by Notion Website Builder. The main issue is that we do not use Notion that often. I think Notion Website Builder would be a great investment if we started using Notion more often. A lot can be done by using the custom code feature.,Osama K.,4.0,"March 9, 2024",The templates and custom domains are easy to use. It's easy add a footer and to customize it with an image. I liked the quick way to add menus. It is simple to add the menu and change the color and styling. The pretty URL is a cool feature to make your website polished. Dark mode works quite well. The speed is excellent.,"Some of the templates are expensive. You have to use a public page from Notion. The UI could be more colorful, but it works pretty good nonetheless. Some of the features require an upgrade.",Admin,Religious Institutions,Used the software for: I used a free trial
notion_website_builder,Positive feedback ,,Aditya K.,5.0,"March 10, 2024","It’s very user friendly, powerful and intuitive.","Everything is good, I didn’t find any cons.",Data Analyst,Computer Software,Used the software for: 6-12 months
