product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
pixel_together,Has opened up a new business for me,"I am very happy with my entire experience with Pixel Together. From the editor simplicity, to the wide range of features, to the amazing templates on offer for free, to the amazing customer service, Pixel Together is the best website builder for me, so much so that it has enabled me to make a business out of their platform.",Patrick K.,5.0,"December 27, 2018","When I first wanted to build a website I was using Squarespace and quickly found myself frustrated with the lack of flexibility and usability of the platform. Having run out of patience I came across Pixel Together and started a trial on their platform. I immediately loved how simple and intuitive the editor was and most importantly how flexible it was. I could place buttons and images where I wanted to, link them to whatever I wanted to and most importantly the customer service was amazing. Any request I had or help I needed the team responded very quickly and was super friendly. I use Pixel Together so much now that I am offering websites as a product in my business. I design and build the website and then I am able to give access to my clients so can make changes to their website whenever they want.","I don't actually have anything to complain about. The reason being is even if there is something that I am struggling with or need a feature added, the team is very quick in responding and actioning my requests.",COO,Internet,Used the software for: 1-2 years
pixel_together,Hands Down Best Website Builder,I’ve been using PixelTogether for several years now for my business. I’ve been so happy to find a website building available that allows complete design freedom without needing to know code. The customer service is also exceptional!,Diane A.,5.0,"September 4, 2021","I started using PixelTogether several years ago when I was searching for a website builder that didn't require knowledge of website coding, and also ease for design/customization. I tried many website builders, but kept running into those issues. PixelTogether truly allows design freedom without needing to know how to code a website. It’s so easy to use, and when creating/updating my website I can focus on what/how I’m communicating to my customers instead of working within the confines of preset template that doesn't allow that design flexibility.","No cons, I've been very happy with this product and customer service is fantastic.",Business Owner,Construction,Used the software for: 2+ years
pixel_together,Not entirely bad,,Michael S.,3.0,"August 13, 2018",You do have access to a lot of features.,Just a few minor bugs that needs fixing but it's not all too bad. The only bugs I've encountered was the freeze-ups when clicking on certain things like templates and such.,freelance/artist,Arts and Crafts,Used the software for: I used a free trial
pixel_together,Pixel Together The Ultimate Website Builder for Creative People,,Verified Reviewer,5.0,"April 21, 2023","You have creative control, pixel together offers high level of creative control over the website you're designing letting you create beautifulls websites without the knowledge of how to code, it has a User-Friendly Interface, Pixel Together provides good Customer Support and has Live chat","The learning Curve of pixel together is hard, maybe the user interface is friendly, but there is still a learning curve associated with it, Pricing, maybe the pricing can be a bit expensive and I don't recommend it if you're starting to create Websites.",Student,Animation,Used the software for: 6-12 months
pixel_together,Web site building for designers,"We use it to rapidly build bespoke websites for SME clients who want a distinctive look. It provides all the functionality that the majority of our clients require, including easy CMS for text, images, document downloads, blog posts, and galleries.",Sam B.,4.0,"January 18, 2019","It has an incredibly simple, but powerfully flexible page layout interface which allows pixel perfect arrangement of elements in a responsive website design. The sites we build with PT are SSL secure by default and the XML sitemap is added automatically. The system now also as basic traffic analytics as well. The price structure is suitable for the client base we mainly service.",Not much to complain about but it would be nice to have access to the CSS file and the text editor doesn't allow individual words to be coloured differently within a block of text.,CEO,Online Media,Used the software for: 6-12 months
pixel_together,Really Really Great Site Builder,Basically...I dont really bother with the other website builders any more. PT has replaced SquareSpace for me. Customer service is good too.,Thomas C.,5.0,"August 15, 2018",I really really rate Pixel Together b/c: -SEO - Websites are a lot better Search Engine Optimised than the other website builders -Speed - Websites are a lot faster than the other website builders -Designing - Its a lot more enjoyable to design in the platform -Features - There are tonnes of animations to work with. etc etc etc.,Its currently lacking a membership platform. Hoping they release one in the future.,Digital Producer,Design,Used the software for: 1-2 years
pixel_together,I love Pixel Together!,Pixel Together has given me a platform to launch my business without needing to really on technical people or designers. It means updates to the site are quick and painless.,Amir N.,5.0,"June 19, 2019",The ease of use when creating a new site. It allows me to quickly create professional looking sites that would otherwise cost thousands of dollars in a matter of hours. And it means I don't have to use a templated theme like every other wordpress site out there.,There's a little bit of a learning curve but that goes for any new software. In reality there's nothing I don't like!,Co-founder,Human Resources,Used the software for: 2+ years
pixel_together,Great Product supported by a great team,Overall experience has been positive. They are always willing to help and support you wherever possible.,Deric M.,5.0,"January 17, 2019",Extremely easy to use Constantly growing and adapting Features are released frequently,Firefox browser not supported Suitable for small to medium websites,Customer Creative Manager,Mining & Metals,Used the software for: 1-2 years
pixel_together,"Incredible support for a flexible, well-designed web builder",,Ellen R.,5.0,"May 2, 2019","While Pixel Together provides beautiful templates, they also provide unparalleled flexibility for design and layout. Pixel Together is inexpensive for its robust tools and outstanding support. Whenever I reached out with an issue (user errors each time), staff got back to me within 24 hours with individualized assistance. You're also able to export your site!","I'm digging for something, so here's a small function I'm sure they'll release soon: It'd be great to be able to auto-align elements with each other or to the page when designing.",Communications,Environmental Services,Used the software for: Less than 6 months
pixel_together,Build your website with ease,,Volker B.,5.0,"April 8, 2019",Where most website builders struggle Pixel Together works like magic - making it both incredibly easy and quick to build a website but at the same time giving you pixel perfect control over your design. And as a freebie you get outstanding support from the team!,Nothing comes to mind that I didn't like.,CEO,Computer Software,Used the software for: Less than 6 months
