product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
podia,Number one ALL IN ONE website builder for Creative Business Owners. ,I have tried out so many website builders over the years and did not have the same ease of setup or all in one setup like Podia has. I have everything I need to run a successful digital business with Podia!,Jean G.,5.0,"September 23, 2023",The easy setup and all in one services allowed me to set up my business in a week and make several sales in my first month of launching. I'm really pleased with how I could set up my entire business including email marketing and an affiliate program!,I honestly have no complaints right now. I wish Merch could be listed but I'm very satisfied with the design capability and features.,"Creator, Author",E-Learning,Used the software for: Less than 6 months
podia, Pleasantly Surprised and Relieved. ,"I'm delighted to find Podia after wrestling with wix and wordpress for years. I have lost so much time and money between those platforms. Podia gives me the freedom to focus on creating quality content in my unique voice. Not having to deal with all the backend stuff. For the price, I am happy to pay their subscription fee all in one place. Not payments to multiple third party services that make one site, like wordpress and plugins.",Matthew G.,5.0,"August 22, 2025","Incredibly robust suite of tools all in one place. Total value for the money in contrast to building a wordpress site with membership, courses, custom forms, audio / video streaming. All without the hassle of needing to be a web designer or css wizard. Support is a breeze to get on chat and they're super proactive!","I don't have any yet. I contacted support because I ran into a snap trying to import my wix blog unsuccessfully. But it is due to wix not allowing one to adjust the feed settings. I also inquired about being able to integrate Gelato or redbubble print on demand products which currently is not available. However, all my suggestions and inquiries were added to future feature requests. This is definitely a pro even though the options aren't currently available.",Transformational Trainer,Alternative Medicine,Used the software for: I used a free trial
podia,Run away as soon as possible,"HORRIBLE, keep away if you care about your data, nerves and financials. Many things don't work in the system and the customer support is always ""I'm sorry, i know it's frustrating, we will pass to our developers, but can't say when and how the issues will be resolved"". No Value for money at all. Bad and long learning curve to working with their financials, all emails are marked as spam and generally the system sucks. They make changes to basic logic in the system without any alerting to the customers, no explanation of what is about to happen, simply change one day and we should work around it, while it's still with bugs and issues. The subscription is not actually as per the plan, they give you additional seats, but only the owner for example is able to answer messages form the students, so they charge you, but not really supplying the goods.",Mickey Z.,1.0,"July 28, 2025","Only the pricing, witch is cheaper then other solutions, but completely not worth the delta. Nothing ever works, always something broken, horrible customer support.","The app is so buggy and so not working well, it's amazing i was able to live with it for more then a year until i got the courage to leave to another supplier.",CEO,Publishing,Used the software for: 1-2 years
podia,Helpful Business Multitool,"I started my business in October of 2024 & started using Podia right away. It has been affordable as it combines so many tools into one. I love, love, love the website I have created on the platform, and it was super easy to do. Their support is very helpful when I have questions. The courses are a little confusing to some of my clients, with the lessons vs. discussion areas. Overall it has helped me grow my business a great deal in the last 9 months.",Maddi A.,4.0,"July 23, 2025","I love all of the different functions that can replace multiple other tools. I have my website, email marketing, community memberships, and client portals all on Podia. Their support team is also very helpful & responsive.","I wish the websites were a little more customizable (although I really love what I've built), and I have to create a new ""course"" for each client to use as a portal, which is cumbersome","Founder, Certified Dog Trainer",Consumer Services,Used the software for: 6-12 months
podia,"Podia, a decent creator starter platform","Pretty good overall. Simple to set up and use. I needed more though, so, I had to upgrade.",Mark D.,4.0,"February 28, 2025","Ease of use. Number of features for the price. 30 day trial. Quick set up and use. Blog, products, etc.","Limited features, only one domain or name, set up for single users, instead of multiple users.","CEO, Coach",Professional Training & Coaching,Used the software for: Less than 6 months
podia,Great starter platform for coaches and entrepreneurs,Overall I loved podia. It was well priced and allowed me to host my courses and trickle out content and give my community members a place to find all of the resources I provide and interact with me and the content.,Rachel S.,4.0,"March 17, 2025",Podia is a great starter software to build and host courses on and create a community amongst your customers. It offers everything a coach could need to promote their courses while being reasonably priced and very user friendly,I wish that the website builder looked a little less chunky and blocky so you could make a smoother looking website.,Business Coach,E-Learning,Used the software for: Less than 6 months
podia,"Want your sales pages, courses, and emails all in the same place?","I was already paying Convert Kit the same amount as Podia with no course options. Sure Podia's email is a little basic but the Podia Team has given me some great workarounds. For the price, you get so much more here than with the basic email platforms.",Tanya G.,5.0,"February 5, 2020",Just Do it! Should be Podia's slogan! These guys get you started on making life happen. Do you dream about making a course? This is the place to do it. The videos and chat help will help you make the course happen. And don't worry! You can go in and change things as you go along. So Just get started already.,"With support, they do everything but come to your house and design the program for you. But that is truly what I wish they did. They have all kinds of great examples and challenges to get you started. I just wish they would send a maid and a nanny so I could clear my calendar to get on with it already.",Course Producer Writer,Writing and Editing,Used the software for: Less than 6 months
podia,The best tool on the market,It has been a dream product to use,Frankie Ƀ.,5.0,"March 3, 2020","By far the sleekest design UX experience I have had with any e-learning platform, and I have used others in the past. The team were able to migrate me from Failjabi in less that 24 hours and the support is so personal and caring. It's also great value for money and I could not ask for better updated as the arrive month by month, I have just committed to another 12 months with Podia by paying upfront and I would never have dreamed of doing this with any other service Thank you Podia for such a great product I look forward to what 2020 brings, please accept crytpo payments in the future ;)","No crypto checkout, I know this might be difficult to implement but would be a great feature.",Founder,E-Learning,Used the software for: 6-12 months
podia,My quickest launch experience ever for digital products ,Very smooth,Patrício A.,5.0,"May 18, 2021","It's simple to build a course. Podia has a lot of resources to help you build, sell and market your product. It is simplicity in all actions, and it is quickly accessible to people who are not very tech.",No custom embed codes can be added... but let's face it... I can do without it for the first stages of sales. The trial offer could be more time... more than two weeks... We have to be prepared to build quickly to understand all the possibilities…,Service Designer,"Health, Wellness and Fitness",Used the software for: Less than 6 months
podia,I love hosting my digital store and courses on Podia!,"Overall, I've been really happy with using Podia. I don't have a ton of digital products right now, but I love the way my course is set up. It's easy for my clients and audience to access and easy for to edit as my needs change.",Amy J.,5.0,"May 25, 2025",I love hosting courses and digital products on Podia. It's user-friendly interface makes it easy to set up and edit as my business needs change.,"It's a little on the expensive side, but they do have a 30 day free trial for you to get a feel for the services and options.",Owner and Designer,Design,Used the software for: 6-12 months
podia,Great ecourse platform,"The people at Podia are extremely helpful even for a detailed person such as myself, they respond to questions quickly and provide video on how to tutorials.",Peter G.,5.0,"July 19, 2019","I chose the Podia platform for its ease of use and value. Creating a wealth-building program, I could not see spending double or triple the amount of Podia on another platform when I teach others how to build their wealth by being frugal.","I'm not good at creating websites or doing the backend programming, so I would like to see Podia have the option of hosting my URL and blog or partner with a company that provides those services. As it stands now I do not have a blog because I do not have the time to learn how to add the blog feature to the company that hosts my site.",creator,E-Learning,Used the software for: Less than 6 months
podia,Podia is a go to for start up's ,Overall I did not have technology issues while using podia. It is a easy for beginners and startup companies to use.,Katrina M.,5.0,"April 15, 2025",Podia was very easy and simple to use. It didn't complicate my job. It was very easy with keeping up with information and candidates.,I did not like the fact that others in the organization could see all of the work that I was conducting.,Recruiter,Construction,Used the software for: 1-2 years
podia,Great for large scale and established sales options,,Jessica L.,4.0,"January 15, 2025",Fairly easy to use and set up as a content creator.,"For small scale business (like mine) with infrequent use, Podia is a bit more expensive than some other options.",Chiropractor and Speaker,Alternative Medicine,Used the software for: Less than 6 months
podia,podia is great for coaching and training profession,I recommend podia to anyone who will listen. Been on it for 2 years. The technology and platform is great but what I brag about the most is how well they treat you. The customer service is extraordinary and that’s why I’m a raving fan.,Scott L.,5.0,"July 19, 2022","Podia makes it easy to launch a course, a landing page, or a lead magnet for list building. I also love the subscription/membership capability.","They are definitely working on this and continuously improving it, but the community feature is still lacking a bit. I still use Facebook groups or other tools to compensate, but over the past couple years the capacity is trending in the right direction.",Performance Coach,Professional Training & Coaching,Used the software for: 2+ years
podia,Podia Course Platform,"I am able to achieve my goal of creating my own courses and I'm discovering new features to offer such as coupon codes, integrated coaching and quizzes.",Amelia G.,4.0,"April 1, 2022","Easy to use, great customer support, chat feature, integrated quizzes, coaching and other features like coupons and integrated email (for example, I used MailChimp and I can utilize a MailChimp tag to add customers to my email list).","Quizzes are not previewable for potential customers, so I would like this to be available, and Ithere is no marketing assistance, so course promotions would be a bonus.",Author | Course Creator | Instructional Designer,Information Technology and Services,Used the software for: 1-2 years
podia,Podia Makes Course Creation A Breeze,"I chose Podia to simplify my life, ditch the overwhelm and just get down to creating a simple course that my audience would love to engage with. Podia ticks all the boxes.",Verified Reviewer,5.0,"November 29, 2021",Ease of use both for administrator and course/community members.,"At first, I wanted more flexibility in the builder but once I got into it, I just knew that anything more would not add to the experience. It's such an easy platform to use.",Owner/Director,Marketing and Advertising,Used the software for: 1-2 years
podia,To the point. Exactly what I needed.,simple and straight to the point,Giuseppe T.,5.0,"July 1, 2022","I enjoy Podia for its simplicity and beauty. I appreciate the entrepreneurial smartness in creating such a precise and lean product, ease of use, very fast and thorough support, balanced functionalities outweighs the frustrations. As far as I know I'll keep using it. From many angles, it's obvious that it wasn't just designed to be the next average thing, but it was carefully planned and optimized to solve specific problems and really make a difference. It was precisely what I was looking for for a solopreneur that is looking for lean features that just work. I loved how they were honestly able to compare themselves to other solutions and companies without bragging or other ego dynamics, and how they presented themselves as the solution with clarity. It shows a lot of great signs of a company I'm inclined to work with.",some bugs in the editor were really annoying. Solved.,Founder,Mental Health Care,Used the software for: Less than 6 months
