product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
populr,"Perfect for Creating Quick, Free Landing Pages","Populr helped us quickly create landing pages for current customers to use for onboarding. It easily allowed us to add various documents, tutorials and embed videos all into one landing page. I wish I had known about it before spending my time researching other tools that I could have had to pay for. Populr pages are so easy to create and look fantastic on mobile.",Jared D.,5.0,"December 11, 2019","Populr is a fantastic landing page builder! It's super user-friendly with a drag and drop interface that allows you to quickly setup a landing page, embed videos and photos and text. The best part is the tool is completely free to use and the support team is fantastic to work with, although you'll rarely need to reach out to them.","It seems the tool hasn't been updated in a little while. It could probably use a bit of a refresh and some additional themes, but it's still fantastic especially for the fact that it's free. Also their pages are all mobile-friendly by default, which is a definite must today.",Customer Success Manager,Computer Software,Used the software for: 1-2 years
populr,I Don't Want to Think About Business Without Populr,"I came across this product during a webinar and, even if I live to be 115, it has paid for itself many times over. I often go from idea, to proposal at the speed of typing. No need to even think twice about 'who is going to lay it out?', 'where will I host it?', 'what if I need to make edits?', 'how will I know if it's viewed?' - and a dozen other concerns that are no longer mine!",BarryF,5.0,"January 21, 2015",Fast Easy Beautiful design Can publish to my own domain(!!!) Many templates Amazing customer service New templates being added all the time Totally clean Web 3.0 look/feel Unlimited POPs on my account Easy to collaborate with others More,I'd like to be able to publish to more than 3 domains (I play in a lot of worlds!) I honestly can't think of another one,Used the software for:,,
populr,Populr.me - an extremely effective way to share information for your deals,"I love Populr and and use it more and more often. I'd been looking for something like this forever and was ecstatic (not exaggerating) when I came across it. I use it to organize and distribute due diligence information for the small corporate finance deals I work on and it is very effective for that. The only alternative was outrageously expensive and complicated “deal room” software that targets law firms and investment banks doing large scale M&A. I currently use a slightly modified version of one of the most basic templates offered, which is perfect for my needs - 10 or 20 documents grouped by type or subject matter in an attractive, organized fashion. My clients, who pay me to find financing for their projects, like it and so do the potential investors I share the projects with. And I like being notified whenever they open the Pop. I have looked at other Populr.me templates and their uses and I plan to adapt one or more as soon as I can for marketing my services to potential clients. There is a lot more I can do with Populr.me and I intend to.",John M.,4.0,"July 24, 2014","• Attractive and varied templates that are easy to modify and use • Uniformly positive reactions from recipients • Great way to distribute information. • Alternative to DropBox, ShareFile, static webpages, Deal Room Software",• The Help Pages could use some Help.,Financial Services,Used the software for:,
populr,Excellent!,"Over the last year I have become a huge fan of Populr. Since I have no knowledge of web design, I use the easy to create pop pages for business proposals. My clients have been blown away by the proposals that I have put in front of them using Populr. Highly recommended.",Jason M.,5.0,"October 21, 2014","Easy to integrate video clips, photos, pdf files. The layout is extremely easy to change and customize. The entire system is very intuitive.","It does take a little getting used to. And from time to time the system runs slowly (although that could be my internet connection, too)",Entertainment,Used the software for:,
populr,Populr makes it easy,"Populr makes generating one pagers and marketing collateral as easy as typing up a document in Word. I don't have the time to spend perfecting a document's layout with other means, but with Populr it's simple; type it out, select or upload a background, move anything around if I have to, and publish.",Steven V.,5.0,"February 28, 2015","Ease of use, professional look, customer support",Haven't found any yet.,Account Executive,Used the software for:,
populr,Very flexible and secure way to share information,Populr gives me an easy way to share my training materials with delegates. I also use it for proposals - so much more impressive than just sending an email with an attachment.,Jackie H.,5.0,"August 13, 2014","I like that I can share my files with people, and give potential clients a nice surprise with a personal page with my proposal.","Can't think of any,",Owner,Marketing and Advertising,Used the software for:
populr,Stumbled upon it,"I stumbled upon it and started using it. There is no learning curve since everything is so straightforward and even when you need help , you get a reply/help with in a day. On top of that ,the build-in analytics really provide you the view that you need",Stijn W.,5.0,"February 9, 2015",* straightforward * decent analytics,* Realtime collaboration,Business development manager Mobile and Cloud Solutions,Used the software for:,
populr,Flexible Landing Pages for Market Testing,I use Populr for building landing pages to test different value propositions for different customer segments as I hone in on early adopters for business and product ideas. It makes the process of creating and hosting them fast and simple. Love what they've done.,Gabe G.,4.0,"September 17, 2015",Easy to use. Great variety of layout choices. I don't have to think about hosting or any technical stuff.,"Getting lines to open in a new window is a little clunky, but I'm sure they'll make it a more integrated feature soon. Certainly not a deal breaker.",Technology Delivery Director,Education Management,Used the software for: Less than 6 months
populr,Great value! Measurable results.,"Our print and digital media properties provide advertisers with a wide variety of programs and platforms to reach their target audiences. Populr, provides us with a cost effective way to update and market these options to our advertisers.",Jeff J.,5.0,"April 17, 2015","Turnkey, no learning curve. Sharable templates. Good measurement tools.",,Venture Capital & Private Equity,Used the software for:,
populr,"Easy-to-Use, and Produces Great Looking Pages","I have been using Populr for the last year to build landing pages for Seminars. The tool provides easy to use layout that I found to be robust enough to build a nice looking page without needing a lot of html knowledge, but also provides access to css to make more technical changes in design. Love the product",Matt W.,5.0,"July 29, 2014",,,COO,Oil & Energy,Used the software for:
populr,Great!!!!,Great way for me to stay in front of my clients as well as to communicate to my associates and potential recruits.,Verified Reviewer,4.0,"July 12, 2014",,,District Sales Coordinator,Insurance,Used the software for:
populr,Notes from Trying Populr,"Overall, a great option. Users need to be pretty facile with technology, but not professional. I've used for personal and business purposes.",Jessie,4.0,"November 24, 2013","Easy to choose and set up templates. Examples are helpful in generating ideas. Sending and posting are easy and intuitive. Analytics are helpful, as are ability to edit teams and domains.","Only as good as the human user and also the logo/graphics you have available to you. In other words, Populr can make your content look great, but can't make a great logo for you if you don't already have one. Steep learning curve!",Used the software for:,,
populr,support desk is very quick with answering questions,"We decided to make a online birth announcement so that we can send this to everyone (family, friends, colleagues, etc) and attach pictures to this site. Making a birth announcement is easier than choosing a birth announcement card.",Vivian,4.0,"November 28, 2013",using own creativity support desk is very quick with answering questions,missing a google address uploadbutton for uploading all my google contacts in 1 time.,Used the software for:,,
populr,Solid option to clearly communicate a message to your audience,We used Populr to communicate our message and were able to get a page up and running in minutes. Our audience loved it and it was super simple to setup.,Brian Raney,5.0,"November 26, 2013",Ease of use Clean interface Quick to launch,,Used the software for:,,
populr,"Simple, easy to use and click-type of website creator",,Verified Reviewer,5.0,"August 26, 2018","Populr is a website creating software that I usually use to create more advertising for our company. Populr allows me to arrange my articles, company photos, company details and other important data regarding our company in a click-drag type of layout arrangement. It made website creating easy for those who have no experience in website coding.","Minimal design and formatting choices which limits creativity but the present formatting possibilities are also amazing with so possibilities for design. Besides that, everything is great and the user interface is user-friendly.",Content Producer,Insurance,Used the software for: 6-12 months
populr,Pops Rock - Plain and Simple,"I used to write emails to prospects. Often I wouldn't hear back or the reply would be a polite, 'we'll call you'. Now I send Pops... they call me on the phone. They book me. The power of using a Pop to introduce a product or service is remarkable. It takes the message from ordinary, to insane. I've tested - heavily in fact - the conversion rate with both cold and warm leads and the Pop wins every time. Even when the answer is 'no', it's a much nicer 'no'. If someone has a good reason for not using Pops, could you tell me? I can't see the downside. Favorite Feature: ""Duplicate"". Man... I have a few templates and changing an entire proposal or 'Welcome' takes less than a minute. It has eliminated cancellations from my membership site. By using a Tracker URL I know when they are opened and I can't hardly believe how often people go back to see what they got as a Welcome once they join. Great product... Among the best (and this from a guy that uses a LOT of products). Barry Friedman www.GetMoreCorporateGigs.com www.ShowbizBluepring.com www.30DaysSugarFree.com",BarryF,5.0,"October 2, 2013",Easy to use Easy to duplicate Embed videos easily Customize as fast as you can type Beautiful templates,I wish I had at least one... I don't.,Used the software for:,,
populr,Fast and easy,,Verified Reviewer,5.0,"March 9, 2019",it is super fast and easy when making a page,i find adding a little bit widget confusing,Children's Program Worker,Individual & Family Services,Used the software for: 2+ years
populr,An awesome tool!,"A nice and easy WYSIWYG landing page builder which is as feature rich as most of the paid alternatives. Really satisfied with the end results, especially on mobile.",Verified Reviewer,5.0,"April 17, 2020","Populr is a simple and easy landing page creator. For a free(mium) service, it's especially feature rich. I really appreciate the auto-save functionality (why isn't it there in every service?) as it makes work and collaboration much easier. The WYSIWYG editor is pretty nice and simple, although I've had a few minor bugs with it.","As I've previously mentioned, there are minor bugs in the editor and the auto-save feature could have been a bit faster. And you can't start creating a new page the the grounds up, but that's not a big issue as the templates are pretty good.",Product Expert,Computer Software,Used the software for: Less than 6 months
populr,Easy way to increase marketing communications - without engaging a whole design/IT team,"Pretty simple to use, with a good user interface, producing professional looking pages quickly. Was easy to test as well, with all the same functions during freemium use only with greater branding present. The tracking is fairly basic, but great to have individually for each page. We are in China and I have no problem to integrate videos hosted on the video platforms here.",Jeni W.,5.0,"November 10, 2014","Freemium same functions as paid Easy to use Quick page response Automatic saving (but not posting live) Can collaborate easily (and delete collaboration rights easily too) Good range of functions Good range of example pages, great for ideas","Would like a ""Blank"" slate design (I am always deleting all the modules before I start a new page) Font size, colours, could have better choices (currently it is all in themes and limited) Some bugs (occasionally content deletes itself)",Marketing Strategist,Marketing and Advertising,Used the software for:
populr,Populr: An Amazing Little Gem From Nashville,"We have kicked the tires on quite a many single pages site builders. From inflexible flier based templates to full blown ""Code-Em-Up"" site builders, each offers a differentiating layer of capability and potential. Populr falls smack in the middle of that field and provides the perfect blend of simplicity and creative flexibility allowing both developers and non-developers alike a chance to produce some truly incredible online pages. Great things come out of Nashville, TN, and Populr is yet another fine example of just that. This young start-up is primed to shine and change the entire Micro publishing landscape in the process.",Christopher Rippie,5.0,"November 21, 2013",The simple click and edit builder also features an embed tool that lets the more seasoned professional integrate some very powerful third party solutions into the page while amateurs will also find it quite easy create truly amazing one page sites.,"While you won't find a gigantic selection of themes just yet, the ones offered do provide a wide level of flexibility and differentiation. More themed templates are being developed at the time of this review.",Used the software for:,,
populr,Great Website Hosting,Populr is a user-friendly drag and drop website hosting platform that works for people like me who need information to be displayed in a clean and cohesive manner! I'm thankful a website service like this exists for people like me who are not designers but love the look/themes of a well-designed platform!,Anthony M.,5.0,"July 15, 2014",,,Music,Used the software for:,
populr,Great way to get the word out,"Populr is super easy to use and allows you the opportunity to send out multiple messages in no time. Plus, the ability to track activity helps you determine what messages work better than others. Bottom line: great bang for the dollar.",Simon S.,5.0,"July 23, 2014",Easy to use,Prominent Populr branding on free version,Hospital & Health Care,Used the software for:,
populr,Great Application ,Populr is a great tool that is amazingly simple platform and at the same time provides a well designed professional look. The ease of use and tracking makes this a great upgrade to improve my communication over email. Support is via IM and handles support effectively.,Christopher L.,5.0,"June 28, 2015",Simple Value Effective Tracking of opens Access from any device,Some fields when embedding links need coding to size accurately FAQ could use some beefing up. No simple interface to review sent communications,"Health, Wellness and Fitness",Used the software for: Less than 6 months,
populr,Love to Pop,"Started on the free plan and I was just having to much fun popping!!! I'm now on the pro plan and it is the best 20 bucks I will spend a month. I believe our customers want more than just an old looking email or ecard, it's ok now and then but what a treat to send them a Pop from Popular.",Verified Reviewer,5.0,"July 14, 2014",,,Realtor Associate,Real Estate,Used the software for:
populr,Thanks for the demo! ,Loved using Populr because it is so easy. The boss loved it even more because the embedded emails look great. So excited because he has given me the go ahead to purchase the pro version!,Verified Reviewer,5.0,"April 29, 2014",Easy to use and you can embed the page in emails now which is a huge plus!,,Project/Change Coordinator,Primary/Secondary Education,Used the software for:
