product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
rubberduck,The simplest platform for people without technical knowledge.,The advantage for an agency is being able to provide its clients with a high-performing and easy-to-manage platform at an affordable price.Best CMS product on the market for facilitating access for service businesses.,MarieEve M.,5.0,"September 15, 2023","Easy to use, user-friendly, fast. Each feature is interesting.","At the moment, there are only a few templates available.",Design graphique,Design,Used the software for: 1-2 years
rubberduck,Easiest CMS I ever worked with! ,,Verified Reviewer,5.0,"September 20, 2023",I love how you can create customized page easily by choosing different pre-built blocks of content and tools.Each blocks of content already includes call to action buttons wich is usually missing in most content designs.,"Only con is the fact that they still have limited templates options, but plenty are being designed right now and looking forward to use the new ones.",Consultant,Marketing and Advertising,Used the software for: 2+ years
rubberduck,Forget wordpress. Rubberduck is better.,A website should not be complicated to put together. No pluggins. No hosting nigtmare. RubberDuck was great to launch a simple website quickly.,Justine G.,5.0,"September 22, 2023",I like that it's easy to use and customize. I was able to publish a website in a couple of minutes.,When I first starter to use it the preview functionnality was not that great. But it has been improved since.,CEO,Information Technology and Services,Used the software for: 6-12 months
rubberduck,Very userfriendly CMS,,Olivier G.,5.0,"August 25, 2023",Easy to work with and fast to setup. Website automatically looks nice without spending a ton of time on it.,Honestly every feature is nice. Just wish I knew them sooner instead of wasting time on wix.,CEO,Construction,Used the software for: 1-2 years
rubberduck,General appreciation,,Caroline B.,5.0,"January 31, 2024",Our platform is friendly to use for me and my customers.,I hav'nt negaitve points about my experience with Rubberduck.,President,Telecommunications,Used the software for: 2+ years
rubberduck,Most userfriendly website platform ever,Best website platform on the market,Chantal C.,5.0,"August 25, 2023","so userfriendly, excellent service, cheap and fun!","Nothing, everything is just perfect, should have use it way before",Mortgage representative,Banking,Used the software for: 6-12 months
rubberduck,Quick and easy!,,Frederique L.,5.0,"January 4, 2024",Perfect for a service business! RubberDuck provides its clients with a user-friendly platform (especially for someone who doesn't usually do this for a living) at a very competitive price. Always helpful and open to discuss.,"Few templates available, but still enough for a service business.",Partner,Legal Services,Used the software for: 6-12 months
rubberduck,Friendly and easy to use,,Louis G.,5.0,"September 8, 2023","Easy communication with the staff, great look and easy to learn CMS","No E-Commerce, but this is the only con I can find",Photographer,Photography,Used the software for: 6-12 months
rubberduck,Built for marketers,Great people developing a great product. It's an awesome alternative to wordpress,Nicolas R.,5.0,"September 20, 2023","I like that the patform is built with SEO, tagging and translating in mind.","Can't edit code directly on the server. It could be good for people that know how to edit php, html or css",COO,Marketing and Advertising,Used the software for: 1-2 years
rubberduck,User friendly and great customer service !,It will make updating my website way easier !,Frédéric A.,5.0,"September 18, 2023",Fast and easy to use. But with all the features needed.,"Everything was better than expected, I recommend strongly",President,Real Estate,Used the software for: Less than 6 months
rubberduck,Comment se ,Mon expérience globale d'utilisation de RubberDuck est sans contraintes et avec beaucoup de facilité.,James M.,5.0,"August 29, 2023",Les aspects de RubberDuck que j'apprécie le plus sont la facilité d'utilisation et le service à la clientèle.,L'aspect de RubberDuck que j'ai le moins apprécié est de ne pas l'avoir découvert avant.,Courtier immobilier,Commercial Real Estate,Used the software for: 2+ years
rubberduck,Friendly user,,Ghislain R.,5.0,"August 29, 2023",C’est un jeu d’enfant concevoir un site web avec rubberduck,Aucun.,Vice president,Construction,Used the software for: 2+ years
rubberduck,Simplifier sa vie,"Pour un site vitrine beau et responsive, c'est vraiment un très beau produit.",Josyanne C.,5.0,"September 13, 2023","Facilité d'utilisation, Accès rapide au support client,Modules structurés qui facilitent la personnalisation",Il arrive que le téléchargement soit au ralenti. Refresh la page et c'est réglé.,Client sucess,Marketing and Advertising,Used the software for: 1-2 years
rubberduck,Outil incroyable,Un très grand gain de temps grâce à Rubberduck !,Fabien P.,5.0,"September 19, 2023",La création de site web est rendue tellement simple et efficace. Tout est réfléchi pour aller à l'essentiel. L'équipe est également au top.,Davantage de template et de personnalisation,Développeur web,Marketing and Advertising,Used the software for: 6-12 months
rubberduck,President,,Olivier P.,5.0,"September 11, 2023","Facilité d’utilisation , plaisant à utiliser et très rapide.",Rien de special.. j’ai hâte de voir les prochains templates!,President,Professional Training & Coaching,Used the software for: 1-2 years
rubberduck,Évaluation ,,Maxime G.,4.0,"August 28, 2023",Service à la clientèle efficace et disponible,Seulement quelques modèles différents disponibles,Président,Farming,Used the software for: I used a free trial
rubberduck,Tres bonne option local!,Belle entreprise. Merci [caché sensible contenu]!,Sébastien D.,5.0,"September 13, 2023","Les formats déjà établis. ""Template""",Créé le site est dificile quand on ne connait pas la base.,Président,Construction,Used the software for: 1-2 years
rubberduck,Great experience! ,,Katline B.,5.0,"August 27, 2023","User friendly, easy to edit a page, quick",Nothing.. it's really easy to use and really simple,Multientrepreneure,Real Estate,Used the software for: 6-12 months
rubberduck,Rubberduck je recommande!,Efficacité!,Pierre Olivier P.,5.0,"September 13, 2023",Facile d’utilisation et très user friendly!,Transaction impossible sur le site pour le moment.,Comptable,Accounting,Used the software for: I used a free trial
rubberduck,Performance ,Temps,Mattieu B.,5.0,"September 11, 2023","Simplicité, réponse rapide et personnels courtois","Rien détesté , le produit a répondu à tous mes besoins",Vp,Real Estate,Used the software for: Less than 6 months
rubberduck,So easy and fast!,,Sylvain L.,5.0,"August 26, 2023",Make a website in a few hours. Load very fast.,I would like more templates. Every profession should have 5 templates minimum.,President,Computer Software,Used the software for: Less than 6 months
