product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
shift4shop,Shift4shop Best FREE Shopping Platform Out There,,Scott B.,4.0,"March 9, 2022",Like the fact that its an entire platform like all the rest you pay for but its FREE!,Not found any as of yet any negative issues,Owner,Retail,Used the software for: 6-12 months
shift4shop,Good for the price,It's a decent ecommerce platform. Easy enough for beginners and best of all its free.,Megan M.,4.0,"December 29, 2021","Shift4Shop (previously 3dcart) is a FREE website ecommerce platform. Unlike some of their competitors that charge you for every transaction, Shift4shop does not take a commission and they do not charge a monthly fee. It really is free, which is amazing. You do need to use their credit card processor, and the fee is 3%. But you will pay a CC processor no matter what, so ultimately the ecommerce website is still free. They have templates that are ready to go and are pretty decent. Updates are done automatically, so you don't need to be a techy to keep up (this was a concern when we previously self hosted and did Woocommerce). Ultimately we are happy and would recommend Shift4shop.","You have no control over some things. One time the entire website went down. Customer service told me I didn't even have a domain with them - even though it had been working and taking orders until the day before. And their customer service is not good. They are out of the country and have no control. Every issue needs to go to a different department. Which is not a big deal for small things, but when your entire website won't work and you have customers emailing and calling (and ultimately ordering elsewhere) losing an entire day because of poor service is huge. Once their error was fixed, there was no apology or explanation. Before we launch any advertising campaigns or send emails to our customer database I always check the site, to make sure it's working. So the free price does with a tradeoff. I calculated what places like Shopify would take per transaction, vs what I lost in one of being down and I am still way, way ahead.",Owner,Printing,Used the software for: 2+ years
shift4shop,"Horribly unprofessional, littler regard for their customers. ",Terribly unprofessional. I would highly recommend using any other company to host your website.,Angelina S.,1.0,"January 16, 2025",Because of the aftermath I couldn't possibly recommend this company for any reason.,"I cannot use 2 of their payment providers and was told I could bring in my own option. After months of not hearing back, they suddenly changed their mind and told me I had to pay a bill for services I didn't receive from them before they would let me back into my site. I could have exported the contents to transfer if I had been warned. This is unbelievable. It is well documented that I emailed and didnt hear back, I included many people and they never replied. How can you hold my property hostage to services that weren't rendered? You guys will end up with a class action lawsuit for this. When you do, I hope a lawyer contacts me. My email is my first and last name together at gmail.com if anyone is interested.",Owner,Design,Used the software for: 2+ years
shift4shop,Great Solution for Growing Online Sales,"3dCart allowed our direct sale business to become an online business, with bells and whistles we thought would only be possible at a much higher monthly cost. We were able to develop a multi-state following, and offer incentives and loyalty programs, all for a very affordable monthly price. The headaches were minor in comparison to what 3dCart has done for us!",Verified Reviewer,5.0,"December 4, 2019","For a small, growing business with an ever-expanding product base, 3dCart meets the need for scalability, ease of adding product details, behind the scenes product management and point of sale tracking, giving a really good all-in-one place to track and grow without the heavy investment of some other popular solutions.","The printed reports are good, comprehensive, and useful; the ability to integrate them easily with other software is somewhat lacking; it can be done, but with some of the accounting software we tried, it was a difficult porting process. Customer service was as helpful as they could be, but many of our shortcomings became wish list suggestions for their developers.",Course Instructor,"Health, Wellness and Fitness",Used the software for: 2+ years
shift4shop,Viewing On Line Commerce in 3D,We have been able to offer financed products through 3D Cart and Klarna which has helped our on-line sales. It appears that 3D cart has a ways to go to make their web services seamless for less than IT Manager level users.,Jim P.,4.0,"August 7, 2019","Initially because it allowed us to utilize Klarna. As we converted from ARI, I found that the site was much easier to navigate and manage than ARI.","Sizing of the photos. Some of the pages require a specific size of photo which isn't readily available. I haven't identified the path to convert what I want to what will fit, so my photos aren't consistent and frankly look amateur. When asked, the 3D staff said that they don't have a solution for this.",e-Commerce Manager,"Leisure, Travel & Tourism",Used the software for: 6-12 months
shift4shop,"Decent platform, but ABSOLUTELY TERRIBLE customer service.","While the program has a decent amount to offer, by far the worst part of it is your access to customer service or technical support. Their support structure is absolutely broken and makes it near impossible to get anything fixed. When you call, you only have access to their ""Technical Support Specialists"" who often hardly know anything when it comes to technical issues. There is often never a way to get things resolved over the phone, because they are required to create ""tickets"" that will receive responses at a later time, but once someone responds to your ticket when you send a response back, THEY DON'T RECEIVE IT. I now have been instructed to call them every time I send a response so that one of their support technicians can manually input my response for me. We have had a persisting issue with our website where our products are incorrectly displaying whether they are ""In Stock"" or ""Out of Stock"" which is a pretty big deal that has resulted in a loss of tens of thousands of dollars for our business because our customers assume that we are out of stock on our top products. This issue has been going on for over a month now, and they have gotten nowhere. Every time I get on the phone to check the progress of the (now ""elevated"") ticket, I have to re-explain the issue, and they try to push me to do the same things I have been doing for weeks. I have tried asking and pleading to talk to someone higher up or a developer of some sort, but they tell me that it's impossible. FML.",Trevor B.,3.0,"January 26, 2022","Shift4Shop (formerly 3dcart) is decent for small businesses that need a lot of included functionality fresh out of the box. You have access to a lot of tools if you know how to find and use them. Unfortunately, if any of these tools break or get held up, good luck getting help with fixing it.","By far the worst customer support I have experienced in a while. Many of the employees are quite kind and try hard to be helpful, but they send you around in circles and you can never talk to someone who is actually capable of resolving technical issues. Even when tickets are ""elevated"" and ""marked as urgent"" I run into the same issues of having to re-explain issues and getting nowhere. We are personally going on for over a month now with an unresolved issue that is significantly affecting our business. We have literally NOT MADE ANY PROGRESS on the issue, and it feels like I'm running in endless circles with their Tech Support team. I will go into further detail below.",Director of IT,Sporting Goods,Used the software for: 2+ years
shift4shop,Effort Versus Cost,"Having used the software for over a year, and keeping up to date with Shift4shop news and regularly scheduled fixes, we are fairly satisficed with the service. It was certainly a learning process, and we spent more time understanding the software than we would compared to a competing service, however the end result is acceptable. For a service that is mostly free to use, we have determined that the amount of work and learning required has been worth it.",Henry W.,3.0,"July 30, 2021","We are constantly discovering new functions as the software is being used on a daily basis. Shift4shop truly has everything we need to operate a successful e-commerce business, and at no upfront cost (terms apply to that assessment). As far as we can determine, there are no essential features missing from the services that Shift4shop offers.","The software is most definitely not user-friendly for the common e-commerce entrepreneur. When we first starting using Shift4shop in early 2020, composing our storefront was a nightmare, and required that every member of our team need learn information, processes, and language just to navigate and operate the software. (Shift4shop does provide basic video tutorials for most functions, for new users).",CEO,Retail,Used the software for: 1-2 years
shift4shop,Shift on past Shift4Shop and don't look back,"Very negative. I gave it a try, they fell flat and didn't get up. I'm planning on taking my site down and finding a better solution that actually is stable and works.",Jared W.,2.0,"March 23, 2023","Free, no fees except a processing percentage inline with other options.","Instructions to set up the site and transfer over your domain were missing. Hours wasted when I had to perform a specific ticket to get it to work that wasn't listed or documented. Setup is atrocious, not fluid, old outdated. I finished setup and took my site live and found out the credit card processing wasn't working. Several messages to support and the reply's back were so incoherent, no one could understand what they were saying. It wasn't even proper English or legible. I have missed over a month of sales because of how bad their processing setup is. Some of the support staff are ok, some shouldn't be allowed to work in the tech sector and should require adult supervision.",Chief Laborer,Sporting Goods,Used the software for: Less than 6 months
shift4shop,"There are better, easier solutions out there for the same costs",They had an excellent plan where you got the cart free if you used their payment processor. Then they changed that to charge if you did not process a certain amount through that payment processor. They decided to kill my legacy plan and delete my entire store and account out from under me without any warning. It was great until it wasn't.,Kelly H.,3.0,"July 6, 2023","They had an excellent plan where you got the cart free, if you used their payment processor. Lots of apps are included. Can use ""out of the box"" without having to add a bunch of paid options.",Their apps and setup are confusing and hard to figure out for someone just starting out. Single plan. One price good for established ecomm not good for start ups.,Web specialist,Sporting Goods,Used the software for: 2+ years
shift4shop,Love my website!,,Katie P.,5.0,"September 5, 2019","Allows me to offer a large number a variations for my products Free shipping for specific items only Integration with Canada Post Huge database with How To info Helpful customer service, quick to phone and the chat feature is handy",Occasional glitches where buttons won't work or tricky to find some menu options templates are not very customizable unless you have strong coding skills,Owner,Arts and Crafts,Used the software for: Less than 6 months
shift4shop,Best Shopping Cart Value Ever,"I needed a shopping cart. I've used WooCommerce with PayPal before and was starting to use that for my new website. But it is clunky. I had heard of Shopify and decided to look into that solution. I started down the rabbit hole, found a few reviews that mentioned Shift4Shop, and never looked back.",Jim S.,5.0,"January 14, 2022","The best thing about Shift4Shop is its price point - way less expensive than any other shopping cart out there. How much less expensive? All the way less expensive - it is free. Of course there is a catch with free, but that catch isn't oppressively - you need to use Shift4Payments as your credit card processor. The Shift4Payment fees are virtually the same as the fees rom PayPal or other online processors, so it comes out to be a complete non-issue. Another great thing about Shift4 is the support. It's impossible to learn new software without asking questions and their chat feature is great. Every time I've had a question, they have answered quickly and given me a link to the exact document or post about how to do what I was wanting to do. On the proverbial 1-10 scale, Shift4Shop gets a solid 11.","Like any software, there is a learning curve. And there are a few nit-picky things, but none of the nits are even close to a game-changer. There are a few head-scratching rough edge items - here's one example: When you enter your product's name, the default text is ""Product Name"" and when you click in the box, your curser is at the end of Product Name and you need to backspace those two words away. But all the other data boxes have the default text disappears when you click in the box. (Yes, I published a few items for sale with a name like ""Product NameWidget"") It could also be clearer if you saved a product after entering it. Another weirdness - when you start entering a new product, the image upload is right there on the new product page. But if you edit a product, the image upload is now hidden in a new tab. The only other dislike is that sometimes it takes 5 to 20 minutes for a new product or a product change to show up. I see it fine in my browser, but when I look on my phone or from another computer, it isn't there yet. Republishing the product often helps.",Director,Construction,Used the software for: 1-2 years
shift4shop,Stole from us and while trying to strongarm us into using their payment processor,"We have been humming along for several years using 3D Cart/Shift4Shop and were happy until just the past two days. They sent an email out saying that if we didn't register for their payment processor, our site would be deleted. We don't want to use their processor... so I called. I was told I received the email by mistake and we were all good and to disregard. Well, it turns out they automatically made their processor an option on our checkout. They captured nearly $6k in funds in 2 days WITHOUT EVER HAVING OUR BANKING INFO! I called again and they said they had some account info that I had never heard of, nor provided. The only resolution they could come up with was to send the money to me right away... NOT!!! Their resolution was to REFUND the customers if I didn't sign up for their processing. Now I have to go back and re-capture the payments for product that was already delivered!!! There may be a lawsuit in the making if we are unable to get payment for the products that were delivered with payments captured in a totally unauthorized manner. AVOID THIS COMPANY",William A.,4.0,"September 9, 2022","The Shift4Shop store layout is capable of many things we require, such as different price tiers for different customer groups as well as options for each product.","Some of the formattings are not automatically symmetrical and require adjusting, and still may not be quite right. Customer service is garbage.",Vice President,Automotive,Used the software for: 2+ years
shift4shop,Very Intense Shopping Cart,Having an oversized website can be a huge headache. But breaking things down to parts and structuring them to the 3D Cart system has made it much easier to keep things organized.,Jessica L.,5.0,"August 5, 2019","It works well with any level of developer. For beginners you can make and publish a product with just a name, pic and price. But the more savvy can get as detailed on the products and functionality as they want. The site even allows for custom programming and html mock ups. So as a simple to diverse system, this has been the best I've seen. And I have tried many platforms. This has been my favorite. And when they say ""unlimited"" they mean Unlimited.",Having such a large website sometimes things break and take time to fix. But they do have 24 hour support to help.,owner,Wholesale,Used the software for: 1-2 years
shift4shop,Great Company but difficult to get help when you need it,"My overall experience until recently has been very good. I could generally figure out what I needed to do on my own. However, I don't it is anything special any longer.",Bill B.,5.0,"August 6, 2019","Versatility, variety of plugins. Nice templates.",Customer service has really declined in the years I have used this software. When I first started you could get hold of someone early in the morning. Now it takes an executive order from Trump.,General Manager,Wholesale,Used the software for: 2+ years
shift4shop,It is fairly easier program to operate.,We use it to enter in orders for our durable medical equipment. It allows us to print and/or email invoices instantly to our customers.,Lillian B.,5.0,"September 19, 2017",The way the format is set up. They have made several improvements over the last couple of years. Some good and some are not.,"There is an Icon at the lower left of the program for messages. It cannot me moved to another part of the screen and no way to opt out of having that feature according to customer service. Also, when you accidentally enter an invalid password IT TAKES FOREVER for it to go blank so the password can be re-entered. It reminds me of the old dial-up response before high speed. And last it does not always import into our QuckBooks correctly and is time consuming to figure out why.",Office Manager,Medical Devices,Used the software for: 2+ years
shift4shop,Coding required!,"It was great for the time we had it. But, too much moving around with the interface and lots of coding to get things in the right layout. As powerful as it may be, we had to switch to something simpler.",Joel S.,3.0,"June 4, 2019","It's a good e-commerce shopping cart for a majority of online sales. Offering a comprehensive e-commerce solution. It has retail multi-channel and marketing capabilities as well, an advanced customizable platform.","For the most part, would require someone who knows some html. In other words, not for basic users. And it offers limited themes. Most useful for doing things from scratch.",Owner,Marketing and Advertising,Used the software for: 6-12 months
shift4shop,Greatest Value Shopping Cart,"I have used many shopping carts such as Shopify, BigCommerce, VirtueMart (Joomla) and Miva 9, and 3dCart is by far the best. Many users claim that Shopify provides good SEO - yes and no. I found out that this is because Shopify automatically fill in the meta tag fields, so a novice user does not have to worry about SEO. Most of these other platforms have many restrictions and more meant for novice users. For 3dcart, one has the flexibility to do anything and get the best out of the platform. I particular love the support and technical teams. They go all the way out to assist us, even to restructure the databases to accommodate our migration. To me, that's impressive. 3dCart includes many apps as standard for a low monthly price, whereas, many of these important apps such as customer management system, live chat etc are not included in most of these other platforms, and one would have to purchase the apps separately from third parties which may make the monthly operating cost very high. As a previous Shopify user myself, I've heard many disgruntle users over the high monthly costs and many are contemplating migrating. For me and my company, 3dCart provides the best value and I award it with 5 stars all round. Well done, 3dCart!",Eva J.,5.0,"November 7, 2016","Easy to use, flexible, value for money",Setting up sub-categories can be a challenge,E-Commerce Coordinator,Building Materials,Used the software for: Less than 6 months
shift4shop,Almost perfect,I find 3dcart easy to use and really do like the interface however many customers have had issues when shopping and I've often had to tell them to clear their cache/cookies so that the cart would work properly. This may be a bigger issue for me because I have repeat customers saving orders in their carts.,Verified Reviewer,4.0,"September 19, 2016",Easy to use inexpensive lots of designers will work with this cart,Some customers get logged and are not able to place orders.,Used the software for: 2+ years,,
shift4shop,Shopping Cart made simple,We have had a very positive experience with the usability of 3d cart . I would recommend it.,Kevin T.,4.0,"October 31, 2019","The product is inexpensive and has a lot of canned features. For a company in need of an inexpensive solution, this is the one","lack of customizing. i have a bunch of clients that need stores. each client has a little nuance to their specific needs, 3d cart is limited in that way",Managing Director,Apparel & Fashion,Used the software for: 2+ years
shift4shop,Flexible software,"I am very happy with the service. I like how flexible the software is. It is not just plug 'n play like a do-it-yourself site builder. If you know a little bit of programming you can really customize the appearance and functionality of almost every component of the site. The only reason that I didn't give 5 stars for 'support' is because the online chat is gone. I used to be able to chat with someone in real time but now there is never anyone available. I do always get a response but it is the form of an email and it's the next day. Sometimes, i have a quick question like, ""I can't find XYZ.html and i want to edit it."" The support staff is good though. I would not have my site without them They really taught me a lot about how this software works so that I can do things for myself.",Brian K.,5.0,"November 7, 2016",Flexible. Good price.,Can't think of one.,Owner,Used the software for: 1-2 years,
