product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
site123,Another site builder to try ,Very excellent with I would love to use this every time I am designing a website.,Tichaona Redemptor R.,4.0,"February 9, 2024",SITE123 offers a range of templates covering different industries and styles. Users can select a template that aligns with their business or personal preferences.,"While SITE123 integrates with some third-party tools and services, users looking for extensive integration options or specific integrations may find the platform lacking compared to more advanced website builders.",Graphic designer,Printing,Used the software for: 6-12 months
site123,Site123 Has Been a Dream Come True for Me,I enjoy the site and admire how easy it is to make a professional-looking site with the tools offered on the website. I am proud of the way my site looks and how attractive it is to my visitors.,Robert B.,4.0,"July 12, 2023","The ease of getting started was attractive to me. I had a website I was proud of within less than a week of learning the website. Since then, I have been able to embellish and make adjustments to my presentations of my ebooks, stories, and other writings. I had always dreamed about giving my stories a stage to shine and Site123 has allowed me to make this dream come true. People rave about the attractiveness and easy to use writing site I have made using the variety of tools available on this site. My many writings are special to me, like my own children in some ways. I am able to dress these stories up so they look good to others who come and visit my site.","I have only one concern: Bandwidth. I have been adding many items to my stories and this apparently has caused me to almost approach my monthly limit of bandwidth. This is a concern and one that could cause me to shop elsewhere. I have asked for help on this subject, but have yet to receive much satisfaction. I guess I will simply have to avoid doing too much additions to my site each month until I can find some other remedy.",owner,Writing and Editing,Used the software for: 2+ years
site123,Online bakery ,,Joanna B.,3.0,"April 9, 2025",You can use it as an online shop and it has Canadian currency.,"When I respond to people through the website, the email looks like spam to the recipient. I also can't marked off days on the calendar to prevent people from placing orders when I'm unavailable.",Bakery Owner,Food Production,Used the software for: 1-2 years
site123,Great Option for Small Business Owners,"Overall, the positives currently outweigh the negatives. If the ""cons"" are addressed, then the system will be ideal for most of my online needs. I have quite a few more projects that I'd like to complete, and the ""cons"" are holding me back.",David E.,4.0,"August 30, 2023","The Site123 administrative panel is relatively simple to manage, and there is 24/7 online chat support to answer any questions about a particular function. The sites look professional, and there are a number of nice features and integrations in the Site123 system.","1) I am VERY frustrated by the 2,000-character limit in each section of custom code. I still have over 90% of my allotted space (10 GB) available for use, so I am not clear as to why this limit is so low. I would create several more websites on Site123 if this limit were lifted to at least 5,000 characters. The limit seems arbitrary - customers HATE arbitrary limits.2) I am frustrated at the 200-page limit for the entire site. I understand that there have been some performance issues for other customers when they exceed 200 pages on their site, but that is Site123's issue to figure out. Again, I still have over 90% of my allotted space (10 GB), so it is frustrating not to be able to use it due to a technical issue.",Owner,Marketing and Advertising,Used the software for: 2+ years
site123,Very Pleased Customer,Just amazing. Never felt like I can't do anything with editing this website and if i do they are there to help.,Nicolas C.,5.0,"November 19, 2023","What I loved most is the level of simplicity in editing any aspect of the site and the speed of implementation of those edits. and the customer support is like no other i have experienced. Very fast response and guide you to resolve the issue. Never had a problem with them, they are all amazing!","Nothing bad really, but It'd be nice to have more gradient colors for the background to make it less boxed and sharp. Probably integrate having images behind the entire website as a background If possible.",Composer,Music,Used the software for: 6-12 months
site123,Jacqui's Review,"I basically wanted to give my Internet Radio Station a nice home and it did that. I had loads of help from the staff at Site 123. I got assistance at any time of the day or night, and they responded in a short space of time. I am still exploring and enjoying. I also like the fact that I can make money building websites for other persons. although I haven't closed a deal as yet because I have been busy, but I soon will.",Jacqueline M.,5.0,"December 6, 2022",It is easy to use and its attractive. I like the fact that you can design a professional looking website with all the features that's necessary.,I believe it could have had some more modern themes.,Owner,Online Media,Used the software for: 1-2 years
site123,Perfect review for SITE123,"I love SITE123, and I will continue to work with them, also i recommend SITE123 to all general customers and new business who aim to deal with B2B strategy.",Josip M.,5.0,"October 12, 2022","Simplicity, ease of use, control of the site you as a customer are buying. The professional and careful support works 24/7 is just a mere gold on top of the cake . Would recommend everybody !",There a few graphical bugs. no detailed or advanced editor (like wix),CEO,Information Technology and Services,Used the software for: 2+ years
site123,Cheaper option of Shopify but better in value,"This is still the best hosting company I have ever worked with. I'm glad I decided to invest in them! Wish they offer better price for shorter contract. I went with 10 years contract since the price is just so good to ignore, very tempting. However, with a lot of plugins required for running the website successful, I did have a lot of worries before. Thank god the support team was amazing",Molly R.,5.0,"August 26, 2022","Very helpful and almost always available customer service Plugins functions allow users to have more control of the website. The instruction to setup plugins can be a little confused, but I always have the support of the customer service (Shout out to [SENSITIVE CONTENT], he is the best!) to guide me through the whole process. This is very beneficial consider if it was Shopify, I would have to pay extra monthly to have these done","Shopping cart lacks of flexibility, which can cause customers inconvenient. Some basic plugins could have been pre-setup, for example, Google Search Console",Owner,Retail,Used the software for: Less than 6 months
site123,Creating a Resume website ,The process from beginning to publishing took an hour! It was best case scenario.,Nina M.,4.0,"October 23, 2022",The templates are already pre sized to optimally work on desktop and mobile. There was not any technical changes needed.the customer service on the chat feature was immensely helpful and fast!,None at the time but a con may be to someone that the design choices are basic,Sales Representative,Consumer Services,Used the software for: Less than 6 months
site123,SITE123 Review,Overally SITE123 is very easy to use and a great starter website builder.,Tom F.,4.0,"March 31, 2025",Super easy to use. No coding experience needed which is great.,Not able to get very granular since coding functionality is stripped back.,Customer Marketing Specialist,Gambling & Casinos,Used the software for: Less than 6 months
site123,Review of SITE123,,Krunal P.,5.0,"July 1, 2024",SITE123 offers multilingual languages to choose from with automatic translations and is simple to use while viewing content.,Cons of SITE123 include the lack of mobile application presence with IOS or Android. This would dramatically enhance the capabilities for targeted audience for usage.,Cyber Risk and Analysis,Information Technology and Services,Used the software for: 2+ years
