product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sitejet,Great product. Awesome support. ,"We were looking for a solution to help us quickly build ""no code"" websites for our customers, without having to employ an expensive website designer. We have employed a recent graduate who read through all the support guides for SiteJet and is now very confident using the product.",Adrian M.,5.0,"April 30, 2021",Ease of use. Has an extensive list of features and some good integrations. Professional services team [SENSITIVE CONTENT HIDDEN] also did an excellent job creating our template and migrating our content.,Not come across any issues so far. The experience has been first class.,co-founder,Staffing and Recruiting,Used the software for: 6-12 months
sitejet,A Swiss Army Knife for Digital Agency. This is Not Just Ordinary Website Builder!,Very happy. Their support is awesome. I love the way they talk. So glad found this in Appsumo.,jeremy T.,5.0,"July 23, 2021","This is my superb honest review. In my life ever, as a no-coder guy. After trying a lot of website builders, such as Wix, Brizzy, Landingi, I think Sitejet is my best deal ever. The most I like about this software is its website builder and collection features. I can customize everything I want that I always dreamed it. They also offer Whitelabel and customer portals I have always dreamed of since the first time. Customers also can update content by themself without asking us every time. The collection features in Sitejet are the best features I've ever dreamed of. Since the first time I try website builder, using blog system, try to make every content dynamic, I never find the right tools. Day to day, I more fall in love with Sitejet. I don't know why everyday i use Sitejet, the more i fall in love. The customization is no brainer. It feel like i almost can do anything with your builder. Super love your collection features. This is my dream tool since I didn't know any related to code, there is no plugin and another website builder can achieve like yours. I never thought Sitejet has a great community and kind persons inside. I never thought Sitejet support is that great, I love every wording that their team said. I love the way you handle our tickets professionally. I must admit, German technologies are the best. Keep growing Sitejet. I'm yours. You really got me.","Sometime, i almost frustated because this builder is not easy to use in first look. The first time i used this, i take hours just want to know how to optimize blocking system and create collections. Not easy to learn, but once you learn it, you will Sometimes the builder got the error, which is due its complexity. Thanks to their backup system. very helpful, so i never worry lost my work again. Their Whitelabel portal did not support the .wx .xy domain which my company has. Hope it is supported soon.",Chief Digital Officer,Information Technology and Services,Used the software for: Less than 6 months
sitejet,Purchase I regret,Regret purchasing this product.,Siri B.,1.0,"March 23, 2020","Nothing I liked about it. It was not easy to use, and there was no support.",No support and difficult to use. No support from Sitejet.,Consulting,Philanthropy,Used the software for: 1-2 years
sitejet,Thanks for Sitejet,Game changer - very glad to see it flourishing,Mike M.,5.0,"March 31, 2021","We were attracted to Sitejet, needing a website builder that would address a primary concern of system diversity. Site jet provides us with a tool that will satisfy the needs of discriminating clients but still provides the means for capable clients to make changes or add content without being a computer scientist. The team demonstrates eagerness to support, with active, high quality help available in an innovative system that sits somewhere between a forum and a business chat architecture For us Sitejet has married business process with technical empowerment, and has added human process that is responsive and enthusastic A new experience for us - thanks","We see two issues 1. It's very hard to provide creating diversity and combining that with simplicity without losing too much capabilty in fine grain UX adjustment 2. How does anyone create a system that is both simple but capable of intricate changes to processes and UX In our view, Sitejet is the best we've seen so far",Director,Internet,Used the software for: 6-12 months
sitejet,Exceptional Web Development Platform!,"Sitejet is potentially one of the best discoveries I've made this year. Although it's not quite as polished as Webflow and EditorX, there are many reasons to be excited by Sitejet's trajectory. The team is highly responsive and willing to improve the platform. As such, I cannot wait to see how they continue to evolve Sitejet in the future.",Joshua T.,5.0,"July 10, 2021","There is much to love about Sitejet! - Sitejet offers its users an incredibly deep web-development solution. The features of the website builder are excellent and there is reason to believe they'll only get better. - The support team is first class and the Sitejet team are genuinely looking to grow the platform. - There is an active community, which is a great place to learn about Sitejet and discuss possible features. - The Website Manager is an excellent idea. This is a brilliant way to manage the websites you're building and to communicate with your clients - Emails and SSL certificates are included in this deal, which is extremely generous and worth the price of the deal alone. - The builder features some incredible time-saving features, such as customisable default settings that can be implemented on a site-wide basis.","Sitejet is still relatively new, so although I don't have any 'cons', there are features and enhancements that I would love to see: - A more seamless way to add, edit and manage Custom Classes on a site-wide basis. - More presets and templates. Sitejet has quite a steep learning curve and I would like to see quicker/easier ways to create high-converting landing pages, for example. - More elements in the builder - Improved scroll-based animations and micro-interactions like Webflow - Sitejet Shop! It's great that there's an integration with Ecwid but I would love there to be a native Sitejet solution too. - More marketing and automation features. Given the power of the site builder and the ability to host emails, it would be incredible to use Sitejet to create high converting Landing Pages, build Sales Funnels and send Newsletters etc. - Updating and modernising the Site Builder. Webflow and Editor X are currently further along in their development but there are also some excellent new products on the market (graphite.space - siter.io and typedream.com) that can serve as excellent inspiration for Sitejet as they continue to evolve the builder and make it more accessible to new users. - Webhooks are brilliant, but I'd also like to see some more direct integrations with Sitejet",Musician,Music,Used the software for: Less than 6 months
sitejet,"Pretty Close to Perfect, Especially For Agencies",,Dana R.,5.0,"August 26, 2021","A rather inexpensive, no-code solution website builder and project manager for individuals and agencies alike. Their support guides are thorough and written with the user in mind... meaning anyone can read and learn the platform with some effort. Features and integrations are great, especially their white-label agency tier with customer portal. We especially appreciate the all-in-one in regards to hosting, SSL, SEO, email, backups, security and analytics. It's just nice to have it all.. in one place. Their support and community are fantastic helps. Overall, it's a really great platform.","Sitejet is similar to Webflow so it helps to have an understanding of HTML and CSS structure. If you don't have that basic knowledge, it'll be harder to understand the fullness of what Sitejet offers because it can be a little overwhelming.",Creative Director,Photography,Used the software for: 1-2 years
sitejet,Feedback,Okayish. I am very satisfied with the support team and their response time and will to help!,Barbara P.,4.0,"November 25, 2020","The software is easy to use, it's not expensive, dashboard is user friendly and it has nice design.","It often breaks, doesn't save content, doesn't have many features.",Marketing Assistant,Automotive,Used the software for: 6-12 months
sitejet,"Great Team, Great Software",,Sebastian W.,5.0,"March 15, 2021",Easy way tu build websites fast and with a high quality.,There was no way to connect SiteJet to our CRM (Pipedrive).,CEO,Marketing and Advertising,Used the software for: 1-2 years
sitejet,Really good fast Support,,Thomas H.,5.0,"May 14, 2021",Easy to make professional websites easy and fast,I dont Know Cons all good with it i cant say nothign bad to this softwre,cheff,Construction,Used the software for: 2+ years
sitejet,"quick and easy, attractive","good communication, very kind and helpful",Mansour Y.,4.0,"February 16, 2021","various themes, not expensive...easier to use",I believe that building a website for profis with cms is very easy. For people who are not experienced it is sometimes difficult to get into it but at the same time there is help of the helping team,Marketing Manager,Events Services,Used the software for: 2+ years
sitejet,Die beste Lösung für mich als Programmier-Laie,"Ich habe nun schon mehrere Website Projekte mit Sitejet umgesetzt und weitere in der Vorbereitung. Mir gefällt die Software, das Handling und vor allem der Service, der mich immer dann zeitnah unterstützt, wenn ich mal nicht weiterkomme.",H.P. B.,5.0,"July 16, 2021","Die Software ist Modular aufgebaut und führt nach kurzer Einarbeitung schnell zu zufriedenstellenden Ergebnissen. Wenn man, wie das bei mir oft vorgekommen ist, technisch nicht weiterkommt, steht immer ein hervorragendes und kompetentes Helpdesk Team zur Verfügung.","Ich hätte gerne eine nutzerfreundlichere Bildbearbeitung für die Implementation von Bildern in die Webseite. Und ein paar frischere Bildergalerien würden mich auch noch glücklicher machen ;-). Und mehr hilfreiche Texte, um angewählte Funktionen besser einordnen zu können. Texte wie, freilassen wenn nicht bekannt, helfen selten.",Consultant,Public Relations and Communications,Used the software for: 1-2 years
sitejet,"Gut, dass wir die Wordpress-Brille abgelegt haben!","Unsere Webseiten sind in der Gestaltung vielfältiger geworden und erfordern weniger Zeitaufwand in der Erstellung. Die Pflege der technischen Plattform wird von sitejet gewährleistet und entlastet unser Team. Über die Slack-Gruppe ""Sitejetters"" haben wir einen Austausch mit der internationalen Anwender-Community und konnten sogar schon Entwicklungen outsourcen. Das Gesamtkonzept Sitejet hat gelegentlich mal Wachstumsschmerzen, die aber akzeptabel sind. Wir sind neugierig, was dem Team noch einfällt und sehen einer interessanten Zukunft entgegen.",Achim W.,4.0,"March 24, 2021","Zentrales, cloudbasiertes Dashboard für alle Kundenwebseiten als Whitelabel-Lösung. Im Gegensatz zu Open Source-Plattformen wie Wordpress, Typo3 oder Joomla! ist kein Wartungsaufwand für das System erforderlich. Die Entwicklungsumgebung ist immer einheitlich, da keine Themes o.ä. erforderlich sind. Die Erstellung der Webseiten ist sehr flexibel und mit Grundkenntnissen relativ leicht erlernbar. Trotzdem besteht die Möglichkeit für Experten, selbst Code zu integrieren.",Bei der Erstellung von Webseiten haben wir immer mal den Eindruck von nicht nachvollziehbaren Störungen. Allerdings laufen die Seiten nach der Veröffentlichung alle stabil und die Unterstützung bei Problemen durch Sitejet ist überdurchschnittlich gut. Die Blogfunktionalität entspricht noch nicht unseren Erwartungen als ehemalige Wordpress-User.,Geschäftsführer,Marketing and Advertising,Used the software for: 1-2 years
sitejet,Webdesign für alle Erfahrungsstufen,"Sitejet bietet für uns und unsere Kunden das perfekte Spektrum von der einfachen Landingpage bis hin zur großen Seite mit Schnittstellen, Shop etc. Falls wir an die Grenzen des für uns Machbaren stoßen, ist der Support meist schnell und kompetent zur Stelle. Wir fühlen uns gut aufgehoben!",Paul B.,4.0,"November 17, 2020","Sitejet versteht es perfekt, schnelle grafische WYSIWYG-Bearbeitung zu verbinden mit professionellen Möglichkeiten, Einzelheiten präzise einzustellen und in den Code zu gehen. Features wie das Kundenportal oder Collections im CMS vereinfachen die Datenverwaltung ungemein und schaffen mehr Produktivität!","Es wird vor allem am Website-Manager und Kundenportal weiter entwickelt, das CMS bekommt zugleich eher weniger neue Features. Gerade das wäre für noch mehr Möglichkeiten im Webdesign schön!",Geschäftsführender Gesellschafter Produktion,Marketing and Advertising,Used the software for: 1-2 years
sitejet,Ein Tool nicht für Anfänger,,Roland R.,3.0,"March 23, 2021",Auf den ersten Blick waren es die Vorlagen,"Das System ist für CSS-Anwender bestimmt beweglich, aber ansonsten sehr starr, weil viele Dinge global festgelegt werden. Wenig neue Vorlagen und Presets. Bei Mailverarbeitung über Drittanbieter entstehen Probleme und Scripte (Kontaktformular zum Beispiel) sind nicht möglich. Viele Dinge muss man wissen, weil viele Menüs nicht intuitiv sind. Für Spezialisten vielleicht geeignet. Für die Mehrzahl der Web-Bastler ungeeignet.",Webdesigner,Internet,Used the software for: 1-2 years
sitejet,My Site on Sitejet,Everything is possible and the online help is quick and effective,simon B.,4.0,"March 26, 2021",complete Flexibility to be able to do whatever is required,Sometimes the preview and real online view differ,Director,Machinery,Used the software for: 1-2 years
sitejet,Bewertung der Software von webvisitenkarten.net,,Jürgen T.,4.0,"March 1, 2021","Sitejet kann ich nicht bewerten, da ich es nicht genutzt habe. Die Version von webvisitenkarten.net entsprach sehr gut unseren Vorstellungen zum Erstellen einer website für unseren Club.Etwas schwierig","Etwas schwierig war das Erstellen einer Fotogalerie, da Adobe Flashplayer nicht mehr unterstützt wurde",Lehrer im Ruhestand,Civic & Social Organization,Used the software for: 2+ years
sitejet,Nice quick tool and excellent customer service,,Matej D.,5.0,"March 11, 2021","presets that are easy to custom, nice overview","some features are pretty hidden, the introvideos are from a former version of the Website manager, that confused me pretty much at the beginning",CEO,Music,Used the software for: Less than 6 months
sitejet,For me so far the best price/value on the market,,Oliver M.,5.0,"February 9, 2021","Price/value, fast, professional and friendly customer support!",So far there are no aspects for me that are difficult to use.,Managing Director,Music,Used the software for: Less than 6 months
